δυσκολίας	dificultades
ντομένικο	domenico
μάρτυρα	testemuña
αγωνιστικά	de
αγωνιστικά	carreiras
ακραίο	extremas
φράγκα	francos
χιπ	hurra
εραστές	amantes
μαγαζιά	almacéns
μαγαζιά	depósitos
μαγαζιά	provisións
σχοινί	corda
εκπαιδευτικοί	profesores
εκπαιδευτικοί	mestres
εκπαιδευτικοί	os
εκπαιδευτικοί	bos
καθαρότητα	pureza
τυφώνα	furacán
πύραυλος	foguete
πύραυλος	mísil
νότα	nota
νότα	a
γκέι	homosexuais
γκέι	homosexual
εγκαύματα	queimaduras
εγκαύματα	arde
σκιές	sombras
κομμουνιστής	comunista
κομμουνιστής	partido
κομμουνιστής	comunistas
έτρεξε	marcharon
έτρεξε	sen
επιθεώρησης	inspección
βούδα	buda
εντουάρ	edouard
φρέντι	freddie
πτυχιούχος	estudante
μίμηση	imitación
μίμηση	na
σιδηρόδρομο	tren
μεταλλάξεις	mutantes
μεταλλάξεις	mutacións
τεχνητές	artificiais
τεχνητές	artifical
τεχνητές	artificial
κινέζος	os
κινέζος	chineses
κινέζος	chinés
κινέζος	chinesas
κινέζος	chinesa
συμπεριφέρονται	ben
υπολοχαγός	tenente
άντριους	andrews
κλασσικά	clásicos
κλασσικά	clásico
γωνιά	esquina
γωνιά	recuncho
φτωχός	pobre
φτωχός	pobres
αγαπημένος	favorito
αγαπημένος	favoritos
αγαπημένος	favorita
αγαπημένος	preferido
αγαπημένος	amado
αγαπημένος	querido
βον	von
αντιδράσει	reaccionar
αντιδράσει	reaccionaredes
αντιδράσει	reacciona
αντιδράσει	reaccionan
αντιδράσει	aos
αντιδράσει	ante
αντιδράσει	reaccionei
μένοντας	quedar
μένοντας	aquí
μένοντας	noite
μένοντας	quedará
μένοντας	na
κατακόρυφη	verticais
κατακόρυφη	vertical
αποφασισμένος	decidido
αποφασισμένος	con
στριπ	de
μαγική	maxia
μαγική	máxico
μαγική	máxica
μαγική	máxicos
μαγική	máxico
αρνούνται	non
αρνούνται	se
τέκνο	nena
τέκνο	neno
τέκνο	fillo
θερμοκηπίου	invernadoiro
τροχοί	rodas
τροχοί	raís
χολ	hall
χολ	corredor
χολ	concello
χολ	civil
χολ	sede
κλέψει	roubar
ανάποδα	revés
οπή	buraco
οπή	burato
οπή	furado
οπή	hole
λίπος	graxa
λίπος	gorda
λίπος	gordo
λίπος	gordos
λίπος	o
στήβεν	stephen
στήβεν	steven
ήχοι	soa
ήχοι	parece
ήχοι	sons
ήχοι	en
ήχοι	sona
απόλυση	fogo
νόρμα	norma
νάρκες	minas
παρακολουθώντας	vendo
παρακολουθώντας	a
παρακολουθώντας	as
παρακολουθώντας	ver
παρακολουθώντας	mirando
παρακολουθώντας	mirar
παρακολουθώντας	observando
διάβολος	demo
διάβολος	diaño
πέφτοντας	a
πέφτοντας	namorarse
