les	die
est	oos
une	een
pour	vir
pour	altesaam
qui	wie
que	dat
que	wat
que	dai
avec	mee
avec	met
son	klank
son	its
plus	nog
plus	meer
pas	nie
elle	sy
elle	elle
été	somer
avancement	advancement
avancement	vordering
comme	soos
mais	maar
cette	dit
cette	hierdie
cette	dié
pop	pops
pop	pop
deux	twee
ses	its
naissance	gebore
naissance	geboorte
aussi	ook
france	frankryk
saint	heilig
saint	heilige
saint	holy
saint	heilige
saint	saint
après	na
après	nadat
après	ná
fait	gemaak
fait	voltooi
fait	gedoen
fait	klaar
notes	notas
entre	tussen
même	selfs
même	dieselfde
même	selfde
être	synde
nom	van
nom	naam
nom	benoem
nom	gebruikernaam
français	français
français	frans
français	franse
paris	parys
lui	hom
lieu	plek
lieu	venue
lieu	lokaal
lieu	plek
lieu	location
lieu	ligging
cet	dit
cet	hierdie
cet	dié
autres	ander
décès	dood
références	verwysings
liens	skakels
était	was
commune	commune
commune	gemeen
commune	common
commune	gemeenskaplike
ville	town
ville	stad
jean	jean
jean	johannes
jean	john
leur	hul
date	datum
cest	cest
cest	thats
peut	may
peut	mei
peut	mag
peut	kan
depuis	sedert
depuis	van
depuis	vanuit
depuis	vanaf
première	premiere
première	eerste
première	eers
ans	ans
ans	jare
alors	then
alors	dan
externes	eks
externes	eksterne
site	webwerf
site	webtuiste
premier	premier
premier	eerste
premier	eers
fut	was
http	http
film	fliek
film	rolprent
film	rolprent
voir	sien
voir	aansig
voir	besigtig
voir	bekyk
pays	country
pays	land
pays	lande
source	bronne
source	bron
grand	groot
grand	wonderlik
grand	vleuel
grand	grand
tout	alles
tout	alle
tout	alles
tout	all
tout	almal
tout	al
tout	als
lors	tydens
lors	gedurende
groupe	band
groupe	musiekgroep
groupe	groep
groupe	groepeer
également	ook
titre	lêername
monde	wêreld
nord	noorde
nord	noord
nord	noordelike
nord	northern
nord	nord
années	jare
bien	goeie
bien	goed
bien	goed
bien	wel
bien	sowel
puis	then
puis	dan
équipe	squad
équipe	span
club	klub
sud	sud
sud	suid
partie	party
partie	feesvieringe
partie	partytjie
partie	deel
partie	gedeelte
avant	voorkant
avant	voor
avant	front
avant	voor
avant	before
non	nie
très	baie
trois	drie
articles	artikels
guerre	oorlog
sans	sonder
sans	sans
saison	seisoen
fin	fin
fin	einde
fin	beëindig
vers	vers
vers	teenoor
année	jaar
temps	weer
temps	tyd
temps	tydstip
plusieurs	vele
plusieurs	baie
plusieurs	klomp
plusieurs	veelvuldige
plusieurs	veelvoud
faire	maak
faire	faire
mars	maart
mars	optog
mars	mars
histoire	geskiedenis
histoire	history
série	reeks
série	series
série	serie
joueur	speler
mai	may
mai	mei
mai	mag
tour	toer
tour	tour
tour	tower
tour	toring
mort	gesterf
mort	oorlede
mort	dood
mort	mort
mort	dooie
mort	dood
juin	jun
juin	july
juin	junie
juin	junie
jpg	jpg
française	frans
française	franse
pierre	klip
pierre	petrus
pierre	peter
pierre	pierre
région	streek
région	omgewing
région	gebied
région	oppervlakte
région	area
janvier	januarie
avoir	ondervind
fois	tye
fois	kere
autre	ander
septembre	september
juillet	julie
état	staat
état	deelstaat
état	provinsie
état	toestand
état	spasie
état	voorwaarde
état	kondisie
église	kerk
octobre	oktober
octobre	okt
octobre	oct
place	plek
famille	familie
famille	gesin
états	provinsies
états	deelstate
états	state
général	herhaal
général	algemene
général	generaal
avril	april
avril	avril
insee	insee
tous	alle
tous	alles
tous	all
tous	almal
tous	al
tous	als
politique	beleid
politique	politiek
album	album
décembre	desember
août	august
août	augustus
août	aug
novembre	november
avait	moes
prix	pryse
prix	prys
nouvelle	nuut
nouvelle	nuwe
février	februarie
département	departement
grande	groot
grande	wonderlik
grande	grande
peu	paar
peu	bietjie
américain	amerikaans
américain	american
américain	amerikaanse
début	start
début	begin
ligne	lyn
ligne	blaai
ligne	ry
ligne	row
suite	suite
nationale	nasionale
nationale	national
nationale	nasionaal
championnat	championship
encore	weer
encore	steeds
encore	nogsteeds
encore	encore
image	prent
image	prent
image	beelde
vie	lewe
vie	vie
unis	vereenigde
unis	united
unis	verenigde
lien	skakel
football	sokker
football	voetbal
pendant	tydens
pendant	gedurende
jeux	speletjies
jeux	gaming
jeux	speletjies
jeux	wedstryde
moins	minder
ouest	wes
ouest	westerse
ouest	western
ouest	westelike
page	blad
page	bladsy
nouveau	nuut
nouveau	nuwe
vous	julle
vous	jy
centre	sentreer
centre	gesentreer
centre	sentreer
cours	natuurlik
partir	los
partir	verlof
partir	verlaat
village	village
village	dorpie
université	universiteit
université	kollege
louis	louis
louis	lodewyk
nombre	nommer
nombre	getalle
nombre	getal
quelques	sommige
leurs	hul
siècle	eeue
siècle	eeu
coupe	koppie
coupe	beker
coupe	cut
coupe	coupe
population	bevolking
population	populasie
connexes	verwante
connexes	verwant
homme	manlike
homme	mannetjie
homme	homme
homme	mans
homme	manne
homme	man
communes	communes
division	division
division	deling
président	president
président	chair
président	voorsitter
président	stoel
président	chairman
national	nasionale
national	national
national	nasionaal
société	samelewing
société	gemeenskap
société	geselskap
société	maatskappy
quatre	vier
cas	kas
cas	geval
cas	cas
cas	gevalle
jeu	speletjies
jeu	gaming
jeu	speletjie
jeu	spel
jeu	dobbel
genre	genre
genre	geslag
genre	genus
genre	soos
musique	musiek
fils	gidse
fils	seun
fils	seuns
roi	heer
roi	king
roi	koning
roi	roi
parti	party
parti	feesvieringe
parti	partytjie
parti	gone
parti	gegaan
jour	dag
europe	europa
forme	vorms
forme	vorm
époque	epog
époque	era
ancien	antieke
ancien	oud
ancien	ou
ancien	elder
ancien	former
ancien	voormalige
origine	oorsprong
ordre	orde
ordre	bestel
ordre	volgorde
ordre	bestelling
ordre	rangskik
château	château
château	kasteel
château	chateau
école	skole
école	skool
carrière	loopbaan
carrière	loopbane
part	deel
deuxième	sekondes
deuxième	sekonde
bar	balk
bar	bar
bar	kroeg
située	geleë
charles	karel
charles	charles
points	kolletjies
points	kolle
points	uraan
points	punte
ayant	ondervind
paul	paulus
paul	paul
rue	straat
chef	chef
chef	sjef
chef	chief
père	pa
père	vader
exemple	voorbeelde
exemple	voorbeeld
trouve	bevind
durant	tydens
durant	gedurende
durant	durant
rapport	rapporteer
art	kuns
canton	guangzhou
canton	canton
dernier	last
dernier	laas
dernier	laaste
dernier	jongste
dernier	nuutste
dernier	jongste
type	tipe
type	tik
habitants	inwoners
point	punt
compte	tel
compte	rekening
période	periode
armée	militêre
armée	weermag
armée	leër
armée	army
eau	water
marie	marie
marie	marié
marie	mary
marie	maria
marie	maria
discuter	bespreek
discuter	klets
discuter	gesels
car	want
projet	projek
chaque	elke
chaque	elk
anglais	engels
province	provinsie
john	johannes
john	john
international	internasionaal
international	internasionale
conseil	konsultasie
conseil	advies
conseil	raad
conseil	raad
françois	francis
françois	francois
françois	françois
maison	house
maison	huis
maison	tuis
maison	huistoe
maison	tuisblad
maison	huis
cela	dit
cela	hierdie
cela	dié
cela	dat
cela	wat
cela	dai
demande	versoek
demande	vra
fonction	kommentaar
toujours	skuilname
toujours	altyd
toujours	steeds
toujours	nogsteeds
doit	moet
production	produksie
certains	sommige
membre	lid
près	naby
rôle	rol
meilleur	beter
meilleur	beste
droit	regterkant
droit	regs
droit	reg
droit	wet
mois	maande
mois	maand
île	island
île	eiland
île	île
république	republiek
service	diens
jacques	jacques
ensuite	then
ensuite	dan
dit	gesê
gouvernement	regering
center	sentreer
center	gesentreer
elles	elles
petit	small
petit	klein
petit	petit
petit	bietjie
toutes	alle
toutes	alles
toutes	all
toutes	almal
toutes	al
toutes	als
argent	geld
argent	silwer
argent	kontant
souvent	gereeld
souvent	gereeld
