اريد	žele
هول	vijećnica
هول	dvorana
هول	hall
مشارك	učesnik
الطقوس	ritualnim
المعتقدات	uvjerenja
المعتقدات	vjerovanja
دل	del
جرذ	pacova
سكاي	sky
سكاي	nebo
ثمان	osam
مشاركات	dionica
مشاركات	dijeli
الناجحة	uspješan
الناجحة	uspješnu
الناجحة	uspješne
الناجحة	uspješna
الناجحة	uspješni
السجل	rekord
السجل	rekordno
السجل	bilježe
السجل	rekordnih
السجل	registar
السجل	log
السجل	registar
موحدة	ujedinjene
موحدة	ujednačen
التحدي	izazov
التحدي	challenge
سونغ	sung
سونغ	pjesma
محاضرة	predavanje
النانو	nano
الثمانينيات	osamdesetih
الالكترونية	elektronska
الالكترونية	elektronski
هوليوود	hollywood
بوير	boyer
البقرة	krava
الديناصورات	dinosaurusa
الديناصورات	dinosaurusi
شمسي	solarni
شمسي	sunčev
شمسي	solarne
اربع	četiri
الحافة	edge
خريف	jesen
فرح	radost
فرح	farah
صناعات	industrija
الخبرات	iskustava
الخبرات	iskustva
الخبرات	iskustva
الخبرات	iskustvo
رضوي	razavi
المدار	orbitu
المدار	orbiti
التشريح	anatomija
التشريح	autopsija
تشي	chi
تشي	che
ظاهر	vidljiv
ظاهر	vidljiva
ظاهر	vidljivi
ظاهر	vidljivo
دفعة	jačaju
دفعة	jačanje
دفعة	plaćanje
دفعة	isplata
النسوية	feminizam
النسوية	feminist
لوح	odbor
لوح	ploča
لوح	tablet
لوح	talas
عينات	uzorci
الميل	mile
مزايا	prednosti
مغلقة	zatvorena
مغلقة	zatvoreno
مغلقة	zatvorio
منصات	platformi
منصات	pads
المدرج	pisti
المليون	milion
تقليد	tradicija
الشيرازي	širazi
ميكانيكية	mehanički
ميكانيكية	mašinski
ميكانيكية	mašinsko
السعة	kapacitet
السعة	kapaciteti
السعة	amplitude
التهديد	prijetnju
التهديد	prijetnja
عقل	mozak
عقل	um
دنيا	minimalno
دنيا	minimum
دنيا	minimalna
الطلاق	razvod
خفيف	svjetlost
مونتريال	montreal
الكومنولث	commonwealth
جلدية	koža
الفائزين	pobjednici
بطليموس	ptolemej
تهديد	prijeti
تهديد	prijete
تهديد	prijetnju
تهديد	prijetnja
المعيار	kriterij
المعيار	standardni
الهياكل	struktura
الهياكل	strukture
الهياكل	strukturama
المنفى	egzil
الرباعي	kvarteta
الرباعي	kvartet
المصلحة	kamata
مجلدات	tomova
الحفظ	konzervacijska
الحفظ	održanja
الحفظ	spašavanje
الحفظ	očuvanje
باراغواي	paragvaj
يوميات	hronologija
يوميات	žurnal
يوميات	dnevnika
يوميات	dnevniku
يوميات	dnevnik
فرديناند	ferdinand
تعليقات	komentari
تعليقات	komentarima
المهن	karijere
المهن	zanimanja
تلفاز	televizija
السلبي	pasivne
السلبي	pasivno
السلبي	pasivna
قيود	ograničenja
قيود	ograničenjima
قيود	ograničenja
قيود	ograničenja
جيب	džip
جيب	džepu
جيب	džepa
حقن	injekcije
حقن	injekcijom
ساوث	jug
بالضبط	tačno
البطالة	nezaposlenost
تجهيز	obrade
تجهيز	obradu
تجهيز	obradi
الجلسة	sjednicu
الجلسة	sjednici
الجلسة	sjednica
الجلسة	sastanak
الجلسة	susret
تغلب	pobijedio
تغلب	pobedi
احداث	priče
احداث	price
احداث	događaja
احداث	događaji
احداث	dešavanja
ركوب	jahanje
ركوب	prevoz
نمر	tigar
نمر	leoparda
نمر	leopard
الخريف	jesen
الخريف	jesen
الخريف	pad
شمسية	krovna
شمسية	kišobranom
شمسية	solarni
شمسية	sunčev
شمسية	solarne
النجار	carpenter
النهج	pristupe
النهج	pristupa
النهج	pristup
النهج	pristupom
النهج	pristupu
النهج	prilaz
جامايكا	jamajka
روضة	vrtić
تدمر	uništi
تدمر	uništiti
الكثيرون	mnoge
الكثيرون	mnogi
التوجهات	trendova
التوجهات	trendovi
التوجهات	trendove
التوجهات	trendovima
تقاطع	raskrsnica
نشيد	himna
نشيد	himne
تاريخيا	historijski
عنف	nasilno
عنف	nasilje
المناظر	okretati
وين	wayne
وين	wen
مستر	mister
تدهور	pogoršanja
تدهور	degradacija
الصراعات	sukobi
الصراعات	sukob
الصراعات	konflikt
بيانو	klavir
مسافات	prostori
مسافات	prostora
مسافات	spaces
مسافات	prostore
اخذ	odveden
اخذ	uzeo
اخذ	donesena
اخذ	uzimanje
اخذ	uzimanja
اخذ	uzima
اخذ	uzimajući
اخذ	preuzeti
اخذ	uzeti
اخذ	take
اخذ	preuzme
سامة	otrovni
سامة	otrovan
سامة	otrovni
واقعية	realistična
واقعية	realizam
النيتروجين	dušik
زرقاء	plava
التسعينيات	devedesetih
هياكل	struktura
هياكل	strukture
هياكل	strukturama
الورد	roses
منطق	logika
شحنة	cargo
شحنة	teretni
نشطة	aktivna
نشطة	aktivni
نشطة	aktivan
قنابل	bombe
الفرص	šanse
الفرص	prilika
الفرص	priliku
الفرص	prilike
الفرص	mogućnosti
الفولاذ	čelik
السجناء	zarobljenike
السجناء	zatvorenici
سلمية	miran
سلمية	mirne
سلمية	mirni
ترميم	obnovu
عيوب	mane
المحافظين	konzervativci
راية	banner
الملاك	anđeo
كابتن	kapiten
كابتن	kapetan
كوبنهاغن	kopenhagen
عارض	posmatrač
عارض	pregledač
عارض	model
عارض	modela
عارض	protivi
بيكر	baker
فلوريد	fluorid
ضريبة	porez
مطالب	zahtjevi
تيمية	tejmije
ثانوي	sekundarna
ثانوي	sekundarni
ثانوي	srednjih
ثانوي	srednje
جاذبية	atrakcija
جاذبية	privlačnost
جاذبية	atrakciju
جاذبية	gravitacija
غني	pjevaju
غني	sing
غني	bogata
غني	bogato
غني	bogati
غني	bogatim
غني	bogat
سعادة	sreća
العشرات	desetine
شين	brada
شين	shin
المبلغ	količina
المبلغ	iznos
المبلغ	sum
المبلغ	suma
وارسو	varšava
ذكية	smart
ذكية	pametan
الزيارة	posjetu
الزيارة	posjeta
دوما	uvijek
دوما	uvek
ملاكم	bokser
تنزانيا	tanzaniji
ميلر	miller
البوب	pop
حاشية	postscript
بيتي	betty
دمرت	uništene
دمرت	uništen
دمرت	uništena
دمرت	uništeni
العلاجات	tretmanima
العلاجات	tretmana
العلاجات	terapije
ضروري	neophodni
ضروري	neophodno
ضروري	neophodna
ضروري	neophodan
ضروري	neophodnih
ضروري	neophodnu
سديم	maglina
لاوس	laos
التراب	dirt
فرضية	hipoteza
موثوقة	pouzdani
موثوقة	pouzdanih
موثوقة	pouzdano
تجار	trgovce
تجار	trgovci
واجهت	suočen
واجهت	naišao
بشري	čovjek
الرحالة	putnici
الرحالة	putnike
العلاجية	terapeutske
ركاب	putnici
ركاب	putnika
ركاب	putnike
رينيه	rene
الكهف	pećina
الحارس	garda
لينين	lenjin
المطاعم	restorana
حازم	firma
معماري	arhitekt
معماري	arhitektonski
الروك	rok
الروك	rock
خشبية	drvena
خشبية	drveni
خشبية	drvene
خشبية	drvenih
خشبية	drvenim
عانت	pretrpjela
الترخيص	licence
الترخيص	licenciranje
الترخيص	dozvola
الترخيص	licenca
الترخيص	dozvolu
الترخيص	licencu
الترخيص	odobrenje
المعاملات	transakcija
المعاملات	transakcija
المختبر	laboratoriji
المختبر	laboratorija
المختبر	laboratorija
المختبر	laboratoriji
المختبر	lab
شعاع	zrak
شعاع	zracima
التحرك	move
التحرك	potez
التحرك	pokret
اكتملت	završen
سلمى	selma
سلمى	salma
واقعة	incident
ينشر	objavljuje
طلحة	talha
ستيفان	stefan
قضائية	pravosudne
قضائية	pravosudni
دينامو	dinamo
الشريك	partnera
الشريك	partner
كاميرا	kamera
التجريبي	demo
وجبة	obroku
هوارد	howard
دافع	motiv
دافع	motivacija
بارد	hladno
مسجلة	registrovan
مسجلة	registrovana
الاشتراك	subscribe
الاشتراك	subscription
كيلي	kelly
قمع	represija
قمع	suzbijanje
الجنسيات	nacionalnosti
الجنسيات	narodnosti
الولاء	odanost
الولاء	lojalnost
تنافس	takmičenje
مستقرة	stabilno
مستقرة	stabilna
مستقرة	stabilan
دمياط	damietta
ريفر	rijeka
ميلا	mila
جيرمان	germain
السند	bondu
السند	sindh
بلانك	planckova
بلانك	plank
الاحتراق	sagorijevanje
تقاليد	tradicija
تقاليد	tradicije
تقاليد	tradicija
جيري	jerry
سنان	sinan
مكتوم	maktoum
مكسيكو	meksiko
هاوس	kuća
الشك	sumnja
الشك	sumnje
الشك	sumnju
الشك	sumnjaju
المخيم	logor
المخيم	camp
المخيم	kamp
المخيم	kampu
كيس	kesa
كيس	bag
كيس	kesica
مد	plime
لورنس	lawrence
شخصيا	lično
البشير	bashir
موثقة	dokumentiran
عصابة	banda
عصابة	družina
عصابة	bande
هلسنكي	helsinki
البخار	parni
البخار	parna
مسارات	putevi
مسارات	stazama
الحفريات	fosila
الحفريات	iskopavanja
تفجيرات	bombardovanja
تفجيرات	eksplozija
براين	brian
الانفصال	razdvajanje
التحدث	pričaj
التحدث	razgovara
التحدث	talk
هان	han
القطط	mačke
القطط	cats
القطط	mačaka
المرمى	gol
المرمى	cilj
مصير	sudbinu
مصير	sudbina
زنجبار	zanzibar
يدرك	shvata
بلغراد	beograd
وهب	dala
وهب	dao
وهب	dali
نينوى	niniva
صدى	jeka
المعلوماتية	informatika
الحجاب	veo
معمل	laboratorija
معمل	laboratoriji
معمل	lab
يرسل	šalje
ذهبي	zlatna
ذهبي	zlato
ساكسونيا	saksonija
عموم	pan
القنبلة	bomba
مسبق	plasirao
دعاية	propaganda
وزيرة	ministar
احتفال	slavio
احتفال	slavila
احتفال	proslava
احتفال	proslave
احتفال	slavlje
احتفال	proslavu
