avhandlingen	dizertaci
forhånd	záloha
forhånd	předem
forhånd	zálohu
miste	prohrát
miste	ztratit
box	box
box	krabice
box	kolonka
box	krabička
box	krabici
enorm	obrovský
enorm	obrovské
enorm	obrovská
enorm	enormní
enorm	obrovské
primære	primární
chang	chang
poul	poul
angola	angole
varmt	horko
varmt	sexy
varmt	hot
varmt	horké
varmt	teplé
varmt	teplo
varmt	teplá
varmt	teplý
halsen	hrdla
halsen	hrdlo
biter	kousání
biter	kousnutí
biter	kouše
biter	kusy
biter	kousky
biter	kusů
saturn	saturn
southampton	southamptonu
seine	seine
uenig	nesouhlasí
uenig	nesouhlasit
uenig	nesouhlas
uenig	nesouhlasím
avla	vzal
hinder	překážka
hinder	překážku
hinder	steeplechase
blomstene	květiny
blomstene	květy
paraguay	paraguaye
protester	protesty
båret	nesl
båret	nesla
båret	nesli
gress	tráva
gress	trávy
gress	tráva
gress	plevel
gress	trávu
haag	haagu
sahara	sahaře
barndom	malička
barndom	dětství
dedikert	oddaná
dedikert	oddaný
renessansen	renesanční
nagano	nagano
ulv	vlčí
ulv	vlk
ulv	wolf
utmerkelse	ocenění
utmerkelse	ocenění
utmerkelse	zadání
medarbeidere	zaměstnanců
medarbeidere	zaměstnancům
medarbeidere	zaměstnance
medarbeidere	zaměstnanci
medarbeidere	společníci
medarbeidere	spolupracovníky
medarbeidere	kolegy
medarbeidere	spolupracovníci
medarbeidere	kolegové
farget	barevné
farget	barevný
ted	ted
dick	dick
dick	kokot
oppvekst	výchova
folkeavstemning	referenda
folkeavstemning	referendum
lidelse	trpící
lidelse	utrpení
territorier	území
territorier	teritoria
westminster	westminsteru
mislyktes	selhal
mislyktes	neúspěšné
mislyktes	selhalo
sub	sub
sub	ponorka
kontrast	kontrast
separat	odděleně
separat	samostatně
separat	oddělené
separat	oddělit
separat	samostatné
patriark	patriarcha
konferansen	konference
konferansen	konferenční
konferansen	konferenci
økonom	ekonom
hunter	hunter
hunter	lovec
isabella	isabella
alberto	alberto
fan	fanynka
fan	fan
fan	větrák
fan	fanoušek
fan	fanda
befolket	obydlených
sjøs	moře
sjøs	mořská
motivet	motiv
eter	sníst
eter	jíst
eter	éteru
rase	plemeno
rase	závod
rase	závody
rase	race
rase	rasa
kristendom	křesťanství
institusjon	instituci
institusjon	instituce
lena	lena
lena	leno
høydepunkt	zdůraznit
nancy	nancy
keeper	strážce
keeper	brankář
protest	námitka
protest	námitky
protest	námitku
protest	protest
protest	protestovat
protest	protesty
court	soudu
court	soud
court	dvůr
endt	skončilo
endt	skončil
troen	víra
troen	přesvědčení
konsentrert	soustředěný
konsentrert	zaměřeno
konsentrert	soustředěná
verre	horší
verre	hůř
doktor	doktore
doktor	lékař
doktor	doktor
doktor	doctor
moldova	moldavsko
male	malovat
male	nátěr
male	barva
romeo	romea
romeo	romeo
ordbok	slovník
danskene	dánové
kanadisk	kanadský
kanadisk	kanadská
kanadisk	kanadské
overlevd	přežili
overlevd	přežily
overlevd	přežil
overlevd	přežila
atlas	atlas
hud	kůži
hud	pleť
hud	kůže
hud	pokožka
area	oblasti
area	oblast
area	plocha
tirol	tirol
tirol	tyrol
olof	olof
innflytelsesrike	vlivný
sarajevo	sarajevu
eik	dub
eik	oak
eik	dubu
bataljon	prapor
bologna	bologna
connecticut	connecticutu
meksikansk	mexická
meksikansk	mexický
meksikansk	mexičan
meksikansk	mexické
effektive	účinné
effektive	efektivní
effektive	účinná
effektive	účinné
effektive	efektivní
effektive	účinný
søsken	sourozence
søsken	sourozenci
søsken	sourozence
filer	souborů
filer	soubory
filer	spisy
filer	složky
plasseringer	lokace
plasseringer	lokality
plasseringer	stáže
holdeplass	nádraží
holdeplass	stanice
manuskript	rukopis
run	běh
run	spustit
femti	padesát
femti	fifty
oppførsel	chování
oppførsel	chování
oregon	oregonu
beklager	promiňte
beklager	promiň
unik	jedinečný
unik	unikátní
unik	jedinečná
unik	jedinečné
innvandrere	přistěhovalci
innvandrere	přistěhovalců
samarbeider	spolupracující
vakker	nádhera
vakker	nádherná
vakker	krásná
vakker	krásné
vakker	krásný
stiger	žebříky
stiger	rostoucí
stiger	stoupá
stiger	stoupající
kommunistisk	komunista
kommunistisk	komunistická
kommunistisk	komunistické
kanten	hraně
kanten	okraj
kanten	edge
relasjoner	vztahy
relasjoner	vztahy
bus	bus
bus	autobus
bus	autobusem
bus	autobusy
besetning	posádky
besetning	posádka
besetning	štáb
besetning	posádku
besetning	crew
julian	julian
julian	juliana
julian	juliane
kobber	měď
kobber	mědi
rør	dotek
rør	dotyk
rør	potrubí
rør	trubka
rør	potrubí
rør	trouby
rør	trubky
kritiserte	kritizoval
edwin	edwin
vill	divočina
vill	divoká
vill	divoké
vill	divoký
antiokia	antiochie
jagerfly	stíhačky
jagerfly	bojovníků
jagerfly	bojovníci
jagerfly	bojovníky
hale	tail
hale	ocásek
hale	nb
hale	ocas
hale	hale
ireland	irsko
alexandra	alexandra
bebodd	obydlené
mestere	mistři
mestere	mistrů
intellektuelle	intelektuálové
intellektuelle	duševní
intellektuelle	intelektuální
adrian	adriano
adrian	adriana
adrian	adrian
bosetninger	osad
bosetninger	osady
rydde	čisté
rydde	vyčistit
rydde	čistý
