در	porta
رده	classe
از	from
که	qui
که	who
که	aixo
که	que
این	això
این	aquesta
این	aquest
را	la
را	els
را	make
با	amb
میلادی	dècada
یک	one
سال	anys
سال	any
آن	anne
ایران	iran
برای	per
اهل	ahl
شهرستان	comtat
آمریکا	amèrica
شده	estat
فهرست	catàleg
فهرست	llista
فهرست	catàleg
فهرست	planter
بود	fou
دارد	té
او	ella
او	ell
او	ella
او	her
تا	maig
تا	fins
وابسته	adjectiu
وابسته	dependent
وابسته	associada
وابسته	associades
فوتبال	soccer
فوتبال	futbol
ساعت	hores
ساعت	hora
ساعت	rellotge
پایه	base
پایه	fonament
پایه	fundació
پایه	base
پایه	fundacions
پایه	bàsic
پایه	bàsics
پایه	bàsiques
پایه	basic
نام	nom
نام	denominació
استان	província
استان	regió
شهر	ciutat
ملی	national
ملی	nacional
کشور	país
تاریخ	data
تاریخ	història
فیلم	film
بخش	departament
بخش	sector
بخش	secció
بخش	districte
جمعیت	multituds
جمعیت	multitud
جمعیت	població
دو	dos
دو	dues
اثر	efecte
پس	aleshores
پس	llavors
یکی	algú
یکی	one
بازیکنان	jugadors
آثار	artefactes
آثار	efectes
وی	wei
وی	wii
روستاهای	viles
دیگر	més
دیگر	altres
دیگر	altres
می	maig
می	mei
پیوند	vinculació
پیوند	enllaç
پیوند	enllaçat
پیوند	vincle
پیوند	lligam
پیش	abans
بحث	discutint
بحث	debat
بحث	discussió
بیرون	out
افراد	gent
افراد	persones
دوره	curs
دوره	rumb
دوره	època
دوره	període
دهه	dècades
دهه	dècada
متر	metres
متر	metre
متر	metres
متر	mesurador
متر	metre
کاربر	usuari
مناطق	districtes
مناطق	zones
مناطق	àrees
مناطق	àmbits
هر	qualsevol
باشگاه	club
باشگاه	gimnàs
باشگاه	gym
باشگاه	fenerbahçe
قنات	qanat
شهرهای	municipis
شهرهای	ajuntaments
دانشگاه	universitat
دانشگاه	college
مورد	cas
سده	segle
ثبت	bitàcola
وجود	existència
زبان	llengües
زبان	idiomes
زبان	llengua
زبان	idioma
زبان	llenguatge
زبان	llengua
مسکونی	residencial
شماره	número
شماره	nombre
کار	treball
کار	feina
کار	treball
کار	treballant
اما	però
بازیگران	filmació
بازیگران	actors
روی	roy
روی	zinc
فرودگاه	aeroport
صورت	cara
صورت	face
مرکز	centrals
مرکز	central
مرکز	centra
مرکز	center
مرکز	centre
مرکز	centre
زمان	zaman
زمان	temps
زمان	time
شرکت	corporatives
شرکت	corporativa
شرکت	companyia
شرکت	empresa
شرکت	participeu
شرکت	participar
مقاله	article
مقاله	articles
تیم	tim
تیم	equip
مرد	home
مرد	man
انگلیسی	anglès
نظر	comentari
نظر	comenta
نظر	opinió
نظر	dictamen
جهانی	internacional
جهانی	international
جهانی	internacionals
جهانی	universal
جهانی	global
جهانی	globals
جهانی	món
جهانی	world
همچنین	també
زندگی	vivint
زندگی	vida
زندگی	life
زن	dona
زن	femení
زن	femella
زن	esposa
زیر	arres
آنها	ells
هستند	són
جوایز	premis
جوایز	premis
روستا	poble
روستا	aldea
تهران	teheran
بازی	partida
بازی	joc
بازی	jocs
بازی	reprodueix
تاریخی	històric
تاریخی	històrica
سرشماری	cens
فرانسه	francès
فرانسه	frança
جنگ	guerra
دست	braç
دست	mà
شورای	consell
محل	lloc
محل	place
محل	localització
محل	ubicació
محل	emplaçament
های	hai
توابع	funcions
کتاب	llibre
کتاب	llibres
آلمان	alemany
آلمان	alemanya
سطح	nivells
سطح	superfície
سطح	nivell
اصلی	main
اصلی	principals
اصلی	principal
اصلی	original
اصلی	primària
اصلی	primari
ساخت	construcció
ساخت	fabricació
میلاد	milad
المپیک	olympic
المپیک	olímpic
المپیک	olimpíades
اول	primer
اول	primera
اول	primers
سازمان	organització
سازمان	agència
سه	valldoreix
سه	tres
دارای	renom
مرکزی	centrat
مرکزی	centrals
مرکزی	central
ایالت	estat
فارسی	farsi
فارسی	persa
بین	entre
انگلستان	anglaterra
دوم	segon
دوم	segona
موسیقی	música
گروه	banda
گروه	grup
جایزه	bonus
جایزه	gratificació
جایزه	bonificació
جایزه	premi
جایزه	premi
جایزه	adjudicació
جایزه	guardó
بیشتر	més
جنوبی	sud
روز	jornada
روز	dia
روز	diürna
جمهوری	república
مرگ	defunció
مرگ	mort
ولی	però
داد	dodd
آمریکایی	american
آمریکایی	americà
نقش	rol
منطقه	regió
منطقه	zona
منطقه	districte
منطقه	àmbit
منطقه	àrea
بسیار	molt
بسیار	moltes
بسیار	molts
اسلامی	islàmic
اسلامی	islàmica
