ngc	புபொப
kao	போல்
kao	போல
kao	விரும்பு
kao	விருப்பம்
kao	பிடித்திருக்கிறது
koji	யார்
koji	யாரால்
koji	யாரென்று
također	also
također	அத்துடன்
također	கூட
također	கூட
spisak	பட்டியல்
galaksija	கேலக்ஸி
galaksija	பிரபஞ்சம்
vanjski	வெளி
vanjski	வெளிப்புற
koja	எந்த
što	என்ன
što	என்னென்ன
the	என்ற
bio	பயோ
bio	இருந்தது
prečnik	விட்டம்
gdje	எங்கே
gdje	எங்கு
broj	எண்ணி
broj	எண்
broj	எண்ணை
oko	அறிமுகம்
oko	பற்றி
oko	குறித்து
oko	சுமார்
oko	கண்
oko	கண்ணை
oko	சுற்றிப்
oko	சுற்றி
mjesto	இடம்
mjesto	இடத்தில்
mjesto	இடத்தை
nakon	பிறகும்
nakon	பின்பும்
nakon	பிறகு
nakon	பின்
pogledajte	சரிபார்
pogledajte	சோதி
sajtu	தளம்
sajtu	தளத்தில்
najveći	மிகப்பெரிய
poznat	தெரிந்தது
poznat	தெரிந்த
poznat	பிரபல
izvještaj	அறிக்கை
pgc	pgc
ali	ஆனாலும்
ali	ஆனா
ali	ஆனால்
udaljenost	தொலைவு
udaljenost	தூரம்
udaljenost	தனித்தன்மை
pomak	நகர்வு
pomak	ஷிஃப்ட்
grupa	குழுவை
grupa	குழுவைப்
grupa	குழு
spiralna	சுழற்சி
spiralna	சுழல்
pop	பாப்
vidljivo	காணக்கூடியது
vidljivo	தெரியும்
minuta	நிமிடங்கள்
minuta	நிமிடம்
minuta	நிமிடத்திற்கு
mag	mag
novi	புதிதாக
novi	புதியது
novi	புதிய
novi	புதிது
sadrži	கொண்ட
sadrži	உள்ளடக்கியது
sadrži	கொண்டுள்ளது
zvijezda	நட்சத்திர
zvijezda	நட்சத்திரம்
zvijezda	ஸ்டார்
zvijezda	நட்சத்திரங்கள்
može	முடியும்
ima	கொண்டுள்ளது
ima	has
licenca	உரிமம்
com	com
com	காம்
popis	கணக்கெடுப்பு
stadion	estadio
stadion	ஸ்டேடியம்
stadion	அரங்கம்
stadion	விளையாட்டரங்கம்
kod	குறிமுறை
kod	குறியீடு
pod	அடியில்
pod	கீழ்
sastavu	தொகுப்பு
sastavu	கட்டுரை
isbn	isbn
zbog	காரணமாக
samo	மட்டுமே
samo	மட்டும்
samo	வெறும்
samo	சும்மா
godina	ஆண்டுகள்
godina	வருடங்கள்
godina	ஆண்டு
godina	வருடம்
godina	வருடமும்
prvo	முதலாவது
prvo	முதலில்
prvo	முதல்
hiljada	ஆயிரம்
sve	அனைத்தும்
sve	எல்லாவற்றிலும்
sve	எல்லாம்
sve	எல்லாமும்
sve	எல்லாமே
sve	அனைத்தும்
sve	எல்லா
sve	அனைத்து
sve	எல்லாம்
sve	அனைவரும்
sve	எல்லாமே
zemlje	நாடுகள்
brzina	வேகம்
naselje	தீர்ப்பு
više	பலவற்றிற்கு
više	அதிகம்
više	மேலும்
kada	எப்போது
kada	பொழுது
kada	இருக்கும்போது
kada	போது
prvi	முதலாவது
prvi	முதலில்
prvi	முதல்
deset	பத்து
tip	பையன்
tip	ஆள்
tip	வகை
odnos	விகிதம்
između	இடையிலான
između	இடையே
između	இடைப்பட்ட
sljedeći	அடுத்தது
sljedeći	அடுத்து
sljedeći	அடுத்த
lokacija	இடம்
lokacija	இருப்பிடம்
lokacija	அமைவிடம்
lokacija	இருப்பிடங்கள்
lokacija	இடங்கள்
svjetlost	விளக்கு
svjetlost	ஒளி
svjetlost	வெளிச்சம்
svjetlost	லேசாக
svjetlost	ஒளிர்வு
svjetlost	பிரகாசம்
svjetlost	வெளிச்சம்
masa	நிறை
masa	mass
masa	மாஸ்
masa	கூட்டம்
masa	கூட்டமும்
masa	கூட்டத்தை
baza	தளம்
baza	பேஸ்
baza	அடிப்படை
objekti	வசதிகள்
objekti	பொருட்கள்
objekti	பொருள்கள்
pozicija	நிலை
pozicija	பதவி
pozicija	பதவிகள்
karta	வரைபடம்
karta	டிக்கெட்
karta	கார்டு
karta	அட்டை
karta	சீட்டு
projekt	திட்டம்
projekt	திட்டப்பணி
online	ஆன்லைனில்
online	இணைப்பில்
online	ஆன்லைன்
dimenzije	பரிமாணங்கள்
dimenzije	அளவுகள்
dok	போதே
dok	இருக்கும்போதே
nasa	நாசா
night	இரவில்
night	இரவும்
night	இரவு
kako	எவ்வாறு
