och	そして
runt	ラウンド
runt	round
runt	丸い
månaden	毎月
månaden	月間
månaden	月刊
månaden	月間
nederbörd	降雨量
nederbörd	降雨
nederbörd	降水
nederbörd	沈殿
ingår	含む
ett	一つ
ett	one
ett	一人
ett	ワン
över	オーバー
över	over
familjen	家族
för	for
inga	なし
delen	パート
delen	部分
life	生活
life	生命
life	人生
life	ライフ
listade	上場
landet	国名
landet	カントリー
meter	メートル
meter	メートル
meter	メーター
meter	メートル
meter	メーター
meter	ヤード
huvudstaden	キャピトル
huvudstaden	資本
huvudstaden	首都
huvudstaden	キャピタル
havet	sea
havet	大洋
invånare	住民
invånare	住民
invånare	市民
millimeter	ミリメートル
genomsnitt	平均
genomsnittlig	平均
var	var
var	was
var	were
var	どこ
juli	ジュリ
han	ハン
har	has
per	単価
vattendrag	河川
från	から
kanada	カナダ
men	buts
men	でも
men	しかし
högsta	supreme
högsta	最大
högsta	maximum
augusti	アウグスト
kan	can
länkar	リンク
externa	外部
läge	所在地
läge	ロケーション
läge	場所
läge	モード
även	偶数
även	even
även	also
även	また
februari	二月
sjö	sea
inte	not
sig	sig
kommun	市町村
två	二つ
två	二人
terrängen	地形
long	長い
long	ロング
juni	六月
lat	lat
lat	だらだら
lat	怠け者
växer	栽培
växer	成長
växer	育つ
många	多数
efter	アフター
nära	閉じる
nära	クローズ
nära	付近
nära	近く
väster	ウエスト
väster	西部
väster	ウェスト
öster	イースト
öster	東部
först	ファースト
först	最初
berg	マウンテン
berg	ベルク
berg	山地
berg	山脈
indonesien	インドネシア
usa	米国
mars	マーチ
mars	行進曲
mars	マーズ
mars	火星
mindre	小さい
mindre	マイナー
mindre	少ない
norr	ノース
oktober	十月
man	男性
man	man
september	九月
större	少佐
större	メジャー
större	専攻
centrala	中央
centrala	セントラル
nordväst	北西
andra	番目
andra	セカンド
andra	その他
andra	他の
andra	その他
hade	had
där	そこ
där	どこ
nordost	北東
county	カウンティ
nog	十分
huvudsakligen	主に
huvudsakligen	主に
ovanligt	珍しい
ovanligt	珍しい
namngivna	named
söder	サウス
jpg	jpg
regionen	リージョン
regionen	地域
ottawa	オタワ
creek	クリーク
november	十一月
maj	メイ
maj	五月
platt	プラット
platt	フラット
finland	フィンランド
samhälle	社会
samhälle	コミュニティ
samhälle	コミュニティー
hon	彼女
platser	座席
platser	所在地
platser	場所
platser	スポット
platser	サイト
första	ファースト
första	最初
fick	got
fick	受け取り
fick	受信
sydväst	南西
området	面積
området	領域
området	エリア
australien	オーストラリア
sydöstra	東南
sydöstra	南東
sydöstra	南東
april	四月
april	エイプリル
bar	バール
bar	バー
sydost	東南
sydost	南東
hans	ハンス
hans	his
södra	サザン
södra	南部
södra	サウス
toppen	グレート
toppen	top
toppen	上部
toppen	トップ
sverige	スウェーデン
sedan	それから
sedan	以来
sedan	since
östra	イースト
östra	東部
östra	東部
cet	cet
genom	through
genom	スルー
sitt	座る
sitt	sit
kilometer	キロメートル
kilometer	キロメートル
kilometer	キロ
kilometer	キロメートル
norra	ノース
norra	ノーザン
norra	北方
norra	北部
också	also
också	また
också	too
talet	音声
talet	スピーチ
detta	この
detta	これ
mot	反対
mot	mot
västra	ウエスト
västra	西部
västra	ウェスト
västra	ウェスタン
västra	ウエスタン
del	パート
del	部分
del	del
del	デル
riktning	方向
namn	名前
namn	氏名
namn	名称
namn	名前
namn	名称
svensk	スウェード
när	いつ
när	とき
cerro	セロ
frankrike	フランス
död	デス
död	デッド
kulle	ヒル
kina	中国
kina	チャイナ
kina	中華人民共和国
kommunen	市町村
klimatet	気候
est	est
jordbruksmark	農地
text	テキスト
lista	リスト
annat	その他
edt	edt
största	最大
departementet	部署
departementet	学科
departementet	部門
denna	この
denna	これ
from	敬虔
tropiskt	トロピカル
tropiskt	熱帯
park	パーク
park	公園
hill	ヒル
flera	倍数
flera	複数
nord	ノース
nord	ノール
stockholm	ストックホルム
alla	all
alla	すべて
alla	みんな
samma	同じ
samma	おなじ
senare	後で
olika	異なる
point	ポイント
ort	シティ
ort	都市
nya	new
nya	新しい
nya	新規
island	アイスランド
dock	しかしながら
tidigare	前者
brasilien	ブラジル
colombia	コロンビア
colombia	コロンビア
utan	なし
socken	教区
score	スコア
score	得点
spanien	スペイン
mount	マウント
stora	大きい
stora	大きな
stora	大きい
stora	ビッグ
kinshasa	キンシャサ
omgivande	アンビエント
basen	塩基
basen	base
basen	ベース
tre	トレ
tre	三人
tre	three
tre	スリー
shift	シフト
algeriet	アルジェリア
dessa	これらの
dessa	これら
dessa	それら
