tine	کانٹے
thyroid	سپری
muzzy	غبی
muzzy	مٹّھا
muzzy	بہکاہوا.
allegory	رمز.
allegory	ڈراما
allegory	علامت
allegory	نظم
allegory	رمز.
allegory	ڈراما
allegory	مجاز
allegory	علامت
allegory	نظم
arbiter	پارکھ
arbiter	حکم
grumpy	جھلّا
grumpy	چِڑچڑا
ballista	منجنیق
zest	لیموں
zest	چاشنی
zest	چٹپٹاپن
zest	مزہ
inconstant	متغیر.
positivism	اثباتیت
inflight	خدمت)
impressionism	ارتسامیت.
impressionism	تأثریت
gasser	بکواسی
callow	خام.
tribulation	بپتا.
lofty	ارفع.
lofty	سرکشیدہ
lofty	برگزیدہ.
lofty	باوقار.
lofty	برتر
lofty	دراز
lofty	مغرور
lofty	اعلیٰ
thump	اچھلنا
thump	دھب.
thump	پیٹنا
thump	پھڑکنا
thump	مکّا
dihedral	دوسطحی
tyro	نوسیکھ
reticulum	شریانوں
heretic	بدعتی
heretic	ملحد.
gastric	شکمی
pesto	لہسن
insidious	عیّار
insidious	مکّار.
stride	لانگنا.
comparator	پیداوار
choppy	متلاطم
detrital	ریزیدہ
pinion	تکلا
pinion	شہپر
volatile	عبوری.
volatile	عارضی
volatile	اڑنہار
derrière	چوتڑ
derrière	سرین
artisan	کاریگر
artisan	فنکار.
artisan	مستری
cosmological	سماوی
cosmological	آفاقی
cosmological	کونیاتی
cosmological	کونی
protist	پھپوند.
hele	گاڑنا.
grep	قبضہ
grep	تھئیٹر
grep	روزگار-
grep	نوکری
grep	کتّا
grep	پکڑ
grep	قبضہ
grep	تھئیٹر
grep	روزگار-
grep	نوکری
grep	کتّا
treacherous	(موسم
treacherous	دغاباز
treacherous	برف
treacherous	فریبی.
treacherous	(موسم
treacherous	دغاباز
treacherous	برف
treacherous	فریبی.
treacherous	غدّار
ides	مئی
pergola	منڈھا
bellows	کھنچنے
halon	کاربن
successive	متوالی
mercurial	طرار
mercurial	برّاق
mercurial	چنچل
mercurial	سیمابی
lexis	لغات.
lexis	الفاظ
mameluke	مملوک
primacy	فضیلت
primacy	بزرگی
primacy	بڑائی
primacy	برتری.
rotting	ٹوکریاں
rotting	بید
refutation	تردید
maturation	گدرانا.
maturation	پکنے
creepy	جھرجھری
rorty	ثقیل
polyphonic	مخلوط
bruin	بھالو
martyrdom	ایذا
martyrdom	شہادت
martyrdom	شدائد.
duelist	مبارز
eminence	ٹیلا
eminence	امتیاز
depletion	تخفیف
depletion	تقلیل
depletion	گھٹاؤ
vernal	ربیعی
vernal	بَہاری
vernal	بہاریں
xau	بیہودہ
xau	گھنائونا
xau	کریہہ
xau	ڈرائونا
xau	صورت
xau	واہیات
xau	خطرناک
xau	خوفناک
xau	زشت
xau	بھیانک
xau	بھدّا
xau	بیہودہ
xau	گھنائونا
xau	کریہہ
xau	ڈرائونا
xau	صورت
xau	واہیات
xau	خطرناک
xau	بدنما
xau	خوفناک
xau	زشت
xau	بھیانک
xau	بھدّا
transom	دنبالک
kipper	سُکھائی
icky	میٹھا
icky	ناپسندیدہ.
faff	اضطرار.
ragged	گھٹیا
ragged	خراب-
ragged	کھردرا.
ragged	ٹیڑھا
ragged	ناقص
contention	حجّت
contention	تنازعہ
contention	مقابلہ.
relativism	حق
stencil	تائو
sequencer	آلہ.
sequencer	مؤلّف
moonstruck	سودائی.
moonstruck	جنونی
unfree	ناآزاد
mamilla	بھٹنی.
glassy	کنچا.
glassy	پتھرائی
defect	کسر.
defect	دھبّا
defect	عیب
defect	نقص
defect	داغ.
defect	کسر.
defect	دھبّا
defect	عیب
defect	کوتاہی
defect	نقص
defect	داغ.
consolidation	استحکام
drip	غبی
drip	ٹپکا.
drip	مجہول
plr	ہم
plr	ہمارا
plr	ہم
weakly	بیمار
weakly	روگی.
curio	عجوبہ
forage	جستجو.
inhibitory	مزاحمتی
cleave	چپکا
cleave	چمٹارہنا
kink	گھونگھر
kink	مروڑا
lector	لیکچرار
implant	لگانا
implant	بونا
implant	ٹانکنا
implant	جوڑی
implant	لگائی
cetacean	ڈالفن
facile	برجستہ
expresso	کالی
geminate	دہرانا
geminate	تکرار
rhizome	جذر
gush	پُرجوش
undersea	آبدوز.
activism	فعالیت
seizure	قبضہ
seizure	پکڑ
seizure	تسلط.
pacy	تیزرو
satoh	ہرانا
vaseline	ویسلین
designate	معیّن
designate	القاب
berth	جہاز
berth	اسامی-
berth	تقرر
ranee	رانی
dismal	افسردہ
dismal	اندھیرا
dismal	دلگیر
dismal	اداس
mumble	بڑبڑاہٹ
egyptology	مصریات.
abrau	رنجہ.
volte	پھرکنت
kadi	cadiکامتبادل.
kadi	قاضی
billon	سونے
billon	۰۰۰
inhibition	امتناع.
hight	موسوم
hight	معروف.
élan	ولولہ
élan	جوش
élan	جذبہ
allure	لبھانا
allure	لُبھائو
allure	کشش
allure	جاذبیت.
plunge	ابھرنا.
plunge	سقوط
plunge	چھلانگ.
plunge	اترنا
plunge	غوطہ
plunge	نزول
retrospect	(بعدہ
brevity	ایجاز
brevity	کمی
brevity	اختصار
naira	نائرہ.
anteater	بجرکیٹ
chunk	ٹکڑا
chunk	پارچہ
clump	گِھرنا
clump	ضرب
clump	مارنا
corbie	کوّا
cush	اختصار.
abet	اُکسانا
cracked	سڑی.
cracked	سڑی.
cracked	چٹخا
luminescence	نورانیت
reciprocal	جوابی
reciprocal	متلازم
reciprocal	تکمیلی
reciprocal	معکوس
reciprocal	جوابی
reciprocal	متلازم
reciprocal	تکمیلی
reciprocal	باہمی
reciprocal	معکوس
duster	ہلکا
malar	گال
malar	کلّے
balm	تسکین.
balm	تشفی
geode	ارضیہ.
genitive	مضاف
genitive	اضافی.
fallow	افتادہ
principally	خصوصاً.
spoil	(بعدہ
formalism	رسمیّت
formalism	صوریت.
caricature	خاکہ.
orchestration	تنظیم
periodicity	دورانیت
cohesion	التصاق
cohesion	اتّصال
wain	ویگن.
wain	ارابہ
sympathetic	ہمدردانہ.
sympathetic	(بعدہ
sympathetic	حامی.
sympathetic	ہمدردانہ.
sympathetic	ہمدرد
sympathetic	(بعدہ
sympathetic	حامی.
clippers	ناخن
clippers	قینچی
awe	ہیبت-
samsara	سمسار.
bacteriology	جرثومیات
thresh	(بعدہ
tribology	گھسائی
tribology	رگڑ
hashish	حشیش
shastra	شاستر.
sinfonietta	مختصر
glandular	غددی.
glottal	حنجری
bosh	خرافات
bosh	بکواس
fuhrer	قائد
visceral	امعائی.
visceral	احشائی
visceral	بطونی
hẹt	پورا
hẹt	سموچا
hẹt	کل
hẹt	سالم
hẹt	مکمل
hẹt	(خون
hẹt	پورا
hẹt	سموچا
hẹt	کل
hẹt	سالم
hẹt	مکمل
hẹt	(خون
hẹt	سارا
nipa	تاڑی.
earthly	دنیوی
earthly	عسیرالفہم
earthly	زمینی.
infiltration	نفوذ
cloister	مدرسے
prana	روح
prana	پران
porch	ڈیوڑھی.
bunyip	مکار
bunyip	ڈھونگیا
pragmatic	متشدد.
carnal	جنسی
carnal	شہوانی.
gist	خلاصہ
gist	نچوڑ.
anathema	ملعون
anathema	مردود
anathema	لعین
anathema	پھٹکار.
convergent	مرتکز
monastic	درویشانہ
monastic	راہبانہ
monastic	راہب
nutty	پاگل
nutty	دیوانہ
fragmentary	نامربوط.
beater	ڈھلیّا.
monger	بیوپاری
compost	مرکب
gecman	متضمّن.
gecman	متعلق
anise	انیسُون.
waterfowl	قاز
sadhu	فقیر
sadhu	سادھو
sadhu	بیراگی.
paraphrase	تکریر
molasses	کثیف
protractor	پٹّھا.
protractor	چاندا.
downy	ہوشیار.
downy	مخملیں.
lucid	تاباں
lucid	صاف
lucid	تابناک.
lucid	بین
lucid	واضح
lucid	منوّر
lucid	چکنی
cobweb	پھندا.
currier	دبّاغ.
hemp	قِنّب.
hemp	چرس
hemp	گانجا
ripple	ہلکورے.
ripple	شکنیں.
ripple	کھنکتی
ripple	سلوٹیں
kingship	سلطانی
menhir	لمبا
delve	نکالنا.
delve	تحقیق
delve	کھودنا
delve	نکالنا.
delve	تحقیق
workout	زورآزمائی
pigment	رنگ
reverb	گونج.
tcdd	tetrachlorodibenzoparadioxin.
brassy	گستاخ
brassy	بنکارنے
brassy	پیتلی
arterial	بڑی.
arterial	شریانی.
abracadabra	زرغونہ
invent	گھڑنا
cronk	بودا
prolific	فراواں.
prolific	کثیر
gasp	ہانپنا
mog	بلّی.
minty	نعنائی
eidolon	واہمہ
futurism	آرٹ
uro	شورش
uro	ہلچل
wellness	سلامتی
wellness	عافیت
wellness	صحت
chatty	بکواسی
chatty	شگفتہ
riverboat	بجرا
invocation	دعا
invocation	مناجات.
plenary	مطلق
plenary	تمام
plenary	کُلّی
phenomenological	مظہریاتی
turpentine	ملنا.
turpentine	پھیرنا
dispersive	انتشاری
obdurate	ہٹیلا.
obdurate	اڑیل
obdurate	ضدّی
yds	yards
nabob	رئیس
yod	یود
terpene	تارپین
bloomer	غلطی
clank	ٹھناکا
clank	چھناکا
acrid	تندوتیز.
acrid	کٹیلا
acrid	تیزوتلخ
natty	پھرتیلا
natty	بانکا.
picayune	اوچھا.
picayune	ذلیل
picayune	کمینہ
picayune	گھٹیا
vertebral	فقاری
claptrap	بکواس
claptrap	اوپری
stargazer	نجومی.
fixer	بھڑوا.
fixer	جمانے
fixer	دلال
fixer	ٹھہرانے
semitism	سامیت
brawn	عضلہ
energetic	سرگرم
energetic	مستعد
thrombosis	علقیت
thrombosis	دلمیت
abnegation	ترگ
abnegation	تیاگ
federalism	وفاقیت
conspicuous	کھلا
conspicuous	منفرد
conspicuous	واضح
conspicuous	ممتاز
avid	حریص.
discipleship	مریدی
discipleship	پیروی
blench	ڈرنا
blench	جھجکنا
blench	دبکنا.
concave	مقعر
friction	فرکی
friction	گھسائی
friction	فرک.
friction	رگڑائی
friction	مالش.
friction	تصادم
friction	ٹکرائو
friction	اختلاف.
friction	مزاحمت
confuse	حیران
confuse	دُھندلانا
confuse	الجھانا
confuse	بھٹکانا
drupe	نوائیہ.
drupe	آڑو
cutty	کوتاہ
agnostic	لاادری
chromosomal	لونیاتی
unripe	کچا
scrappy	چھٹن
scrappy	چھیلن
ironsides	سورما
ironsides	بہادر
vamp	چھوٹا
vamp	لبھانا.
vamp	ہرجائی.
vamp	مکھڑا.
wafer	ٹکلی.
wafer	ہلکا
strychnine	کچلا
platter	طبق
platter	تھال
platter	طبق
filmy	پتلا
filmy	مہین
ravin	صید.
ravin	ڈاکا
ravin	شکار
impeccable	اداکاری)
impeccable	معصوم.
impeccable	مثالی
kef	کاہلی
brittle	پھوٹک
brittle	کرارا
brittle	کھڑنک
brittle	پھوٹک
brittle	کرارا
sneak	بزدل
sneak	خفیہ
sneak	past
sneak	مخبر
sneak	گھٹیا
sneak	out
sneak	کمینہ
obscurity	ابہام
obscurity	اخفا.
tristesse	اداسی.
tristesse	افسردگی
wagnerian	ویگنرپسند
visage	مکھڑا.
visage	چہرہ
utopian	یوٹوپیائی
cess	کوسنا
cess	ٹیکس
cess	محصول
promiscuous	بلاتخصیص
promiscuous	مخلوط
askew	خمیدہ
intrinsic	خلقی
intrinsic	فطری
intrinsic	لازم
surah	رومال
peristyle	مندر
knotweed	polygonum
cnemotriccus	افسردہ
cnemotriccus	غمناک
cnemotriccus	سیاہ.
cnemotriccus	تاریک
malleus	مطرقہ
glebe	کھیت
glebe	اراضی
coryphaenoides	پلوطونی.
visor	مغفر
condensate	ملخص.
condensate	بستہ
conscious	ہوشمند.
conscious	ہوشیار
conscious	چوکنّا
conscious	بالارادہ
conscious	(عمل
celiac	متبادل
lucidity	صفائی
lucidity	شفافی
demonstrator	مظاہر.
agitato	ہلچل
raving	بنکار
raving	ہذیان-
fling	پھینکنے
fling	عیاشی
fling	چھوڑنا
fling	(آواز
swash	آڑا
swash	ترچھا
swash	اریبی.
outward	جسمانی
outward	اوپری
outward	ظاہری
reflector	عاکس
arcanum	معمّا
malignant	سرطانی.
malignant	خبیث
malignant	مہلک
aspirant	after
crawler	چاپلوس.
crawler	خوشامدی
crawler	کیڑا.
rơn	گھوما
rơn	چکرانے
tapetum	عکّاسیہ.
tapetum	قالینہ
diminutive	مصغّر
rout	ہنگامہ.
watchman	چوکیدار
gnosticism	باطینیت
hyperboloid	شلغمی
disruption	درہمی
secularism	لادینیت
xoạch	تڑاقا.
raver	بنکارنے
untouchable	اچھوت.
untouchable	شودر
untouchable	اچھوت
bridegroom	نوشہ
bridegroom	دولھا
bridegroom	نوشہ
bridegroom	عریس
bridegroom	دولھا
westerly	پچھوا
westerly	مغربی
utter	مکمل.
utter	قطعی
utter	نرا
utter	مکمل.
utter	قطعی
utter	نرا
utter	کہنا
leman	یار
leman	محبوب
leman	آشنا.
refit	درستی
refit	مرّمت
alderman	گورنر.
satirical	طنّاز
merrily	خرمی
clove	قرنقل
ombudsman	محتسب.
renew	آغاز
renew	دینا
renew	رکنیت
renew	بتانا
renew	دہرانا
gharial	گھڑیال
circumscription	تحدید
knitting	کپڑا
knitting	بُنائی
knitting	کپڑا
optic	آنکھ.
supposedly	بالفرض
dross	فضلہ.
dross	کچرا
dross	میل
fanatic	متشدّد
reformer	مصلح
spokesperson	ناطق.
spokesperson	نمائندہ
spokesperson	ناطق.
spokesperson	نمائندہ
spokesperson	ترجمان
apostate	مرتد
cingulum	پیٹی
cingulum	پٹکا
bishopric	اُسقفیہ.
strut	کسنا.
strut	سہارنی.
strut	ڈھارس
cycloid	مستدیر.
penumbra	ناقص
penumbra	مبہم
penumbra	باطل
penumbra	مخفی
populism	عوامیت
nip	بُکٹا
nip	چرانا
nip	(ٹھنڈ
foggy	مبہم.
foggy	فضا)
foggy	مبہم.
foggy	فضا)
foggy	دُھندلا
neocolonialism	معاشی
farce	ڈھونگ.
farce	مذاق
farce	تلبیس
uniformity	یکسانیت
authoritarian	جابرانہ.
authoritarian	آمرانہ
authoritarian	ظالمانہ
methuselah	پیرفرتوت
pinewood	چیڑ
incline	موڑنا
incline	ڈھلان.
haver	بکواس
haver	ہچکچانا
hừm	اوہ
hừm	اف
wacky	چریا.
wacky	سڑی
wacky	بغلول.
wacky	باؤلا
bacterium	جرثومہ
teleost	شعاعیہ
turkoman	صف.
turkoman	۲.
volts	پھرکنت
volts	وولٹ
emitter	اخراج
emitter	صادر
testis	آنڈ
testis	فوطہ
testis	ٹٹّا.
testis	خُصیہ
emigrant	مہاجر
allotment	تفویض
mercenary	منافع
mercenary	زر
lurideola	پیادہ.
furnace	گلخن
