yang	jaņ
dan	un
dan	dens
dan	dan
dengan	ar
untuk	par
untuk	priekš
untuk	for
juga	arī
terletak	meli
terletak	meliem
terletak	melus
terletak	melu
indonesia	indonēzija
dari	no
daerah	rajons
daerah	apgabals
tahun	gadus
tahun	gadi
tahun	gadiem
tahun	gadu
tahun	gads
adalah	ir
wilayah	province
wilayah	ils
wilayah	reģions
wilayah	teritorijas
wilayah	teritorija
lihat	redz
lihat	skatīt
kawasan	teritorija
kawasan	platība
kawasan	apgabals
kawasan	laukums
kawasan	reģions
kawasan	reģioni
luar	ārpusē
luar	ārpus
luar	ārpuses
sekolah	skolas
sekolah	skolām
sekolah	skola
sekolah	skolas
sekolah	skolu
sekolah	skolā
tidak	nav
tidak	ne
komun	commune
komun	komūnas
bahasa	valodas
bahasa	valoda
orang	cilvēks
orang	persona
orang	cilveki
orang	cilvēki
orang	tauta
orang	cilvēkiem
pautan	saikne
pautan	saite
pautan	saites
pautan	links
malaysia	malaizijā
malaysia	malaizija
malaysia	malaizijas
daripada	no
daripada	than
daripada	nekā
kampung	ciema
kampung	ciemata
kampung	ciems
kampung	ciematu
kampung	ciemu
kampung	ciemats
jabatan	departamentā
jabatan	departaments
satu	satu
satu	viens
satu	viena
satu	vienu
negara	valsts
negara	valsts
negara	štats
negara	valstīm
negara	valstis
mereka	viņiem
mereka	viņi
mereka	tie
mereka	tās
kebangsaan	pilsonība
kebangsaan	nacionālais
bandar	pilsēta
bandar	pilsēta
bandar	pilsētu
bandar	pilsētas
imperial	imperial
lelaki	cilvēks
lelaki	vīrietis
lelaki	vecīt
negeri	valsts
negeri	štats
menjadi	tiek
barat	rietumu
barat	rietumos
barat	rietumi
barat	west
barat	rietumu
barat	western
lain	pārējie
lain	citi
lain	cits
lain	citādi
lain	citas
lain	citas
lain	citi
lain	pārējie
lebih	vairāk
lebih	vairak
etnik	etnisko
etnik	etniskā
perancis	francijas
perancis	franču
perancis	franciju
perancis	francijā
perancis	francija
perancis	france
akan	būs
nama	vārds
nama	nosaukums
nama	nosaukumi
nama	vārdi
perbandaran	novads
perbandaran	pašvaldība
boleh	var
boleh	varam
filem	filmas
filem	filma
filem	filmu
filem	plēve
filem	filma
filem	plēves
filem	filmas
filem	kino
timur	austrumos
timur	austrumu
timur	austrumi
timur	timurs
timur	austrumu
digunakan	izmanto
digunakan	lietots
digunakan	izmantotais
digunakan	izmantots
digunakan	lietoti
digunakan	lietota
dua	divas
dua	divus
dua	divi
pertama	pirmais
pertama	pirmā
pertama	pirmās
pertama	pirmie
pertama	pirma
pertama	vispirms
perempuan	sieviete
perempuan	sievieti
perempuan	mātītes
perempuan	sievietes
svg	svg
svg	wmf
india	indiešu
india	indijas
india	indija
india	indijā
india	indijas
senarai	sarakstu
senarai	saraksta
senarai	uzskaitījums
senarai	saraksts
dia	dia
presiden	prezidents
presiden	priekšsēdētāja
presiden	priekšsēdētājs
terbang	lido
terbang	lidot
terbang	peld
terbang	lido
terbang	lidoja
dunia	pasaule
dunia	pasaulē
kerana	jo
bahawa	ka
bahawa	tas
laut	jūra
selepas	pēc
selatan	dienvidu
selatan	dienvidu
selatan	dienvidos
selatan	dienvidi
stadium	stadionos
stadium	stadionā
stadium	stadions
tempat	vieta
tempat	vietām
tempat	vietas
