basel	basel
doo	doo
étienne	étienne
trafic	ruuhka
trafic	liikenteen
trafic	liikenne
trafic	ruuhkaa
trafic	liikennettä
baraj	dam
baraj	pato
absolvent	valmistunut
absolvent	tutkinto
absolvent	ylioppilas
islamică	islamilainen
islamică	islamilaisen
derivă	drift
derivă	tuuliajolla
balta	lampi
aires	aires
roberts	roberts
kingdom	kuningaskunta
kingdom	valtakunta
amândoi	molemmat
amândoi	molempia
amândoi	kumpikin
statuie	patsaan
statuie	patsas
tennessee	tennessee
toamnă	syksyllä
toamnă	syksy
toamnă	syksyn
moștenirea	perintö
moștenirea	perinnön
moștenirea	perintö
moștenirea	perinnön
oslo	oslo
oslo	oslon
turner	turnerin
turner	turner
adăugate	lisättiin
adăugate	lisäsi
adăugate	lisätty
beta	beta
beta	beeta
aripi	siivet
aripi	siipien
golf	golfia
golf	golf
interzisă	kiellettyä
interzisă	kielletty
interzisă	kiellettyä
interzisă	kielletty
numirea	nimittäminen
numirea	tapaaminen
numirea	nimeäminen
numirea	nimitys
contactul	yhteyttä
contactul	yhteyshenkilö
contactul	yhteystiedot
java	java
alexandre	alexandre
siberia	siperian
inspector	tarkastaja
inspector	komisario
cumva	jotenkin
ocean	meri
ocean	valtameri
ocean	ocean
claudia	claudia
plăcut	piti
plăcut	tykännyt
plăcut	pidetty
plăcut	miellyttävää
plăcut	miellyttävä
evans	evans
franceza	ranska
franceza	ranskan
franceza	ranskalaiset
franceza	ranskalaisia
franceza	ranskalainen
wien	wien
edge	reuna
edge	edge
edge	reunan
declarație	julkilausuma
declarație	lausunto
declarație	lausuma
declarație	julistus
declarație	julistuksen
declarație	julkilausuma
declarație	ilmoitus
discursul	puhe
discursul	puhetta
discursul	puheenvuoro
alabama	alabaman
folosire	käyttö
indiei	intian
indiei	intia
indiei	intiaan
keith	keith
asigurată	vakuutettu
emise	annettu
emise	myönnetyt
emise	annetut
emise	myönnetty
campionatele	mestaruutta
manastirea	luostarin
manastirea	luostari
louisiana	louisianan
baschet	korista
baschet	koripalloa
baschet	koripallo
organ	elinten
organ	elin
organ	elimet
hotelul	hotellissa
hotelul	hotelli
hotelul	hotellin
oarecum	jokseenkin
tranziție	siirtyminen
tranziție	siirtymä
distanțe	etäisyydet
cald	hot
cald	kuumat
cald	kuumaa
cald	kuuma
cald	lämpimät
cald	lämmintä
cald	lämmin
adânc	syvälle
adânc	syvällä
adânc	syvä
adânc	syvät
adânc	deep
salvare	pelastusta
salvare	pelastus
salvare	pelastuksen
salvare	pelastaa
salvare	pelastus
salvare	pelastaminen
vacanță	loma
vacanță	lomaa
vacanță	juhlapäivä
vacanță	loma
vacanță	lomaa
vacanță	loman
vacanță	lomalle
malta	maltan
malta	malta
malta	maltaa
fotbalul	jalkapallon
fotbalul	jalkapallo
fotbalul	jalkapalloa
radical	radikaalia
radical	radikaali
asalt	hyökkäys
asalt	pahoinpitely
renault	renault
sierra	sierra
specializate	erikoistunut
specializate	erikoistuneet
specializate	erikoistunut
specializate	erikoistuneet
dificultăți	vaikeuksia
dificultăți	vaikeudet
dificultăți	vaikeus
dificultăți	vaikeuksia
dificultăți	vaikeudet
râurile	joet
râurile	jokia
râurile	jokien
râurile	rivers
tribuna	tribuuni
lapte	maidon
lapte	maito
lapte	maitoa
grove	grove
memoriile	muistelmat
viteze	nopeudet
studios	studios
clara	clara
vieți	elämät
vieți	asuu
boemia	bohemia
oferind	tarjoaminen
oferind	tarjoaa
letonia	latvia
letonia	latviassa
letonia	latvian
islanda	islantiin
islanda	islannissa
islanda	islanti
islanda	islannin
hanovra	hanover
hanovra	hannover
rahman	rahman
edinburgh	edinburghissa
edinburgh	edinburghin
silva	silva
democratic	demokraattisesti
democratic	demokraattiset
democratic	demokraattinen
vrei	haluu
strategice	strateginen
strategice	strategiset
utilizând	käyttää
utilizând	käyttö
utilizând	käyttäen
utilizând	käyttämällä
numeric	numeerinen
simte	tunne
simte	tuntea
simte	tuntuu
lloyd	lloyd
robinson	robinson
oldenburg	oldenburg
controverse	ristiriitoja
controverse	kiistaa
controverse	kiista
lunile	kuukaudet
lunile	kuukautta
lunile	kuukausia
rase	rotuja
bordeaux	bordeaux
lecții	tunnit
lecții	oppitunteja
jay	jay
soră	siskon
soră	sisko
teste	testien
teste	testit
teste	kokeet
aventuri	seikkailuja
aventuri	seikkailut
aventuri	seikkailuja
aventuri	seikkailu
aventuri	seikkailua
autorități	viranomaiset
autorități	viranomaisten
estimare	arvio
estimare	arvioi
estimare	arvion
estimare	arvio
