les	the
est	east
une	one
catégorie	category
pour	for
qui	who
que	that
avec	with
son	sound
son	his
son	its
plus	plus
plus	more
pas	not
sont	are
elle	she
elle	elle
été	summer
avancement	advancement
avancement	progress
comme	like
mais	but
cette	this
pop	pops
pop	pop
deux	two
ses	his
ses	ses
ses	its
naissance	born
naissance	birth
aussi	also
france	france
saint	holy
saint	saint
après	after
fait	made
fait	done
notes	notes
entre	between
sous	under
même	even
même	same
être	being
nom	surname
nom	name
français	français
français	french
ont	have
paris	paris
lui	him
lieu	venue
lieu	place
lieu	location
cet	this
autres	other
autres	others
décès	death
décès	fatalities
décès	deaths
références	references
liens	links
était	was
commune	commune
commune	common
ville	town
ville	city
jean	jean
jean	john
leur	their
date	date
cest	cest
peut	may
peut	can
depuis	since
depuis	from
première	premiere
première	first
ans	ans
ans	years
alors	then
externes	external
site	website
site	site
premier	premier
premier	first
ces	these
fut	was
http	http
film	movie
film	film
voir	see
voir	view
pays	country
pays	countries
source	source
ils	they
grand	large
grand	big
grand	great
grand	grand
tout	everything
tout	all
lors	during
groupe	band
groupe	group
également	also
titre	title
monde	world
nord	north
nord	northern
nord	nord
années	years
bien	good
bien	well
contre	against
liste	list
puis	then
équipe	squad
équipe	team
club	club
sud	sud
sud	south
partie	party
partie	part
avant	front
avant	before
non	not
très	very
trois	three
articles	articles
article	article
guerre	war
sans	without
sans	sans
saison	season
fin	fin
fin	end
vers	towards
année	year
temps	weather
temps	time
plusieurs	many
plusieurs	several
plusieurs	multiple
faire	doing
faire	make
faire	faire
mars	march
mars	mars
histoire	history
série	series
série	serial
joueur	player
mai	may
mai	mai
tour	tour
tour	tower
mort	died
mort	death
mort	mort
mort	dead
juin	jun
juin	june
jpg	jpg
française	french
pierre	stone
pierre	peter
pierre	pierre
région	region
région	area
janvier	january
avoir	having
avoir	have
fois	times
autre	other
septembre	september
juillet	july
état	status
état	state
état	condition
église	church
octobre	october
octobre	oct
place	place
famille	family
états	states
général	general
avril	apr
avril	april
avril	avril
insee	insee
tous	all
politique	policy
politique	politics
album	album
décembre	december
août	august
août	aug
novembre	november
novembre	nov
avait	had
prix	prices
prix	price
nouvelle	new
février	february
février	feb
département	department
grande	large
grande	big
grande	great
grande	grande
peu	few
peu	little
américain	american
début	start
début	beginning
ligne	line
ligne	row
suite	suite
nationale	national
nationale	nationale
championnat	championship
encore	again
encore	still
encore	encore
image	picture
image	image
vie	life
vie	vie
unis	united
lien	link
football	soccer
football	football
pendant	during
jeux	gaming
jeux	games
moins	minus
moins	less
ouest	west
ouest	western
page	page
nouveau	new
vous	you
notamment	notably
centre	center
centre	centre
cours	course
cours	cours
cours	courses
village	village
université	university
université	college
louis	louis
nombre	number
quelques	some
leurs	their
siècle	century
coupe	cup
coupe	cutting
coupe	cut
coupe	coupe
population	population
connexes	related
homme	male
homme	homme
homme	men
homme	man
communes	communes
communes	municipalities
division	division
président	president
président	chair
président	chairperson
président	chairman
national	national
société	society
société	company
quatre	four
cas	case
cas	cas
cas	cases
jeu	gaming
jeu	game
jeu	gambling
genre	genre
genre	gender
genre	genus
genre	like
musique	music
fils	wire
fils	son
fils	sons
fils	yarn
roi	king
roi	roi
parti	party
parti	gone
jour	day
europe	europe
mise	wager
forme	form
forme	shape
époque	era
ancien	ancient
ancien	old
ancien	elder
ancien	former
origine	origin
origine	origins
ordre	order
château	château
château	castle
château	chateau
école	schools
école	school
carrière	career
carrière	quarry
carrière	careers
part	share
deuxième	second
bar	bar
située	located
située	situated
charles	charles
points	dots
points	points
ayant	having
paul	paul
rue	street
rue	rue
chef	chef
chef	chief
père	dad
père	father
exemple	example
trouve	finds
durant	during
durant	durant
rapport	report
art	art
canton	guangzhou
canton	canton
dernier	last
dernier	latest
type	type
habitants	inhabitants
habitants	residents
point	point
compte	count
compte	account
période	period
armée	military
armée	army
eau	water
marie	marie
marie	mary
marie	maria
discuter	chatting
discuter	discuss
discuter	chat
car	because
projet	project
chaque	every
chaque	each
anglais	english
province	province
john	john
international	international
conseil	consulting
conseil	advice
conseil	council
françois	francis
françois	francois
françois	françois
maison	house
maison	home
cela	this
cela	that
demande	request
demande	ask
fonction	function
toujours	always
toujours	still
doit	must
production	production
certains	some
membre	member
près	near
rôle	role
meilleur	better
meilleur	meilleur
meilleur	best
droit	right
droit	law
mois	months
mois	month
île	island
île	île
république	republic
service	service
jacques	jacques
score	score
ensuite	then
langue	language
dit	said
dit	says
gouvernement	government
center	center
elles	elles
elles	they
petit	small
petit	petit
petit	little
toutes	all
argent	money
argent	silver
argent	cash
souvent	frequently
souvent	often
style	style
style	styling
face	face
olympiques	olympic
olympiques	olympics
quand	when
top	top
ministre	minister
mondiale	worldwide
mondiale	world
mondiale	global
ensemble	ensemble
ensemble	together
théâtre	theater
théâtre	theatre
épisode	episode
scène	scene
scène	stage
situé	located
situé	situated
toute	all
asp	asp
étaient	were
musée	museum
troisième	third
nombreux	many
nombreux	numerous
auteur	author
auteur	writer
système	system
création	creation
stade	stade
stade	estadio
stade	stadium
stade	stage
tard	late
reste	stay
seconde	second
roman	roman
jours	days
hui	hui
hui	today
édition	edit
édition	edition
édition	editing
édition	publishing
éditions	editions
éditions	éditions
historique	historic
historique	historical
historique	history
sera	will
permet	allows
âge	age
robert	robert
officiel	official
environ	approximately
effet	effect
version	version
membres	member
membres	membership
membres	members
niveau	level
champion	champ
champion	champion
espèce	species
michel	michael
michel	michel
raison	reason
modèle	model
modèle	template
travail	work
femme	women
femme	woman
femme	female
femme	wife
cinq	five
déjà	already
bas	stockings
bas	low
bas	bas
texte	text
terre	earth
terre	land
terre	terre
terre	soil
allemagne	allemagne
allemagne	germany
compétition	competitive
compétition	competition
wikipédia	wikipedia
allemand	german
allemand	allemand
britannique	british
porte	gate
porte	porte
porte	door
hommes	men
hommes	males
italie	italy
bataille	battle
corps	body
corps	corps
demi	half
demi	demi
siège	siege
siège	headquarter
siège	headquarters
siège	seat
personnes	persons
personnes	people
nommé	named
nommé	appointed
route	route
route	highway
route	road
finale	finale
finale	final
finale	finals
jeune	young
match	game
match	match
peuvent	can
york	york
royaume	kingdom
ceux	those
long	long
latitude	latitude
base	base
études	studies
communauté	community
association	association
militaire	military
section	section
longitude	longitude
bronze	bronze
livre	book
livre	pound
livre	livre
américaine	american
haut	high
haut	top
suisse	switzerland
suisse	swiss
canada	canada
valign	valign
suivant	following
suivant	next
beaucoup	many
beaucoup	much
dire	say
seul	alone
seul	only
parmi	among
fille	girl
fille	daughter
buts	aims
buts	goals
enfants	kids
enfants	children
enfants	childrens
direction	direction
direction	directorate
position	position
pouvoir	power
but	goal
but	purpose
merci	thanks
tête	head
tête	heads
territoire	territory
union	union
construction	construction
ancienne	ancient
ancienne	old
ancienne	former
premiers	first
prend	take
prend	takes
maire	maire
maire	mayor
présente	presents
présente	present
personnalité	personality
ligue	league
public	public
pages	pages
pages	page
externe	external
externe	outpatient
simple	simple
simple	singles
dernière	last
dernière	latest
henri	henry
henri	henri
chanson	chanson
chanson	songs
chanson	song
poste	post
culture	culture
grâce	grace
développement	development
sortie	output
sortie	exit
sortie	out
empire	empire
québec	québec
québec	quebec
david	david
loi	law
loi	act
équipes	teams
côté	côté
côté	side
mer	sea
haute	high
haute	haute
vue	view
espagne	spain
mère	mom
mère	mother
fichier	file
nombreuses	many
nombreuses	numerous
acteur	actor
parcours	route
parcours	journey
recherche	search
recherche	research
classement	ranking
classement	classification
code	code
double	double
double	duplicate
double	dual
entraîneur	trainer
entraîneur	coach
web	web
directeur	director
directeur	manager
joseph	joseph
semble	seems
semble	appears
ici	here
vainqueur	winner
réalisé	directed
existe	exist
existe	exists
six	six
créé	created
devant	front
écrit	writes
écrit	written
écrit	wrote
petite	small
petite	little
petite	petite
bois	wood
bois	drink
bois	timber
entreprise	business
entreprise	company
entreprise	enterprise
retour	throwback
retour	return
retour	back
numéro	number
principale	main
principale	principal
sainte	sainte
sainte	holy
sainte	saint
comté	county
comté	shire
second	second
gare	station
terme	term
terme	terme
connu	known
formation	training
arts	arts
technique	technical
technique	technique
révolution	revolution
etc	etc
objet	object
objet	purpose
objet	subject
mon	mon
philippe	philippe
philippe	philip
question	question
lorsque	when
cinéma	movies
cinéma	cinema
plan	map
plan	plan
van	van
médaille	medal
serait	would
œuvres	works
zone	zone
zone	area
écrivain	writer
compagnie	company
italien	italian
championnats	championships
laquelle	which
films	films
films	movies
surtout	especially
surtout	mostly
parfois	sometimes
parfois	occasionally
sources	sources
sources	source
parc	parc
parc	park
moyenne	average
moyenne	medium
mouvement	motion
mouvement	movement
succès	successes
succès	success
rivière	river
rivière	rivière
jamais	never
jamais	ever
vidéo	video
martin	martin
député	congressman
député	mep
député	deputy
claude	claude
moyen	medium
moyen	average
san	san
notre	our
bon	good
peintre	painter
voix	votes
voix	voices
voix	vocals
voix	voice
rouge	red
rouge	rouge
district	district
seulement	only
pont	pont
pont	bridge
pont	deck
libre	free
air	air
sein	breast
milieu	medium
milieu	midfielder
festival	festival
belgique	belgium
grands	large
georges	george
georges	georges
blanc	white
blanc	blank
gauche	left
travaux	work
travaux	works
donne	donne
donne	give
passe	passes
passe	pass
passe	passe
produit	product
diffusion	broadcast
diffusion	diffusion
diffusion	broadcasting
diffusion	dissemination
aide	aid
aide	help
action	action
andré	andre
andré	andré
andré	andrew
font	font
réseau	networking
réseau	network
utilisé	used
victoire	win
victoire	victoire
femmes	females
femmes	female
femmes	women
minutes	minutes
aurait	would
autour	around
belge	belgian
certaines	certain
certaines	some
durée	duration
espèces	species
angleterre	england
afrique	africa
monuments	monuments
sens	sens
sens	meaning
sens	senses
sens	sense
personne	person
personne	nobody
mis	put
mis	mis
municipalité	municipality
frère	brother
frère	frère
rencontre	meeting
rencontre	meet
rencontre	encounter
trop	too
matchs	matches
japon	japan
publié	published
publié	released
publié	posted
domaine	field
domaine	domain
domaine	area
eux	them
eux	they
professeur	professor
professeur	teacher
particulier	particular
quartier	neighborhood
quartier	neighbourhood
scientifique	science
scientifique	scientist
scientifique	scientific
honneur	honour
honneur	honor
seule	alone
seule	only
cause	cause
cause	causes
rien	nothing
nouvelles	news
nouvelles	new
iii	iii
administration	administration
comte	count
comte	earl
comte	comte
suivante	next
fort	strong
fort	fort
hockey	hockey
journal	newspaper
journal	timeline
journal	journal
journal	diary
différents	different
rome	rome
possible	possible
dix	dix
dix	ten
taille	waist
taille	height
taille	sizes
taille	size
sport	sport
sport	sports
principal	main
principal	principal
sujet	topic
sujet	subject
référence	reference
croix	crosses
croix	croix
croix	cross
élections	elections
élections	election
mettre	put
titres	securities
titres	titles
enfin	finally
millions	million
millions	millions
noir	dark
noir	noir
noir	black
joue	cheek
joue	plays
londres	london
agglomération	sintering
agglomération	agglomération
agglomération	agglomeration
moment	moment
chapelle	chapelle
chapelle	chapel
russe	russian
prince	prince
manière	way
malgré	spite
malgré	despite
activités	activities
réalisateur	director
réalisateur	filmmaker
monument	monument
sciences	science
sciences	sciences
radio	radio
classe	classroom
classe	class
aucun	none
droite	right
lieux	venues
lieux	locations
lieux	places
née	born
actuel	current
actuel	present
espace	space
villes	city
villes	cities
fer	fer
fer	iron
activité	activity
commence	begins
commence	starts
organisation	organization
organisation	organisation
sélection	selection
sélection	select
assez	enough
participe	participates
institut	institute
institut	institut
james	james
internationale	international
internationale	internationale
cadre	framework
cadre	frame
sept	seven
sept	sept
différentes	different
lac	lake
lac	lac
affaires	business
télévision	television
duc	duke
duc	duc
personnage	character
précédent	precedent
précédent	previous
évêque	bishop
évêque	évêque
cour	courtyard
cour	court
richard	richard
adresse	address
php	php
william	william
thomas	thomas
ball	ball
résultats	results
hors	off
hors	hors
problème	problem
finalement	eventually
finalement	finally
bonne	good
nature	nature
grandes	large
grandes	grandes
michael	michael
vol	flight
vol	theft
port	port
port	harbour
premières	raw
premières	premieres
premières	first
donné	given
donné	donated
discussion	discussion
discussion	chat
dame	lady
dame	dame
épouse	bride
épouse	spouse
épouse	wife
historiques	historic
historiques	historical
axe	axe
axe	axis
mesure	measuring
mesure	measurement
mesure	measure
prendre	taking
prendre	take
important	important
données	data
lequel	which
george	george
force	strength
force	force
pologne	poland
couleur	color
couleur	colour
collection	collection
actrice	actress
élu	elected
régiment	regiment
régiment	regimental
station	station
loire	loire
bande	band
bande	tape
bande	gang
bande	bande
capitale	capital
côte	rib
côte	coastline
côte	coast
façon	way
étape	step
étape	stage
créée	created
combat	battle
combat	fighting
combat	combat
combat	fight
footballeur	footballer
forces	strengths
forces	forces
royal	royal
aucune	none
russie	russia
nicolas	nicolas
nicolas	nicholas
mètres	meters
mètres	metres
possède	possesses
possède	owns
presse	press
académie	academy
construit	builds
construit	constructs
construit	constructed
construit	built
tournoi	tournament
épisodes	episodes
passage	passage
entrée	entrance
entrée	entry
revue	journal
revue	revue
revue	magazine
revue	review
jeunes	youth
jeunes	young
présence	attendance
présence	presence
course	race
course	racing
ceinture	belts
ceinture	belt
meilleure	better
meilleure	best
tableau	table
heures	hours
maître	master
services	services
marque	brand
marque	trademark
marque	mark
single	single
intérieur	inside
intérieur	indoor
intérieur	interior
appelé	called
locales	local
olympique	olympic
olympique	olympique
subdivision	subdivision
bernard	bernard
qualité	quality
langues	languages
langues	language
propre	own
propre	clean
chine	chine
chine	china
politiques	policies
politiques	policy
politiques	politics
lettres	letters
patrimoine	patrimony
patrimoine	heritage
com	com
évolution	evolution
tours	towers
tours	tours
obtient	gets
obtient	obtains
compositeur	songwriter
compositeur	composer
joueurs	players
joueurs	gamers
joueurs	player
lyon	lyon
généralement	usually
généralement	typically
généralement	generally
von	von
amérique	america
amérique	americas
mal	wrong
mal	bad
mal	mal
mal	evil
rock	rock
abbaye	abbey
nuit	nuit
nuit	night
principalement	mostly
principalement	mainly
principalement	predominantly
principalement	primarily
prise	taken
bretagne	brittany
avaient	had
clubs	clubs
générale	general
vitesse	velocity
vitesse	speed
scénario	screenplay
scénario	scenario
scénario	script
chemin	path
chemin	road
réalisation	realisation
réalisation	realization
centrale	central
statut	status
statut	statute
groupes	bands
groupes	groups
avis	notices
avis	opinion
avis	notice
avis	avis
éléments	elements
salle	room
carte	map
sociale	social
travers	travers
valeur	value
utilisation	usage
utilisation	use
allemande	german
palais	palais
palais	palace
émission	emission
composé	composed
composé	compound
situation	situation
droits	rights
court	short
vallée	valley
vallée	vallée
comité	committee
anciens	ancient
anciens	old
anciens	alumni
rugby	rugby
cité	cité
cité	quoted
basse	bass
basse	low
pro	pro
occasion	occasion
total	total
nationalité	nationality
nationalité	citizenship
chambre	room
chambre	bedroom
nouveaux	new
savoir	knowledge
savoir	know
glace	ice
originale	original
proche	close
proche	near
proche	nearby
mot	word
main	main
main	hand
huit	eight
assemblée	assembly
populaire	popular
populaire	trending
critique	criticism
critique	critic
critique	critical
del	del
publication	post
publication	publication
publication	publishing
dieu	god
uni	uni
japonais	japanese
hôtel	hotel
australie	australian
australie	australia
catholique	catholic
mission	mission
https	https
accord	accord
accord	chord
accord	agreement
campagne	countryside
campagne	campaign
rapidement	quick
rapidement	fast
rapidement	quickly
traduction	translations
traduction	translation
anne	anne
anne	ann
départ	departure
étude	study
montréal	toronto
montréal	montréal
montréal	montreal
programme	program
programme	programme
bgcolor	bgcolor
importante	important
choix	selection
choix	choice
coup	blow
coup	shot
enfant	child
enfant	children
information	information
mieux	better
maurice	mauritius
maurice	maurice
défense	defence
défense	defense
vice	vice
contrôle	control
noms	names
noms	name
produits	product
produits	products
internet	internet
label	label
hiver	winter
fondation	foundation
européenne	european
troupes	troops
file	queue
antoine	anthony
antoine	antony
antoine	antoine
daniel	daniel
cœur	heart
cœur	core
cœur	hearts
îles	islands
pris	caught
pris	took
pris	taken
marine	navy
marine	marine
bâtiment	building
peter	peter
juste	just
fondé	founded
der	der
vient	comes
seine	seine
amour	love
faisant	doing
mont	mount
mont	mont
statistiques	statistics
statistiques	stats
science	science
personnages	characters
bonjour	hello
marc	marc
altitude	altitude
altitude	elevation
économique	economic
unité	unity
unité	unit
particulièrement	particularly
particulièrement	especially
lignes	rows
lignes	lines
traité	treatise
traité	treaty
montre	watch
montre	show
idée	idea
éditeur	publisher
éditeur	editor
littérature	literature
attaque	stroke
attaque	attack
records	records
principaux	main
sol	soil
sol	sol
sol	floor
chaîne	chain
chaîne	channel
chaîne	string
fondée	founded
actuellement	currently
pourrait	could
reçoit	receives
fond	bottom
fond	background
format	format
mode	fashion
mode	mode
original	original
espagnol	spanish
producteur	producer
artiste	artist
créer	create
créer	creating
composition	composition
décide	decides
décide	decide
décide	resolves
garde	garde
garde	guard
garde	custody
votre	your
sécurité	security
sécurité	safety
fédération	federation
quatrième	fourth
junior	junior
police	font
police	police
comédie	comédie
comédie	comedy
albert	albert
bruxelles	brussels
empereur	emperor
xxe	twentieth
infanterie	infantry
ministère	ministry
chevalier	knight
chevalier	chevalier
armes	arms
armes	weapons
armes	firearms
armes	guns
livres	books
principales	main
personnalités	personalities
unique	single
unique	unique
capitaine	captain
large	wide
large	broad
guillaume	william
guillaume	guillaume
tel	such
tel	tel
parce	because
commission	commission
demandé	requested
demandé	asked
divers	various
divers	miscellaneous
tels	such
décision	decision
actuelle	current
classique	classical
classique	classic
présent	present
fit	fit
passé	past
mandat	warrant
mandat	mandate
berlin	berlin
isbn	isbn
taux	rate
taux	rates
surface	surface
architecture	architecture
inscrit	registered
inscrit	enrolled
astéroïde	asteroids
astéroïde	asteroid
transport	transportation
transport	transport
sort	spell
rené	rené
rené	rene
alexandre	alexandre
alexandre	alexander
oui	yes
oui	yeah
annonce	announcement
annonce	advertisement
pièce	coin
pratique	convenient
pratique	practice
pratique	practical
conseiller	adviser
conseiller	consultant
conseiller	counsellor
conseiller	advisor
portail	portal
terrain	land
terrain	terrain
usage	usage
comprend	understands
comprend	includes
secrétaire	secretary
tennis	tennis
donner	donner
donner	donate
donner	give
chose	thing
pièces	coins
pièces	parts
fonctions	function
fonctions	functions
fonctions	features
fonctions	duties
accès	access
informations	information
marché	market
charge	load
charge	charge
alpes	alps
alpes	alpes
sites	sites
sites	websites
basket	basket
basket	basketball
utiliser	using
utiliser	use
économie	economics
économie	economy
longueur	length
légende	legend
