процедура	procedimento
мур	mouro
мур	charneca
мур	moore
осень	autumn
осень	outono
осень	fall
осень	outono
осень	queda
радиус	raio
сел	sab
сел	sentei
сел	sentado
сел	sáb
сел	sat
предотвратить	evitar
предотвратить	prevenir
предотвратить	impedir
апостольский	apostólico
апостольский	apostólica
сервис	ferramentas
сервис	serviço
электронные	electrónico
электронные	eletrônica
электронные	electrónica
электронные	eletrônicos
электронные	eletrônico
сенат	senado
еврейская	judaica
еврейская	judeus
еврейская	judia
еврейская	judeu
еврейская	judaico
содержащие	contendo
убийца	assassina
убийца	killer
убийца	matador
убийца	assassino
убийца	assassina
убийца	assassino
убийца	assassina
убийца	assassino
зон	zonas
арабский	árabe
арабский	árabes
арабский	árabe
арабский	árabes
предков	ancestrais
предков	antepassados
предков	ancestrais
предков	ancestral
ведущая	moderador
ведущая	conduzindo
ведущая	liderando
ведущая	liderar
ведущая	chumbo
ведущая	lead
ведущая	liderar
ведущая	apresentadora
ведущая	apresentador
президентских	presidenciais
президентских	presidencial
пропустил	pulou
пропустил	ignorada
пропустил	errou
пропустил	faltou
свидетельство	certidão
свидетельство	certificado
свидетельство	atestado
свидетельство	testemunhos
свидетельство	testemunho
сервер	servidor
сервер	server
австралийский	australiana
австралийский	australianos
австралийский	austrália
австралийский	australiano
австралийский	australian
супер	super
рада	rada
пишу	escrevendo
пишу	escrita
пишу	escrever
королей	kings
королей	reis
орехово	orekhovo
полицейский	cop
полицейский	polícia
полицейский	policia
полицейский	policia
полицейский	policial
описано	descreve
описано	descritos
описано	descreveu
описано	descritas
описано	descrita
описано	descrito
кан	kang
кан	kahn
кан	kan
кан	kaan
фифа	fifa
косово	kosovo
атаковать	atacar
атаковать	attack
атаковать	ataquem
атаковать	ataque
присоединились	aderiram
присоединились	entrou
присоединились	aderiu
присоединились	juntou
абдул	abdul
эксперт	perito
эксперт	expert
эксперт	especialista
розыгрыш	rifa
розыгрыш	sorteio
розыгрыш	sorteio
розыгрыш	brincadeira
розыгрыш	pegadinha
розыгрыш	trote
армяне	armênios
армяне	arménios
дружба	amizades
дружба	amizade
древняя	antiga
древняя	antigo
древняя	antigos
древняя	antiguidade
древняя	ancião
совершить	cometer
ссылаться	invocar
ископаемых	fóssil
ископаемых	fósseis
фотограф	fotógrafa
фотограф	fotografo
фотограф	fotógrafo
кислорода	oxigénio
кислорода	oxigênio
мэн	meng
мэн	maine
объединяет	une
позади	atrás
николас	nicolás
николас	nicolás
николас	nicholas
николас	nicolau
формировании	moldagem
поправки	alteração
поправки	emenda
поправки	emendas
поправки	alterações
астроном	astrónomo
астроном	astrônomo
экологии	ecologia
анхальт	anhalt
альберта	alberta
жозеф	joseph
жозеф	josé
госпиталь	hospital
госпиталь	hospitalares
госпиталь	hospitalar
простое	simple
простое	simples
тихий	calado
тихий	quietos
тихий	silêncio
рой	roy
рой	enxame
альберто	alberto
электроэнергии	eletricidade
электроэнергии	electricidade
пьетро	pietro
кубы	cuba
задняя	posterior
задняя	posteriores
задняя	retaguarda
задняя	traseiro
задняя	traseiros
задняя	traseira
камер	secções
камер	chambers
камер	câmaras
возражения	protesto
возражения	objeção
возражения	objecção
возражения	objecções
возражения	objecções
возражения	objeções
уилсон	wilson
филологических	filológica
старших	seniores
старших	senior
старших	finalista
старших	sênior
старших	sénior
юбилейная	jubileu
исаак	isaac
бесплатно	livre
бесплатно	grátis
бесплатно	free
бесплатно	gratuito
стекла	vidro
стекла	copo
стекла	vidros
показания	testemunhos
показания	testemunho
янг	yang
янг	young
янг	jovem
янг	jovens
кинотеатр	teatro
кинотеатр	cinemas
кинотеатр	cinema
центральное	centrais
центральное	central
ушли	gone
ушли	ido
ушли	sumido
эфиопии	etiópia
эфиопии	etíope
эфиопии	etiópia
важность	importancia
важность	importância
подробное	detalhado
подробное	pormenorizadas
подробное	detalhada
подробное	detalhadas
неудачно	lamentável
неудачно	infeliz
неудачно	infelizes
разновидности	variedades
разновидности	castas
разновидности	variedade
разновидности	variety
венесуэлы	venezuelana
венесуэлы	venezuelano
венесуэлы	venezuela
настоящая	real
настоящая	verdadeiro
настоящая	reais
настоящая	verdadeiros
настоящая	verdadeira
пресса	imprensa
пресса	pressione
гостиница	hotel
навигации	navegação
развиваться	evoluir
хозяин	dona
хозяин	proprietária
хозяин	dono
хозяин	proprietário
хозяин	mestre
хозяин	master
ранг	patente
ранг	rank
ранг	posto
дополнительное	complementar
дополнительное	suplementar
дополнительное	adicional
дополнительное	adicionais
дополнительное	figurante
дополнительное	extra
колония	colônia
колония	colónia
носила	vestiu
носила	usava
арнольд	arnold
борцы	lutadores
боги	deuses
обложка	cobertura
обложка	cover
обложка	cubra
обложка	cobrir
обложка	capa
оформить	formalizar
классическая	clássica
классическая	clássicos
классическая	clássicas
классическая	clássico
классическая	clássica
классическая	clássicos
классическая	classic
классическая	clássico
картинки	imagens
картинки	fotografias
картинки	fotos
картинки	imagens
нынешней	correntes
нынешней	atual
нынешней	atuais
нынешней	actual
нынешней	corrente
перепись	recenseamento
перепись	censo
принадлежали	pertencia
принадлежали	pertencesse
принадлежали	pertenceu
принадлежали	pertenciam
объяснения	explicações
швейцарский	suíça
швейцарский	suiça
швейцарский	suíços
швейцарский	swiss
швейцарский	suíço
зубов	dentes
зубов	dente
грант	subvenção
грант	grant
постановления	acórdãos
дискуссия	discussão
дискуссия	discussões
барабаны	bateria
барабаны	tambores
студент	aluno
студент	aluna
студент	estudante
студент	student
историографии	historiografia
водорода	hidrogénio
водорода	hidrogênio
укр	ukr
шотландский	escócia
шотландский	escocês
шотландский	escoceses
шотландский	escocesa
шотландский	scottish
охоты	caça
охоты	caçar
охоты	caçando
охоты	caçada
образы	imagens
вон	vaughn
проявляется	manifestou
проявляется	manifestada
проявляется	manifestado
проявляется	manifestadas
домашние	caseira
домашние	caseiros
домашние	caseiras
домашние	caseiro
дэн	dan
дэн	deng
приборы	instrumentação
приборы	instrumentos
арест	prisão
арест	detenção
рисунки	fotografias
рисунки	fotos
рисунки	imagens
рисунки	desenhos
заказ	ordem
заказ	encomendar
заказ	encomenda
павлов	pavlov
социальный	sociais
социальный	social
обсуждается	discute
красноярск	krasnoyarsk
выразил	expressos
выразил	expresso
выразил	expressado
выразил	expressas
выразил	expressa
реальность	realidade
реальность	reality
