víztározó	reservoir
roth	roth
csont	bones
csont	bene
csont	been
bennett	bennett
arizona	arizona
jegyzett	ingeskryf
jegyzett	geregistreer
jegyzett	ingeteken
jegyzett	aangehaal
baseball	bofbal
egyezik	pas
egyezik	passing
egyezik	ooreenstem
egyezik	ooreenstemming
bolond	gek
algebra	algebra
kínaiak	sjinese
kínaiak	chinees
kínaiak	sjinees
kínaiak	chinese
igazgatóság	direktoraat
őszintén	eerlik
toyota	toyota
ovális	oval
ovális	ovaal
megosztott	gedeel
megosztott	ingedeel
követői	volgelinge
egyenlítői	ekwatoriaal
napokban	dae
munkahelyek	jobs
munkahelyek	werksgeleenthede
munkahelyek	werke
munkahelyek	betrekkings
munkahelyek	poste
hanna	hannah
hanna	hanna
hanna	hanna
halottak	dooie
halottak	dood
burton	burton
nacionalista	nationalist
csatornák	kanale
kezelő	operator
kezelő	bestuurder
vatikáni	vatikaan
porsche	porsche
haiti	haiti
haiti	haïti
hírhedt	notorious
tokiói	tokyo
tokiói	tokio
józan	sober
költség	koste
költség	kos
ricardo	ricardo
részleteket	besonderhede
mel	mel
alpesi	alpine
törtek	breuke
galamb	dove
galamb	pigeon
szervező	organiseerder
szervező	organiseerder
macskák	katte
macskák	cats
befolyásos	invloedryke
elpusztította	vernietig
hús	vleis
hús	flesh
bástya	bastion
bástya	toring
serena	serena
vosges	vogese
felipe	felipe
hirdetett	geadverteer
hirdetett	bevorder
logó	logo
logó	kenteken
katalógus	katalogus
katalógus	katalogus
platform	platform
platform	platforms
nyelvtan	grammatika
nyelvtan	grammar
kollektív	collective
hazafias	patriotic
rogers	rogers
tudor	tudor
jefferson	jefferson
meghívást	nooi
meghívást	uitnodiging
akkád	akk
feladatai	take
feladatai	pligte
vállalja	pleeg
glasgow	glasgow
súlyemelés	weightlifting
suriname	suriname
légió	legioen
gyalogság	infanterie
gyalogság	infantry
bauer	bauer
bauer	bouwer
muzulmán	muslim
muzulmán	moslem
muzulmán	moslems
fajták	rasse
hivatkozásokat	verwysings
montana	montana
stratégia	strategie
nélkülözhetetlen	noodsaaklike
nélkülözhetetlen	essential
biztonság	sekuriteit
biztonság	veilig
biztonság	veilige
biztonság	veiligheid
len	vlas
len	len
struktúra	struktuur
ismétlődő	duplikaat
ismétlődő	dupliseer
ismétlődő	herhalend
ismétlődő	herhaalde
ismétlődő	herhaalde
felvételeket	opnames
bűnös	skuldig
elsődlegesen	hoofsaaklik
kiejtés	uitspraak
kén	swael
kén	swawel
kén	swael
tarka	pied
váltakozó	afwisselende
mérhető	meetbare
puha	sagte
puha	sag
zavaros	confused
zavaros	verward
zavaros	bewolkte
zavaros	bewolk
zavaros	verwarrend
liechtenstein	liechtenstein
jessica	jessica
hubert	hubert
hitte	believed
rap	rap
januárban	januarie
sértő	aanstootlik
sértő	beledig
iowa	iowa
medina	medina
törvényeket	wette
kölcsön	lenings
kölcsön	lening
clarke	clarke
kezdeményezés	inisiatief
túlélte	survived
régiók	streke
régiók	streek
módosult	gewysig
algoritmus	algoritme
hallgatta	geluister
randy	randy
ferde	skeef
ferde	skuins
ontario	ontario
megállapítani	vestig
riporter	verslaggewer
esély	kanse
esély	kans
szárnyas	winged
ünnepség	ceremony
ünnepség	seremonie
ünnepség	viering
kaliforniában	california
kaliforniában	kalifornië
rossi	rossi
bis	bis
kibocsátott	uitgereik
laboratóriumi	laboratorium
rendezni	betaal
rendezni	vereffen
állampolgár	burger
állampolgár	citizen
albrecht	albrecht
gomba	swam
gomba	fungus
gomba	sampioen
szavazott	gestem
nyelveken	tale
afganisztán	afghanistan
steiner	steiner
állítólagos	beweerde
szándéka	voorneme
szándéka	bedoeling
világosabb	duideliker
világosabb	ligter
elérés	bereik
elérés	reikwydte
visszafelé	agteruit
visszafelé	agteruit
visszafelé	agtertoe
ptolemaiosz	ptolemeus
cliff	cliff
képviselt	verteenwoordig
egyenletes	eweredig
egyenletes	steady
leveleket	briewe
leveleket	letters
brecht	brecht
martínez	martínez
növényzet	plantegroei
julien	julien
antarktisz	antarktika
üzemeltetett	operated
törzsi	tribal
beavatkozás	steuring
beavatkozás	inmenging
beavatkozás	intervensie
beavatkozás	broodnodige
tolkien	tolkien
karcsú	slank
karcsú	slender
tanít	teaching
kétséges	twyfel
dobó	pitcher
technikák	techniques
átjáró	portal
átjáró	gateway
átjáró	portaal
átjáró	passage
leslie	les
leslie	leslie
pusztító	vreeslike
pusztító	torpedojaer
pearl	pearl
átdolgozott	revised
rétegek	lae
rétegek	strata
álma	droom
postás	postman
essen	essen
találkozni	ontmoet
romantika	romanse
feldolgozó	verwerker
elena	elena
elektron	elektron
konferencián	aanbreek
telek	grond
par	par
dôme	dôme
singer	sangeres
singer	sanger
singer	singer
lejárt	verstryk
lejárt	verstreke
anatómiai	anatomiese
zambia	zambië
zambia	zambia
leon	leon
laosz	laos
verset	gediggie
verset	gedig
vezetni	aandrywer
rico	rico
haydn	haydn
felhasználás	gebruik
felhasználás	verbruik
felhasználás	vrymoedigheid
korong	skyf
korong	puck
korong	skyf
hűséges	lojaal
hűséges	loyal
hűséges	lojale
hűséges	faithful
elektronikai	elektronika
venezuelai	venezuela
kötőjel	hyphen
paradicsom	tamatie
paradicsom	tamaties
paradicsom	paradise
fenntartása	handhaaf
fenntartása	onderhou
fenyegető	dreigend
fenyegető	dreigende
fenyegető	dreig
házigazda	gasheer
házigazda	bediener
harmadszor	derde
faktor	factor
faktor	faktor
federico	federico
növelése	verhoog
növelése	vermeerder
samantha	samantha
emily	emily
hbo	hbo
szingapúr	singapoer
eredményezett	resulted
giacomo	giacomo
hektáros	akker
oszlopok	pilare
oszlopok	kolomme
martina	martina
darwin	darwin
domenico	domenico
küld	stuur
doug	doug
lakók	inwoners
republikánus	republican
rosszindulatú	beledigend
rosszindulatú	skadelik
rosszindulatú	kwaadwillige
rövidítések	afkortings
rövidítések	akronieme
arabok	arabiere
elemzés	analise
nomád	nomadic
járvány	plaag
járvány	pandemie
járvány	epidemie
megfigyelő	observer
lille	lille
vicces	snaaks
vicces	snaakse
hónapok	maande
laurent	laurent
gázok	gasse
válás	egskeidings
válás	egskeiding
chan	chan
másképpen	andersins
halászat	vissery
halászat	visvang
létrejövő	gevolglik
évkönyv	yearbook
neill	neill
lánc	kettings
lánc	ketting
oxid	oxide
illetékes	bevoegde
fortuna	fortuna
nielsen	nielsen
leeds	leeds
vega	vega
vega	vegan
befejeződött	voltooi
befejeződött	afgehandel
boris	boris
kliens	kliënt
módosítani	verander
módosítani	wysig
koalíció	koalisie
szex	seks
szex	geslag
szex	sex
nagyobbak	groter
utazók	reisiger
utazók	reisigers
kőolaj	olie
kőolaj	petroleum
hallottam	aangehoor
hasonlóképpen	insgelyks
hálózatok	netwerke
krónikus	chroniese
rajza	skets
rajza	tekening
evolúciós	evolusionêre
logikus	logies
logikus	logiese
utasítások	instruksies
kertészeti	tuinmaak
kertészeti	tuinwerk
jürgen	jürgen
jürgen	jurgens
jürgen	jürgen
vád	kostes
vád	agterstand
végrehajtása	implement
végrehajtása	implementeer
ellenálló	weerstand
lucy	lucy
liter	liter
liter	silwer
liter	liter
műhelyek	werkswinkels
dylan	dylan
derek	derek
suzuki	suzuki
camp	kamp
dublin	dublin
kontinensen	kontinent
britney	britney
eltávolítása	verwydering
országszerte	landswye
merőleges	loodreg
nevezetesen	naamlik
kenyér	brood
sütő	stoof
kinga	heer
kinga	king
kinga	koning
démon	demoon
démon	demon
karen	karen
vista	vista
tulajdon	eiendom
marokkói	marokkaanse
hódító	conqueror
amanda	amanda
cleveland	cleveland
folytatás	voortgaan
folytatás	hervat
folytatás	voortsetting
folytatás	volgehoue
folytatás	deurlopende
folytatás	voortdurende
hittem	believed
hittem	dog
hittem	gedink
célokat	doelwitte
célokat	doele
végrehajtani	uitvoer
végrehajtani	implement
végrehajtani	implementeer
gregory	gregory
gregory	gregorius
dominikai	dominikaanse
dominikai	dominica
kocka	cube
kocka	kubus
kocka	stene
kocka	steen
örülök	plesier
örülök	bly
tárgyalás	onderhandeling
tárgyalás	verhoor
befejezetlen	onvoltooide
befejezetlen	onvolledige
befejezetlen	onvoltooid
befejezetlen	onvolledig
optimális	optimum
februárban	februarie
detroit	detroit
intézkedések	aksies
intézkedések	handelinge
konfliktusok	teenstrydighede
konfliktusok	botsings
konfliktusok	konflik
szörny	monster
adriai	adriatiese
eindhoven	eindhoven
fehérje	protein
fehérje	proteïen
eltérések	verskille
vitákat	debatte
perzsák	perse
könyvtárak	biblioteke
ókor	antiquity
haut	haut
részecske	deeltjies
részecske	deeltjie
elismerés	label
elismerés	waardering
elismerés	herkenning
molekula	molekulêre
molekula	molekule
elegáns	elegant
elegáns	elegante
elegáns	chic
vegas	vegas
everton	everton
donna	donna
abd	abd
bekezdés	paragraaf
bekezdés	paragrawe
nyilas	boogskutter
nyilas	sagittarius
rocky	rocky
intelligencia	intelligensie
fan	waaier
fan	aanhanger
fan	bewonderaar
kellően	sufficiently
fogak	tande
vizsgálati	toets
vizsgálati	toets
rákok	krappe
vaszilij	wasili
fertőző	aansteeklik
képregények	comics
képregények	strokiesverhaal
fertőzött	besmette
fertőzött	besmet
fertőzött	aangetaste
css	css
blackburn	blackburn
mondatok	frases
mondatok	sinne
aligha	hardly
brescia	brescia
baltimore	baltimore
ming	ming
kertek	tuine
tizenhét	sewentien
zavart	verwarring
zavart	versteur
zavart	confused
zavart	verward
molekulák	molekules
csillagászat	sterrekunde
jin	jin
technológiák	tegnologieë
jesse	jesse
kedvezőtlen	ongunstig
évtizedben	dekade
lovasság	kavallerie
tölteni	spandeer
tölteni	besteding
platón	plato
tőke	equity
tőke	hoofstad
csatolt	aangeheg
csatolt	aangehegte
steel	staal
hardcore	hardcore
kanári	kanariese
kanári	kanarie
mason	mason
case	kas
case	geval
edwin	edwin
méhek	bye
viva	viva
aux	aux
jeremy	jeremy
elengedhetetlen	noodsaaklike
elengedhetetlen	essential
termés	oes
termés	snoei
christie	christie
kertben	tuin
alfaj	subspesie
fordulat	twist
fordulat	kinkel
akkumulátorok	batterye
találkozás	ontmoeting
találkozás	besigheid
találkozás	vergadering
műszerek	instruments
műszerek	instrumente
számítástechnikai	uitwerk
fogoly	gevangene
fogoly	captive
kiszolgáló	bediener
kecske	bok
kecske	goat
freud	freud
antwerpen	antwerpen
programozás	programmering
napoli	napoli
gondok	probleme
gondok	problems
huber	huber
etikai	etiese
etikai	etiek
mccartney	mccartney
névmás	voornaamwoord
zongorista	pianis
sötétség	donkerte
foster	foster
búr	boere
rns	rns
enrique	enrique
festmények	skilderye
dom	dom
tartása	keeping
duncan	duncan
amphibia	amphibia
hansen	hansen
guido	guido
fiat	fiat
ügyes	hefboom
ügyes	clever
szegények	poor
szegények	arme
szegények	swak
szegények	armes
végzetes	fatale
tüzérség	artillery
megerősítve	regstellende
megerősítve	bevestig
bűncselekmények	oortredings
bűncselekmények	misdrywe
bűncselekmények	misdade
bűncselekmények	misdrywe
bűncselekmények	misdaad
zoológus	dierkundige
térképek	kaarte
térképek	charts
zeusz	zeus
curtis	curtis
lőszer	ammunisie
phillips	phillips
jelentések	rapporte
jelentések	verslae
zászlók	baniere
zászlók	vlae
zászlók	gemerk
