švice	швајцарија
cfg	cfg
svetlana	светлана
usmerjena	насочени
usmerjena	режија
usmerjena	ориентираните
usmerjena	ориентирана
usmerjena	ориентирани
usmerjena	ориентиран
irvine	ирвајн
off	исклучен
off	исклучена
off	off
off	исклучено
abc	abc
evrov	евра
skok	скокни
skok	скок
skok	скокај
skok	скок
esej	есеј
esej	состав
esej	есејот
zmožnosti	способност
zmožnosti	способности
mitchell	мичел
nadomestila	компензација
nadomestila	надоместок
padlo	паднаа
padlo	паднал
padlo	фел
padlo	падна
padlo	паднала
padlo	паднале
padlo	падна
padlo	отфрлени
padlo	паѓање
padlo	пад
padlo	падот
padlo	есен
padlo	падне
padlo	паднат
padlo	паднатиот
padlo	падната
padlo	паднати
colorado	колорадо
zmes	мешавината
zmes	мешавина
zmes	смеса
zaslužil	заслужи
zaslužil	заслужено
zaslužil	заслужено
mer	mer
zapor	затвор
zapor	затвор
paula	паула
paula	пола
tradicija	традицијата
tradicija	традиција
tine	тина
praksa	вежбање
praksa	пракса
praksa	практика
komedija	комедија
sprejema	прифаќа
gsub	gsub
nikjer	никаде
promocijo	промоцијата
promocijo	промоција
promocijo	промовирање
slabosti	слабости
device	девица
device	девици
scoreb	scoreb
preprosta	едноставен
preprosta	едноставно
preprosta	едноставна
preprosta	проста
unija	синдикат
unija	унија
unija	union
sky	sky
sky	небо
dnevni	секојдневна
dnevni	дневно
julia	јулија
julia	џулија
julia	julia
tanja	тања
tanja	тања
tanja	тања
predstavljen	учествуваа
predstavljen	истакната
predstavljen	истакнати
predstavljen	истакнато
predstavljen	одбрано
predstavljen	претставена
predstavljen	презентиран
predstavljen	претставено
predstavljen	претстави
predstavljen	претставен
beck	бек
obvezno	задолжително
obvezno	задолжително
obvezno	задолжително
june	јуни
june	џун
svobodna	слободни
svobodna	бесплатно
svobodna	слободно
svobodna	слободна
svobodna	слободен
jose	жозе
jose	хозе
jose	жозе
jose	хозе
jose	хосе
kraljico	queen
kraljico	кралица
predniki	претци
predniki	предци
colin	колин
razmišljanja	размислување
nameščena	опремени
nameščena	инсталирана
nameščena	инсталиран
nameščena	инсталирани
garda	стража
garda	гарда
garda	стражар
garda	чувар
ločeni	разделени
ločeni	одвоено
ločeni	одделени
ločeni	разведена
ločeni	разведен
ločeni	разведени
ločeni	одделни
ločeni	одделно
ločeni	одвоени
suzuki	сузуки
dansko	дански
dansko	данскиот
dansko	данска
osebah	субјекти
osebah	субјектите
osebah	поданици
veriga	синџир
veriga	ланец
hingis	хингис
reaktor	реакторот
reaktor	реактор
cleveland	кливленд
usoda	судбината
usoda	судбина
usoda	судбината
usoda	судбина
učinkovita	ефикасно
učinkovita	ефикасен
učinkovita	ефикасни
učinkovita	ефективна
učinkovita	ефикасно
učinkovita	ефикасен
učinkovita	ефикасна
učinkovita	ефикасни
opisana	опиша
opisana	опишана
opisana	опишан
opisana	опишани
prizadevanja	напори
prizadevanja	напор
prizadevanja	напори
bistvo	суштина
bistvo	екстракт
bistvo	екстрактот
nicholas	николас
poljubno	произволно
fazo	фаза
izpostavljenosti	изложување
izpostavljenosti	изложеност
talent	талент
podrejen	потчинет
podrejen	подреден
začetnik	почетнички
začetnik	почетник
začetnik	почетници
začetnik	почетничка
amsterdam	амстердам
gosti	гости
redir	redir
zelandija	зеланд
jez	браната
jez	брана
party	партиски
party	партиска
party	забава
party	журка
party	партија
dovoljenja	лиценци
dovoljenja	дозволи
regij	региони
pozitiven	позитивен
pozitiven	позитивна
pozitiven	позитивно
pozitiven	позитивни
pozitiven	позитив
galerije	галерии
dež	дожд
nasledstvo	наследство
nasledstvo	наследство
tovor	карго
tovor	товар
tovor	товарниот
tovor	товарот
tovor	товар
razporeditev	распределба
razporeditev	дистрибуција
razporeditev	аранжманот
razporeditev	аранжман
najmanjše	најмалиот
najmanjše	најмалата
najmanjše	најмало
najmanjše	најмал
najmanjše	најмала
vdova	вдовица
izbruh	бекство
izbruh	ерупција
izbruh	излив
trikotnika	триаголник
davenport	девенпорт
kocka	коцка
nižja	долна
nižja	пониско
nižja	долен
nenad	ненад
ledena	ледени
stabilnost	стабилност
grobnice	гробници
slatina	слатина
krst	крштевање
kongo	конго
kongo	конга
konflikt	конфликт
arabci	арапи
arabci	арапите
uniči	уништат
uniči	уништи
uniči	уништи
uniči	уништува
razvito	развиени
razvito	развиено
razvito	развиен
razvito	развиена
umetniška	уметнички
umetniška	уметничко
mlajše	помладо
mlajše	помлади
mlajše	помлад
mlajše	помлада
anja	ања
anja	ања
lyon	лион
breda	бреда
možen	можно
možen	можни
možen	возможно
možen	можен
založnik	издавач
morris	морис
zlatko	златко
možje	сопрузи
možje	мажи
možje	мажите
možje	луѓе
možje	машки
pripravljena	спремно
pripravljena	спремни
pripravljena	подготвен
pripravljena	спремна
pripravljena	подготвени
pripravljena	спремен
označevanje	означувањето
označevanje	означување
pionirski	пионерската
jap	да
steven	стивен
eugene	еуген
eugene	јуџин
firence	флоренс
firence	фиренца
avtorske	copyright
ron	рон
obstoječe	постојните
obstoječe	постојна
obstoječe	постоечките
obstoječe	постоечки
obstoječe	постоечка
obstoječe	постојни
veleposlanik	амбасадор
ista	истите
ista	истото
ista	исто
ista	исти
ista	ист
ista	иста
državljanstvo	националност
državljanstvo	државјанство
usta	уста
usta	устата
usta	усти
usta	устите
memorial	меморијал
uspešnosti	изведба
uspešnosti	перформанс
uspešnosti	перформанси
uspešnosti	настап
poškodovana	повреден
poškodovana	повредени
poškodovana	оштетен
poškodovana	оштети
poškodovana	оштетено
poškodovana	оштетена
poškodovana	оштетени
rolls	ролс
mas	mas
mas	мас
mas	маси
trideset	триесет
trideset	thirty
membrane	мембраната
meter	метар
meter	мерач
meter	метар
mlado	младите
mlado	млад
mlado	јанг
mlado	young
mlado	млади
mlado	млада
vsebinsko	концептуални
anti	анти
kazalo	индекс
situacijo	ситуација
wayne	вејн
wayne	wayne
lats	грбни
osvoboditev	ослободителната
zasnova	дизајн
zasnova	проектирање
pomorsko	поморска
pomorsko	поморски
howe	хау
pat	пат
hrvati	хрватите
hrvati	хрвати
zaloge	акции
zaloge	дотур
zaloge	залихи
zaloge	намирници
zaloge	акциите
zaloge	акции
zaloge	залихи
abeceda	азбука
topovi	топови
topovi	пиштоли
topovi	пушки
zasede	заседа
mleka	млеко
mag	mag
damjan	дамјан
poletni	лето
uživanje	уживање
uživanje	уживајќи
uživanje	ужива
uživanje	уживање
molitev	молитви
molitev	молитвите
molitev	молитва
prst	прст
prst	прстот
prst	гради
blato	кал
blato	стол
blato	столчиња
postopno	постепено
postopno	постепено
postopno	прогресивно
postopno	прогресивна
postopno	напредна
postopno	напредно
postopno	прогресивно
navdih	инспирираше
navdih	инспириран
navdih	инспирирани
navdih	инспирирана
navdih	инспирација
tabele	маси
tabele	масите
abd	абд
študente	студенти
študente	ученици
študente	студентите
disertacijo	дисертација
učbenik	учебник
učbenik	учебници
luč	светлината
luč	светол
luč	светло
luč	светлина
luč	светлост
mehiški	мексикански
mehiški	мексиканец
mehiški	мексиканска
mehiški	мексиканско
aluminija	алуминиум
aluminija	алуминиумски
gozdni	шума
gozdni	шумски
bogovi	богови
kupolo	купола
razširjeno	проширена
razširjeno	продолжени
razširjeno	продолжена
razširjeno	продолжено
razširjeno	продолжен
lambert	ламберт
cele	цела
cele	целина
stavka	удар
stavka	страјк
stavka	штрајк
izziv	предизвик
vrhovno	врховната
vrhovno	врховниот
vrhovno	врховен
inšpektor	инспектор
siriji	syria
siriji	сирија
gledalci	гледачи
gledalci	публика
gledalci	гледачи
gledalci	гледачите
primerjalno	компаративна
andrews	ендрус
keith	кит
garcía	гарсија
src	срца
src	срцата
champwd	champwd
schneider	шнајдер
trdo	тешко
trdo	тврд
trdo	силно
trdo	јако
čaj	чај
spartak	спартак
odpoved	отказ
odpoved	напушти
odpoved	напуштање
odpoved	оставка
vzorce	примероци
divji	диво
divji	диви
divji	див
divji	дива
divji	дивина
beach	плажа
beach	бич
upokojeni	пензионираниот
upokojeni	пензиониран
upokojeni	пензионирани
odgovorna	одговорен
odgovorna	одговорно
odgovorna	одговорни
odgovorna	одговорна
stanovanje	рамен
stanovanje	рамно
stanovanje	дур
stanovanje	рамни
stanovanje	рамна
stanovanje	стан
stanovanje	станот
stanovanje	апартман
posode	садови
posode	јадења
posode	чинии
posode	бродови
posode	контејнери
razglasila	прогласувањето
piero	пиеро
načrti	нацрти
načrti	планови
jeff	jeff
jeff	џеф
baz	бази
baz	базите
baz	baz
murphy	марфи
vesel	мило
vesel	честит
omembe	споменувајќи
omembe	спомнува
omembe	споменува
bezirk	bezirk
dostopen	пристапна
dostopen	пристапен
suhi	сува
suhi	хемиско
suhi	суво
suhi	сув
suhi	исуши
odgovoril	одговори
odgovoril	одговорила
spredaj	преден
spredaj	предни
spredaj	предна
spredaj	фронт
spredaj	напред
sašo	грејсон
luca	лука
pisem	букви
pisem	писма
lepe	преубави
lepe	убави
lepe	убава
lepe	преубава
lepe	прекрасни
uspehov	успеси
uspehov	успех
uspehov	успеси
smiles	насмевки
razdeli	сплит
razdeli	подели
razdeli	поделен
razdeli	раздели
razdeli	подели
razdeli	јаз
razdeli	раздели
razdeli	поделба
razdeli	поделеност
pozdrav	поздрав
pozdrav	поздрав
pozdrav	поздравот
pozdrav	поздрав
suverenosti	сувереност
suverenosti	суверенитет
isaac	ајзак
isaac	ајзек
isaac	исак
dem	дем
siva	сив
siva	греј
siva	сиво
siva	сиви
siva	grad
siva	сив
siva	сиво
siva	сива
siva	греј
siva	сиви
izdelava	производство
izdelava	производство
trenutek	момент
trenutek	moment
oltarja	олтар
obrobju	периферијата
obrobju	предградијата
obrobju	периферијата
gaj	гај
bank	банка
sinonim	синоним
sestri	сестрите
sestri	сестри
prid	услуга
delce	честички
delce	честици
kupola	купола
sekunde	секунди
rossi	роси
rona	рон
auflage	auflage
psihologijo	психологија
charlie	чарли
obsežne	обемна
bron	бронзена
bron	бронзен
bron	бронза
bron	бронзени
državljani	граѓани
državljani	граѓаните
državljani	државјани
walther	валтер
weber	вебер
leonardo	леонардо
prepovedano	забрането
prepovedano	забранета
prepovedano	забранети
prepovedano	забрането
prepovedano	забранети
prepovedano	забранета
esejist	есеист
linux	линукс
linux	linux
kritiko	критики
kritiko	критика
razlogi	причини
razlogi	причина
razlogi	разум
razlogi	разумот
razlogi	основ
razlogi	основа
moderno	модерен
moderno	модерно
moderno	модерни
moderno	современ
moderno	модерна
bolečino	болката
bolečino	болки
bolečino	болка
voditelji	лидерите
voditelji	лидери
voditelji	водачи
jedrski	нуклеарна
jedrski	нуклеарно
jedrski	нуклеарни
jedrski	нуклеарен
hamburg	хамбург
hamburg	hamburg
cruz	круз
vožnjo	возење
vožnjo	превоз
vožnjo	вози
vožnjo	возење
vožnjo	возењето
poln	полни
poln	целосна
poln	полна
poln	полн
div	див
iranu	иран
mitologija	митологија
drugačna	различен
drugačna	различно
drugačna	поинакво
drugačna	различна
drugačna	поинаку
drugačna	поинаков
oddaj	покажува
oddaj	емисии
oddaj	прикажува
teologijo	теологија
razglašen	прогласена
razglašen	прогласи
alma	алма
slišal	слушнал
slišal	слушнале
slišal	слушнав
verjeli	верувал
verjeli	веруваше
verjeli	верувале
odhod	поаѓање
odhod	заминување
odhod	напушта
odhod	напуштање
odhod	оставајќи
koža	кожа
proizvajalci	продуценти
proizvajalci	производители
proizvajalci	производители
najmanjši	најмалиот
najmanjši	најмалата
najmanjši	најмало
najmanjši	најмал
najmanjši	најмала
sorodni	сродни
sorodni	сродна
odvisnost	зависност
odvisnost	зависност
odvisnost	зависности
dick	кур
dick	дик
theodore	теодор
renesančni	ренесанса
royce	ројс
jupiter	јупитер
kotel	котел
kotel	котел
wade	вејд
nemudoma	веднаш
nemudoma	одма
krogla	сферата
krogla	сфера
krogla	куршум
prepričal	убедена
prepričal	убедени
prepričal	убеден
aero	aero
klopi	крлежите
klopi	клупи
klopi	клупа
vredno	вреди
konvencija	конвенција
mad	лута
mad	лут
šef	шеф
šef	шефот
šef	газда
šef	boss
delitve	поделби
delitve	дивизии
absolutno	апсолутно
absolutno	апсолутен
absolutno	апсолутна
poraba	трошоци
poraba	трошење
poraba	потрошувачка
poraba	конзумирање
žleze	жлезди
žleze	жлезда
zadetkov	погодоци
zadetkov	хитови
zadetkov	удира
merila	критериум
merila	критериуми
desetletju	деценијата
desetletju	деценија
desetletju	декада
jajca	јајца
jajca	топки
jajca	јајца
jajca	топчиња
pretirano	претерани
pretirano	прекумерно
pretirano	претерано
pretirano	прекумерни
pretirano	прекумерна
pretirano	претерано
pretirano	прекумерно
nord	норд
zemljišča	ланд
zemljišča	копно
zemljišča	земјиште
zemeljskega	земјени
povezovanje	вмрежување
povezovanje	интеграција
povezovanje	поврзување
prizori	сцени
globine	длабочините
globine	длабочини
nedvomno	несомнено
botanik	ботаничар
odkrit	откриени
odkrit	откриено
odkrit	откриена
#ffffff	#ffffff
koles	велосипеди
flote	флота
nationalcaps	nationalcaps
kandidata	кандидатите
kandidata	кандидати
kandidata	кандидатки
kandidata	кандидатот
kandidata	кандидатка
kandidata	кандидат
venec	венец
dvojna	дупла
dvojna	двојно
dvojna	дупло
dvojna	двојна
frankov	франци
frankov	франки
križišče	раскрсница
križišče	крстосница
križišče	раскрсница
križišče	крстопат
križišče	крстосница
igralce	играчи
england	англија
palice	барови
palice	решетки
palice	стапови
palice	стапчиња
palice	клубови
palice	стапчиња
palice	шипки
palice	прачки
palice	прачките
ločila	интерпункција
moška	мажи
moška	мажите
moška	луѓе
moška	машки
moška	машко
moška	машки
puščava	пустинска
puščava	пустински
puščava	пуст
puščava	пустина
puščava	пустината
zmožnost	способност
zmožnost	способност
harvey	харви
metka	куршум
podpis	потпишувањето
podpis	потпишување
podpis	потпис
melodije	песни
neapelj	неапол
neapelj	наполи
vzorca	примероци
larry	лери
larry	larry
larry	лари
obrambno	одбрамбена
obrambno	одбранбен
obrambno	одбранбена
termin	мандат
termin	термин
termin	назначување
termin	закажано
termin	закажување
termin	назначувањето
robin	робин
lesena	дрвено
lesena	дрвена
lesena	дрвен
lesena	дрвени
lesena	дрво
lesena	дрва
datotek	датотеки
samodejno	автоматски
samodejno	автомобилски
samodejno	auto
samodejno	авто
samodejno	автоматско
samodejno	автоматски
samodejno	автоматска
samodejno	автоматско
samodejno	автоматски
kvartet	квартет
wallace	волис
wallace	валас
wallace	волас
pozitivni	позитивен
pozitivni	позитивна
pozitivni	позитивно
pozitivni	позитивни
pozitivni	позитив
antike	антика
antike	античко
antike	антиквитети
nedavno	неодамна
nedavno	неодамнешно
nedavno	неодамнешни
nedavno	скорешни
nedavno	неодамнешна
nedavno	неодамнешните
piramida	пирамида
vesoljska	простор
vesoljska	вселена
vesoljska	просторот
ricardo	рикардо
eur	еур
žagar	сложувалка
katedrale	катедрали
slava	слава
slava	слава
madžari	унгарци
madžari	унгарците
odločno	остро
odločno	силно
sočasno	истовремени
sočasno	истовремени
sočasno	симултано
sočasno	истовремено
moto	мото
moto	мото
moto	moto
duševno	ментален
duševno	ментално
duševno	ментална
duševno	ментални
duševno	ментално
allan	алан
ekip	екипи
ekip	тимови
lokacijo	локација
valovi	бранови
zvezno	федерално
zvezno	федерални
zvezno	сојузниот
populacija	популација
populacija	население
dokazati	демонстрираат
dokazati	демонстрира
zamenjava	размени
zamenjava	трампа
zamenjava	замена
kače	змии
kače	змија
skoki	скока
skoki	скокови
skoki	скокање
delavce	работниците
delavce	работници
napadalec	напаѓач
napadalec	напаѓачот
napadalec	напаѓач
srbijo	србија
čustveno	емотивно
čustveno	емоционална
čustveno	емотивен
čustveno	емоционален
čustveno	емотивна
čustveno	емотивно
čustveno	емоционално
saturn	сатурн
encima	ензим
verjame	верува
tokio	токио
dream	сон
dream	dream
germain	жермен
matt	мет
matt	мат
nasledniki	наследници
slovenia	словенија
opatija	опатија
centralne	централно
centralne	централен
centralne	централа
centralne	централна
oscar	оскар
ronnie	рони
uefa	уефа
monarhija	монархија
propad	пропаст
propad	пропаста
propad	уривање
propad	колапс
turistične	туристичка
turistične	турист
turistične	туристички
ngc	ngc
clarke	кларк
krona	круна
uran	ураниум
uran	уран
resnica	вистинито
resnica	вистина
resnica	вистината
bruhanje	повраќа
bruhanje	повраќање
arheologi	археолози
arheologi	археолози
pripadal	припаѓаа
pripadal	припаѓал
pripadal	припаѓаше
pripadal	припаѓале
pripadal	припаѓала
dodana	додадена
dodana	додаде
dodana	додадени
dodana	додадено
dodana	додаден
menihi	монаси
menihi	монасите
champxd	champxd
funtov	kg
funtov	кг
funtov	кила
tesla	тесла
sloj	обвивка
sloj	слој
padli	паднат
padli	паднатиот
padli	падната
padli	паднати
viktorija	викторија
izbruhnila	изби
akcija	дејство
akcija	акција
tiska	печат
tiska	притиснете
tiska	прес
razglašena	прогласена
razglašena	прогласи
ščiti	заштитува
ščiti	штити
ščiti	штитови
vickers	викерс
luknje	дупки
waffen	вафен
presega	надминува
game	гама
vladanje	владеење
vladanje	рејн
andre	андре
andre	андре
ban	забрани
ban	забрана
ban	бан
opredeljuje	дефинира
ema	ема
ema	ema
doktorat	докторат
doktorat	докторски
doktorat	докторат
listina	огранок
listina	повелба
listina	чартер
pljuč	дробови
nasprotnikov	противниците
nasprotnikov	противници
nasprotnikov	опоненти
okoliščine	околност
okoliščine	околности
okoliščine	околности
altlink	altlink
izola	изола
krizo	криза
silver	сребрено
silver	сребрен
silver	сребрена
silver	сребро
silver	сребрени
planine	планини
navzven	однадвор
navzven	нанадвор
agent	агентка
agent	агент
vstaja	востание
vstaja	бунтови
vzpostavitev	формирање
vzpostavitev	воспоставување
