kenian	кения
valvoo	монитори
wim	вим
vastuu	пасив
vastuu	отговорност
vastuu	отговорности
vastuu	отговорността
vastuu	отговорност
varaa	тефтер
varaa	книга
varaa	резерв
varaa	резерви
varaa	резерва
lane	лейн
vaunun	количка
vaunun	количката
vaunun	комби
vaunun	каруцата
vaunun	каруца
vaunun	фургон
googlen	гугъл
googlen	google
kulutus	потребление
kulutus	консумация
ski	ски
nilsson	нилсон
turvallisuus	сигурност
turvallisuus	охрана
turvallisuus	безопасност
turvallisuus	предпазител
ihme	чудо
ihme	чудото
ihme	чудо
ihme	чудно
alba	алба
sega	sega
turbo	турбо
lasku	упадък
lasku	спад
lasku	бил
lasku	законопроект
lasku	намаление
lasku	намаляване
lasku	спадане
lasku	кацане
lasku	приземяване
lasku	разтоварване
lasku	приземяването
lasku	фактурата
lasku	фактура
natura	натура
arabia	арабия
arabia	арабски
arabia	арабска
lou	лу
bach	бах
kalastusta	риболовен
kalastusta	риболов
lorenzo	лоренцо
värejä	цветове
värejä	цветове
europa	europa
europa	европа
alexandra	александра
ketju	верига
ketju	вериги
ketju	верижка
ketju	веригата
ptolemaios	птолемей
rikki	счупен
rikki	счупена
rikki	счупено
rikki	разбито
rikki	разбити
rikki	сяра
rikki	серен
rikki	разорен
rikki	разорени
rikki	сяра
vaihtoehtoisesti	алтернативно
brooks	брукс
thor	тор
ranger	рейнджър
tiedemies	учен
afc	афк
morrison	морисън
vartalo	тялото
vartalo	тяло
vartalo	телесно
vartalo	торса
topi	тоби
topi	тод
topi	топи
isäntä	домакин
isäntä	приемник
isäntä	водещ
isäntä	господар
isäntä	майстор
laajuus	обхват
rainer	райнер
lama	рецесията
lama	рецесия
lama	лама
lama	депресия
piirteet	характеристики
piirteet	черти
piirteet	особености
piirteet	характеристики
damon	деймън
sokrates	сократ
ilmainen	свободно
ilmainen	свободни
ilmainen	свободен
ilmainen	свободна
ilmainen	безплатни
ilmainen	безплатно
kapinallisten	бунтар
kapinallisten	бунтовник
kapinallisten	бунтовниците
fanien	вентилатори
fanien	фенове
fanien	почитатели
fanien	феновете
kirjailijoita	писатели
kirjailijoita	писателите
kirjailijoita	сценаристи
palkkaa	наемане
palkkaa	наеми
palkkaa	наемане
säätää	коригира
hiili	въглища
hiili	въглен
hiili	въглен
hiili	въглени
hiili	въглероден
hiili	въглерод
vastuuta	отговорности
vastuuta	отговорността
vastuuta	отговорност
kööpenhaminassa	копенхаген
viite	рефер
viite	препратка
viite	позоваване
viite	референтни
huumeiden	дрога
huumeiden	наркотик
huumeiden	наркотици
huumeiden	лекарство
vankien	пленници
vankien	затворници
mao	мао
saavutettu	постигнато
saavutettu	достигнат
saavutettu	достигната
saavutettu	изпълнена
saavutettu	постигнато
saavutettu	постигната
saavutettu	постигнати
saavutettu	постигнат
funk	фънк
#ei	#не
#ei	#не
ska	ска
hevoset	кончета
hevoset	коне
hevoset	конете
sävellykset	състави
sävellykset	композиции
läpimurto	пробив
myönnetään	предоставено
myönnetään	предоставен
myönnetään	предоставена
liga	лига
piireissä	кръгове
aston	астън
tuotettu	произведени
tuotettu	произведена
tuotettu	произведен
tuotettu	произведено
tuotettu	генерирани
dokumentin	документален
pysyvän	стои
pysyvän	стояща
pistää	стинг
pelko	страх
horn	хорн
horn	рог
horn	рога
ilmoitus	забележи
ilmoitus	известие
ilmoitus	предизвестие
ilmoitus	забележете
ilmoitus	обявяване
ilmoitus	съобщение
ilmoitus	обявление
ilmoitus	уведомление
ilmoitus	съобщаване
ilmoitus	уведомяване
ilmoitus	декларация
sankarit	героите
sankarit	герои
notre	notre
notre	нотр
erin	ерин
tarinoiden	истории
tarinoiden	разкази
päivien	дни
päivien	дена
yksityisen	частни
yksityisen	частно
yksityisen	редник
yksityisen	частна
yksityisen	личен
yksityisen	частен
lucy	люси
lucy	луси
piiritys	обсада
sophie	софи
uno	уно
akselin	ос
akselin	оста
akselin	ос
akselin	оси
akselin	оста
venezuelan	венецуелски
venezuelan	венецуела
omistajat	притежатели
omistajat	собственици
omistajat	собствениците
donner	донър
keskeyttää	прекъсва
erilliset	отделни
erilliset	разделени
erilliset	отделно
erilliset	отделна
erilliset	отделен
erilliset	отделени
kirjeitä	буквите
kirjeitä	букви
kirjeitä	писма
tulevaisuuteen	бъдеще
tulevaisuuteen	бъдещ
tulevaisuuteen	бъдещи
tulevaisuuteen	бъдещето
tulevaisuuteen	бъдеща
mitata	мярка
kesäkuu	джун
kesäkuu	юни
davies	дейвис
kunnia	чест
kunnia	честта
kunnia	почетен
kunnia	чест
kunnia	честта
kunnia	слава
kunnia	глори
konrad	конрад
vaikuttava	впечатляваща
vaikuttava	впечатляващи
vaikuttava	впечатляващо
vaikuttava	впечатляващ
ansaitsi	заслужена
ansaitsi	заслужено
ansaitsi	заслужил
ansaitsi	спечелени
ansaitsi	заслужи
ansaitsi	заслужено
lucius	луций
burton	бъртън
atlantis	атлантис
atlantis	атлантида
osuu	попадения
osuu	хитове
osuu	удря
osuu	удари
osuu	хит
pjotr	пьотр
linjat	линии
linjat	реплики
linjat	редове
ramsay	рамзи
vastapäätä	обратното
lainasi	назаем
jeanne	жан
jeanne	жана
veri	кръвта
veri	кръв
kitaran	китарата
kitaran	китара
luna	луна
esineet	предмети
esineet	обектите
esineet	обекти
rannan	beach
rannan	плажът
rannan	плаж
rannan	бряг
rannan	плажа
nimitetty	назначени
nimitetty	назначена
nimitetty	назначен
nikita	никита
tehtaat	фабрики
tehtaat	заводи
tehtaat	милс
tehtaat	мелници
duncan	дънкан
duncan	дънкън
hollannissa	холандия
hollannissa	холанд
gerhard	герхард
harva	няколко
harva	малцина
kilon	килограм
kilon	кило
kaappasi	отвлечен
felipe	фелипе
jokia	реки
jokia	реките
jokia	ривърс
suunnitteilla	планирани
suunnitteilla	планирана
suunnitteilla	планирано
suunnitteilla	планиран
rajattu	ограничено
rajattu	ограничена
rajattu	limited
rajattu	ограничен
rajattu	ограничени
rajattu	ограничено
rajattu	ограничена
rajattu	ограничен
rajattu	ограничени
rajattu	демаркационна
rajattu	подстригана
julkaistut	публикувани
julkaistut	публикуван
julkaistut	публикувана
julkaistut	публикувано
matkustaja	пътнически
matkustaja	пътник
matkustaja	пътника
matkustaja	пътешественик
matkustaja	пътник
matkustaja	пътешественик
matkustaja	пътник
romanttinen	романтични
romanttinen	романтично
romanttinen	романтична
romanttinen	романтик
romanttinen	романтика
romanttinen	романтичен
tulevaisuus	бъдеще
tulevaisuus	бъдещ
tulevaisuus	бъдещи
tulevaisuus	бъдещето
tulevaisuus	бъдеща
hautausmaan	гробището
hautausmaan	гробища
hautausmaan	гробище
madridissa	мадрид
pyyntö	заявка
pyyntö	молба
pyyntö	искане
rinta	гърди
rinta	гърдите
rinta	гърди
rinta	гърдата
rinta	гръд
rinta	гърда
balkanin	балкани
balkanin	балканите
balkanin	балканска
balkanin	балкански
balkanin	балкан
spider	паяка
spider	спайдър
spider	паяк
näkökulma	перспектива
näkökulma	перспективи
näkökulma	перспективата
riippuvainen	зависима
riippuvainen	зависими
riippuvainen	зависимо
riippuvainen	зависим
riippuvainen	пристрастен
riippuvainen	пристрастена
sieni	плесен
sieni	гъбички
sieni	гъбата
sieni	гъба
sieni	гъбични
sieni	гъби
sieni	гъба
suuruus	величието
suuruus	величие
alkoholia	спирт
alkoholia	алкохол
syvyys	дълбочина
wwf	wwf
leirin	лагер
konsertteja	концерти
konsertteja	концертите
valtiomies	държавник
omega	омега
työkaluja	инструменти
työkaluja	инструментите
kuuli	чул
kuuli	чух
näkymä	изглед
näkymä	гледка
näkymä	оглед
näkymä	преглед
liikkeeseen	обращение
liikkeeseen	издаването
liikkeeseen	емисия
liikkeeseen	издаване
sotia	войните
sotia	войни
simpson	симпсън
heinz	хайнц
vaihtoehtoja	алтернативи
vaihtoehtoja	възможности
vaihtoehtoja	настройки
vaihtoehtoja	опции
ylimääräinen	излишък
ylimääräinen	допълнителни
ylimääräinen	допълнително
ylimääräinen	екстра
mahdoton	невъзможно
mahdoton	невъзможен
mahdoton	невъзможна
willie	уили
lohikäärme	дракон
audi	ауди
katja	катя
katja	катя
videoita	видеоклипове
videoita	клипове
verrata	сравни
verrata	сравнение
verrata	сравняване
ajax	аякс
shakespearen	шекспир
tilojen	стопанства
rannikko	крайбрежие
rannikko	крайбрежните
rannikko	крайбрежни
rannikko	крайбрежие
rannikko	бряг
kysyy	пита
teiden	пътища
itsenäisyyttä	независимост
som	сом
kansalaisia	граждани
kansalaisia	гражданите
ladata	кача
ladata	качване
ladata	качи
ladata	сваляне
ladata	изтегли
ladata	изтегляне
käsitteitä	концепции
käsitteitä	понятия
niemimaa	полуостров
diskografia	дискография
kaksikymmentä	двадесет
metsään	уудс
piirretty	привлечени
piirretty	анимационен
piirretty	карикатура
ricardo	рикардо
massaa	масов
massaa	меса
massaa	маса
massaa	литургия
massaa	масово
trans	транс
microsoftin	майкрософт
microsoftin	microsoft
tunnustaa	признава
tunnustaa	разпознава
tunnustaa	признава
tunnustaa	признава
ruusu	роуз
ruusu	роза
ruusu	розата
harryn	хари
bergman	бергман
lähtö	отпътуване
lähtö	заминаване
lähtö	тръгване
päätöksiä	решения
islamilaisen	ислямска
islamilaisen	ислямски
ikuisesti	завинаги
ikuisesti	вечно
vatsa	коремна
vatsa	коремни
vatsa	стомах
vatsa	стомахът
vatsa	стомаха
vatsa	корем
vatsa	корем
vatsa	корема
vatsa	коремче
vatsa	шкембе
vatsa	корема
vatsa	корем
vatsa	кючек
aukko	отвор
aukko	дупка
aukko	дупката
aukko	празнина
aukko	пролука
päätä	главата
päätä	глава
päätä	решете
aloilla	секторите
aloilla	отрасли
aloilla	сектори
ohjataan	пренасочване
kurki	жерав
kurki	крейн
kurki	кран
tasainen	плоски
tasainen	апартамент
tasainen	плоско
tasainen	плоска
tasainen	плосък
tasainen	стабилен
tasainen	стабилно
tasainen	стабилна
gps	gps
curtis	къртис
arvioita	оценки
tykit	оръдия
tykit	пистолети
tykit	оръжия
tykit	пушки
tykit	оръдия
tykit	кенън
tykit	оръдие
tykit	оръдието
islamilainen	ислямска
islamilainen	ислямски
puuttuminen	отсъствие
puuttuminen	липса
puuttuminen	липса
kiinteää	твърда
kiinteää	солиден
kiinteää	твърдо
kiinteää	твърд
bosnian	босненски
huomautus	забележка
huomautus	бележка
huomautus	забележка
asunnon	апартамент
halo	хало
halo	ореол
lewisin	люис
lewisin	луис
circuit	верига
montana	монтана
vuosikymmenten	десетилетия
pelaamisen	хазарт
pelaamisen	игри
dei	деи
temple	темпъл
temple	храмът
temple	храм
jalkaa	крак
jalkaa	фут
jalkaa	крак
jalkaa	крака
huvila	villa
huvila	вила
ulkoasu	оформление
ulkoasu	подредба
ulkoasu	появата
ulkoasu	появяване
ulkoasu	поява
today	днеска
today	днес
ohjelmiston	софтуер
tunneli	тунел
norjalaiset	норвежци
opel	опел
rna	рнк
tuodaan	внасяне
tuodaan	внос
tuodaan	внесено
tuodaan	вносни
tuodaan	внесени
tuodaan	внесен
luoja	създател
mongolian	монголски
mongolian	монголия
kirkkoja	църкви
kirkkoja	църквите
mccartney	маккартни
karen	карен
karen	керън
karen	карън
milton	милтън
brysselin	брюксел
toukokuu	май
teorioita	теории
teorioita	теориите
eugene	юджийн
talojen	къщи
talojen	къщите
virginian	вирджиния
versailles	версай
lukko	катинар
lukko	заключване
lukko	заключи
lukko	ключалка
morsian	булката
morsian	булка
jumalatar	богиня
jumalatar	богинята
kuula	топка
kuula	бал
kuula	бол
kampanjan	кампанията
kampanjan	кампания
terveydenhuollon	здравеопазване
puhdasta	чисто
puhdasta	чист
puhdasta	чисти
puhdasta	чиста
puhdasta	чисто
puhdasta	чист
puhdasta	чиста
vahvistettu	потвърдено
vahvistettu	потвърден
vahvistettu	потвърдена
vahvistettu	потвърдени
vahvistettu	потвърдено
vahvistettu	проверено
vahvistettu	проверен
vahvistettu	проверена
vahvistettu	проверени
vahvistettu	подсилена
vahvistettu	подсилени
vahvistettu	усилена
vahvistettu	засилено
suvi	лятото
suvi	съмър
suvi	лято
suvi	лятно
suvi	самър
täytä	запълване
täytä	напълни
kaliforniaan	калифорния
kaliforniaan	калифорнийски
prahassa	прага
muslimien	мюсюлманин
muslimien	мюсюлмански
muslimien	мюсюлмани
muslimien	мюсюлманска
muslimien	мюсюлманите
muslimien	мюсюлмани
benny	бени
joulukuu	декември
joulukuu	декември
joulukuu	дек
petra	петра
fin	фин
fin	перка
