川西	kawanishi
脅迫	ameaçador
脅迫	ameaçando
脅迫	ameaçar
脅迫	ameaças
脅迫	intimidação
脅迫	chantagear
脅迫	chantagem
信玄	shingen
倉田	kurata
ジオン	dione
遭難	angústia
遭難	aflição
オファー	ofereça
オファー	oferta
オファー	oferecer
トランスフォーマー	transformadores
次官	subsecretário
線形	linear
線形	lineares
神楽	kagura
リプレイ	replay
リプレイ	repetir
リプレイ	repetição
コンチネンタル	continental
コンチネンタル	continentais
ウズベキスタン	uzbequistão
ウズベキスタン	usbequistão
北島	kitajima
釈放	libertação
釈放	release
釈放	solte
釈放	lançamento
釈放	liberação
エッジ	borda
エッジ	aresta
エッジ	edge
エッジ	arestas
エッジ	bordas
豊後	bungo
メイ	may
メイ	maio
メイ	pode
高額	cara
高額	caro
高額	dispendioso
高額	caros
ディビジョン	divisão
骨格	esqueleto
骨格	esqueletos
安部	abe
御所	gosho
王族	realeza
不当	injusto
不当	injusta
本間	honma
本間	homma
非公開	privada
非公開	privado
非公開	private
埠頭	cais
水族館	aquário
水族館	aquários
ロスト	perdido
ロスト	perdi
ロスト	lost
ロスト	perdida
ロスト	perdidos
ロスト	perdeu
執事	steward
大通り	avenida
大通り	boulevard
フライング	voando
フライング	voar
フライング	flying
木曽	kiso
平等	igualdade
混雑	congestionamento
混雑	congestão
混雑	congestionamentos
ブラウザ	navegador
ブラウザ	browser
うさぎ	usagi
うさぎ	coelho
うさぎ	coelhinho
うさぎ	bunny
うさぎ	coelhinha
うさぎ	coelho
うさぎ	coelhos
仕上げ	finalizando
仕上げ	terminando
仕上げ	acabamento
仕上げ	acabamentos
蓄積	acumuladas
蓄積	acumulada
蓄積	acumulado
蓄積	acumulados
特色	características
牛乳	leite
進入	abordagem
進入	aproximação
ロータリー	rotary
宮古	miyako
春樹	haruki
御殿	goten
多項式	polinomial
多項式	polinômios
プラズマ	plasma
長寿	longevidade
ルーツ	raízes
ダイジェスト	digest
ダイジェスト	digerir
育つ	cresce
クルス	cruz
辰巳	tatsumi
十字軍	cruzada
十字軍	cruzadas
チョコ	choco
去る	saindo
去る	partindo
去る	deixando
去る	deixar
独身	solteira
独身	solteiro
独身	single
独身	bacharel
独身	solteiro
独身	solteirão
ラベル	rótulos
ラベル	etiquetas
ラベル	rótulo
ラベル	etiqueta
ラベル	label
ラベル	gravadora
ファンド	fund
ファンド	fundo
スピーカー	falantes
スピーカー	oradores
スピーカー	orador
スピーカー	falante
スピーカー	oradora
スピーカー	palestrante
玲子	reiko
出羽	dewa
ファミコン	famicom
半田	handa
ディフェンス	defesa
ディフェンス	defesa
診療所	clínicas
診療所	clinica
診療所	clínica
ミッドナイト	midnight
真夜中	midnight
ピック	plectro
ピック	palheta
ピック	picareta
ピック	pick
ピック	escolhe
かおる	kaoru
セルゲイ	sergei
セルゲイ	sérgio
軍曹	sargento
アルジェリア	argelino
アルジェリア	argelina
アルジェリア	argélia
アルジェリア	argelinos
アルジェリア	argélia
ハブ	hub
名物	especialidade
ドラッグ	fármacos
ドラッグ	droga
ドラッグ	drogas
ドラッグ	arrasto
ドラッグ	arrastar
ドラッグ	arraste
ドラッグ	drag
ドラッグ	arrasta
ドラッグ	fármaco
ドラッグ	droga
ミャンマー	birmânia
ミャンマー	myanmar
ミャンマー	mianmar
カウントダウン	contagem
欲望	desejo
欲望	desejos
狭山	sayama
ホルモン	hormônio
ホルモン	hormona
ホルモン	hormônio
ホルモン	hormonas
ホルモン	hormônios
ゾンビ	zombie
ゾンビ	zumbis
ゾンビ	zumbi
ゾンビ	zumbis
ゾンビ	zombies
右京	ukyo
浜崎	hamasaki
星雲	nebulosa
星雲	nebulosas
マクロ	macro
マクロ	macros
黒崎	kurosaki
敗者	fracassados
敗者	perdedores
敗者	falhados
敗者	vencidos
敗者	falhado
敗者	perdedora
敗者	vencido
敗者	perdedor
休憩	break
休憩	quebrar
休憩	quebra
休憩	pausa
休憩	intervalo
ノイズ	ruídos
ノイズ	ruído
ノイズ	barulho
生理学	fisiologia
スケッチ	esboços
スケッチ	rascunhos
スケッチ	sketch
スケッチ	esboço
ミハイル	mikhail
内山	uchiyama
ワット	watt
ワット	wat
ブンデスリーガ	bundesliga
雅子	masako
ウルグアイ	uruguaio
ウルグアイ	uruguai
学習院	gakushuin
自慢	gabar
自慢	orgulhoso
自慢	orgulhosos
自慢	orgulho
自慢	orgulhosa
許し	perdão
三鷹	mitaka
コマーシャル	comerciais
コマーシャル	comerciais
コマーシャル	comercial
匿名	anonimato
匿名	anónimo
速い	rápido
速い	fast
メドレー	medley
松前	matsumae
明日香	asuka
ジョーダン	jordânia
ジョーダン	jordão
ジョーダン	jordan
博之	hiroyuki
村井	murai
飛騨	hida
あした	ashita
あした	amanha
あした	amanhã
行進	procissão
行進	cortejo
落ちる	fall
落ちる	outono
落ちる	queda
ワルツ	valsa
土岐	toki
コンソール	consoles
コンソール	consolas
コンソール	consola
コンソール	consoles
コンソール	console
反逆	traição
ドバイ	dubai
裏切り	traição
裏切り	traição
裏切り	traições
えみ	ime
えみ	emi
クーパー	cooper
溝口	mizoguchi
部数	exemplares
部数	cópias
トーン	tons
トーン	tone
部署	departamento
ライム	lime
ライム	lima
ライム	cal
ニコラス	nicolás
ニコラス	nicholas
ニコラス	nicolau
エイリアン	alien
エイリアン	extraterrestre
エイリアン	aliens
エイリアン	estrangeiro
エイリアン	alienígena
エイリアン	aliens
エイリアン	extraterrestres
エイリアン	alienígenas
家庭教師	tutor
カスティーリャ	castela
ロイド	lloyd
同性愛	homossexualidade
トレイ	tabuleiro
トレイ	bandeja
中身	preenchimento
中身	recheio
中身	enchimento
中身	preenchendo
スバル	subaru
ウィズ	wiz
アクティブ	ativo
アクティブ	activo
アクティブ	ativa
アクティブ	activa
アクティブ	ativos
アクティブ	ativar
アクティブ	activar
アクティブ	ative
シオン	sion
シオン	sião
シオン	zion
シオン	theon
岸田	kishida
矢島	yajima
矢島	yashima
いちばん	ichiban
カノン	canon
怖い	assustadora
怖い	assustador
怖い	assustadores
怖い	assustado
怖い	assustados
怖い	medo
怖い	assustada
ジャマイカ	jamaica
ジャマイカ	jamaicanos
ジャマイカ	jamaicano
小平	kodaira
行進曲	march
行進曲	marchar
行進曲	marcha
行進曲	março
盆地	bacia
奉仕	altruísmo
罰金	multado
罰金	multas
軽い	light
軽い	luz
軽い	leve
アンコール	bis
アンコール	encore
アンコール	angkor
フェルト	sentiram
フェルト	senti
フェルト	feltro
フェルト	sentiu
転移	transição
ストリーム	riachos
ストリーム	fluxos
ストリーム	fluxo
ストリーム	stream
馬鹿	idiota
近所	vizinhos
近所	bairro
近所	vizinhança
近所	vizinha
近所	vizinho
トロフィー	troféu
トロフィー	troféus
奇数	ímpares
奇数	estranho
奇数	ímpar
援軍	reforços
なかよし	nakayoshi
千尋	chihiro
ティーン	teen
ティーン	adolescente
ラット	rato
ラット	ratazana
ラット	rat
コイ	carpa
ペンギン	pinguins
ペンギン	pinguim
ルクセンブルク	luxemburgo
ルクセンブルク	luxembourg
クレーン	gruas
クレーン	guindastes
クレーン	guindaste
クレーン	crane
クレーン	garça
クレーン	grua
シャワー	chuveiro
シャワー	chuveiros
マヌエル	manuel
彫刻家	escultor
ペリー	perry
野中	nonaka
被告	arguidos
被告	acusados
被告	réus
被告	acusado
被告	réu
被告	ré
被告	arguido
被告	requerido
ジャガー	jaguar
ジャガー	onça
楽しみ	curtição
イヴァン	ivan
キラー	assassina
キラー	killer
キラー	matador
キラー	assassino
フィルター	filtro
フィルター	filtrar
フィルター	filtros
フィルター	filtros
村松	muramatsu
津島	tsushima
ブダペスト	budapeste
髪型	penteado
髪型	penteados
ヘクタール	hectares
ヘクタール	hectare
酒田	sakata
安井	yasui
給与	salário
給与	vencimentos
給与	salários
給与	remunerações
給与	remuneração
十字架	cruz
十字架	cross
シンシナティ	cincinnati
アトラクション	atracção
アトラクション	atração
アトラクション	atrações
アトラクション	atrativos
アトラクション	atracções
フィレンツェ	florença
クリーン	limpo
クリーン	limpe
クリーン	limpar
クリーン	limpa
こんにちは	olá
こんにちは	alô
こんにちは	hello
ナース	enfermeira
ナース	enfermeiro
アラバマ	alabama
オーロラ	aurora
恵比寿	ebisu
真空	aspirador
真空	vácuo
略奪	saques
略奪	pilhagem
発現	manifestação
北山	kitayama
上川	kamikawa
デュアル	dupla
デュアル	duplo
デュアル	dual
賃貸	arrendamento
賃貸	locação
版画	hanga
ミッキー	mickey
ミッキー	micky
変態	pervertida
変態	tarado
変態	pervertido
変態	metamorfose
ルーズベルト	roosevelt
跨線橋	viaduto
反転	inverso
反転	inversa
反転	inverter
反転	inverter
反転	flip
反転	capotou
ナナ	nana
塩基	base
祖国	pátria
祖国	pátria
シャフト	shaft
マスト	mastros
マスト	mastro
モーション	moção
モーション	motion
モーション	movimento
天理	tenri
哲夫	tetsuo
キン肉マン	kinnikuman
パイレーツ	piratas
封鎖	bloqueio
鋳造	fundição
鋳造	casting
鋳造	elenco
岩本	iwamoto
コンサルティング	consultoria
コンサルティング	consultadoria
マウンテン	montanha
七尾	nanao
リナ	rina
リナ	lina
ストーム	tempestade
ストーム	storm
火薬	pólvora
バロック	barroca
バロック	barroco
緊張	nervoso
緊張	nervosa
緊張	nervosos
緊張	tensa
緊張	tensos
緊張	tenso
緊張	tensão
緊張	tensões
イアン	lan
イアン	ian
増やす	aumente
増やす	aumentem
増やす	aumento
増やす	aumentar
増やす	aumenta
たばこ	tabaco
黒沢	kurosawa
美作	mimasaka
哺乳類	mamíferos
哺乳類	mamífero
哺乳類	mamíferos
長島	nagashima
ロペス	lópez
ロペス	lopes
ロペス	lópez
ロペス	lopez
正樹	masaki
名声	fama
名声	fame
クモ	spider
クモ	aranha
離れる	deixe
離れる	sair
離れる	deixar
樹脂	resinas
樹脂	resina
コスモ	cosmo
アドバイザー	conselheiro
