και	at
το	mga
το	ang
το	yung
από	mula
με	kay
που	aling
που	alin
κατηγορία	kategorya
τους	kanila
τους	sila
τους	silang
ήταν	ay
ένα	isa
ένα	one
ότι	na
ότι	yan
μια	isa
μια	one
έχει	has
αλλά	ngunit
αλλά	pero
μετά	then
μετά	pagkatapos
επίσης	rin
επίσης	din
όπως	parang
όπως	like
όπως	gustuhin
είχε	ay
είχε	had
είχε	nagkaroon
ενώ	habang
δύο	dalawang
δύο	dalawa
δύο	two
αυτό	ito
αυτό	nito
αυτό	na
αυτό	yan
όπου	saan
όπου	asan
όταν	kapag
όταν	kailan
μέχρι	hanggang
μία	isa
μία	one
μπορεί	pwede
μπορεί	maari
ομάδα	squad
ομάδα	grupo
ομάδα	pangkat
ομάδα	group
ομάδα	team
θέση	posisyon
θέση	opinyon
μεταξύ	pagitan
χρόνια	talamak
χρόνια	taon
πρώτη	unang
πρώτη	muna
πιο	pa
πιο	pang
ένας	isa
ένας	one
πόλη	bayan
πόλη	lungsod
πόλη	siyudad
πόλη	city
σύνδεσμοι	links
μόνο	lang
μόνο	lamang
έγινε	done
πολύ	napaka
κάθε	kada
κάθε	tuwing
κάθε	bawat
κάθε	bawat
περιοχή	rehiyon
περιοχή	lugar
περιοχή	area
περιοχή	lawak
αιώνα	siglo
αιώνα	century
αθήνα	athens
περίοδο	panahon
τότε	then
τότε	pagkatapos
όνομα	pangalan
όνομα	pong
ελλάδα	gresya
μέρος	bahagi
μέρος	part
μέρος	parte
μέρος	lugar
μέρος	pook
σήμερα	ngayon
μέσα	inside
μέσα	loob
πως	paano
πως	pano
μαζί	sama
μαζί	magkasama
διάρκεια	tagal
ιστορία	story
ιστορία	kuwento
ιστορία	kwento
ιστορία	kasaysayan
ιστορία	history
πρωτάθλημα	league
πρωτάθλημα	liga
πρωτάθλημα	kampeonato
πρωτάθλημα	championship
αργότερα	mamaya
νέα	new
νέα	bago
νέα	bagong
νέα	balita
νέα	news
περίπου	tungkol
πριν	noon
πριν	dati
πριν	bago
εθνική	national
εθνική	pambansa
εθνική	pambansang
εθνική	nasyonal
συζήτηση	usapan
συζήτηση	uusap
συζήτηση	talakayan
συζήτηση	debate
αρχείο	arkibo
αρχείο	archive
αρχείο	tipunan
αρχείο	magsampa
