табори	kampen
дордонь	dordogne
казахстані	kazachstan
рядки	rijen
рядки	lijnen
рядки	koorden
рядки	touwtjes
рядки	snaren
рядки	strings
інвестицій	beleggingen
інвестицій	investeringen
інвестицій	investering
взято	genomen
взято	meegenomen
екранізації	aanpassingen
бузеу	buzău
сутність	essentie
сутність	entiteit
личинки	larven
личинки	larve
документа	document
професії	beroepen
морів	zeeën
чернігова	tsjernihiv
компонент	bestanddeel
компонент	onderdeel
компонент	component
єврейський	joodse
єврейський	jood
єврейський	joods
інформатики	informatica
печінки	lever
напади	aanslagen
напади	aanvallen
напади	toevallen
напади	aanvallen
напади	convulsies
кларк	clarke
кларк	clark
квартал	kwart
квартал	kwartaal
квартал	kwartje
математичний	wiskunde
математичний	wiskundige
математичний	wiskundig
математичний	mathematische
математичний	wiskunde
маленька	kleine
маленька	weinig
маленька	little
маленька	klein
ювілейна	jubilee
ювілейна	jubileum
контакт	contact
контакт	contactpersoon
лад	modus
лад	mode
хмари	wolken
хмари	bewolking
популярна	populaire
популярна	populair
півкулі	halfrond
запобігти	voorkomen
запобігти	voorkom
глядачі	doelgroepen
глядачі	doelgroep
глядачі	publiek
глядачі	toeschouwers
глядачі	kijkers
перемогли	verslagen
провідний	leidende
провідний	leidend
хліба	brood
продано	verkocht
продано	verkochte
описано	beschrijft
описано	beschreven
описано	beschreef
описано	omschreven
створенню	participerende
акція	deel
акція	delen
акція	voorraad
акція	stock
зведена	verminderde
зведена	verlaagd
зведена	verminderd
зведена	gereduceerd
ізер	isère
єжи	jerzy
істоти	wezens
істоти	schepsels
угорська	hongaarse
угорська	hongaars
оздоблення	versiering
оздоблення	decoratie
виверження	uitbarsting
болівії	bolivia
ризику	riskeren
відвідування	bezoek
відвідування	bezoeken
відвідування	bezoeken
дванадцять	twelve
дванадцять	twaalf
окупація	bezigheid
окупація	beroep
окупація	bezetting
патрулювання	patrol
патрулювання	patrouilleren
патрулювання	patrouille
патрулювання	patrouilleren
друк	print
друк	afdruk
друк	afdrukken
друк	drukken
друк	printen
друк	drukwerk
друк	afdrukken
друк	drukken
друк	bedrukken
друк	printen
нуля	krabben
нуля	kras
особистість	identiteit
особистість	persoonlijkheid
лоренцо	lorenzo
люксембургу	luxemburgs
люксембургу	luxemburgse
люксембургу	luxemburg
дністер	dnjestr
помітив	opviel
помітив	opgemerkt
помітив	opgevallen
націоналістів	nationalisten
бретань	bretagne
закінчили	gedaan
закінчили	done
закінчили	klaar
мажор	majoor
мажор	major
мажор	hoofdvak
аналог	analoog
старим	ouwe
старим	oude
старим	oud
використана	gebruikt
використана	gebruikte
звичаї	douane
травми	verstoring
травми	blessure
травми	letsels
травми	letsel
травми	schade
травми	verwonding
травми	trauma
адмін	admin
адмін	beheerder
типові	standaard
типові	typische
типові	typisch
співака	zanger
співака	singer
співака	zangeres
стрілець	boogschutter
золоте	golden
золоте	gouden
золоте	gulden
латвія	letland
вождь	stamhoofd
вождь	chef
вождь	chief
вождь	opperhoofd
серйозні	ernstig
серйозні	ernstige
серйозні	serieuze
серйозні	serieus
спрямування	delegeren
спрямування	delegatie
начебто	gestoten
начебто	kennelijk
начебто	blijkbaar
начебто	schijnbaar
присутня	aanwezig
присутня	heden
присутня	presenteren
присутня	presenteer
померлих	overledene
померлих	overleden
померлих	overledenen
старт	start
старт	begin
старт	starten
старт	beginnen
згадував	vermeld
згадував	genoemd
згадував	vermeldde
тіні	schaduwen
тіні	schaduw
тіні	tini
тан	tang
тан	tan
тан	kleurtje
шекспіра	sonnetten
іде	helo
іде	heli
змінено	veranderde
змінено	gewijzigd
змінено	veranderd
змінено	gemodificeerd
змінено	gewijzigd
змінено	aangepast
рейх	rijk
рейх	reich
есе	essay
есе	opstel
есе	ese
італійською	italiaanse
італійською	italiaan
італійською	italiaans
казка	tale
казка	verhaal
казка	sprookje
подати	indienen
зруйновано	vernietigd
зруйновано	vernietigde
зруйновано	vernield
зруйновано	verwoest
вказати	specificeren
вказати	definiëren
вказати	definieer
папір	paper
папір	papier
знаменитий	beroemde
знаменитий	beroemd
залізо	strijkijzer
залізо	ijzer
відходів	afvalstoffen
відходів	afval
трофей	trofee
трофей	beker
денні	danny
денні	denny
тунісу	tunesië
знищили	vernietigd
знищили	vernietigde
знищили	vernield
знищили	verwoest
родичі	verwanten
родичі	familieleden
рідний	inheemse
рідний	inheems
рідний	native
бачення	visioen
бачення	visie
бачення	vision
бачення	zicht
олеся	olesja
іллінойс	illinois
раси	rassen
раси	races
казимир	kazimierz
казимир	casimir
георгійович	lazo
білка	eekhoorn
чоловіча	mannelijk
чоловіча	male
чоловіча	mannetje
чоловіча	mannelijke
аудіо	audio
аудіо	geluid
розділена	verdeelde
розділена	verdeeld
розділена	splitsen
розділена	split
дорослі	volwassenen
дорослі	volwassen
дорослі	volwassenen
дорослі	adult
дорослі	volwassene
перевага	gunsten
перевага	gunst
перевага	voordeel
ширину	breedte
отримано	ontvangen
отримано	opgehaald
отримано	teruggehaald
отримано	opgehaald
лівій	livius
джонні	johnny
джонні	jonny
сосна	pinus
сосна	dennen
сосна	pine
танець	dans
танець	dansje
танець	dansen
орн	orne
барабани	drumstel
барабани	trommels
барабани	trom
барабани	drums
барабани	vaten
наведення	zweven
наведення	zweef
знищені	vernietigd
знищені	vernietigde
знищені	vernield
знищені	verwoest
симфонія	symfonie
цікавий	interessante
цікавий	interessant
трагедія	tragische
трагедія	tragisch
трагедія	tragedie
бачили	gezien
пацієнтів	patiënten
пацієнтів	patienten
маргарита	margaret
маргарита	margaretha
маргарита	margarita
творець	schepper
творець	maker
творець	bedenker
вигнання	ballingschap
вигнання	verbanning
докази	bewijzen
докази	bewijzen
докази	bewijs
докази	bewijsmateriaal
побачили	zag
побачили	zagen
побачили	saw
побачили	zaag
ендр	indre
священики	priesters
священики	geestelijken
закрита	gesloten
закрита	afgesloten
кейт	kate
складність	moeilijkheidsgraad
складність	moeilijkheden
складність	moeilijkheid
складність	complexiteit
марс	mars
зеландія	zeeland
промінь	straal
промінь	balk
зима	winter
вирішувати	beslis
вирішувати	beslissen
гельсінкі	helsinki
біографічний	biografische
душ	douche
душ	douchen
душ	zielen
литві	litouwen
вагітності	zwangere
вагітності	zwanger
вагітності	drachtige
професійні	professioneel
професійні	professionele
професійні	professional
спільне	joint
спільне	gezamenlijke
спільне	gewricht
спільне	gemeenschappelijk
спільне	vaak
можлива	mogelijke
можлива	mogelijk
ярмарки	beurzen
меншин	minderheden
бондаренко	bondarenko
міцність	sterkte
міцність	kracht
товщина	breedte
товщина	dikte
атак	aanvallers
атак	hacken
піч	kachel
піч	fornuis
піч	oven
піч	oven
пряма	line
пряма	lijn
пряма	rechtstreeks
пряма	directe
пряма	direct
пряма	rechtstreekse
боки	zijden
боки	zijkanten
боки	kanten
вказана	gespecificeerde
вказана	opgegeven
вказана	gespecificeerd
валюти	munt
валюти	munteenheid
валюти	valuta
валюти	valuta
валюти	munteenheden
вагу	gewichten
вагу	gewicht
вагу	weging
вагу	gewicht
випустили	vrijgelaten
випустили	vrijgegeven
випустили	uitgebracht
відмовилися	achtergelaten
відмовилися	verlaten
відмовилися	afgewezen
відмовилися	geweigerd
відмовилися	weigerde
відмовилися	geweigerd
відмовилися	weigerden
мостів	bruggen
зелене	groen
зелене	groene
гнізда	slots
гнізда	nesten
гнізда	sockets
гнізда	socket
гнізда	stopcontact
дистриб	distributeurs
експозиція	belichting
експозиція	blootstelling
американців	amerikaan
американців	amerikanen
повстанці	rebellen
повстанці	rebels
седан	sedan
низька	laag
низька	low
низька	lage
марш	marche
марш	marsh
марш	moeras
розробники	ontwikkelaars
лицар	ridder
розвиватися	evolueren
порода	fokken
порода	voortplanten
порода	ras
порода	runderen
порода	vee
порода	rundvee
порти	havens
порти	poorten
додає	voegt
вілсон	wilson
нав	obsessies
нав	obsessie
зафіксовано	opgesloten
зафіксовано	gesloten
зафіксовано	vergrendeld
недавно	kortgeleden
недавно	recentelijk
недавно	onlangs
недавно	recent
раптом	ineens
раптом	plots
раптом	plotseling
раптом	opeens
ефективно	effectief
ефективно	effectief
ефективно	doeltreffend
ефективно	effectieve
потоки	stromen
сбу	ssu
учасника	lid
більшовики	bolsjewieken
найближчі	dichtstbijzijnde
дозволено	toegestaan
дозволено	toegelaten
дозволено	toegestane
дозволено	toegestaan
дозволено	toegelaten
дозволено	toegestane
виділено	uitgelicht
виділено	gemarkeerd
виділено	gemarkeerde
виділено	toegewezen
додано	toegevoegd
додано	toegevoegde
датою	datum
рабів	slaven
постійної	repetitieve
злочин	misdrijf
злочин	misdaad
злочин	crime
злочин	criminaliteit
більшого	grotere
більшого	groter
полотно	canvas
полотно	doek
пуатьє	poitier
скорочено	kort
скорочено	short
скорочено	korte
переворот	staatsgreep
переворот	coup
допомагають	helpen
стокгольм	stockholm
рукопис	handschrift
рукопис	manuscript
комерційний	commerciële
комерційний	commercieel
хроніки	kronieken
автобусів	opvallend
автобусів	treffend
гарнізон	garnizoen
гарнізон	garrison
матеріально	financieel
сьєрра	sierra
апостолів	gezanten
апостолів	boodschappers
апостолів	apostelen
оператори	operators
оператори	operatoren
оператори	exploitanten
прикраси	juwelen
прикраси	sieraden
прикраси	bling
прикраси	ornament
прикраси	juwelen
прикраси	sieraden
прикраси	snoepje
прикраси	snoepgoed
прикраси	snoep
прикраси	candy
конференцій	congressen
конференцій	conferenties
витоків	lek
витоків	lekken
починаються	beginnend
екран	screen
екран	scherm
екран	beeldscherm
стратегія	strategie
економічне	economische
економічне	economisch
економічне	zuinig
арабських	arabier
арабських	arabisch
альманах	almanak
франк	frank
франк	franc
франк	franck
мама	mama
мама	mam
мама	mama
мама	moeder
мама	ma
мама	mam
мама	mama
мама	mamma
богиня	godin
публічно	publiekelijk
валовий	gross
валовий	bruto
псевдо	pseudo
арешт	arrestatie
арешт	arresteren
арешт	aanhouding
підйом	beklimmen
підйом	klim
підйом	klimmen
одесса	odessa
кримський	krim
кримський	krim
сел	sal
льюїс	lewis
овернь	auvergne
заявки	biedingen
носити	draag
носити	wear
