から	від
日本	японія
日本	японію
日本	японії
日本	nippon
この	цей
この	ця
まで	доки
まで	до
まで	поки
まで	доки
まで	till
まで	поки
また	також
昭和	сьова
もの	things
もの	речі
もの	речей
大学	університети
大学	університет
大学	коледж
大学	коледжі
大学	внз
大学	коледжі
テレビ	телебачення
放送	трансляція
放送	ефіри
放送	трансляція
東京	токіо
東京	tokyo
削除	вилучено
削除	вилучені
削除	вилучення
削除	видалення
削除	вилучення
削除	прибрати
削除	видалити
削除	вилучити
削除	вилучення
削除	видалити
削除	вилучити
現在	поточні
現在	поточний
現在	поточна
現在	течія
現在	струм
現在	зараз
現在	наразі
現在	сьогодення
現在	подарунок
現在	теперішній
現在	присутні
現在	присутня
学校	школах
学校	шкіл
学校	школа
学校	училище
これ	цей
これ	ця
世界	світовий
世界	світ
世界	світе
世界	world
アメリカ	америка
でも	але
について	приблизно
について	інфо
について	про
について	щодо
作品	працює
作品	дискографія
作品	руслани
時代	епоха
映画	фільм
映画	кіно
映画	кінематограф
映画	cinema
映画	кіно
映画	фільм
映画	плівка
映画	знімали
映画	фільми
映画	кіно
監督	режисер
監督	директор
監督	нагляду
監督	опіки
監督	нагляд
鉄道	машиніст
鉄道	залізниця
鉄道	залізниця
鉄道	залізниці
鉄道	залізнична
鉄道	залізниця
使用	використати
使用	використовувати
使用	користування
使用	використання
出演	виступи
出演	вигляд
出演	зіграла
明治	мейдзі
時間	годин
時間	години
時間	година
時間	години
時間	годину
時間	тайм
時間	час
開始	початок
開始	починаємо
開始	запустити
開始	розпочати
開始	старт
開始	запускати
開始	початок
開始	почати
開始	вступної
シリーズ	серія
シリーズ	серії
シリーズ	ряд
シリーズ	ряди
のみ	лише
のみ	тільки
記事	стаття
記事	статтю
記事	публікації
記事	історія
記事	сюжет
記事	розповідь
記事	публікація
記事	історії
記事	публікації
記事	розповіді
記事	статті
記事	статтями
記事	статей
活動	заняття
活動	діяльності
活動	діяльність
選手	гравців
選手	гравці
選手	спортсмени
しかし	але
研究	студій
研究	вивчає
研究	дослідження
研究	дослідження
研究	research
会話	спілкування
会話	розмови
会話	розмова
会話	бесіда
会話	розмови
会話	бесіди
大阪	осака
大会	конвенції
大会	конвенція
チーム	команди
チーム	команда
存在	існування
優勝	вигравати
優勝	забив
優勝	виграш
優勝	перемагає
所属	належать
国際	міжнародний
国際	міжнародна
国際	міжнародні
国際	інтернаціонал
国際	міжнародне
一部	дехто
一部	деякі
一部	якесь
一部	якийсь
一部	трохи
一部	частково
結果	результат
結果	результати
アルバム	альбому
アルバム	альбом
アルバム	альбомів
アルバム	альбоми
バス	шини
バス	бус
バス	шина
バス	автобус
バス	бас
バス	басс
バス	автобуси
ゲーム	ігри
ゲーム	гра
ゲーム	гри
ゲーム	гру
ゲーム	ігор
ゲーム	games
ゲーム	ігри
問題	випуск
問題	видання
問題	задача
問題	проблему
問題	проблема
問題	проблем
問題	проблеми
問題	питань
問題	проблеми
問題	питання
リーグ	ліга
リーグ	льє
利用	викупити
開発	розвитку
開発	розвиток
開発	розробка
事業	бізнес
事業	справа
事業	ділова
事業	business
事業	діловий
決定	рішенням
決定	рішення
決定	рішення
決定	рішень
音楽	музика
音楽	музики
音楽	музик
音楽	музиці
音楽	музику
転送	переслати
転送	вперед
転送	пересилання
転送	трансфер
転送	перенесення
転送	передати
転送	перенесення
転送	передачу
転送	передачі
転送	передач
転送	перенесення
情報	info
情報	інформації
情報	інформація
情報	відомості
情報	інформація
公式	формула
公式	офіційні
公式	офіційна
公式	офіційний
公式	офіційне
参加	приєднатися
参加	приєднатись
参加	приєднання
参加	долучитися
参加	приєднуйтесь
参加	приєднуйтеся
参加	участі
参加	участь
地域	регіони
地域	регіонів
地域	регіонах
地域	областях
地域	ділянку
地域	регіон
変更	зміни
変更	зміна
変更	змінити
変更	зміна
変更	change
変更	змінити
編曲	організувала
編曲	організували
編曲	домовились
編曲	домовленість
編曲	аранжування
編曲	розташування
サイト	сайт
サイト	сайти
サイト	сайтів
サイト	юнеско
記録	запис
記録	записати
記録	записувати
記録	рекорд
記録	запис
関係	відношення
関係	відносини
クラブ	club
クラブ	клуб
クラブ	клуби
クラブ	жир
クラブ	клубів
中央	central
中央	центральний
中央	центральна
中央	центр
中央	центр
同じ	збігається
同じ	однаковий
同じ	однакові
同じ	same
同じ	самий
設立	встановлено
設立	подальшому
設立	заснований
設立	інкорпорація
設立	заклад
考え	роздуми
考え	мислення
考え	думки
教育	освіта
教育	освіти
教育	education
プロ	pro
プロ	профі
プロ	правозахисники
設置	встановлення
発表	оголошення
発表	анонс
小学校	елементарні
小学校	початковій
編集	edit
編集	редагувати
編集	правка
編集	змінити
編集	edits
編集	редагування
編集	монтаж
編集	зміна
編集	змінити
シーズン	season
シーズン	сезон
シーズン	сезону
シーズン	сезони
ファイル	файли
ファイル	файлів
ファイル	файл
フランス	франції
フランス	франція
フランス	францію
都市	місто
都市	міста
都市	городи
都市	містах
都市	міст
出版	видавець
出版	видавництво
出版	оприлюднення
出版	публікацією
出版	публікація
出版	публікування
出版	публікацію
出版	публікація
会社	фірмі
会社	фірми
会社	фірма
会社	компанія
会社	компанії
会社	компаній
会社	компаніями
世紀	сторіччя
世紀	століття
世紀	століть
世紀	ст
世紀	століття
世紀	century
ノート	зауваження
ノート	примітки
ノート	зауважте
ノート	примітка
ノート	нота
ノート	нотаток
ノート	нотатки
ノート	примітки
ノート	записник
ノート	зошит
京都	кіото
社会	суспільство
社会	товариства
社会	товариство
社会	товариств
ドイツ	німеччини
ドイツ	німеччині
ドイツ	німеччина
ドイツ	німеччину
開催	тримали
開催	проведено
シングル	окремі
シングル	single
シングル	самотній
センター	центр
センター	центр
終了	вихід
終了	вийти
終了	фініш
終了	завершити
終了	закінчити
終了	завершити
終了	кінець
終了	закінчити
終了	закінчиться
終了	закінчення
終了	завершено
終了	завершені
終了	закінчено
終了	закінчиться
終了	закінчив
終了	вихід
終了	виходу
終了	вийти
中心	центр
中心	центр
内容	контент
内容	вміст
内容	зміст
内容	матеріали
内容	вміст
内容	зміст
文化	культура
イギリス	англія
ドラマ	драматичний
ドラマ	драма
ドラマ	драми
さらに	далі
中国	china
中国	китаї
中国	китаю
中国	китай
撮影	кінематограф
撮影	фотографія
撮影	зйомки
撮影	знімати
撮影	доходить
撮影	знімаю
選手権	чемпіонський
選手権	чемпіонат
野球	бейсбол
指定	позначення
指定	вказати
指定	вкажіть
位置	розташування
位置	позиція
位置	положення
位置	позиції
以下	нижче
以下	знизу
マン	mann
卒業	змістовні
卒業	здобули
卒業	випускний
人物	особа
人物	особи
文庫	bunko
公開	публічний
公開	громадське
公開	паблік
公開	відкритий
公開	публічна
公開	громадського
公開	оприлюднити
公開	опублікувати
北海道	хоккайдо
最終	останній
最終	остання
最終	останнє
最終	фінал
最終	остаточний
最終	final
アニメ	аніме
確認	підтвердити
確認	підтвердження
確認	підтвердити
一般	загальні
一般	генерал
一般	загальний
一般	загальне
歴史	журнал
歴史	історія
歴史	історії
選挙	вибори
選挙	вибори
計画	запланована
計画	заплановано
計画	запланований
計画	заплановане
計画	планування
計画	плануємо
計画	спланувати
計画	планувати
計画	план
