dhe	και
një	ένας
një	ενα
një	μία
një	ένα
një	μια
nga	απο
nga	από
për	για
për	for
nuk	όχι
nuk	οχι
ishte	ήταν
duke	έχοντας
shumë	πολυ
shumë	πολύ
por	αλλά
por	αλλα
por	μα
pas	μετα
pas	μετά
pas	ακολουθώντας
pas	ακολουθεί
pas	ακόλουθες
këtë	αυτο
këtë	αυτό
parë	δει
parë	εθεάθη
tyre	τους
mund	can
mund	μπορεί
gjatë	μακρύς
gjatë	μακρύ
gjatë	λονγκ
gjatë	long
disa	μερικές
disa	κάποια
disa	κάποιοι
disa	μερικοί
disa	μερικά
lidhje	σύνδεσμοι
lidhje	δεσμοί
lidhje	συνδέσεις
lidhje	συνδέσμους
lidhje	σχέση
lidhje	σχεση
lidhje	σύνδεση
lidhje	σύνδεσμο
lidhje	σύνδεσμος
lidhje	λινκ
lidhje	δεσμός
lidhje	link
lidhje	σύνδεση
kjo	αυτο
kjo	αυτό
kjo	αυτό
kjo	ότι
kjo	that
kur	πότε
kur	όταν
kur	οταν
mbi	over
mbi	ανωτέρω
mbi	παραπάνω
deri	μεχρι
deri	μέχρι
deri	έως
jashtme	εξωτερική
jashtme	εξωτερικά
jashtme	εξωτερικό
jashtme	εξωτερικός
saj	its
kishte	είχε
ajo	αυτή
ajo	εκείνη
vetëm	μόνοι
vetëm	μονη
vetëm	μόνη
vetëm	μόνος
vetëm	μόνον
vetëm	μόνο
vetëm	μονο
vetëm	απλα
vetëm	απλά
vetëm	απλώς
ata	τους
ata	αυτοί
tjera	λοιπά
tjera	αλλα
tjera	άλλες
tjera	άλλα
pjesë	μέρη
pjesë	μέρος
pjesë	μεροσ
atë	αυτόν
shqiptare	αλβανός
shqiptare	αλβανοί
shqiptare	αλβανική
shqiptare	αλβανικά
madhe	μεγάλη
madhe	μεγάλα
madhe	μεγάλος
madhe	μεγάλο
rreth	περίπου
rreth	γύρω
rreth	γυρω
rreth	τριγύρω
para	χρήμα
para	χρήματα
para	λεφτά
para	κας
para	μετρητά
para	πρίν
para	πριν
per	περίπου
per	για
per	for
këto	αυτά
këto	αυτές
këto	οἱ
këto	αυτα
banorë	κάτοικοι
banorë	κατοίκους
banorë	κάτοικοι
banorë	κατοίκους
komuna	δήμους
komuna	δήμοι
komuna	δήμος
cila	που
nje	ένας
nje	ενα
nje	μία
nje	ένα
nje	μια
kundër	μετρητής
kundër	πάγκο
kundër	ενάντια
kundër	κόντρα
kundër	εναντίον
lista	λίστα
lista	κατάλογος
lista	κατάλογοι
lista	λίστες
kantoni	κάντον
gjithashtu	επισης
gjithashtu	επίσης
ndërsa	ενώ
ndërsa	ενω
cilat	που
ndryshme	διαφορετικός
ndryshme	διαφορετικά
ndryshme	διαφορετικοί
ndryshme	διαφορετική
ndryshme	διαφορετικό
ndryshme	αποκλίνουσες
etj	κλπ
duhet	αναγκη
duhet	ανάγκη
duhet	πρέπει
sipërfaqe	επιφάνειες
sipërfaqe	επιφάνεια
ato	τους
ato	αυτοί
përgjithshëm	στρατηγός
përgjithshëm	γενική
përgjithshëm	γενικές
përgjithshëm	γενικά
përgjithshëm	γενικό
tjetër	λοιπά
tjetër	αλλα
tjetër	άλλες
tjetër	άλλα
tjetër	επόμενος
tjetër	επόμενη
tjetër	επόμενο
njohur	οικεία
njohur	οικείος
njohur	οικείο
njohur	αναγνωρισμένο
njohur	αναγνωρίζεται
njohur	αναγνωρίστηκε
njohur	αναγνωρισμένη
njohur	αναγνωρίζεται
njohur	αναγνωρισμένο
njohur	αναγνωρισμένος
njohur	αναγνωρισμένη
njohur	αναγνωρισμένα
njohur	γνωστή
njohur	γνωστός
njohur	γνωστό
njohur	γνωστοί
njohur	γνωστές
shqiptar	αλβανός
shqiptar	αλβανοί
shqiptar	αλβανική
shqiptar	αλβανικά
style	στυλ
style	ύφος
style	στιλ
dytë	δεύτερο
dytë	δεύτερος
dytë	δεύτερη
mirë	καλή
mirë	καλο
mirë	καλό
mirë	καλά
mirë	καλα
fundit	τελευταίο
fundit	τελευταίοι
fundit	τελευταίος
fundit	τελευταια
fundit	τελευταία
pasi	μετα
pasi	μετά
shiko	δείτε
shiko	βλέπεις
shiko	βλέπε
shiko	δειτε
shiko	κοίτα
nën	κατωτέρω
nën	κάτω
nën	παρακάτω
nën	κατω
nën	υποβρύχιο
nën	υπο
nën	υπό
jpg	jpg
herë	πάσο
herë	times
herë	φορές
herë	χρόνοι
viti	ετος
viti	έτος
viti	χρονιά
viti	έτο
sot	σημερα
sot	σήμερα
çdo	κάθε
çdo	καθε
çdo	οποιαδήποτε
lartë	high
lartë	ψηλά
lartë	υψηλή
