年	год
月	мун
月	луна
月	луну
月	месяца
月	месяцы
月	месяцев
月	месяц
月	месяца
日	день
日	day
日	дэй
和	и
村	деревне
村	село
村	деревня
人	чел
人	мужик
人	человек
人	мужчина
人	man
人	народ
人	людей
人	люди
小行星	астероидов
小行星	астероид
大	большая
大	big
大	большие
大	большой
大	биг
重	тяжелых
重	тяжелая
重	тяжелые
重	тяжёлая
重	тяжелый
重	тяжёлый
重	тяжелее
一	одна
一	one
一	одно
一	один
定向	ориентация
定向	ориентации
定向	направленность
定向	направленная
定向	направленный
定向	направленное
但	но
也	также
後	после
後	after
留言	сообщение
留言	послание
市	city
市	город
市	города
市	муниципалитет
克	грамм
新	новые
新	новинка
新	новая
新	новый
新	новых
新	новое
站	станция
站	station
站	вокзал
站	станции
站	стенд
站	стоять
州	штат
州	состояние
州	государство
研究	изучение
研究	исследование
研究	исследований
研究	исследования
研究	исследований
研究	исследования
研究	исследование
日本	japan
日本	японии
日本	япония
三	три
三	трое
前	до
前	перед
前	прежде
家	дом
家	дома
家	домой
家	домашний
家	home
近	вблизи
近	рядом
近	близко
米	рис
米	метров
多	более
多	больше
多	еще
使用	использование
使用	употребление
使用	использования
使用	использование
使用	используя
使用	используйте
使用	использование
使用	использовать
使用	используется
使用	использовано
使用	используемый
使用	используемые
使用	использован
基	кей
基	кэй
王	король
王	кинг
王	царь
王	king
王	ван
林	лам
林	лин
公司	корпоративной
公司	корпоративные
公司	корпоративное
公司	корпоративный
公司	компания
公司	company
公司	рота
公司	компании
公司	компаниям
公司	компании
公司	компаний
李	ли
一個	одна
一個	one
一個	одно
一個	один
西	запад
西	уэст
西	западная
西	западный
西	вест
省	область
省	провинция
省	мухафазе
省	воеводство
度	градусов
度	степени
度	степень
度	степени
卡	карты
卡	карточки
卡	открытки
卡	карта
卡	карту
卡	карточка
二	два
二	две
二	двое
小	маленькая
小	маленькие
小	малых
小	маленький
小	мелкие
小	малые
小	little
小	маленький
小	маленькая
小	мало
小	маленькие
小	крошечный
小	крошечные
相似	аналогичная
相似	похожие
相似	аналогичное
相似	аналогичные
相似	схожие
相似	сходство
相似	сходства
相似	сходство
區	зона
區	зоны
區	округ
區	район
區	область
區	район
區	площадь
人口	население
人口	демографические
人口	демографических
人口	демографии
人口	населения
人口	население
四	четверо
四	четыре
政府	правительств
政府	правительства
政府	правительствам
政府	правительство
道	дао
將	воля
將	будет
將	уилл
高	высокий
高	high
高	высоко
高	высокого
高	высокая
高	высокий
高	высокие
高	высокая
高	гао
美國	america
美國	америка
集	комплект
集	сет
集	набор
集	установить
集	серия
集	эпизод
台灣	тайвань
布	ткань
布	ткани
世界	world
世界	мир
南	нэн
南	южная
南	юг
南	южный
南	южной
南	дн
路	дорога
路	дорожной
路	road
路	роуд
五	пятеро
五	пять
本	бэн
本	бен
金	джин
金	золотой
金	золотая
金	gold
金	золото
金	золотые
金	ким
曾	цзэн
文	вен
林肯	линкольн
人民	народ
人民	людей
人民	люди
包括	включенные
包括	включено
包括	включить
包括	включать
包括	включая
包括	включает
峰	пик
峰	пикс
峰	вершины
位於	расположенных
位於	расположенный
其他	другой
其他	другая
其他	другое
其他	другие
其他	прочие
其他	другие
其他	прочие
塔	пагода
塔	башня
塔	tower
塔	тауэр
縣	графство
縣	округе
縣	округ
縣	кантон
第一	первый
第一	сначала
第一	первое
第一	первая
第一	first
任	рен
時間	время
時間	времени
時間	тайм
時間	time
比	соотношение
元	мета
元	юаней
元	доллар
元	победила
元	выиграла
元	выиграл
元	победил
中國	china
中國	китай
六	шесть
六	six
六	шестеро
六	шестой
主要	основных
主要	майор
主要	основная
主要	основные
主要	главная
主要	основных
城	city
城	город
城	города
城	замок
城	касл
法	способ
法	метод
中心	центров
中心	центры
中心	центр
中心	центр
線	линии
線	строка
線	линия
線	line
線	строк
線	линии
線	линий
線	строки
線	нитки
線	нити
線	нить
第二	секунда
第二	второй
第二	вторая
第二	второе
山	горы
山	горный
山	гора
山	горных
山	горы
山	гора
山	маунт
山	холм
山	хилл
山	hill
山	горы
加	добавить
加	добавьте
加	плюс
加	plus
太空	пространство
太空	космической
太空	космос
太空	space
自己	себя
自己	сам
張	ченг
張	чанг
張	чан
張	чжан
內	внутренней
內	внутренняя
內	внутренний
內	внутреннее
主	господь
主	лорд
雷	ray
雷	рэй
雷	рей
管理	менеджмент
管理	руководство
管理	управление
管理	управление
管理	управлять
成為	стать
成為	стань
建	строить
建	построить
建	построенный
建	построено
建	построена
建	построенные
建	построен
建	построили
性	сексуальность
性	сексуальное
性	сексуальные
性	сексуального
性	сексуальный
性	сексуальная
性	секс
代表	представителям
代表	представителей
代表	представители
代表	представитель
代表	представителю
代表	представителя
代表	делегат
那	тогда
那	потом
那	затем
公里	километров
公里	километр
公里	км
公里	километров
海	моря
海	море
海	sea
海	океан
海	океана
這	this
這	это
這	эта
這	этот
大學	университеты
大學	университет
大學	коллегия
大學	колледж
版	издание
版	версии
版	версия
從	от
從	from
從	из
羅	ло
原	оригинальная
原	оригинально
原	оригинальные
原	первоначального
原	оригинальный
原	оригинал
原	хара
工作	работа
工作	работа
工作	работы
工作	труд
工作	вакансии
工作	работа
工作	работаем
工作	рабочий
工作	рабочей
北	кита
北	северный
北	северная
北	север
北	норт
北	северной
政治	политики
政治	политика
政治	политических
政治	политическая
政治	политический
星	star
星	звезда
星	стар
星	звёзды
星	звезды
她	she
她	она
陳	чен
陳	чэнь
陳	чан
陳	тян
他的	его
面	лапша
面	лапшу
作品	работает
河	ривер
河	река
河	реки
文化	культура
文化	культур
文化	культуры
條目	записи
馬	коней
馬	кони
馬	лошадей
馬	лошади
馬	лошадь
馬	лошадка
馬	конь
氏	клан
氏	тхи
更	более
更	больше
更	еще
曼	манн
電影	фильм
電影	кино
電影	кинотеатр
電影	кино
電影	фильм
電影	film
電影	кино
電影	фильмы
電影	кино
季	сезон
季	сезонов
龍	драконов
龍	драконы
龍	лёгкие
龍	легкие
龍	легкое
龍	легких
龍	лёгкое
龍	dragon
龍	дракона
龍	дракон
女	женщину
女	женщина
女	женское
女	женщины
女	женский
女	женская
女	женщина
正式	официально
正式	формально
正式	официально
正式	формальный
正式	формальные
外	снаружи
外	вне
明	мин
明	минг
美	красавица
美	красивые
美	красивая
美	красиво
美	красота
字	слово
字	word
字	слов
字	слова
北京	пекин
北京	пекинской
不同	разные
不同	различных
足球	футбол
足球	футбол
目前	текущий
目前	текущее
目前	нынешней
目前	текущие
目前	текущая
所有	всем
所有	всех
所有	all
所有	все
部分	частичный
部分	частичная
