cinematograf	فلمسازی
iranian	پشتو
iranian	ایرانی
soartă	تباہی
soartă	مآل
soartă	بربادی.
soartă	موت
confirmarea	توثیق
amiază	دوپہر
avansează	قرضہ.
avansează	ترقی.
avansează	رقم
absorbție	انہماک
absorbție	استغراق
accept	عہدے
accept	ہنڈی
accept	(الف)(رائے
accept	چاہنا
accept	عہدے
accept	ہنڈی
accept	ماننا
accept	(الف)(رائے
accept	چاہنا
proeminent	اُبھرواں
proeminent	اہم
proeminent	امتیازی.
proeminent	نمایاں
vapori	دھواں
vapori	بخارات
vapori	بھاپ.
vapori	دُھند
vacanța	چھٹی.
vacanța	منانا.
vacanța	تعطیلات
norocul	اتفاق
norocul	مقّدر.
norocul	بختاوری
barcă	بادبانی
constructive	متبادر
constructive	مفید
constructive	مثبت
constructive	ماخوذ
constructive	ترکیب
constructive	معاون
sting	لوٹنا
sting	کھٹک.
sting	چبھن
sting	ڈنک
sting	خلش
sting	کانٹا.
sans	بغیر
sans	بدون.
sans	بلا
lichidă	رواں.
lichidă	شفاف
lichidă	کھلا
lichidă	ترل
lichidă	ہوا
lichidă	ہائڈروجن)
lichidă	ُسریلی
lichidă	رواں.
lichidă	سیّال
lichidă	شفاف
lichidă	کھلا
lichidă	ترل
lichidă	رقیق
lichidă	ہوا
lichidă	ہائڈروجن)
lichidă	ُسریلی
abrupte	اچانک
abrupte	نشیب.
abrupte	ڈھالو
abrupte	اتار
abrupte	(بعدہ
abrupte	ڈھلان
abrupte	غیرمعمولی
spontană	رواں.
spontană	خودرو
spontană	ازخود
spontană	اضطراری
spontană	فطرتی
fibră	ریشم
fibră	ترکیب
fibră	افتاد
fibră	اصلیت
fibră	اون
fibră	ساخت
fierul	آہنی.
fierul	سخت
fierul	لوہا
fierul	ٹانک
medicament	تدارک
medicament	چٹکلا.
medicament	علاج
medicament	دارو.
medicament	دوا
handicap	بندش
handicap	رکاوٹ
handicap	لاچاری
handicap	مجبوری
handicap	اثاثے
chandler	پنساری
chandler	صابن
chandler	تیل
repararea	پہنچ.
repararea	شہرت
repararea	چرچا.
repararea	سدھارنا
repararea	رجوع
repararea	رسائی
repararea	مرجع
repararea	مقبولیت
hidrogenul	ہائڈروجن
dominant	حاوی
dominant	ارفع
dominant	نمایاں
dominant	مسلّط
loialitatea	وفاداری
manuală	جسمانی
manuală	جسمانی
manuală	دستی
patronajul	امداد
patronajul	امداد
patronajul	سرپرستی
extraterestru	غیر
extraterestru	مخالف
extraterestru	پردیسی
extraterestru	غیر
extraterestru	مخالف
extraterestru	اجنبی
extraterestru	بیگانہ
extraterestru	پردیسی
mireasa	عروسہ
mireasa	دلہن
mireasa	عروس
mireasa	عروسہ
mireasa	دلہن
bishop	پیلا.
bishop	فیل
finite	غائب
finite	جمع
pulmonar	ریوی.
twilight	انحطاط
twilight	جُھٹپٹا
twilight	زوال
twilight	تباہی.
ficat	باسی
ficat	جگر
ficat	کبد
ficat	کبدی.
plăcută	خوشگوار
plăcută	پُرلطف
plăcută	دماغ
zidărie	(masonry)
transmit	روشنی
beau	سہیلا
beau	آشنا.
cubi	کعبی.
cubi	مکعبی
confirma	پختہ
confirma	توثیق
confirma	املاک
reluarea	بازیافت
sonny	بیٹا.
sonny	خوردگان
swan	لچکیلی
swan	ہنس
swan	لچکیلی
ceață	بھاپ.
ceață	مبہم.
ceață	فضا)
ceață	مبہم.
ceață	فضا)
ceață	دُھندلا
ceață	مبہم
ceață	کہرا
heat	تابستان.
heat	تابش
heat	غصہ
heat	تپ
heat	غضب.
heat	چرچراہٹ
heat	بھڑکانا
heat	گرمانا.
heat	حدت
heat	تابستان.
heat	تابش
heat	غصہ
heat	تپ
heat	غضب.
heat	چرچراہٹ
heat	تپانا
heat	بھڑکانا
heat	گرمانا.
heat	حدت
tactica	تعیناتی
tactica	پینترا.
tactica	تدبیر
tactica	چال
blade	تلوار.
arata	کاروبار
arata	out
arata	(بعدہ
arata	تصویر
arata	دکھاوا
arata	دکھانا
arata	کاروبار
arata	out
arata	کھیل
arata	تماشا
arata	(بعدہ
arata	تصویر
arata	دکھاوا
arata	دکھانا
joint	جوڑوں
joint	مفصلہ
joint	گرہ
joint	اڈا.
mick	آئرستانی.
mat	ربڑ
mat	فرش
mat	کاگ
mat	چٹائی
mat	ربڑ
mat	فرش
mat	کاگ
blond	بھورے
dilema	تعطّل
eficace	نافذ
dependente	محمول
