নির্বাচক	селектора
কিনতে	купувам
কিনতে	купи
আলাস্কা	аляска
সাইবার	кибер
ক্যান্ডি	бонбон
ক্যান্ডি	бонбони
ক্যান্ডি	кенди
রিচি	ричи
রিচি	ричи
কাসিম	касим
মৌমাছি	пчелите
মৌমাছি	пчели
মৌমাছি	бий
মৌমাছি	пчела
ওক	дъб
ওক	оук
পলিমার	полимер
জিরো	нулева
জিরো	нула
জিরো	нулев
চোর	крадците
চোর	крадци
চোর	крадец
চোর	кражба
চোর	кражби
অব্যাহতি	бягство
অভ্র	слюда
মেঝে	етажите
মেঝে	подове
মেঝে	етажи
মেঝে	етажа
মেঝে	настилка
মেঝে	подът
মেঝে	пода
মেঝে	етаж
চেন	чен
শরৎ	есента
শরৎ	есен
উজবেক	узбекски
পরিণতি	съдба
পরিণতি	съдбата
পরিণতি	последици
পরিণতি	последствия
পরিণতি	последствията
রোমাঞ্চকর	вълнуващо
রোমাঞ্চকর	вълнуващи
রোমাঞ্চকর	вълнуваща
রোমাঞ্চকর	вълнуващо
উপার্জন	приходи
উপার্জন	доходи
উপার্জন	печалби
ব্যাটালিয়ন	батальона
ব্যাটালিয়ন	батальон
বলেছে	каза
বলেছে	саид
বাস্তবায়িত	приложено
বাস্তবায়িত	приложени
স্রোত	приливът
স্রোত	прилив
স্রোত	течения
স্রোত	теченията
স্রোত	токове
কাদা	кал
কাদা	калта
কাদা	тиня
কাদা	кални
কাদা	глина
কাদা	клей
টেম্পল	темпъл
টেম্পল	храмът
টেম্পল	храм
নমনীয়	гъвкави
নমনীয়	гъвкаво
নমনীয়	гъвкава
নমনীয়	гъвкав
ওষুধের	лекарства
ওষুধের	дрога
ওষুধের	наркотици
বন্দীদের	пленници
বন্দীদের	затворници
বন্দীদের	заложници
বন্দীদের	заложниците
বন্দীদের	задържани
বন্দীদের	задържаните
আযম	азам
হারায়	губи
পটাসিয়াম	калиев
পটাসিয়াম	калий
ডেনিশ	датски
ত্রিভুজ	триъгълника
ত্রিভুজ	триъгълник
ট্রিলিয়ন	трилиона
মানসিকভাবে	психически
মানসিকভাবে	душевно
মানসিকভাবে	мислено
মানসিকভাবে	умствено
মানসিকভাবে	психологически
লুনা	луна
ডেটা	дейта
ডেটা	данни
গ্রাস	трева
গ্রাস	тревата
প্লাজা	plaza
প্লাজা	плаза
গৌড়ীয়	гаудия
পাল্টে	промени
পাল্টে	смяна
পাল্টে	промяна
এট	яла
এট	ял
এট	изяде
ক্যাপ	капачка
ক্যাপ	осп
ক্যাপ	кап
ট্যাংক	резервоар
ট্যাংক	танк
ট্যাংক	цистерна
ট্যাংক	резервоари
ট্যাংক	танкове
ট্যাংক	цистерни
ইউরেনিয়াম	уран
গিল্ড	гилдията
