گوینده	vorbitor
حرام	interzis
حرام	interzisa
حرام	interzise
حرام	interzis
حرام	interzisa
حرام	interzise
محراب	altarul
محراب	altar
محراب	sanctuar
محراب	sanctuarul
اقیانوسی	oceanic
اقیانوسی	oceanul
اقیانوسی	ocean
گیتی	univers
گیتی	universul
گیتی	cosmos
گیتی	cosmosul
رید	reid
رید	trestie
رید	reed
عموی	unchiul
عموی	unchi
جودو	judo
پژو	peugeot
رجایی	rajai
مسائلی	problemele
مسائلی	probleme
تامیل	tamil
نوسنگی	neolitic
کورت	curt
کورت	kurt
خطبه	predica
خطبه	predica
نزاع	disputa
نزاع	contesta
نزاع	disputa
نزاع	litigiu
نزاع	cearta
نزاع	conflictul
نزاع	conflicte
نزاع	conflict
نزاع	cearta
داروین	darwin
غواصی	scufundari
غواصی	scufundare
غواصی	scufundare
بلوط	chestnut
بلوط	ghinde
بلوط	castane
بلوط	stejarul
بلوط	stejar
بلوط	oak
دستورات	ordine
دستورات	ordinele
دستورات	comenzi
تقارن	simetrie
رونمایی	dezvaluita
رونمایی	dezvaluit
اسراییل	israel
اسراییل	israelului
اسراییل	israelul
اسراییل	israelieni
اسراییل	israeliene
اسراییل	israelian
اسراییل	israeliana
اشباع	saturatie
اشباع	saturate
اشباع	saturat
کوئین	quinn
پلاتین	platina
پشتیبان	suport
پشتیبان	sprijin
پشتیبان	sprijinul
پشتیبان	rezerva
پشتیبان	backup
پشتیبان	intariri
اسکندریه	alexandria
مرکوری	mercury
مرکوری	mercur
مرکوری	mercurul
پخت	gatit
پخت	gatitul
پخت	gatesc
پخت	coc
پخت	coace
موری	maury
موری	murray
تضعیف	subminarea
تضعیف	slabirea
خزانه	trezorerie
خزانه	trezoreriei
خزانه	trezoreria
شهروندی	cetatenie
شهروندی	cetatenia
شهروندی	cetatean
شهروندی	cetatean
فین	finn
زانو	genunchiul
زانو	genunchi
زانو	genunchii
زانو	genunchi
آرنا	arena
آرنا	arena
فلش	flash
ناتمام	neterminat
ناتمام	neterminate
ناتمام	neterminata
ناتمام	incompleta
ناتمام	incomplet
ناتمام	incomplete
ورنر	werner
تنبیه	pedepsit
تنبیه	pedepsita
تنبیه	pedeapsa
تنبیه	pedeapsa
اشتباهات	greseli
اشتباهات	greseli
ویدئوی	video
مناره	minaret
تقلب	inselat
تقلب	fraude
تقلب	frauda
تقلب	frauda
نشینی	retragere
نشینی	retragerea
موزامبیک	mozambic
ایرویز	airways
مغان	magi
حقایق	fapte
حقایق	faptele
رواندا	rwanda
مونترآل	montréal
تامسون	thompson
تامسون	thomson
مانکن	supermodel
مانکن	manechinul
مانکن	manechin
پاور	putere
پاور	puterea
پاور	power
پاور	alimentat
جنجال	popping
جنجال	controverse
جنجال	controversa
جنجال	controversa
تبت	tibetan
تبت	tibet
تبت	tibet
پوش	teaca
پوش	teaca
میتسوبیشی	mitsubishi
نورد	trasura
نورد	trasura
نورد	nord
اهلی	domesticit
اهلی	ahli
اهلی	domestice
اهلی	domestic
اهلی	intern
خاکستر	ash
خاکستر	cenusa
اساطیری	avataruri
میانجی	mediator
میانجی	medierea
میانجی	mediere
میانجی	intermediare
میانجی	intermediar
میانجی	intermediara
میانجی	mediatori
استریت	street
استریت	strada
استریت	strada
گوجه	rosii
گوجه	rosii
گوجه	rosii
زرهی	panzer
زرهی	blindat
زرهی	blindata
زرهی	blindate
قندهار	kandahar
خروس	scula
خروس	cocos
خروس	rooster
کاریکاتور	caricatura
توت	tut
سلیمانی	slimani
نمادین	simbolic
نمادین	simbolica
آگهی	publicitatea
آگهی	reclama
آگهی	publicitate
واکسن	vaccinurile
واکسن	vaccinuri
واکسن	vaccin
واکسن	vaccinuri
واکسن	vaccinul
منفرد	manfred
نیجر	niger
تامی	tommy
وارن	warren
سیلندر	cilindru
سیلندر	butelie
رستاخیز	doomsday
رستاخیز	invierea
رستاخیز	inviere
حشره	insecta
حشره	insecta
بیوگرافی	biografii
بیوگرافی	biografia
بیوگرافی	biografie
امانوئل	emanuel
امانوئل	emanuele
امانوئل	emmanuel
امانوئل	emmanuelle
جبری	algebrice
شورشی	insurgent
شورشی	rebelul
شورشی	rebel
شورشی	rebela
شورشی	rebelilor
شورشی	rebelii
شورشی	rebeli
شکوفایی	bloom
منطبق	identice
منطبق	identic
منطبق	identica
عهدنامه	tratat
عهدنامه	tratatul
اقتصاددان	economist
کنش	actiune
کنش	actiune
کنش	actiune
کنش	actiunile
کنش	actiuni
پاهای	picioarele
پاهای	picioare
آرون	aaron
تنظیمات	ajustari
تنظیمات	preferinte
تنظیمات	setarile
تنظیمات	setari
آمیخته	amestecul
آمیخته	amestec
آمیخته	amestecuri
لیسبون	lisabona
لیسبون	lisbon
دانیال	daniel
خوانی	considerentul
خوانی	recitalul
خوانی	recital
خوانی	considerent
حماس	hamas
دوز	doza
دوز	doza
دوز	doza
دوز	doza
فرانکو	franco
تحقیقی	bursa
تحقیقی	bursa
فمینیسم	feminismul
حلب	alep
سکولار	seculare
زراعی	agrara
تأخیر	intarziere
تأخیر	amana
تأخیر	amana
آشوب	haosul
آشوب	haos
پارکر	parker
بالقوه	potential
بالقوه	potentialul
بالقوه	potential
بالقوه	potential
نخاعی	spinal
ادموند	edmund
زینتی	decorative
زینتی	ornamentale
زینتی	ornament
سقط	avorturi
سقط	avortul
سقط	avort
تاتنهام	tottenham
دیزل	motorina
دیزل	motorina
دیزل	diesel
محفل	sabat
محفل	adunare
محفل	asamblare
محفل	adunarea
ناسیونال	nationale
ناسیونال	nacional
تماشای	privind
تماشای	vizionarea
تماشای	privesc
دوبلین	dublin
الکترونی	electron
یاهو	yahoo
درآمدی	venitul
درآمدی	venituri
درآمدی	veniturile
قطره	drop
قطره	picatura
قطره	picaturi
باطل	fals
باطل	falsa
باطل	falsa
باطل	false
باطل	vanitate
باطل	vanitatea
نیرومند	puternica
نیرومند	puternic
خداحافظی	adio
آنالوگ	analog
جونگ	jong
جونگ	joong
جونگ	jeong
جونگ	jung
رون	ron
اصابت	impact
اصابت	impactul
عاطفی	emotional
عاطفی	emotional
عاطفی	emotiv
دوندگان	alergatori
اسکن	scaneaza
اسکن	scanare
مایعات	lichide
مایعات	lichidele
مایعات	lichide
مایعات	fluide
مایعات	fluidele
وات	watt
عدسی	lentila
عدسی	lentile
الجزیره	alger
کریستیان	crestin
کریستیان	crestina
کریستیان	crestin
کریستیان	christian
کریستیان	crestin
کریستیان	cristian
امارت	emiratul
مستطیل	dreptunghi
پورشه	porsche
سوگند	juramant
سوگند	juramantul
کرنل	cornell
کرنل	cornel
کاج	pinus
کاج	kaj
کاج	pine
کاج	pin
بایت	octet
بایت	bytes
تسلیحات	focoase
باروک	baroc
تبخیر	rotative
تبخیر	rotativ
تبخیر	rotary
تبخیر	evaporare
کاتالونیا	catalunya
کاتالونیا	catalonia
برفی	zapada
برفی	ninsoare
برفی	zapada
برفی	zapada
برفی	snowy
مهربان	fel
مهربان	milostiv
سوالات	intrebari
سوالات	intrebari
رنگین	vopsit
رنگین	vopsite
راکی	rocky
نوسازی	reinnoire
نوسازی	reinnoirea
نوسازی	renovari
نوسازی	renovarea
نوسازی	renovare
نوسازی	reabilitare
نوسازی	reabilitarea
ریموند	raymond
شوک	soc
شوک	soc
میخی	pasareasca
میخی	cuneiforme
ابتکار	initiativa
ابتکار	initiativa
ابتکار	initiativa
نمادی	simbolic
نمادی	simbolica
ورد	vraja
ورد	vraja
امیلی	emily
بور	bur
بور	bor
بور	bohr
بور	burr
بور	bor
اسپورت	sport
اسپورت	sportul
اسپورت	sport
اسپورت	sporturi
آرت	arta
آرت	arta
آرت	art
موانع	bariere
موانع	barierele
موانع	obstacole
موانع	obstacolele
احادیث	lecturi
تاخیر	intarziere
کولی	tigan
کولی	kuli
ناتوانی	incapacitatea
ناتوانی	handicap
ناتوانی	invaliditate
ناتوانی	incapacitate
تاکسی	taxi
تاکسی	taxiul
تاکسی	taxi
تاکسی	taxiul
کلیوی	renale
کلیوی	renala
کلیوی	renal
زشت	urat
زشت	urat
زشت	urata
زشت	urata
فرید	farid
ماهر	priceput
ماهر	maher
پایانه	terminal
پایانه	terminalul
پایانه	terminale
توس	birch
مصادف	coincide
مصادف	coincid
عجایب	minuni
عجایب	minunile
تعدیل	reglare
تعدیل	ajustarea
تعدیل	ajustare
زراعت	recolte
زراعت	culturile
زراعت	culturi
زراعت	agricultura
زراعت	agricultura
واجب	obligatoriu
واجب	obligatorie
واجب	obligatorii
واجب	necesara
واجب	necesare
واجب	necesara
واجب	necesar
لوی	levi
لوی	loy
لوی	levy
سبزیجات	vegetala
سبزیجات	legume
سبزیجات	vegetale
سبزیجات	vegetal
سبزیجات	leguma
سبزیجات	legume
سبزیجات	legumele
کارخانجات	fabricile
کارخانجات	uzine
کارخانجات	fabrici
مازیار	maz
داس	coasa
داس	coasa
داس	secera
داس	das
هموار	netede
هموار	neted
هموار	lina
هموار	neteda
قرائت	recitare
قرائت	citirea
قرائت	citire
قرائت	citesc
قرائت	citind
قرائت	lectura
نیا	nia
آناتومی	anatomie
آناتومی	anatomia
هیلز	dealurile
هیلز	hills
هیلز	coline
هیلز	dealuri
وفاداری	fidelitate
وفاداری	fidelitatea
وفاداری	loialitate
وفاداری	loialitatea
بارانی	dus
بارانی	ploios
بارانی	ploioasa
بارانی	ploaie
بارانی	ploua
بارانی	ploi
بارانی	rain
بیچ	beech
بیچ	plaja
بیچ	plaja
بیچ	beach
کیفری	infractor
کیفری	criminala
کیفری	criminal
کیفری	penal
آرزو	doresc
آرزو	dorind
تصمیمات	decizii
تصمیمات	deciziilor
تصمیمات	deciziile
دانشگاهیان	academicieni
ضرر	pierderile
ضرر	pierderi
جنون	dementa
جنون	nebunie
جنون	nebunia
متقاعد	convins
متقاعد	convinsa
متقاعد	convinge
متقاعد	convingatoare
متقاعد	convingator
تایلر	tyler
عزت	onoare
عزت	onoarea
عزت	onoare
عزت	onoarea
عزت	glorie
عزت	glory
تمبر	timbru
تمبر	stampila
تمبر	timbre
تمبر	timbrele
بلگراد	belgrad
بلگراد	belgradul
معاملات	tranzactii
معاملات	operatiuni
معاملات	tranzactiile
یاقوت	safire
یاقوت	rubine
یاقوت	ruby
نوزده	nouasprezece
نوزده	nineteen
پرسی	percy
دستکاری	manipulare
دستکاری	manipularea
معجزه	minuni
معجزه	miracolele
معجزه	miracole
معجزه	minune
معجزه	miracol
معجزه	miracolul
باهم	impreuna
باهم	impreuna
باهم	impreuna
خوردگی	coroziune
لوکوموتیو	locomotiva
لوکوموتیو	locomotiva
لوکوموتیو	locomotive
بدهی	datoriile
بدهی	datorii
بدهی	pasive
بدهی	datorii
بدهی	datorie
بدهی	datorii
بدهی	debit
کلیساها	biserici
کلیساها	bisericile
پرستوی	inghite
چادر	corturile
چادر	corturi
چادر	camping
چادر	cort
چادر	cortul
عمو	unchiul
عمو	unchi
نوسان	oscilant
نوسان	leagan
نوسان	leagana
نوسان	swing
سرنشین	pasageri
سرنشین	pasager
سرنشین	pasagerul
سرنشین	echipajul
سرنشین	echipaj
سرنشین	crew
زنجیر	lant
زنجیر	lant
زنجیر	lantul
ریوی	pulmonara
ریوی	pulmonare
ریوی	pulmonar
اسپانیای	spania
ایزوتوپ	izotopi
ایزوتوپ	izotop
ین	yên
ین	yeni
ین	yen
دلالت	implica
دلالت	semnificand
دلالت	semnifica
اسپنسر	spencer
طوطی	papagali
طوطی	papagalul
طوطی	papagal
لاتزیو	lazio
لاتزیو	lazlo
بلژیکی	belgiana
بلژیکی	belgieni
بلژیکی	belgiene
بلژیکی	belgian
اسکاندیناوی	scandinavia
اسکاندیناوی	scandinave
بارو	barrow
کمینه	minimul
کمینه	minimum
کمینه	minime
کمینه	minima
کمینه	minim
کمینه	minima
کمینه	minime
کمینه	minim
کاراته	karate
دستگاهی	dispozitivul
دستگاهی	dispozitiv
کوپه	compartimentul
کوپه	compartiment
کوپه	coupe
منازل	mansions
سرما	frig
سرما	reci
سرما	rece
آموزگار	profesor
آموزگار	profesoara
شجاعت	curaj
شجاعت	curajul
توران	turan
پرستار	asistenta
پرستار	asistenta
مشکی	neagra
مشکی	negru
مشکی	neagra
مشکی	black
بنگال	bengal
الحاق	completare
الحاق	aderarea
الحاق	aderarii
الحاق	aderare
توریستی	turist
توریستی	turistice
ایان	lan
ایان	ian
جاوه	java
متعهد	minuteman
متعهد	legata
متعهد	legat
متعهد	comis
متعهد	comise
بلیز	belize
مسمومیت	otravirea
مسمومیت	otravire
مسمومیت	toxicitate
مسمومیت	toxicitatea
مجرد	burlac
مجرد	nemaritata
مجرد	necasatorit
مجرد	necasatorita
عروقی	vasculare
عروقی	vasculara
عروقی	vascular
تحکیم	consolidare
تحکیم	consolidarea
سرگئی	sergei
سرگئی	serghei
درخشش	straluceasca
درخشش	stralucitoare
درخشش	stralucitor
درخشش	stralucind
درخشش	stralucitoare
درخشش	stralucire
اینترنشنال	international
اینترنشنال	international
اینترنشنال	internationala
اینترنشنال	internationala
اینترنشنال	international
دیترویت	detroit
فرعون	faraonul
فرعون	faraonului
فرعون	faraon
سهره	finch
هارون	harun
صمد	samad
شنوایی	audiere
شنوایی	auz
شنوایی	audierea
شنوایی	auzul
جواهر	bijuteriile
جواهر	bijuterii
جواهر	bijuterie
جواهر	jewel
جواهر	bijuterie
جواهر	bijuteriile
جواهر	bijuterii
هیجان	entuziasm
هیجان	excitare
هیجان	fior
هیجان	fiorul
هیجان	incantata
هیجان	entuziasmat
هیجان	incantat
برانگیز	indemn
پرتره	portretul
پرتره	portret
تومور	tumora
تومور	tumoare
تومور	tumora
کپسول	capsula
کپسول	capsula
بیسبال	baseball
کروموزوم	cromozomi
کروموزوم	cromozom
خستگی	oboseala
خستگی	oboseala
خستگی	plictiseala
خستگی	plictiseala
خستگی	epuizare
خستگی	epuizarea
بسامد	frecventa
بسامد	frecventa
استعفای	demisia
استعفای	demisie
چاپلین	chaplin
الکتریسیته	electricitatea
الکتریسیته	electricitate
کریک	parau
کریک	creek
پنجاب	punjab
غیرممکن	imposibil
غیرممکن	imposibila
اشیا	obiectele
اشیا	obiecte
مشت	pumnii
مشت	pumni
مشت	pumn
مشت	punch
مشت	pumn
مشت	pumnul
ربع	trimestrul
ربع	trimestru
ربع	sfert
سهولت	usurinta
کنسولگری	consulatul
کنسولگری	consulat
جسیکا	jessica
مجنون	mad
ویکیپدیای	wikipedia
بالکان	balcani
بالکان	balcanii
بالکان	balcani
بالکان	balcanic
بالکان	balcanica
بالکان	balcanice
باروری	fertilitate
باروری	fertilitatea
هوافضا	aerospace
عزاداری	doliu
عزاداری	jale
اضطراب	anxietatea
اضطراب	anxietate
شرلوک	sherlock
نسیم	adiere
نسیم	briza
اضطراری	urgenta
اضطراری	urgenta
ثور	thur
ثور	thor
نزاکت	tact
فروهر	esenta
فروهر	esenta
باکس	casuta
باکس	cutie
باکس	cutia
تعصب	prejudecata
تعصب	prejudiciu
تعصب	dogma
تفنگداران	muschetari
تفنگداران	corps
کرک	kirk
درصدی	procent
درصدی	procentajul
درصدی	procentul
درصدی	procentaj
سنتز	sinteza
سنتز	sinteza
افغانی	afgan
افغانی	afgana
افغانی	afn
افغانی	afgan
افغانی	afgana
نیر	nir
اصولی	sistematice
اصولی	sistematica
اصولی	sistematic
وارده	sustinut
وارده	sustinut
وارده	sustinuta
سپید	albi
سپید	albe
سپید	alba
سپید	alb
واسکو	vasco
متناهی	finite
متناهی	finit
هدر	heather
طبع	temperamentul
طبع	temperament
نیکولا	nicola
نیکولا	nikola
دریچه	supapa
دریچه	valva
دریچه	valva
دریچه	hatch
دریچه	trapa
احساسی	emotional
احساسی	emotional
احساسی	emotiv
انجیر	ficus
انجیر	fig
ثالث	tertiar
جوهر	toner
جوهر	cerneala
جوهر	cerneala
پلاستیکی	plasticul
پلاستیکی	plastic
پن	penn
پن	tigaie
پن	pan
سس	sos
سس	sosul
تیغ	lama
تیغ	blade
تیغ	lama
مولر	müller
مولر	mueller
مولر	muller
انتقالی	tranzitorie
انتقالی	tranzitoriu
انتقالی	tranzitorii
مبدا	origine
مبدا	originea
رولز	rulouri
رولز	role
رولز	rolls
آرژانتینی	argentinian
آرژانتینی	argentina
آرژانتینی	argentinian
کیل	kale
کیل	kiel
وقفه	intrerupe
وقفه	intrerupere
وقفه	intrerupere
وقفه	intreruperi
گواهینامه	licenta
گواهینامه	licenta
گواهینامه	licenta
گواهینامه	certificat
گواهینامه	certificatul
روال	rutina
روال	rutina
فراموشی	uitand
فراموشی	uitare
آمینه	amino
زامبیا	zambia
تم	tam
تم	tematica
تم	tematica
تم	tema
تم	tema
فاش	dezvaluie
فاش	dezvaluie
فاش	dezvalui
فاش	dezvaluie
فاش	divulgarea
فاش	dezvaluirea
فاش	dezvaluire
ویروسی	viral
ویروسی	virale
ویروسی	virala
بابلی	babilon
بابلی	babylon
بابلی	babiloniana
صداهای	voci
صداهای	vocile
سوسن	lilium
سوسن	susan
رینگ	ring
رینگ	inelul
رینگ	inel
خطرات	riscurile
خطرات	riscuri
خطرات	pericole
خطرات	pericolele
هاردی	hardy
مخالفین	opozitia
مخالفین	opozitie
مخالفین	opozitie
گوزن	cerb
گوزن	elan
گوزن	moose
گوزن	elanul
گوزن	cerbi
گوزن	caprioare
گوزن	cerb
گوزن	caprioara
نیومن	newman
نیومن	neumann
دورتموند	dortmund
الیاس	elijah
الیاس	ilie
الیاس	elias
لیزری	laserul
لیزری	laser
پاداش	bonus
پاداش	bonusul
پاداش	recompense
پاداش	recompensa
پاداش	recompensa
پاداش	rasplata
نفرین	blestem
نفرین	blestemul
لمس	atinge
لمس	touch
لمس	atingere
لمس	atingeri
لمس	atingerea
لمس	atins
لمس	atinsa
سوئیسی	elvetiana
سویا	soia
واگذاری	delega
واگذاری	delegat
کارن	karen
مهندسین	ingineri
مهندسین	inginerii
قشر	cortexul
طاووس	paun
طاووس	pauni
اسکلت	sasiu
اسکلت	scheletul
اسکلت	schelet
اسکلت	schelete
پدربزرگ	bunic
پدربزرگ	bunicul
پدربزرگ	bunic
پدربزرگ	bunicul
گروپ	grupa
گروپ	grup
گروپ	grupul
گروپ	grupa
انحصار	monopolul
انحصار	monopol
انحصار	monopoly
منجمد	congelate
منجمد	inghetat
منجمد	congelata
منجمد	congelat
فواصل	distante
فواصل	distante
فواصل	intervale
فلامینگو	flamingo
خدایی	doamne
خدایی	dumnezeu
سیار	mobile
سیار	mobil
سیار	mobila
پادگان	baze
پادگان	bazele
پادگان	garrison
پادگان	garnizoana
پادگان	garnizoana
گرمایش	incalzire
گرمایش	incalzire
خلاقیت	creativitatea
خلاقیت	creativitate
خلاقیت	creativ
خلاقیت	creativa
خلاقیت	creatie
خلاقیت	creative
امریکایی	american
امریکایی	americana
