collins	காலின்ஸ்
aldeas	கிராமங்கள்
aldeas	கிராமங்களை
silvia	சில்வியா
inmaculada	மாசற்ற
inmaculada	தூயவன்
potente	சக்திவாய்ந்த
desafío	சவால்
emi	எமி
emi	emi
normandía	normandie
normandía	நார்மாண்டி
temporalmente	தற்காலிகமாக
temporalmente	தற்காலிக
ánimo	மூட்
ánimo	மனநிலையை
ánimo	மனநிலை
divina	தெய்வீகம்
divina	தெய்வீக
acusaciones	கட்டணங்கள்
sudoeste	தென்மேற்கு
sudoeste	தென்மேற்கு
oso	கரடி
nat	நாட்
mostrado	காட்டப்படும்
mostrado	காட்டப்பட்டது
mostrado	காட்டப்பட்ட
via	வழியாக
via	மூலமாக
camp	முகாம்
levante	லெவண்ட்
reunir	ஒன்று
aproximación	அணுகுமுறை
mirada	பார்
mirada	தோற்றம்
sri	ஸ்ரீ
poblados	கிராமங்கள்
poblados	கிராமங்களை
plumas	பேனாக்கள்
plumas	சிறகுகள்
cerrar	மூடு
cerrar	மூடவும்
molino	மில்
tronco	பதிவேடு
tronco	லாக்
tronco	ட்ரங்க்
nativo	பிறப்பிடம்
nativo	பூர்வீக
cook	குக்
eeuu	usa
reducida	குறைத்தது
anatomía	உடற்கூறு
monstruo	மான்ஸ்டர்
monstruo	அசுரன்
monstruo	அரக்கன்
escribiendo	தட்டச்சு
escribiendo	எழுதுகிறது
escribiendo	எழுத்து
escribiendo	எழுதுதல்
dedos	விரல்கள்
dedos	விரல்களால்
dedos	விரல்களை
pasaje	டிக்கெட்
denis	டெனிஸ்
anunciado	அறிவிக்கப்பட்டது
mató	கொல்லப்பட்டனர்
mató	கொன்றார்
mató	கொன்றது
mató	கொல்லப்பட்டார்
futbol	சாக்கர்
futbol	கால்பந்து
estonia	எஸ்டோனியா
bacterias	பாக்டீரியா
extendido	பரவியிருக்கும்
extendido	நீடிப்பு
ilegal	சட்டவிரோதமாக
ilegal	சட்டவிரோத
ejecutado	நிறைவேற்றப்பட்டது
intentando	முயற்சிக்கிறான்
intentando	முயற்சிக்கிறேன்
escocés	ஸ்காட்ச்
crecer	வளரும்
crecer	வளர
sismo	நிலநடுக்கம்
luchas	சண்டைகள்
luchas	போராட்டங்கள்
helena	ஹெலெனா
helena	ஹெலன்
trasera	பின்புறம்
apreciar	பாராட்டுகிறேன்
apreciar	பாராட்ட
discutir	விவாதிக்க
radios	ரேடியோ
radios	வானொலி
coordinador	ஒருங்கிணைப்பாளர்
miércoles	புதன்கிழமை
miércoles	புதன்
terrorismo	பயங்கரவாத
terrorismo	தீவிரவாத
terrorismo	வாத
terrorismo	தீவிரவாதம்
terrorismo	பயங்கரவாதம்
terrorismo	தீவிரவாத
terrorismo	தீவிரவாதி
side	பக்க
side	புறம்
side	side
poderosa	சக்திவாய்ந்த
lunar	சந்திர
capturar	பிடிப்பு
niega	மறுக்கிறது
defecto	முன்னிருப்பு
defecto	இயல்பிருப்பு
