poesie	poesía
vorläufig	temporalmente
übersetzte	traducido
demnächst	en
demnächst	canto
demnächst	axiña
demnächst	pronto
abgetrennt	separadas
discovery	descubrimento
sektor	sector
ted	ted
quelltext	código
quelltext	code
isoliert	illado
isoliert	illada
erfassen	a
erfassen	capturar
erfassen	capturar
einbindung	participación
einbindung	implicación
gestein	de
gestein	pedra
gestein	a
gestein	rochas
gestein	xeo
gestein	pedras
gestein	rocha
gestein	pedra
gestein	rock
gestein	de
arbeitsplätze	traballo
arbeitsplätze	traballos
arbeitsplätze	traballo
rückgang	declive
rückgang	diminución
rückgang	diminúe
kürzlich	pouco
kürzlich	recentemente
kürzlich	ultimamente
kürzlich	hai
kürzlich	recente
kürzlich	recentes
kürzlich	últimos
muttersprache	nativo
muttersprache	onde
muttersprache	terra
eisenbahnen	trens
beleuchtung	iluminación
beleuchtung	luces
beleuchtung	as
beleuchtung	luz
beleuchtung	apaguen
zivilisten	civil
zivilisten	civís
zivilisten	xente
tötet	matar
tötet	a
getrieben	conducido
zeitliche	lóbulo
zeitliche	temporal
aktiviert	activa
spontan	espontaneamente
spezial	especial
spezial	especiais
agenten	axentes
agenten	axente
heavy	pesada
heavy	pesados
heavy	pesado
heavy	forte
heavy	pesa
heavy	moito
heavy	peso
heavy	intenso
filialen	almacéns
filialen	depósitos
filialen	provisións
wirksam	efectivas
wirksam	efectiva
wirksam	efectivo
wirksam	efectivos
wirksam	eficaces
wirksam	eficaz
wirksam	a
key	clave
key	chave
scheidung	divorcio
scheidung	o
scheidung	divorciar
einschränkung	restrición
afrikanische	áfrica
afrikanische	africana
afrikanische	africanos
afrikanische	africano
rauch	fume
rauch	fumar
rauch	para
rauch	fumo
zivile	civil
bergland	terras
bergland	altas
treue	leal
treue	lealdade
bird	paxaro
bird	aves
bird	ave
künstlerisch	artística
künstlerisch	artístico
programmen	programas
boxen	caixas
boxen	palcos
asiatischen	asiática
asiatischen	asiático
asiatischen	asiáticos
wachsende	de
wachsende	medrando
wachsende	medrar
wachsende	crecemento
wachsende	crecendo
wachsende	medra
wachsende	aumentar
dunkler	escuras
dunkler	escuro
dunkler	escura
dunkler	escuridade
dunkler	noite
erinnere	que
erinnere	lémbrolle
erinnere	lembrareille
erinnere	lembrar
erinnere	lembrarlle
erinnere	lémbranme
erinnere	lembrarlles
rex	rex
sexuellen	sexual
schloß	castelo
reporter	xornalista
reporter	reporteiro
reporter	xornalistas
woanders	outra
identifizieren	identificar
identifizieren	identificalos
identifizieren	identifiques
identifizieren	identificamos
identifizieren	que
gleichwohl	aínda
nagel	cravo
grundsätze	principios
grauen	gris
grauen	gris
grauen	é
eingreifen	intervir
move	mover
move	moverse
move	a
beschließt	deciden
beschließt	decide
fliegt	moscas
fliegt	voa
teuer	caro
teuer	caros
teuer	cara
niederlassung	oficina
niederlassung	despacho
niederlassung	correo
niederlassung	póla
niederlassung	sucursal
gleichermaßen	igualmente
vorfall	incidente
vorfall	accidente
triumph	triunfo
fließen	fluxo
fließen	transmisión
turn	a
beitritt	de
chirurgie	cirurxía
paradies	paraíso
paradies	o
angehören	pertencen
präsidentin	presidente
präsidentin	vicepresidente
präsidentin	o
grundlegenden	fundamental
grundlegenden	básica
grundlegenden	básicos
grundlegenden	básico
