the	на
and	та
was	був
was	була
was	було
for	для
that	той
from	від
this	цей
this	ця
utc	utc
his	його
not	не
not	not
are	надаються
talk	поговоримо
talk	розмова
talk	talk
talk	говорити
which	какой
which	який
which	які
which	яке
which	яка
also	також
has	має
were	були
but	але
have	маю
have	маєш
have	have
one	одна
one	one
one	одне
one	один
new	нові
new	нове
new	нова
new	новий
new	створити
first	перше
first	перша
first	перший
page	сторінку
page	сторінка
page	сторінки
page	пейдж
you	тобою
you	ви
you	ти
you	тебе
they	вони
had	мали
had	мав
article	стаття
article	статтю
who	хто
who	who
all	усі
all	всі
all	все
all	всіх
their	своїх
their	їхньому
their	свої
their	їхнє
there	туди
there	там
made	зробила
made	made
its	свої
its	його
people	народ
people	людей
people	люди
may	травнева
may	травня
may	травневі
may	травні
may	травень
after	після
other	інший
other	інша
other	інші
other	інше
other	інших
should	повинен
should	слід
should	повинно
should	should
two	два
two	дві
two	двоє
two	двох
two	двійка
score	рахунок
score	результат
score	оцінка
her	her
her	нею
her	її
her	їй
can	можна
would	would
more	більше
she	вона
she	she
about	приблизно
about	інфо
about	про
about	щодо
when	коли
time	тайм
time	час
team	команда
american	американський
american	американець
american	американські
american	американська
american	американської
such	такі
discussion	дискусії
discussion	дискусія
discussion	обговорення
links	лінки
links	посилання
links	посиланнями
links	посилань
only	лише
only	тільки
some	дехто
some	деякі
some	якесь
some	якийсь
some	трохи
see	подивитися
see	див
see	бачите
see	бачу
see	переглянути
united	united
united	юнайтед
years	роки
into	into
school	школа
school	училище
world	світовий
world	світ
world	світе
world	world
university	університет
during	підчас
out	назовні
out	вийшов
out	out
state	стан
state	держава
states	стани
states	штати
national	національна
national	націонал
national	національне
national	національний
national	національні
wikipedia	вікіпедія
year	рік
most	найцікавіше
most	більшість
city	місто
used	використовується
used	використана
used	використані
used	використано
then	потім
then	тоді
county	графство
county	повіт
county	жупанія
external	зовнішнє
external	зовнішні
external	зовнішній
external	зовнішня
where	звідки
where	де
where	where
where	куди
will	воля
will	буде
will	будуть
what	що
what	яка
what	чим
delete	вилучення
delete	видалити
delete	вилучити
any	якісь
these	ці
january	січні
january	січень
january	січня
march	березні
march	березень
march	березня
august	серпні
august	серпня
august	серпень
july	липень
july	липні
july	липня
being	проводиться
being	будучи
being	буття
film	фільм
film	плівка
him	нього
him	постане
him	йому
him	ним
him	його
many	багато
many	багатьох
south	південна
south	південь
south	південний
september	вересня
september	вересні
september	вересень
like	подобається
like	зразок
like	like
between	поміж
between	між
october	жовтень
october	жовтня
october	жовтні
three	три
three	втрьох
three	трійка
june	червня
june	червні
june	червень
well	добре
well	well
well	ну
well	імхо
use	використати
use	використовувати
use	користування
use	використання
war	війна
under	під
under	under
them	їх
them	їм
them	комплектів
april	квітень
april	квітня
april	квітні
born	народження
born	народився
born	борн
born	народилась
born	народилася
december	грудень
december	грудня
december	грудні
link	посиланням
link	посилання
link	link
link	лінк
while	поки
later	згодом
later	пізніше
later	потому
part	частина
november	листопаді
november	листопад
november	листопада
players	гравців
players	гравці
list	перелік
list	list
list	список
please	please
please	прошу
following	такі
following	стежать
february	лютому
february	лютий
february	лютого
known	відома
known	відоме
known	відомі
second	другий
second	друге
second	друга
second	секунда
name	назва
group	група
group	групова
group	груповий
group	групу
group	спільнота
history	журнал
history	історія
history	історії
series	серія
series	серії
series	ряд
series	ряди
just	просто
just	щойно
north	північна
north	норт
north	північний
north	північ
work	роботи
work	робота
work	працюю
work	працюють
work	роботу
work	робочий
before	перед
before	before
since	відтоді
since	відколи
season	season
season	сезон
season	сезону
both	обоє
both	обидва
both	обох
both	обидві
both	обом
high	високий
high	висока
high	значне
high	високе
high	високі
through	крізь
through	наскрізь
through	через
through	передивився
district	улус
district	округ
district	нохія
district	район
now	тепер
now	зараз
comments	коментарях
comments	коментарів
comments	коментарі
because	адже
because	бо
football	футбол
music	музика
music	музики
music	музик
music	музиці
music	музику
diff	порівняння
diff	diff
diff	різниця
diff	розбіжності
century	ст
century	століття
century	century
league	ліга
edits	edits
debate	дискусії
debate	дебати
title	назва
title	заголовок
title	титул
articles	статті
articles	статтями
articles	статей
john	джон
john	іоанн
john	іван
same	збігається
same	однаковий
same	однакові
same	same
same	самий
including	включаючи
including	включно
including	зокрема
could	зміг
could	могла
could	змогли
could	вдалось
could	міг
english	англійською
english	англійська
album	альбому
album	альбом
number	число
number	кількість
number	номер
number	номера
against	проти
family	сімейство
family	сімейний
family	сімейні
family	родина
user	користувача
user	користувач
based	засновані
based	засновано
based	заснований
area	область
area	ділянка
area	площа
area	місцевість
york	йорк
life	життя
life	лайф
british	британці
british	британська
british	британські
british	british
british	англієць
international	міжнародний
international	міжнародна
international	міжнародні
international	інтернаціонал
international	міжнародне
game	гра
game	гри
game	гру
above	вище
club	club
club	клуб
your	твій
your	твоя
your	твої
your	твоє
your	ваша
your	ваші
until	доки
until	до
until	поки
early	рання
early	рано
early	раннє
early	ранній
best	кращий
best	найкраща
best	найкращий
best	найкраще
best	найкращі
west	захід
west	вест
house	хати
house	будинок
company	компанія
general	загальні
general	генерал
general	загальний
general	загальне
left	ліворуч
left	ліва
left	лівий
left	зліва
very	дуже
here	тут
don	дон
living	живі
day	день
day	дню
day	дня
several	декілька
place	місце
party	вечірка
party	партії
party	вечірки
party	партія
party	party
college	коледж
college	коледжі
college	внз
result	результат
keep	тримай
appropriate	відповідний
appropriate	відповідні
appropriate	відповідну
four	четвірка
four	чотирьох
four	чотири
subsequent	наступні
even	навіть
even	даже
class	клас
government	правління
government	уряд
how	як
called	назвали
called	викликала
called	називається
called	викликали
did	рахував
did	зробили
did	вчинили
did	робили
each	кожну
each	кожного
each	кожному
each	кожен
each	кожна
found	знайшов
found	знайдено
found	знайшовся
found	знайшла
found	знайдені
center	центр
per	пер
style	стиль
com	com
long	довгий
long	хай
long	лонг
long	long
long	довга
long	довгі
country	країни
country	країна
country	кантрі
back	back
back	назад
back	ззаду
back	повернулася
back	спина
way	спосіб
way	шлях
does	робить
www	www
modify	зміна
modify	змінити
end	завершити
end	кінець
end	закінчити
end	закінчиться
end	закінчення
make	make
make	зробити
public	публічний
public	громадське
public	паблік
public	відкритий
public	публічна
public	громадського
played	грали
played	грала
played	грав
won	переміг
won	виграв
won	вон
won	виграли
another	інший
another	інша
released	випустили
released	випущено
added	додано
added	додані
support	підтримка
support	підтримую
support	підтримати
games	ігор
games	games
games	ігри
former	колишні
former	колишній
those	ті
those	тих
those	тими
films	films
films	фільми
films	фільмів
church	церква
church	костел
east	схід
line	лінія
line	рядок
line	рядка
line	пряма
major	мажор
major	майор
members	учасники
members	члени
good	хороші
good	гарні
good	добрий
good	добре
much	багато
much	сильно
image	зображення
show	показати
show	шоу
show	показувати
show	show
still	still
still	ще
still	надалі
still	досі
think	думаю
think	think
think	думайте
think	згадай
think	подумайте
below	нижче
below	знизу
town	містечко
town	місто
last	останній
last	остання
last	останнє
system	система
system	системи
system	системний
system	системне
system	системна
right	правий
right	права
right	право
right	праворуч
song	конкурс
song	пісня
non	non
non	нон
section	розділ
section	секція
section	секції
single	окремі
single	single
single	самотній
included	включено
included	включені
align	вирівняти
home	дім
home	домівка
home	домашній
home	додому
women	жінок
women	жінки
television	телебачення
seed	насіння
seed	потомство
member	член
member	учасник
member	учасника
member	члена
goals	цілі
goals	голи
sources	джерела
sources	джерел
book	книжка
book	книжечки
book	книга
book	книги
