deriva	пропала
balta	ставок
balta	понд
balta	калюжі
balta	калюжі
aires	айрес
roberts	робертс
kingdom	царство
kingdom	kingdom
kingdom	королівство
amandoi	обоє
amandoi	обидва
amandoi	обох
amandoi	обидві
amandoi	обом
statuie	статуя
tennessee	теннессі
mostenirea	застаріла
mostenirea	спадок
mostenirea	успадкування
oslo	осло
turner	тернер
adaugate	додано
adaugate	додані
beta	бета
aripi	крила
golf	гольф
interzisa	заборона
interzisa	заборонено
interzisa	заборонене
interzisa	заборонений
interzisa	заборонені
interzisa	заборонено
numirea	зустріч
contactul	контакт
contactul	контактна
java	java
java	ява
alexandre	александр
siberia	сибір
inspector	ревізор
inspector	інспектор
cumva	якось
ocean	океан
claudia	клаудія
placut	подобалось
placut	терпів
placut	сподобався
placut	сподобалося
placut	приємного
placut	приємніше
placut	приємним
placut	приємна
evans	еванс
wien	wien
wien	він
edge	ребро
edge	край
edge	ребра
edge	edge
declaratie	заява
declaratie	виписка
declaratie	твердження
declaratie	декларація
declaratie	оголошення
confera	порадитися
discursul	мовлення
discursul	промову
folosire	користування
folosire	використання
intrand	введення
intrand	вводити
tabel	стіл
tabel	столик
tabel	таблиця
tabel	таблиці
indiei	індію
indiei	індія
indiei	індії
corrèze	коррез
emise	видала
emise	виданий
emise	випущено
louisiana	луїзіана
baschet	баскетбол
organ	орган
hotelul	готель
oarecum	дещо
finistère	фіністер
tranzitie	перехід
distante	дистанцій
distante	відстані
distante	дистанцій
distante	відстані
cald	гаряча
cald	hot
cald	гарячий
cald	гаряче
cald	гарячі
cald	тепло
cald	теплі
cald	тепла
adanc	глибока
adanc	deep
adanc	глибоко
adanc	глибокий
adanc	глибока
adanc	deep
adanc	глибоко
adanc	глибокий
salvare	спасіння
salvare	врятувати
salvare	рятівник
salvare	порятунок
vacanta	святкова
vacanta	свято
vacanta	відпустка
vacanta	відпустка
vacanta	святкова
vacanta	свято
vacanta	відпустка
malta	мальта
fotbalul	футбол
radical	ключ
radical	радикальні
radical	радикальна
asalt	десант
asalt	напад
renault	renault
sierra	сьєрра
specializate	спеціалізовані
specializate	спеціалізована
buenos	буенос
dificultati	складності
dificultati	складність
dificultati	труднощі
raurile	річок
raurile	річки
raurile	ріки
tribuna	трибун
lapte	молоко
lapte	молока
lapte	milk
grove	гаю
memoriile	мемуари
memoriile	мемуари
viteze	швидкості
studios	studios
vieti	життів
vieti	живе
vieti	життів
vieti	живе
boemia	bohemia
oferind	пропозиція
letonia	латвії
letonia	латвія
islanda	ісландія
islanda	ісландії
hanovra	ганновер
hanovra	hannover
rahman	рахман
edinburgh	единбург
hlist	hlist
silva	сілва
democratic	демократично
democratic	демократичні
democratic	демократичний
democratic	демократична
distinge	відрізняти
distinge	відрізнити
vrei	вимагаємо
vrei	хочу
vrei	хочеш
strategice	стратегічний
strategice	стратегічного
strategice	стратегічна
utilizand	користування
utilizand	використання
numeric	числове
numeric	цифрову
simte	feel
simte	відчуваю
simte	відчути
lloyd	ллойд
robinson	робінсон
controverse	спір
lunile	місяці
lunile	місяцями
lunile	місяців
rase	гонок
rase	раси
rase	порід
bordeaux	бордо
lectii	уроки
lectii	уроки
jay	джей
teste	перевірки
teste	тести
aventuri	пригоди
aventuri	пригодницький
aventuri	adventure
aventuri	пригоди
aventuri	пригода
autoritati	влади
estimare	оцінки
estimare	оцінка
estimare	оцінка
comparativ	порівняльна
comparativ	порівняно
comparativ	порівняно
islamice	ісламський
salt	стрибати
salt	перехід
salt	стрибок
salt	перейти
salt	сіль
salt	солі
tensiune	напругу
tensiune	напруга
tensiune	напруги
batman	бетмен
pius	пій
traiasca	жити
traiasca	live
traiasca	наживо
traiasca	живу
traiasca	трансляція
exprimate	зіграла
exprimate	висловив
exprimate	висловили
instalatii	встановленого
instalatii	встановленого
romeo	ромео
arunca	викидати
arunca	молота
arunca	кинути
arunca	викидати
arunca	молота
arunca	кинути
conservare	охорони
conservare	енергозбереження
conservare	консервація
matilda	matilda
recenta	недавні
recenta	нещодавні
recenta	недавні
recenta	нещодавні
accentul	акцент
trenul	потяг
trenul	поїзд
bate	били
bate	біт
bate	побили
bate	ритми
bate	доль
bate	кажани
manuscris	грамоти
manuscris	рукопис
tanc	танк
veliko	велико
bolnav	хворим
bolnav	хворі
bolnav	хвора
bolnav	хворий
bolnav	захворіла
prix	prix
prix	прі
nguyen	нгуєн
afecteaza	впливає
afecteaza	вплине
afecteaza	вплинути
afecteaza	впливати
afecteaza	впливає
fiice	доньки
fiice	дочки
nigeria	нігерія
nigeria	нігерії
gust	смак
gilbert	гілберт
vizuale	презентовані
minnesota	міннесота
allah	аллах
joan	іванна
joan	джоан
vila	vila
vila	вілла
vila	вілла
bor	бор
bor	бор
muncitori	робітників
muncitori	працівників
muncitori	працівники
muncitori	робітники
gabrovo	габрово
strategic	стратегічно
strategic	стратегічний
strategic	стратегічного
strategic	стратегічна
privit	дивились
privit	дивилися
privit	дивився
dennis	деніс
dennis	денис
dennis	денніс
geografia	географія
miami	miami
miami	маямі
lang	ленг
bugetul	бюджет
matthew	матвія
matthew	матвій
matthew	метью
intervalul	асортимент
intervalul	діапазон
intervalul	хребет
intervalul	інтервал
intervalul	проміжок
wisconsin	вісконсин
strazile	вулицям
strazile	вулиць
strazile	вуличками
strazile	вулицями
strazile	вулиці
sunete	звуки
sunete	звучить
cablu	дріт
cablu	кабель
barajul	гребля
autonom	автономна
autonom	автономний
lucas	лукас
justin	джастін
laurent	лоран
lingvistice	мовні
lingvistice	мовний
northern	північна
northern	північний
northern	північне
astea	ці
procedura	процедури
procedura	процедуру
procedura	процедура
procedura	процедури
procedura	процедуру
procedura	процедура
caussols	коссоль
marx	маркс
marx	маркса
aprox	приблизно
gandirea	роздуми
gandirea	мислення
esential	необхідних
esential	необхідного
esential	необхідний
esential	необхідних
esential	необхідного
esential	необхідний
consecutive	послідовних
consecutive	підряд
consecutive	послідовними
navarra	наварра
asimov	азімов
repere	найважливіше
repere	підсвічування
repere	найголовніше
singapore	сінгапурі
singapore	сінгапуру
interpreta	грамотно
acoperire	фарбування
acoperire	обкладинку
acoperire	cover
acoperire	обкладинка
acoperire	обкладинки
acoperire	покриття
wells	веллс
pasare	птахи
pasare	птаха
pasare	пташка
pasare	птах
pasare	птахи
pasare	птаха
pasare	пташка
pasare	птах
ocazional	місцями
dedesubt	під
dedesubt	нижче
dedesubt	знизу
atei	безбожників
fundul	зад
stadiul	стадія
springs	пружини
detaliate	докладні
detaliate	детальний
detaliate	детальні
estimat	орієнтовний
estimat	приблизна
derivate	похідні
derivate	похідний
derivate	похідна
liban	лівану
liban	ліван
scaune	крісла
scaune	стільці
scaune	стільців
scaune	місця
scaune	сидіння
gov	gov
béla	бела
regii	королі
aparand	павільйоні
aparand	захищав
emma	емма
persana	перська
doyle	дойль
efectuarea	творити
efectuarea	внесення
efectuarea	виконання
organe	органи
organe	орган
surori	сестрички
surori	сестри
goethe	гете
cazimir	казимир
aug	aug
eforturi	зусилля
bobby	боббі
ring	кільце
ring	перстень
ring	каблучка
ring	кільцева
sever	суворі
sever	тяжкий
sever	севе
faze	етапів
faze	фази
pielea	оболонка
pielea	шкіра
pielea	шкіри
abordare	підхід
vorbind	говорячи
vorbind	speaking
bretagne	бретань
mina	міна
mina	кисть
mina	хенд
mina	правиця
mina	рука
mina	руку
pactului	пакт
cameron	кемерон
revistele	журнали
decisiv	рішучий
salbatice	дикі
salbatice	дикий
salbatice	wild
salbatice	диких
noroc	будьмо
definitia	визначення
stins	вимер
averea	багатства
averea	багатство
practicat	повторень
dati	віддам
dati	дайте
dati	надати
tinta	призначення
tinta	ціль
tinta	призначення
tinta	ціль
comunitatile	громад
nenumarate	незліченні
nenumarate	незліченні
vanzare	розпродаж
vanzare	продаж
vanzare	розпродаж
vanzare	продаж
cunostinta	знайомі
cunostinta	знайомі
varul	кузен
mer	мер
automata	автоматична
automata	автоматичний
automata	автоматичне
automata	автоматичні
refugiati	біженців
refugiati	біженців
fereastra	вікно
fereastra	вікно
rector	ректора
propaganda	пропаганда
propaganda	пропаганда
dominat	домінують
