категория	категорія
что	що
что	яка
что	чим
для	для
как	як
как	подобається
как	зразок
как	like
был	був
был	була
был	було
его	його
его	нього
его	постане
его	йому
его	ним
его	його
также	також
это	цей
это	ця
это	той
после	після
области	області
области	ділянки
области	територіях
области	площі
области	районів
год	рік
было	був
было	була
было	було
время	тайм
время	час
состав	будова
состав	композиція
была	був
была	була
была	було
место	місце
место	пляма
место	місце
место	розміщення
место	місцезнаходження
место	локація
место	місце
место	розташування
были	були
район	сусідство
район	оточення
район	улус
район	округ
район	нохія
район	район
район	область
район	ділянка
район	площа
район	місцевість
вид	виді
вид	вид
вид	види
вид	перегляд
вид	вигляд
вид	view
вид	вид
вид	переглянути
под	під
под	under
только	лише
только	тільки
только	просто
только	щойно
есть	got
язык	язик
язык	язика
язык	мова
язык	мови
язык	мову
ссср	срср
районе	сусідство
районе	оточення
код	код
более	більше
мая	травнева
мая	травня
мая	травневі
мая	травні
мая	травень
дата	дату
дата	дата
дата	датою
ноября	листопаді
ноября	листопад
ноября	листопада
деревня	село
где	звідки
где	де
где	where
где	куди
января	січні
января	січень
января	січня
марта	марта
марта	марто
марта	марта
марта	березні
марта	березень
марта	березня
все	everything
все	все
все	усе
все	усі
все	всі
все	все
все	всіх
все	всім
все	усіх
все	усі
все	усім
все	всіх
августа	серпні
августа	серпня
августа	серпень
августа	августа
том	тома
том	том
октября	жовтень
октября	жовтня
октября	жовтні
октября	жовтня
сентября	вересня
сентября	вересні
сентября	вересень
статьи	статті
статьи	статтями
статьи	статей
уже	уже
уже	вже
июня	червня
июня	червні
июня	червень
апреля	квітень
апреля	квітня
апреля	квітні
сша	сша
сша	usa
который	какой
который	який
который	які
который	яке
который	яка
название	назва
название	назва
название	заголовок
название	титул
поселение	поселення
человек	особа
человек	особи
человек	людина
человек	людський
человек	людина
человек	чоловік
человек	мужчина
человек	man
смерти	померли
смерти	смертей
лет	роки
февраля	лютому
февраля	лютий
февраля	лютого
февраля	лютого
они	вони
того	того
города	місто
города	містами
города	міста
города	городи
города	містах
города	міст
может	maybe
может	можливо
может	зміг
может	могла
может	змогли
может	вдалось
может	міг
может	можна
она	вона
она	she
войны	війн
войны	війни
войны	війна
можно	можна
когда	коли
однако	однак
которые	какой
которые	який
которые	які
которые	яке
которые	яка
высота	висота
высота	висота
переписи	перепис
село	село
село	село
стал	став
стал	стали
стал	стало
статья	стаття
статья	статтю
род	рід
род	род
один	наодинці
один	поодинці
один	сама
один	самі
один	одін
один	одна
один	one
один	одне
один	один
без	без
реки	річка
реки	ріка
реки	річок
реки	річки
реки	ріки
между	поміж
между	між
статус	стан
статус	статус
статус	стану
статус	статусі
населения	населення
годы	роки
через	via
через	віа
через	через
через	крізь
через	наскрізь
через	через
через	передивився
национальный	національна
национальный	націонал
национальный	національне
национальный	національний
национальный	національні
область	провінція
область	ділянку
область	регіон
область	область
область	область
область	ділянка
область	площа
область	місцевість
список	перелік
список	list
список	список
сельское	сільське
сельское	сільська
сайт	сайті
сайт	сайт
сайт	сайт
века	віки
века	сторіччя
века	століття
века	століть
официальный	офіційні
официальный	офіційна
официальный	офіційний
официальный	офіційне
часть	частина
против	проти
этот	цей
этот	ця
будет	воля
будет	буде
будет	будуть
несколько	декілька
несколько	декілька
несколько	дещо
город	містечко
город	місто
город	місто
мира	миру
мира	мир
мира	міра
первое	перше
первое	перша
первое	перший
части	частини
части	частинами
описание	опис
всего	усього
всего	всього
всего	загалом
всего	загальна
всего	загальний
первый	перше
первый	перша
первый	перший
среди	серед
файл	файл
карты	карт
карты	карти
карты	карток
карты	картки
карты	карти
карты	мапи
карты	картах
два	два
два	дві
два	двоє
два	двох
два	двійка
всех	усі
всех	всі
всех	все
всех	всіх
всех	всім
всех	усіх
всех	усі
всех	усім
всех	всіх
раз	once
там	туди
там	там
территории	територій
второй	другий
второй	друге
второй	друга
второй	секунда
очень	дуже
главы	подається
главы	розділи
главы	глави
карта	карта
карта	мапа
карта	картка
карта	картку
площадь	площа
площадь	plaza
площадь	плаза
площадь	квадратний
площадь	площа
площадь	квадрат
площадь	область
площадь	ділянка
площадь	площа
площадь	місцевість
всё	everything
всё	все
всё	усе
даже	навіть
даже	даже
затем	потім
затем	тоді
группы	група
группы	групова
группы	груповий
группы	групу
группы	спільнота
группы	групи
группы	груп
группы	спільноти
основания	дичини
размер	розмір
имеет	має
поселения	розрахунків
почтовый	поштова
почтовый	поштовий
почтовый	поштові
над	закінчилося
над	над
над	закінчено
над	закінчилась
страны	країни
страны	країна
страны	кантрі
страны	країн
страны	країни
ему	нього
ему	постане
ему	йому
ему	ним
ему	його
входит	входить
входит	вводить
индекс	index
