susan	siuzana
oblaky	debesys
oblaky	debesų
útočisko	prieglauda
organizovaný	organizuotu
zdvih	pakilimas
otvory	angų
otvory	skylių
chicaga	čikagos
nákupné	apsipirkti
čeľuste	kojeles
čeľuste	žandikaulio
dočasná	laikinai
vlhkosť	drėgnumas
vlhkosť	drėgmės
vlhkosť	drėgnis
vlhkosť	drėgmė
vlhkosť	drėgnumas
vlhkosť	drėgnis
vlhkosť	drėgmė
sokrates	socrates
torre	torre
vzdelávacie	švietimo
dlhodobý	ilgalaikės
rúd	rūdos
lille	lilio
indické	indas
indické	indijos
diskusií	diskusijos
diskusií	diskusijas
tanečník	šokėja
cicero	cicero
trás	maršrutai
trás	maršrutų
streche	stogas
streche	stogo
dunajskej	dunojaus
dunajskej	dunojus
zrazu	staiga
mäkké	minkštas
mäkké	minkšta
občiansky	civilinė
občiansky	civilinės
občiansky	pilietinių
občiansky	pilietinis
podanie	administravimas
podanie	padavimo
podanie	pateikimas
podanie	pateikimo
samsung	samsung
presná	tikslios
presná	tikslūs
uzavrieť	uždaryti
uzavrieť	glaudžiai
uzavrieť	užverti
izba	kambarys
obrad	ceremonijoje
obrad	ceremonijos
obrad	ceremonija
obrad	apeigos
skončí	baigiama
skončí	baigiasi
dobrodružstvá	nuotykiai
dobrodružstvá	nuotykių
pak	pak
mário	mario
jaguar	jaguar
rover	rover
potenciálne	potencialiai
reagoval	reagavo
japonci	japonijos
japonci	japonų
brett	lygį
výpoveď	diplomas
výpoveď	atsistatydinimo
alkohol	alkoholio
alkohol	alkoholis
vozy	vagonai
vozy	vagonų
trolejbusy	troleibusai
ihf	ihf
hodina	valanda
shannon	shannon
kapitál	kapitalas
kapitál	kapitalo
con	con
ticho	ramu
ticho	tyliai
ticho	tyla
horolezci	alpinistams
banke	kolba
tomas	tomas
súpis	aprašas
súpis	aprašo
producenta	gamintojas
navštíviť	aplankyti
navštíviť	aplankyti
monica	monika
mérite	mérite
léon	léon
luke	lukas
absolventov	alumni
absolventov	absolventų
madonna	madona
bojuje	kovų
valois	valua
oblak	debesis
oblak	debesys
oblak	debesų
policajný	policija
policajný	policijos
wells	wells
baktérií	bakterijų
baktérií	bakterijas
baktérií	bakterija
baktérií	bakterijos
peklo	velnių
peklo	pragaras
ham	kumpio
ham	kumpis
rastlinné	augalinis
rastlinné	žolelių
stabilné	ramiai
stabilné	pastovus
stabilné	stabilus
rainbow	rainbow
regent	regentas
škorpión	skorpionas
vozne	vagonai
vozne	vagonų
reklama	reklama
reklama	reklamos
reklama	reklamuoti
udržuje	išlaiko
kancelár	kancleris
kancelár	chamberlain
björn	björn
jedlá	valgius
jedlá	patiekalus
jedlá	indai
kamčatka	kamčiatkos
today	šiandienos
today	šiandien
podobnosť	panašumų
podobnosť	panašumas
podobnosť	panašumo
humor	humoro
humor	humoras
ucha	ausies
kontinent	žemyninės
kontinent	žemynas
adela	adela
prázdna	tuščia
prázdna	tuščias
sébastien	sébastien
slobodne	laisvai
soňa	sonja
hugh	hugh
ara	ara
iphone	iphone
rochus	rochus
vyšetrovania	tyrimus
vyšetrovania	tyrimai
vyšetrovania	tyrimus
skúška	bandymai
skúška	bandymo
skúška	bandomoji
skúška	bandymas
józsef	józsef
prsteň	žiedas
krokov	žingsniai
izolácie	izoliacija
izolácie	izoliacijos
izolácie	atskirtis
izolácie	izoliacija
izolácie	izoliacijos
izolácie	izoliacinės
brent	brent
portály	portalų
ovocia	vaisiai
ovocia	vaisiai
ovocia	vaisių
vernosť	lojalumo
skúšku	repeticija
skúšku	egzaminas
skúšku	egzamino
trvali	truko
etiky	etika
etiky	etikos
vzbura	maišto
tovarov	prekės
suchoj	suchoj
byty	butų
byty	butai
byty	būstas
byty	butų
holland	holland
holland	olandija
úder	smūgis
úder	smūgis
náprava	ašis
náprava	ašies
lístky	bilietai
lístky	bilietus
lístky	bilietų
pochovaná	palaidotas
stanovenie	ryžtas
pevniny	žemyninės
liek	vaistas
upozornenie	pranešimo
upozornenie	pranešimas
sebastián	sebastián
francesca	francesca
lyžovanie	slidinėjimo
lyžovanie	slidinėjimas
obľúbená	mėgstamiausias
obľúbená	mylimiausias
obľúbená	mėgstamiausia
obľúbená	mėgstamiausias
záväzok	įsipareigojimas
záväzok	atsakomybė
záväzok	pareiga
záväzok	įsipareigojimas
záväzok	įpareigojimas
záväzok	įsipareigojimas
záväzok	įsipareigojimą
zakázaný	draudžiama
zakázaný	draudžiamos
zakázaný	draudžiamas
zakázaný	draudžiama
zakázaný	uždraustos
vojvodkyňa	hercogienė
bruck	bruck
gerard	gerard
stavovcov	stuburinių
chuck	chuck
utrpenie	kančia
utrpenie	kančias
utrpenie	kančios
utrpenie	vargo
stein	stein
marcelo	marcelo
spätne	atgal
sprevádza	lydi
masaker	žudynės
masaker	skerdimo
masaker	skerdynės
ľavá	paliko
diskutovať	diskusijos
diskutovať	aptarimas
diskutovať	diskusija
diskutovať	diskusijos
diskutovať	debatai
pia	pia
sokolov	sakalai
menová	piniginė
poslanie	uždavinys
poslanie	užduotis
poslanie	komandiruotės
poslanie	misijų
poslanie	misijos
slovníka	žodynas
úzky	siauros
úzky	siauras
úzky	siaura
združení	asociacijos
združení	asociacijoms
bombardovanie	bombardavimo
revolúciu	revoliucijos
revolúciu	revoliucija
estádio	estádio
protivník	oponentas
hliník	aliuminio
hliník	aliuminis
hliník	aliuminis
glasgow	glasgow
delle	delle
vraví	sako
striedajú	kintamoji
striedajú	saulėtos
juno	juno
mozilla	mozilla
quo	quo
inšpiráciu	įkvėpimas
inšpiráciu	įkvėpimo
policajt	policininkas
policajt	faras
zatiaľčo	kadangi
geomorfológia	geomorfologija
formácia	formavimas
leonid	leonidas
brehy	krantus
prisťahovalcov	imigrantai
prisťahovalcov	migrantai
hlboká	gilus
hlboká	gili
hlboká	giliai
fotografiu	nuotrauka
rohy	ragai
delaware	delavero
plnú	pilnas
plnú	visu
arménska	armėnų
arménska	armėnijos
arménska	armėnija
romana	romana
romana	romos
šošovky	lęšiai
šošovky	lęšiai
poplatky	mokesčiai
poplatky	mokestis
poplatky	mokesčiai
integrovaný	integruotos
integrovaný	integruota
spievala	dainavo
mara	mara
funkčný	funkcinė
funkčný	funkcinis
funkčný	funkcinių
bočný	šoninis
impulz	pulsas
impulz	impulso
impulz	impuls
sledoval	stebėjo
piva	alaus
piva	alus
experimentálny	eksperimentinių
chorý	nesveikas
chorý	serga
emócie	emocija
emócie	emocijos
emócie	emocijas
emócie	emocijos
predchádzajúca	ankstesnė
predchádzajúca	ankstesnis
predchádzajúca	ankstesnių
krása	gražuolė
krása	grožis
smútok	sielvartą
smútok	liūdesys
smútok	liūdesys
smútok	sielvarto
dušu	siela
dušu	sielos
tepelný	šiluma
tepelný	terminio
zmiešaný	sumaišyti
zmiešaný	maišomi
štatistický	statistikos
komentáre	komentarai
komentáre	pastabas
komentáre	pastabos
komentáre	komentaruose
conte	conte
vlastník	savininkas
nina	nina
diktátor	diktatorius
estetika	estetika
masívne	masiškai
masívne	didžiulis
masívne	masiškai
vynašiel	sugalvotas
police	lentynos
ničenie	naikinimo
ničenie	sunaikinimas
irena	irena
písala	parašiau
písala	parašė
písala	rašė
obvinenia	mokesčiai
obvinenia	įtarimai
obvinenia	kaltinimai
obvinenia	kaltinimų
prispela	dovanojo
sny	svajones
sny	sapnai
sny	svajonės
duševné	psichikos
duševné	intelektinė
duševné	intelektinės
romantizmus	romantizmas
bráne	vartų
bráne	vartai
tung	tung
robertson	robertson
srbská	serbų
reklamy	reklama
reklamy	reklamos
tmavý	tamsus
tmavý	tamsi
tmavý	tamsiai
kovových	metalo
kovových	metalas
delostrelectvo	artilerijos
búrky	audros
búrky	audrų
tragédie	tragedijų
tragédie	tragedijos
tragédie	tragedija
yale	yale
sputnik	sputnik
ohrozenie	grėsmes
ohrozenie	pavojus
ohrozenie	grėsmė
ohrozenie	grėsmės
wesley	wesley
archeológovia	archeologai
oceľové	plienas
allmusic	allmusic
nas	nas
akčné	veiksmas
kilometer	kilometre
rybolov	žuvininkystė
rybolov	žvejyba
rybolov	žvejybos
zabije	žudo
fyziológia	fiziologija
hart	hart
pripravená	paruošti
aktívneho	aktyviai
aktívneho	aktyvi
aktívneho	aktyvus
opakované	periodinio
rozsudok	nuosprendis
christine	kristina
christine	christine
myspace	myspace
mucha	skristi
energetické	energingas
ideálny	idealus
ideálny	idealu
riaditeľka	direktorius
yes	aha
yes	taip
giacomo	giacomo
hranie	žaidimai
hranie	lošimų
hranie	žaidžia
riadený	kontroliuojamų
riadený	kontroliuojami
riadený	kontroliuojama
poplatok	mokestis
ronaldo	ronaldo
otroctva	vergovė
dočasný	laikinai
phoebe	febė
porta	porta
libor	libor
bulharské	bulgarų
roboty	robotai
nápravu	ašis
nápravu	ašies
ovplyvniť	įtaka
rozkladu	skilimo
rozkladu	skilimas
univerzitné	universitetas
owen	owen
doug	dagas
rakoviny	vėžio
player	žaidėjas
beží	krypsta
beží	valdo
beží	veikiančių
beží	važiavimas
hniezda	lizdas
denníku	dienoraštis
dôkladne	atsargiai
dôkladne	kruopščiai
shakespeare	šekspyras
doklad	dokumentas
prosim	prašom
prosim	prašau
aktualizácia	atnaujina
aktualizácia	atnaujinimas
aktualizácia	atnaujinama
švajčiarske	šveicarijos
švajčiarske	šveicarija
angels	angelai
vajec	kiaušiniai
vajec	kiaušinių
výnimočné	nepaprasto
výnimočné	išskirtinės
výnimočné	išimtiniais
výnimočné	išimtinės
xxiii	xxiii
franc	frankų
nútené	priverstinis
queens	karalienes
tropické	atogrąžų
trinidad	trinidadas
klára	klara
romantický	romantiška
lovu	medžioti
lovu	medžioti
lovu	medžioklė
lovu	medžioklės
komunizmus	komunizmas
vozeň	vagonas
vozeň	vežimo
pracovníčka	darbininkas
pracovníčka	darbuotojas
diváci	žiūrovų
publikovať	publikuoti
publikovať	paskelbia
