चिंतित	satraukti
स्टारबक्स	starbucks
जॉर्डन	jordānija
एथलीट	sportists
एथलीट	sportistiem
एथलीट	sportisti
विधिक	likumīgi
विधिक	juridiskais
असुरक्षित	nedroša
असुरक्षित	nedrošs
असुरक्षित	nedrošas
असुरक्षित	nedroša
असुरक्षित	nedrošs
असुरक्षित	nedrošu
असुरक्षित	nedroši
रेखीय	lineāro
रेखीय	lineārās
रेखीय	lineāri
रेखीय	lineārā
रेखीय	lineāra
रेखीय	lineārs
शहद	medu
शहद	mīļā
शहद	medus
अम्लीय	skābā
ऑपरेटर	uzņēmējs
ऑपरेटर	operators
ऑपरेटर	operatori
ऑपरेटर	uzņēmēji
नल	nulles
प्रेसीडेंसी	prezidentūra
प्रेसीडेंसी	prezidentūras
कुक	gatavot
कुक	pavārs
मनी	naudu
मनी	nauda
मनी	naudas
नारा	devīze
नारा	sauklis
नारा	saukli
चढ़	rūsas
सेक्टर	nozare
सेक्टर	sektors
सेक्टर	sektoriem
सेक्टर	nozares
सेक्टर	sektori
महासागरीय	okeānijā
क्रियाशील	aktīvais
क्रियाशील	aktīvs
क्रियाशील	aktīvi
क्रियाशील	aktīva
क्रियाशील	aktīvā
क्रियाशील	īpašvārds
बैठकों	sanāksmju
बैठकों	sanāksmes
बैठकों	tikšanās
बैठकों	sanāksmēs
बैठकों	sēdes
बैठकों	sēdes
भट्ठी	krāsns
कारें	automašīnas
कारें	cars
कारें	automobiļi
कारें	automašīnām
क्योकि	jo
सभ्य	pienācīgu
विकलांगता	invaliditāte
विकलांगता	invaliditātes
दरिया	darja
अनजाने	nezinot
अनजाने	neapzināti
नोट्स	piezīmes
नोट्स	atzīmē
कहें	pateikt
कहें	saki
कहें	teikt
एव	ave
सामी	sāmu
धर्मशास्त्र	teoloģijas
सीखा	iemācījies
आर्क	loks
आर्क	loka
ट्रम्प	tramps
मौद्रिक	monetārās
मौद्रिक	monetārā
यीशु	jēzus
चश्मे	brilles
चश्मे	stikli
चश्मे	glāzes
एक्यूपंक्चर	akupunktūras
प्लूटो	pluto
डेनियल	daniels
डेनियल	danilo
थोक	vairumtirdzniecības
थोक	vairumtirdzniecība
पैरिस	paris
पैरिस	parīzē
पैरिस	parīze
पैरिस	parīzes
कामयाबी	veiksme
कामयाबी	veiksmes
कामयाबी	panākumi
कामयाबी	veiksmīgi
कामयाबी	panākumus
कामयाबी	veiksmīga
प्रोटोटाइप	prototips
फर्क	starpība
फर्क	atšķirība
इयान	ian
भयभीत	nobijies
भयभीत	bail
भयभीत	bail
भयभीत	baidās
वसूली	atgūšanās
वसूली	atveseļošanās
वसूली	atveseļošanas
वसूली	atgūšana
वसूली	reģenerācija
मौन	klusējot
मौन	klusēšana
मौन	klusums
डिप्लोमा	diplomu
डिप्लोमा	diploma
डिप्लोमा	diploms
घटा	samazinājums
घटा	samazināt
पॉइंट	punkti
पॉइंट	punktus
पॉइंट	punkts
पॉइंट	point
त्वरण	paātrinājums
त्वरण	paātrinājuma
जमैका	jamaika
