категория	категорія
през	крізь
през	наскрізь
през	через
през	передивився
като	подобається
като	зразок
като	like
година	рік
след	після
това	цей
това	ця
български	болгарський
български	болгарська
българия	болгарії
българия	болгарія
част	частина
години	роки
време	тайм
време	час
която	какой
която	який
която	які
която	яке
която	яка
което	какой
което	який
което	які
което	яке
което	яка
външни	зовнішнє
външни	зовнішні
външни	зовнішній
външни	зовнішня
препратки	посилання
град	містечко
град	місто
град	місто
много	дуже
много	багато
много	багатьох
също	також
век	ст
век	століття
век	century
село	село
един	одна
един	one
един	одне
един	один
между	поміж
между	між
около	around
около	довкола
около	навколо
софия	софійська
софия	софія
софия	софія
други	інший
други	інша
други	інші
други	інше
други	інших
други	інших
други	інші
други	іншими
още	still
още	ще
още	надалі
още	досі
още	більше
война	війна
само	лише
само	тільки
само	просто
само	щойно
област	ділянку
област	регіон
област	область
област	улус
област	округ
област	нохія
област	район
област	область
област	ділянка
област	площа
област	місцевість
под	під
под	under
община	муніципалітет
община	край
място	місце
място	розміщення
място	місцезнаходження
място	локація
място	місце
място	розташування
когато	коли
вид	типу
вид	тип
вид	виді
вид	вид
вид	види
една	една
една	одна
една	one
една	одне
една	один
всички	усі
всички	всі
всички	все
всички	всіх
всички	всім
всички	усіх
всички	усі
всички	усім
всички	всіх
семейство	сімейство
семейство	сімейний
семейство	сімейні
семейство	родина
започва	починається
започва	починає
започва	починається
започва	запускає
започва	стартує
македония	македонія
македония	македонії
сащ	сша
сащ	usa
над	закінчилося
над	над
над	закінчено
над	закінчилась
над	вище
него	нього
него	постане
него	йому
него	ним
него	його
срещу	проти
срещу	проти
тези	ці
тези	ті
тези	тих
тези	тими
души	душі
души	душ
мини	mini
мини	міні
мини	мін
мини	копальні
мини	міни
мини	мінні
намира	знаходить
намира	виявить
намира	знайде
република	республіка
късно	запізнюється
късно	пізно
късно	запізно
май	травнева
май	травня
май	травневі
май	травні
май	травень
път	контур
път	шлях
път	маршрут
път	дорожні
път	дорога
отбор	команда
няколко	кілька
няколко	небагато
няколко	декілька
август	серпні
август	серпня
август	серпень
август	aug
роден	народження
роден	народився
роден	борн
роден	народилась
роден	народилася
беседа	спілкування
беседа	розмови
беседа	розмова
беседа	бесіда
беседа	дискурс
септември	вересня
септември	вересні
септември	вересень
преди	перед
преди	before
името	назва
група	band
група	гурт
група	група
група	групова
група	груповий
група	групу
група	спільнота
език	язик
език	язика
език	мова
език	мови
език	мову
юли	липень
юли	липні
юли	липня
някои	дехто
някои	деякі
някои	якесь
някои	якийсь
някои	трохи
тях	їх
тях	їм
тях	комплектів
река	річка
река	ріка
януари	січні
януари	січень
януари	січня
юни	червня
юни	червні
юни	червень
две	два
две	дві
две	двоє
две	двох
две	двійка
октомври	жовтень
октомври	жовтня
октомври	жовтні
октомври	жовтня
име	назва
заедно	разом
фон	фон
фон	тло
фон	тла
американски	американський
американски	американець
американски	американські
американски	американська
американски	американської
март	березні
март	березень
март	березня
ноември	листопаді
ноември	листопад
ноември	листопада
април	apr
април	квітень
април	квітня
април	квітні
декември	грудень
декември	грудня
декември	грудні
декември	схилення
декември	схил
декември	dec
чрез	via
чрез	віа
чрез	через
чрез	крізь
чрез	наскрізь
чрез	через
чрез	передивився
история	публікації
история	історія
история	сюжет
история	розповідь
история	публікація
история	журнал
история	історія
история	історії
жители	мешканці
жители	мешканці
жители	мешканців
различни	different
различни	інше
различни	різні
различни	різних
различни	відмінні
различни	різноманітні
различни	різні
различни	різні
различни	різне
без	без
често	часто
получава	здобуває
получава	отримує
получава	отримує
февруари	лютому
февруари	лютий
февруари	лютого
