les	на
est	схід
une	одна
une	one
une	одне
une	один
catégorie	категорія
pour	для
qui	хто
qui	who
que	той
son	sound
son	звук
son	його
son	свої
son	його
plus	плюс
plus	plus
plus	більше
pas	не
pas	not
sont	надаються
elle	вона
elle	she
elle	elle
été	літо
avancement	прогресу
avancement	прогрес
avancement	поступ
comme	подобається
comme	зразок
comme	like
mais	але
cette	цей
cette	ця
pop	відкрито
pop	поп
pop	pop
deux	два
deux	дві
deux	двоє
deux	двох
deux	двійка
ses	його
ses	свої
ses	його
naissance	naissance
naissance	народження
naissance	народився
naissance	борн
naissance	народилась
naissance	народилася
naissance	народження
aussi	також
france	франції
france	франція
france	францію
saint	святі
saint	святе
saint	свята
saint	священні
saint	святий
saint	святий
saint	saint
saint	сен
après	після
fait	зробила
fait	made
fait	зроблено
fait	закінчили
fait	виконано
fait	готово
fait	done
notes	нотаток
notes	нотатки
notes	примітки
entre	поміж
entre	між
sous	під
sous	under
même	навіть
même	даже
même	збігається
même	однаковий
même	однакові
même	same
même	самий
être	проводиться
être	будучи
être	буття
nom	прізвище
nom	назва
français	français
français	френч
français	французька
français	французькою
français	французький
ont	маю
ont	маєш
ont	have
paris	paris
paris	париж
lui	нього
lui	постане
lui	йому
lui	ним
lui	його
lieu	місце
lieu	розміщення
lieu	місцезнаходження
lieu	локація
lieu	місце
lieu	розташування
cet	цей
cet	ця
autres	інший
autres	інша
autres	інші
autres	інше
autres	інших
autres	інших
autres	інші
autres	іншими
décès	death
décès	смерть
décès	смерті
décès	померли
décès	смертей
références	посилання
liens	лінки
liens	посилання
liens	посиланнями
liens	посилань
était	був
était	була
était	було
commune	комуни
commune	спільними
commune	поширені
commune	спільне
commune	загальні
commune	common
ville	містечко
ville	місто
ville	місто
jean	жан
jean	джин
jean	джон
jean	іоанн
jean	іван
leur	своїх
leur	їхньому
leur	свої
leur	їхнє
date	дату
date	дата
date	датою
cest	cest
cest	оце
peut	травнева
peut	травня
peut	травневі
peut	травні
peut	травень
peut	можна
depuis	відтоді
depuis	відколи
depuis	від
première	перше
première	перша
première	перший
ans	ан
ans	роки
alors	потім
alors	тоді
externes	зовнішнє
externes	зовнішні
externes	зовнішній
externes	зовнішня
site	сайті
site	сайт
site	сайт
premier	premier
premier	вищому
premier	перше
premier	перша
premier	перший
ces	ці
fut	був
fut	була
fut	було
http	http
film	фільм
film	кіно
film	фільм
film	плівка
voir	подивитися
voir	див
voir	бачите
voir	бачу
voir	переглянути
voir	перегляд
voir	вигляд
voir	view
voir	вид
voir	переглянути
pays	країни
pays	країна
pays	кантрі
pays	країн
pays	країни
source	джерело
source	джерела
ils	вони
grand	великі
grand	великих
grand	великі
grand	велике
grand	велика
grand	великий
grand	біг
grand	великий
grand	чудово
grand	гран
grand	гранд
grand	grand
tout	everything
tout	все
tout	усе
tout	усі
tout	всі
tout	все
tout	всіх
lors	підчас
groupe	band
groupe	гурт
groupe	група
groupe	групова
groupe	груповий
groupe	групу
groupe	спільнота
également	також
titre	назва
titre	заголовок
titre	титул
monde	світовий
monde	світ
monde	світе
monde	world
nord	північна
nord	норт
nord	північний
nord	північ
nord	північна
nord	північний
nord	північне
nord	nord
années	роки
bien	хороші
bien	гарні
bien	добрий
bien	добре
bien	добре
bien	well
bien	ну
bien	імхо
contre	проти
liste	перелік
liste	list
liste	список
puis	потім
puis	тоді
équipe	відділення
équipe	загін
équipe	команда
club	club
club	клуб
sud	sud
sud	південна
sud	південь
sud	південний
partie	вечірка
partie	партії
partie	вечірки
partie	партія
partie	party
partie	частина
avant	front
avant	спереду
avant	передні
avant	фронт
avant	передній
avant	перед
avant	before
non	не
non	not
très	дуже
trois	три
trois	втрьох
trois	трійка
articles	статті
articles	статтями
articles	статей
article	стаття
article	статтю
guerre	війна
sans	без
sans	sans
saison	season
saison	сезон
saison	сезону
fin	завершити
fin	кінець
fin	закінчити
fin	закінчиться
fin	закінчення
vers	вер
année	рік
temps	погода
temps	тайм
temps	час
plusieurs	багато
plusieurs	багатьох
plusieurs	декілька
plusieurs	декілька
faire	займаюся
faire	make
faire	зробити
faire	faire
mars	березні
mars	березень
mars	березня
mars	марс
mars	mars
histoire	журнал
histoire	історія
histoire	історії
série	серія
série	серії
série	ряд
série	ряди
série	послідовний
série	серійний
joueur	гравця
joueur	програвач
joueur	гравець
mai	травнева
mai	травня
mai	травневі
mai	травні
mai	травень
mai	май
tour	гастролі
tour	tour
tour	тур
tour	вежа
tour	tower
tour	башта
mort	помер
mort	померла
mort	death
mort	смерть
mort	смерті
mort	mort
mort	помер
mort	померла
mort	мертвий
mort	dead
juin	червня
juin	червні
juin	червень
jpg	jpg
française	френч
française	французька
française	французькою
française	французький
pierre	камінь
pierre	stone
pierre	стоун
pierre	петро
pierre	пітер
région	ділянку
région	регіон
région	область
région	ділянка
région	площа
région	місцевість
janvier	січні
janvier	січень
janvier	січня
avoir	маю
avoir	маєш
avoir	have
fois	таймс
fois	час
fois	часи
fois	times
autre	autre
autre	інший
autre	інша
autre	інші
autre	інше
autre	інших
septembre	вересня
septembre	вересні
septembre	вересень
juillet	липень
juillet	липні
juillet	липня
état	стан
état	статус
état	стану
état	статусі
état	стан
état	держава
état	умова
église	церква
église	костел
octobre	жовтень
octobre	жовтня
octobre	жовтні
octobre	жовтня
octobre	octobre
place	місце
famille	сімейство
famille	сімейний
famille	сімейні
famille	родина
états	стани
états	штати
général	загальні
général	генерал
général	загальний
général	загальне
avril	apr
avril	квітень
avril	квітня
avril	квітні
avril	авріль
insee	insee
tous	усі
tous	всі
tous	все
tous	всіх
politique	правила
politique	політики
politique	policy
politique	політика
politique	політикою
politique	політика
album	альбому
album	альбом
décembre	грудень
décembre	грудня
décembre	грудні
août	серпні
août	серпня
août	серпень
août	aug
novembre	листопаді
novembre	листопад
novembre	листопада
avait	мали
avait	мав
prix	ціни
prix	ціна
nouvelle	нові
nouvelle	нове
nouvelle	нова
nouvelle	новий
nouvelle	створити
février	лютому
février	лютий
février	лютого
février	лютого
département	департамент
département	відділ
grande	великі
grande	великих
grande	великі
grande	велике
grande	велика
grande	великий
grande	біг
grande	великий
grande	чудово
grande	гранде
grande	гранд
peu	кілька
peu	небагато
peu	маленька
peu	маленький
peu	маленькі
américain	американський
américain	американець
américain	американські
américain	американська
américain	американської
soit	або
début	запустити
début	розпочати
début	старт
début	запускати
début	початок
début	почати
début	початок
ligne	лінія
ligne	рядок
ligne	рядка
ligne	пряма
ligne	рядок
suite	комплект
nationale	національна
nationale	націонал
nationale	національне
nationale	національний
