маляр	pintor
година	hora
губи	beizos
губи	os
губи	boca
пообіцяв	prometeron
пообіцяв	prometín
пообіцяв	prometinlle
пообіцяв	prometéronme
пообіцяв	prometida
пообіцяв	prometíchesme
пообіцяв	prometo
пообіцяв	prometera
піде	vai
меріленд	maryland
витікає	derramamentos
знала	sabía
знала	que
знала	sabían
знала	o
слабкість	debilidade
американець	estadounidense
американець	americanos
американець	americana
американець	americano
гастролі	xira
сінгапуру	singapur
пагорби	outeiros
сумнівів	dúbida
сумнівів	dubidar
сумнівів	dúbidas
сумнівів	dubido
сумнівів	dubídoo
вражає	incrible
вражає	incribles
вражає	sorprendente
вражає	abraiante
вражає	o
вражає	marabilloso
вражає	asombroso
марті	marty
вправи	exercicios
вправи	dirixe
вправи	un
вправи	unha
вправи	práctica
вправи	practicar
вправи	exercen
вправи	exercicio
купу	pila
купу	feixe
купу	rochas
купу	de
купу	da
сказали	dixo
сказали	dixeron
сказали	dixen
сказали	que
молодше	máis
молодше	novos
молодше	nova
молодше	novo
молодше	menos
подвійне	o
подвійне	dobre
подвійне	double
цифрова	dixital
цифрова	dixitais
нація	nación
нація	país
ніщо	nada
ніщо	non
підготувати	preparar
папери	papeis
папери	prensa
папери	os
папери	xornal
папери	xornais
боргу	débeda
узгодження	negociación
фізичне	física
фізичне	físicos
фізичне	físicas
фізичне	físico
конкретний	certo
конкретний	certas
конкретний	certa
конкретний	seguro
конкретний	certos
вірить	cre
виразно	sacar
трава	herba
стрибок	así
стрибок	saltar
стрибок	chimpa
гавань	porto
гавань	aínda
гавань	non
гавань	teño
критично	cruciais
критично	crucial
світанку	alborecer
світанку	amencer
демонструють	demostrar
демонструють	amosan
демонструють	demostraron
спина	volver
спина	volta
спина	atrás
розбити	romper
розбити	o
перспективних	emerxentes
пророк	profeta
молекулярна	molecular
молекулярна	moleculares
демонстрація	manifestación
демонстрація	demostración
материка	continente
монтана	montana
початкове	orixinal
початкове	orixinais
крос	cruzar
крос	cruz
крос	atravesar
крос	crosstree
гість	convidado
гість	invitado
вчинки	ooh
вчинки	ai
вчинки	oh
світле	luz
священна	sagrado
священна	sagrados
йорданії	jordan
сімейний	familia
сімейний	familiar
стать	sexo
стать	sexual
самостійні	illado
самостійні	illada
раса	carreira
раса	raza
раса	a
раса	internacional
найменша	máis
думає	que
думає	pense
думає	pensa
думає	cre
зауважив	se
зауважив	lle
зауважив	chegar
зауважив	empeorou
затримання	detención
виріб	produtos
виріб	orixe
макдональд	macdonald
макдональд	mcdonald
джордан	jordan
успішне	éxito
успішне	exitosos
погоджуюсь	acordo
погоджуюсь	de
погоджуюсь	concordo
погоджуюсь	dacordo
привид	pantasma
привид	espírito
критичний	crítica
суспільством	si
суспільством	mesmos
суспільством	se
суспільством	eles
суспільством	mesmas
сорочки	camisas
стійкі	resistentes
стійкі	resistente
призи	premios
індію	india
біорізноманіття	biodiversidade
безперечно	claro
безперечно	que
безперечно	certo
безперечно	certamente
безперечно	seguramente
безперечно	definitivamente
ціллю	obxectivo
ціллю	obxectiva
стела	stella
ушкоджень	ferida
ушкоджень	lesión
гени	xenes
гени	os
ядерний	nuclear
ядерний	nucleares
сідні	sidney
поодинці	soa
поодинці	só
поодинці	sós
поодинці	soas
поодинці	en
поодинці	paz
галерею	galería
галерею	de
галерею	louvre
опрацювання	procesando
опрацювання	procesamento
приціл	ven
приціл	vista
приціл	visión
приціл	seguramente
приціл	ver
реактор	reactor
барабан	drum
найменший	máis
нотатки	notas
завершений	total
завершений	completa
завершений	completar
завершений	completo
головами	cabezas
фразу	frase
домінує	domina
товстий	groso
перехресті	cruzar
перехресті	cruzando
слідів	pegadas
ніші	nishi
штучне	artificiais
штучне	artifical
штучне	artificial
кеті	cathy
мюзикл	musical
мюзикл	musicais
швидка	rápido
швидка	axiña
швидка	rápida
швидка	veña
швидка	marchar
швидка	rápido
швидка	velocidade
швидка	urxencias
швидка	de
швидка	emerxencia
швидка	urxencia
швидка	estado
швидка	tribunal
гігієни	hixiene
вчителька	profesor
вчителька	mestra
вчителька	mestre
екземпляр	exemplo
займати	consumir
займати	consumimos
світлий	luz
інтерпретація	interpretación
гарі	harry
строю	última
строю	fila
строю	parte
строю	traseira
зчеплення	realidade
пристрасть	paixón
копенгаген	consenso
копенгаген	de
копенгаген	copenhaguen
копенгаген	copenhague
тунелі	túneles
записувати	de
записувати	gravar
записувати	disco
баскетбол	baloncesto
баскетбол	básquet
спільними	común
спільними	comúns
краєвид	paisaxe
втрачений	perdeu
втрачений	perderon
втрачений	perdín
втрачений	perdemos
втрачений	perdido
здатен	capaz
десяток	ducias
десяток	ducia
десяток	de
напевне	esperanza
напевне	espero
рауль	raúl
заборонений	prohibido
заборонений	prohibidas
ірландська	irlandés
ірландська	irlandeses
ірландська	irlandesa
бесіди	conversas
бесіди	conversacións
замах	intento
замах	de
біологічна	biolóxicas
біологічна	biolóxica
біологічна	biolóxico
біологічна	biolóxicos
бунт	antidisturbios
бунт	rebelión
бунт	rebeldes
відчувається	sinto
відчувається	sentimos
відчувається	se
відчувається	sente
відчувається	séntese
відчувається	sinte
відчувається	ben
відчувається	que
тканинах	tecidos
підлога	chan
підлога	piso
підлога	andar
цитата	cita
цитата	citar
дотримуються	quedarei
мода	moda
мода	a
кримінальна	delito
кримінальна	crime
кримінальна	criminalidade
кримінальна	crimes
кримінальна	delincuencia
блакитні	azul
блакитні	azuis
програмний	software
прекрасно	fantástica
прекрасно	marabillosas
прекрасно	marabilloso
прекрасно	marabillosa
перетворилися	resultou
перетворилися	volta
перетворилися	sentía
настанови	instrucións
однаковий	mesmo
однаковий	mesmas
однаковий	mesma
порятунок	de
порятунок	apoio
речень	frases
делегат	delegado
поліклініка	clínica
слабкий	débil
помсти	vinganza
помсти	vingar
давід	david
літати	e
літати	pilotar
літати	voar
літати	voan
літати	voarei
літати	voe
літати	voo
означають	dicir
запустити	a
запустити	comezar
запустити	empezar
запустити	correr
запустити	corre
рассел	russell
блакитна	azul
блакитна	azuis
насильство	violencia
насильство	a
складено	por
панове	señores
панове	cabaleiros
аудиторія	audiencia
аудиторія	público
аудиторія	auditorio
аудиторія	auditorio
публічна	público
публічна	pública
публічна	públicos
публічна	públicas
заява	declaración
дискримінації	discriminación
дивні	estraño
дивні	estraña
дивні	extraño
дивні	moi
дивні	rara
дивні	raro
живу	vivir
живу	vivo
живу	viven
живу	vive
живу	viva
сприймає	percibe
кантрі	país
будівельників	sacrificio
будівельників	sacrificar
будівельників	zugue
будівельників	o
відмінно	excelentes
відмінно	excelente
відмінно	de
бився	loitei
бився	contra
бився	loitou
бився	loitamos
сусіди	os
сусіди	veciños
захищають	defender
бачите	ver
бачите	vexo
альтернативна	alternativa
черга	a
борги	débedas
дивна	raro
дивна	estraño
дивна	estraña
дивна	extraño
дивна	moi
дивна	rara
дивна	raro
документом	documento
забув	esqueceu
забув	esquecín
забув	as
забув	esquece
