сибір	siberië
міркувань	redenasie
міссісіпі	mississippi
конрад	konrad
конрад	conrad
безумовно	beslis
род	staaf
род	rod
арсенал	arsenal
абсолютна	absolute
маргарет	margaret
сицилії	sisilië
технічно	tegnies
адм	adm
спереду	voorkant
спереду	voor
спереду	front
інженерних	ingenieurswese
крус	cruz
підряд	agtereenvolgende
рівноваги	ewewig
ратуша	saal
міра	myra
міра	mira
міра	meet
військах	magte
спокою	serenity
виробляють	vervaardig
виробляють	produce
мережах	netwerke
впевнений	seker
математичні	wiskundige
математичні	wiskunde
числення	calculus
луїза	louisa
луїза	luisa
луїза	louise
залишатися	bly
броні	armor
запитів	versoeke
зник	gone
зник	gegaan
механічний	mechanical
механічний	meganiese
кераміка	keramiek
дербі	derby
прапором	vlaggie
прапором	vlag
прапором	rapporteer
зерно	graan
студій	studeer
студій	studies
ставка	gradeer
ставка	tarief
ставка	beoordeel
всюди	oral
всюди	orals
підтримання	handhaaf
підтримання	onderhou
гідності	waardigheid
гідності	oorkom
гідності	menswaardigheid
відповідну	geskikte
відповідну	gepas
відповідну	toepaslike
реалізацію	implementering
проза	prosa
виграли	gewen
матриця	matrix
формує	gevormde
формує	shaped
розчин	sement
розчин	oplossing
баланс	saldo
баланс	balans
тунель	tonnel
визначена	gedefinieer
визначена	omskryf
визначена	gedefinieër
визначена	geïdentifiseer
випускник	graduate
доходи	verhandeling
мат	skaakmat
вірогідно	veronderstel
герберт	herbert
змусили	geforseer
змусили	gedwing
вирощують	blou
художниця	kunstenaar
корінь	stam
корінь	root
алкоголю	drankies
алкоголю	alkohol
медічі	medici
звільнили	gidse
звільнили	afgedank
договори	verdrae
бурятія	boerjatië
занепад	doom
арабська	arabies
арабська	arabiese
арабська	arabic
процесора	sve
симона	simone
мартин	marcin
мартин	meeue
метали	metaal
метали	metale
дені	dani
модулі	modules
дозволити	geaktiveer
дозволити	aktiveer
дозволити	toelaat
їхньому	hul
пшениці	koring
співдружності	commonwealth
незалежний	independent
незалежний	onafhanklike
незалежний	onafhanklik
незалежний	selfstandige
величезна	huge
двадцяти	twintig
подією	aktiwiteite
подією	geleentheid
рука	arm
рука	hand
стиснення	kompressie
реальність	realiteit
реальність	werklikheid
школярів	skoolkinders
тридцять	dertig
подію	aktiwiteite
подію	geleentheid
неправильно	verkeerd
неправильно	verkeerde
диски	skywe
улюблений	gunsteling
улюблений	gunsteling
іспанською	spaanse
іспанською	spaans
ззаду	rug
ззаду	agterkant
ззаду	terug
жанрів	genres
суперників	teenstanders
фернандо	fernando
шон	shawn
шон	shaun
шон	sean
статистичні	statistiese
цвітіння	blossom
цвітіння	bloeisel
фан	waaier
фан	aanhanger
фан	bewonderaar
фан	fan
трикутник	geteël
клермон	clermont
крива	curve
кіпру	cyprus
самець	manlike
самець	mannetjie
заново	herbou
емілія	emilia
емілія	amelia
голокосту	holocaust
земельні	zealand
земельні	seelandse
земельні	seeland
гессен	hesse
віл	miv
леопольд	leopold
актуальні	gewild
актуальні	neigings
тяжіння	swaartekrag
тяжіння	gravitasie
індонезія	indonesië
прованс	provence
вимова	uitspraak
наступником	successor
серійний	serie
францію	frankryk
автономний	outonome
включати	insluit
включати	ingesluit
арагон	aragón
арагон	aragon
тонкі	maer
тонкі	dun
митці	kunstenaars
сант	sant
закриті	geslote
закриті	gesluit
закриті	toegemaak
мідь	copper
мідь	koper
воїн	warrior
воїн	vegter
уельс	wallis
