மற்றும்	en
ஒரு	one
ஒரு	één
ஒரு	een
ஒரு	eén
இந்த	dit
இந்த	deze
இந்த	deze
ஆம்	ja
இது	dit
இது	deze
மக்கள்	volkeren
மக்கள்	mensen
மக்கள்	personen
என்ற	getiteld
என்ற	het
என்ற	de
என்ற	afgeleid
என்ற	afgeleide
ஆண்டு	jaar
என்று	dat
தமிழ்	tamil
இந்திய	indisch
இந்திய	indiaas
இந்திய	indiaan
இந்திய	indiase
இந்திய	indische
இருந்து	van
இருந்து	uit
இருந்து	vanaf
பல	veel
பல	velen
பல	vele
பல	meerdere
பல	meervoudige
பல	veelvoud
பல	meervoudig
முதல்	van
முதல்	uit
முதல்	vanaf
முதல்	eerste
முதல்	eerst
மேலும்	more
மேலும்	meer
தொகை	bedrag
சில	weinigen
சில	paar
சில	weinig
சில	enkele
சில	sommigen
சில	sommige
உள்ளது	beschikbare
உள்ளது	verkrijgbaar
உள்ளது	beschikbaar
உள்ளது	bestaat
அவர்	hem
அவர்	haar
இருக்கும்	bestaand
இருக்கும்	bestaande
வெளி	uitbesteden
வெளி	extern
வெளி	uitwendig
வெளி	externe
வெளி	ruimte
வெளி	spatie
அமைந்துள்ளது	gelokaliseerd
மூலம்	bron
மூலம்	oorspronkelijke
மூலம்	origineel
மூலம்	originele
கொண்ட	ingeperkt
வரை	tekenen
வரை	trekken
வரை	tot
பின்னர்	dan
பின்னர்	daarna
பின்னர்	later
பின்னர்	straks
ஆனால்	maar
வேண்டும்	nood
வேண்டும்	need
வேண்டும்	nodig
வேண்டும்	noodzaak
வேண்டும்	behoefte
வேண்டும்	wilt
வேண்டும்	wil
வேண்டும்	willen
வேண்டும்	moet
கொண்டு	gebracht
கொண்டு	meegebracht
கொண்டு	bracht
கொண்டு	breng
கொண்டு	brengen
கொண்டு	met
பட்டியல்	lijstje
பட்டியல்	lijst
அமைந்துள்ள	gelokaliseerd
அதன்	its
பெண்கள்	vrouwtjes
பெண்கள்	vrouwen
பெண்கள்	meiden
பெண்கள்	meisjes
பெண்கள்	girls
பெண்கள்	vrouwen
கொண்டுள்ளது	heeft
கொண்டுள்ளது	bevat
போது	tijdens
போது	gedurende
போது	wanneer
இணைப்புகள்	connecties
இணைப்புகள்	aansluitingen
இணைப்புகள்	verbindingen
இணைப்புகள்	bijlagen
இணைப்புகள்	links
இரண்டு	twee
இரண்டு	two
தகவல்	info
தகவல்	gegevens
தகவல்	informatie
தகவல்	bericht
தகவல்	boodschap
தகவல்	berichtje
மாவட்ட	district
மொத்த	totaal
வளர்ச்சி	ontwikkeling
வளர்ச்சி	groei
மாவட்டம்	district
அந்த	dat
மிகவும்	zeer
திட்டம்	project
திட்டம்	plan
திட்டம்	plannen
தேசிய	nationaal
தேசிய	nationale
கலந்து	bijwonen
இலங்கை	ceylon
இங்கு	hier
கி	kyi
அமெரிக்க	amerikaan
அமெரிக்க	amerikaans
அமெரிக்க	amerikaanse
அடிப்படை	grondslag
அடிப்படை	base
அடிப்படை	basis
அடிப்படை	fundamentele
அடிப்படை	basic
பெயர்	naam
பெயர்	etiket
பெயர்	label
மூன்று	drie
மூன்று	three
ஆண்கள்	reuen
ஆண்கள்	mannetjes
ஆண்கள்	mannen
ஆண்கள்	mens
ஒன்று	verzamelen
ஒன்று	hetzij
ஒன்று	ofwel
ஒன்று	one
ஒன்று	één
ஒன்று	een
ஒன்று	eén
ஐக்கிய	united
ஐக்கிய	verenigde
ஐக்கிய	verenigd
புதிய	nieuw
புதிய	nieuwe
புதிய	vers
புதிய	fris
புதிய	verse
அவரது	zijn
அவரது	haar
மொத்தம்	totaal
மொத்தம்	totalen
இவை	deze
சிறந்த	groot
சிறந்த	geweldig
சிறந்த	fantastisch
சிறந்த	best
சிறந்த	beste
சிறந்த	uitstekend
சிறந்த	excellent
சிறந்த	voortreffelijk
சிறந்த	uitmuntend
அரசு	regering
அரசு	overheid
வசதிகள்	faciliteiten
இந்தியா	india
பெரிய	groot
பெரிய	geweldig
பெரிய	fantastisch
பெரிய	big
பெரிய	groot
பெரிய	grote
பெரிய	large
பெரிய	groot
பெரிய	grote
நாள்	dag
நாள்	dagje
பிறப்பு	generieke
பிறப்பு	born
பிறப்பு	geboren
பிறப்பு	geboorte
பிறப்பு	luik
பிறப்பு	hatch
இருந்தது	was
முக்கிய	belangrijkste
முக்கிய	voornaamste
முக்கிய	main
முக்கிய	belangrijke
முக்கிய	belangrijk
பல்வேறு	variëteit
பல்வேறு	variatie
பல்வேறு	diverse
பல்வேறு	verschillende
இருந்த	waren
திரைப்படங்கள்	films
திரைப்படங்கள்	bioscoop
பிற	overige
பிற	andere
பிற	ander
பிற	overig
அவர்கள்	hen
அவர்கள்	ze
அவர்கள்	zij
மொழி	taal
மொழி	taalgebruik
முறை	methode
முறை	procedure
முறை	modus
முறை	mode
கோயில்	tempel
விருது	onderscheiding
விருது	gunning
பொதுவாக	algemene
பொதுவாக	generaal
பொதுவாக	algemeen
அக்டோபர்	oktober
அக்டோபர்	october
அக்டோபர்	lgo
செய்து	geëngageerde
செய்து	begaan
செய்து	toegewijd
செய்து	vastgelegde
செய்து	gepleegd
தன்	zijn
தன்	worpen
தன்	gooit
தொடர்ந்து	houd
தொடர்ந்து	houden
இரண்டாம்	tweede
இரண்டாம்	secundaire
இரண்டாம்	secundair
சென்னை	chennai
வரும்	komt
வரும்	komen
வரும்	coming
மே	mogen
மே	may
மே	mei
மே	mag
மே	moge
ஒவ்வொரு	elk
ஒவ்வொரு	ieder
ஒவ்வொரு	iedere
ஒவ்வொரு	elke
ஒவ்வொரு	elk
ஒவ்வொரு	ieder
ஒவ்வொரு	elke
மட்டுமே	alleen
மட்டுமே	enkel
மட்டுமே	slechts
வரலாறு	geschiedenis
பகுதியில்	gebied
பகுதியில்	oppervlakte
நூல்கள்	boeken
பின்	speld
பின்	pincode
பின்	pin
பின்	vastzetten
பின்	na
பின்	after
பின்	terug
பின்	rug
பின்	back
இல்லை	niet
நவம்பர்	november
அதிக	high
அதிக	hoog
அதிக	hoge
காலத்தில்	tijdvak
காலத்தில்	periode
மிக	zeer
மிக	kiespijn
நான்கு	four
நான்கு	vier
பிறகு	dan
பிறகு	daarna
பிறகு	later
பிறகு	straks
பிறகு	na
பிறகு	after
அரசியல்	politiek
அரசியல்	politiek
அரசியல்	politieke
பகுதி	gedeeltelijk
பகுதி	gedeeltelijke
பகுதி	partiële
பகுதி	gebied
பகுதி	oppervlakte
பகுதி	regio
பகுதி	deel
பகுதி	gedeelte
பகுதி	segment
பற்றி	ongeveer
பற்றி	over
ஆறு	zes
ஆறு	six
ஆறு	rivier
ஆறு	river
மீண்டும்	alweer
மீண்டும்	opnieuw
மீண்டும்	nogmaals
இங்கிலாந்து	engeland
இங்கிலாந்து	england
காலம்	seizoen
காலம்	tijdvak
காலம்	periode
காலம்	tijd
நிலை	positie
நிலை	staat
நிலை	state
நிலை	niveau
நிலை	level
ஒரே	hetzelfde
ஒரே	zelfde
ஒரே	same
போர்	oorlog
காரணமாக	verschuldigd
காரணமாக	verschuldigde
பொருள்	materiaal
பொருள்	product
பொருள்	produkt
பொருள்	voorwerp
பொருள்	object
பொருள்	synoniemen
பொருள்	onderwerp
பொருள்	proefpersoon
பொருள்	subject
அறிவியல்	wetenschap
அறிவியல்	wetenschappen
பேச்சு	spraak
பேச்சு	toespraak
பேச்சு	speech
பேச்சு	redevoering
பேச்சு	talk
பேச்சு	praten
பேச்சு	praat
இதனால்	met
அனைத்து	allen
அனைத்து	alle
அனைத்து	allemaal
