den	the
och	dan
med	med
med	dengan
som	suka
som	sukai
som	seperti
som	like
runt	seputar
runt	sekitar
runt	ronde
runt	bulat
runt	round
månaden	perbulan
månaden	bulanan
månaden	bulan
ligger	kebohongan
ligger	lies
ligger	terletak
ligger	dusta
ligger	bohong
ligger	berlokasi
ligger	bertempat
ligger	terletak
ingår	disertakan
ingår	termasuk
ingår	menyertakan
ingår	diikutsertakan
ingår	termasuk
ingår	sertakan
ingår	mencakup
ingår	menyertakan
att	that
att	itu
att	bahwa
att	yang
ett	satu
ett	one
över	over
familjen	keluarga
familjen	family
familjen	famili
för	untuk
inga	inga
delen	part
delen	bagian
släktet	genus
underarter	upaspesies
life	kehidupan
life	life
life	hidup
listade	tercantum
listade	terdaftar
landet	negara
meter	meter
meter	meter
meter	meter
meter	meteran
meter	meter
meter	yard
meter	yards
meter	yar
huvudstaden	capitol
huvudstaden	capital
huvudstaden	ibukota
huvudstaden	modal
havet	laut
havet	samudera
havet	samudra
havet	lautan
havet	laut
havet	ocean
varmaste	terhangat
kallaste	terdingin
invånare	penghuninya
invånare	penduduk
invånare	warga
invånare	penghuni
invånare	warga
januari	januari
millimeter	milimeter
millimeter	milimeter
millimeter	milimeter
torraste	terkering
var	var
var	euy
var	was
var	were
var	mana
var	dimana
juli	juli
juli	juli
han	han
har	telah
har	has
har	memiliki
har	telah
har	memiliki
har	miliki
per	per
vattendrag	sungai
vattendrag	rivers
från	dari
kanada	kanada
kanada	canada
provinsen	propinsi
provinsen	provinsi
närheten	kedekatan
men	tapian
men	tapi
men	tetapi
högsta	supreme
högsta	agung
högsta	maksimum
högsta	maksimal
högsta	maximum
högsta	tertinggi
augusti	august
augusti	agustus
kan	dapat
kan	can
kan	bisa
länkar	taut
länkar	pranala
länkar	link
länkar	tautan
länkar	links
externa	eksternal
läge	lokasi
läge	moda
läge	modus
läge	mode
även	even
även	genap
även	bahkan
även	juga
februari	februari
februari	pebruari
under	selama
under	under
under	dibawah
lake	danau
sjö	danau
sjö	laut
inte	not
inte	bukan
inte	tidak
sig	sig
kommun	kotamadya
kommun	munisipalitas
två	dua
två	two
lac	lac
terrängen	medan
long	lama
long	panjang
long	long
juni	juni
juni	juni
lat	lat
lat	pemalas
lat	malas
december	desember
december	december
växer	berkembang
växer	tumbuh
växer	bertumbuh
växer	menumbuhkan
växer	tumbuhkan
växer	kembangkan
växer	grow
växer	tumbuh
växer	bertumbuh
växer	tumbuh
många	banyak
efter	sesudah
