tillväxt	növekedés
bildats	kialakult
bildats	alakított
bildats	alakult
salamanca	salamanca
franco	franco
kemisk	kémiai
robot	robot
robot	rakéta
museer	múzeumok
museer	múzeum
olivier	olivier
vingar	szárnyai
vingar	szárnyakat
vingar	szárnyak
vingar	szárny
successivt	fokozatosan
successivt	fokozatosan
holger	holger
landsväg	út
landsväg	uton
landsväg	közúti
landsväg	főút
landsväg	országút
landsväg	autópálya
fossil	fosszilis
skott	lőtt
skott	lelőtték
skott	lövés
skott	lövések
skott	feles
skott	lövés
ändrar	változik
torres	torres
cold	hidegen
cold	hideg
pictures	képeket
pictures	képek
pictures	fényképek
vuxen	felnőtt
vuxen	felnőtt
vuxen	nagykorú
namnteckning	aláírás
ciudad	ciudad
blanche	blanche
samlar	gyűjtés
samlar	gyűjteni
samlar	gyűjt
samlar	összegyűjti
samlar	gyűjti
samlar	összegyűlt
samlar	gyülekező
samlar	összejövetel
heaven	mennyben
heaven	mennyország
heaven	menny
parametrar	paraméterei
parametrar	paraméterek
efteråt	után
efteråt	after
efteråt	miután
efteråt	utána
efteråt	utána
exil	száműzetés
exil	száműzött
exil	száműzték
exil	száműzött
tillgångar	eszközök
tillgångar	vagyon
fastigheter	épületek
fastigheter	ingatlan
fastigheter	tulajdon
fastigheter	ingatlanok
fastigheter	tulajdonság
fastigheter	tulajdonság
fastigheter	tulajdonságai
fastigheter	ingatlanok
fastigheter	tulajdonságok
rodríguez	rodriguez
rodríguez	rodríguez
myndigheten	hatóság
handeln	kereskedelem
handeln	kereskedelmi
handeln	kereskedés
handeln	csere
handeln	kereskedelem
handeln	kereskedelmi
owen	owen
anda	szellem
anda	lélek
hjärtat	szívem
hjärtat	szívvel
hjärtat	szív
psalm	ének
psalm	himnusz
psalm	zsoltár
valdemar	valdemar
kongressen	kongresszus
esperanza	esperanza
bröllop	esküvők
bröllop	esküvő
bröllop	esküvőn
bröllop	esküvőre
berätta	mondd
huila	huila
individ	egyén
individ	egyéni
ansikte	arcát
ansikte	arc
ansikte	arca
noir	noir
spinosa	spinosa
abel	abel
sous	sous
hull	burkolat
hull	hull
hull	hajótest
neuquén	neuquén
sexuella	szexualitás
sexuella	szexuális
hebreiska	héber
uppvisar	kiállítás
fotografier	fotók
fotografier	fényképek
sjönk	elsüllyedt
sjönk	süllyedt
pittsburgh	pittsburgh
acceptera	elfogadni
acceptera	elfogadom
yttersta	legkülső
gene	gén
gene	gene
klas	klas
dragon	sárkány
dragon	dragon
tretton	tizenhárom
tretton	thirteen
fläckar	foltok
fläckar	tapasz
fläckar	foltok
fläckar	foltok
vernon	vernon
lucky	szerencse
lucky	szerencsés
rossi	rossi
löst	megoldott
löst	megoldani
