το	را
από	از
με	با
που	کدام
για	برای
κατηγορία	مقوله
κατηγορία	دسته
τους	آنها
τους	آنان
ήταν	بود
ένα	یکی
ένα	یگانه
ένα	یک
ότι	که
μια	یکی
μια	یگانه
μια	یک
έχει	has
έχει	دارد
θα	ویل
αλλά	ولی
αλλά	اما
μετά	پس
επίσης	همچنین
όπως	شبیه
όπως	لایک
όπως	مثل
όπως	like
όπως	مانند
είχε	had
δύο	دوتا
δύο	دو
αυτό	این
αυτό	که
αυτή	اون
αυτή	او
όπου	کجا
όπου	کجای
όταν	وقتی
όταν	چون
μέχρι	تا
μία	یکی
μία	یگانه
μία	یک
ομάδα	جوخه
ομάδα	گروهبندی
ομάδα	گروپ
ομάδα	گروه
ομάδα	تیم
ομάδα	تیمی
θέση	موضع
θέση	موقعیت
μεταξύ	میان
μεταξύ	بین
χρόνια	مزمن
χρόνια	سالهای
χρόνια	سالها
χρόνια	سال
πρώτη	اول
πρώτη	ابتدا
πρώτη	نخستین
πιο	دیگر
πιο	بیشتر
ένας	یکی
ένας	یگانه
ένας	یک
πόλη	قریه
πόλη	شهر
πόλη	شهرک
πόλη	شهری
πόλη	شهر
πόλη	سیتی
σύνδεσμοι	پیوندها
σύνδεσμοι	پیوندهای
μόνο	تنها
πολύ	خیلی
πολύ	بسیار
κάθε	هر
κάθε	هرکدوم
κάθε	هریک
περιοχή	منطقه
περιοχή	ناحیه
περιοχή	استان
περιοχή	منطقۀ
περιοχή	منطقه
περιοχή	مساحت
περιοχή	ناحیه
αιώνα	قرن
αιώνα	قرنه
αιώνα	سده
αθήνα	آتن
περίοδο	دوره
περίοδο	دورهای
περίοδο	پریود
περίοδο	دورۀ
τότε	پس
όνομα	نام
μέρος	جزء
μέρος	قسمت
μέρος	پارت
μέρος	محل
μέρος	مکانی
μέρος	مکان
μέρος	جای
μέρος	جایی
σήμερα	امروز
μέσα	داخل
μέσα	درون
μέσα	درونت
πως	چطور
μαζί	باهم
διάρκεια	دوام
ιστορία	داستان
ιστορία	داستانی
ιστορία	قصه
ιστορία	تاریخچه
ιστορία	تاریخ
πρωτάθλημα	لیگ
πρωτάθλημα	قهرمانی
αργότερα	دیرتر
αργότερα	بعدها
αργότερα	بعدا
αργότερα	بعداً
νέα	تازه
νέα	نو
νέα	جدید
νέα	نیو
νέα	اخبار
νέα	نیوز
νέα	خبر
νέα	خبری
νέα	اخباری
περίπου	درباره
περίπου	دربارۀ
περίπου	حدوداً
αυτά	اینها
αυτά	اینا
πριν	پیش
χωρίς	بى
χωρίς	بدون
εθνική	نشنال
εθνική	ملی
συζήτηση	گفتگو
συζήτηση	مکالمه
συζήτηση	گفتگوی
συζήτηση	بحثش
συζήτηση	بحث
συζήτηση	مناظره
αρχείο	آرشیو
αρχείο	بایگانی
αρχείο	پرونده
πρέπει	باید
φορά	زمان
φορά	تایم
φορά	time
έλληνες	یونانیان
έλληνες	یونانی
έλληνες	یونانیها
ομάδες	گروهها
ομάδες	تیمهای
πρώτο	اول
πρώτο	ابتدا
πρώτο	نخستین
έργο	پروژه
έργο	کار
έργο	کاری
κυρίως	اساسا
κυρίως	عمدتاً
κυρίως	غالبا
ελληνική	یونان
ελληνική	یونانی
μεγάλη	بیگ
μεγάλη	big
μεγάλη	بزرگ
μεγάλη	بزرگی
υπό	تحت
υπό	زیر
έως	تا
ταινία	فیلمی
ταινία	فیلم
ταινία	فیلمش
ταινία	سینمایی
ταινία	نوار
ταινία	فیلم
ταινία	film
άλλα	دیگر
άλλα	غیره
άλλα	دیگران
άλλα	دیگر
τμήμα	وزارت
τμήμα	اداره
τμήμα	بخش
τμήμα	بخش
σαν	شبیه
σαν	لایک
σαν	مثل
σαν	like
σαν	مانند
εκεί	آنجا
ωστόσο	هرچند
άλλες	دیگر
άλλες	غیره
τέλος	سرانجام
τέλος	بالاخره
τέλος	بلاخره
τέλος	پایان
σειρά	سری
σειρά	نظم
σειρά	فرمان
σειρά	دستور
σειρά	سفارش
σειρά	ترتیب
σειρά	سطر
στοιχεία	عناصری
στοιχεία	عناصر
συνέχεια	پیوستگی
συνέχεια	ادامه
συνέχεια	ادامه
κάτω	فرود
κάτω	پایین
κάτω	پایینی
κάτω	زیر
πολλές	بسیار
όλα	همه
σύστημα	سامانه
σύστημα	سیستم
ακόμα	همچنان
ακόμα	هنوزم
ακόμα	هنوز
φορές	زمانهای
φορές	times
φορές	دفعات
φορές	تایمز
ίδια	همسان
ίδια	منطبق
ίδια	همون
ιουλίου	ژوئیه
ιουλίου	جولای
χώρα	کانتری
χώρα	کشوری
χώρα	کشور
χώρα	مملکت
χώρα	ییلاق
αποτέλεσμα	عاقبت
αποτέλεσμα	نتیجه
αποτέλεσμα	نتیجه
αποτέλεσμα	نتیجۀ
αποτέλεσμα	حاصل
αποτέλεσμα	اثر
αποτέλεσμα	جلوه
αποτέλεσμα	تأثیر
οκτωβρίου	اکتبر
οκτωβρίου	october
ιανουαρίου	ژانویه
σεπτεμβρίου	september
σεπτεμβρίου	سپتامبر
νοεμβρίου	نوامبر
αγώνες	کبریت
αγώνες	بازیهای
αγώνες	بازیها
αγώνες	بازی
ταινίες	فیلمهایی
ταινίες	فیلمهای
ταινίες	سینما
ταινίες	فیلمهایی
ταινίες	فیلم
ταινίες	فیلمها
μέσω	via
μέσω	طریق
μαρτίου	مارس
μαρτίου	پیشروی
μαρτίου	راهپیمایی
γεννήθηκε	متولد
γεννήθηκε	زاده
ιουνίου	ژوئن
ιουνίου	june
αυτές	اینها
αυτές	اینا
πολλά	بسیار
απριλίου	اپریل
απριλίου	آوریل
τρεις	سه
αυγούστου	آگوست
αυγούστου	آگست
αυγούστου	اوت
έργα	پروژههای
δεκεμβρίου	دسامبر
πολιτική	سیاست
πολιτική	سیاست
ακόμη	همچنان
ακόμη	هنوزم
ακόμη	هنوز
ίδιο	همون
μας	ما
εκλογές	انتخابات
εκλογές	انتخاباتی
εκλογές	انتخابات
μέλη	اعضای
μέλη	اعضا
τελικά	سرانجام
τελικά	بالاخره
τελικά	بلاخره
μέλος	عضو
μέλος	عضوی
εποχή	دوره
εποχή	فصل
εποχή	دوران
εποχή	عصری
χωριό	روستای
χωριό	دهکده
χωριό	ویلیج
χωριό	روستا
αρχικά	اصالتا
περίοδος	دوره
περίοδος	دورهای
περίοδος	پریود
περίοδος	دورۀ
κύπελλο	فنجان
κύπελλο	جامی
κύπελλο	کاپ
κύπελλο	جام
ζωή	زندگى
ζωή	زندگی
ζωή	زو
έδρα	صندلی
περιλαμβάνει	شامل
μεγάλο	بزرگ
μεγάλο	درشت
μεγάλο	بیگ
μεγάλο	big
μεγάλο	بزرگ
μεγάλο	بزرگی
βάση	پایه
βάση	مبنا
βάση	پایگاه
βάση	پایه
κέντρο	سنتر
κέντρο	مرکزش
κέντρο	مرکز
κέντρο	سنتر
κέντρο	مرکز
γεννήσεις	تولدها
φεβρουαρίου	فوریه
κοντά	نزدیکی
κοντά	نزدیک
κοντά	close
κοντά	بستن
κοντά	نزدیک
κοντά	مجاور
κοντά	نزدیک
μορφή	فرم
μορφή	شکل
μορφή	قالب
μορφή	قالبی
χρόνο	زمان
χρόνο	تایم
χρόνο	time
ιστοσελίδα	سایت
ιστοσελίδα	وبگاه
ιστοσελίδα	وبسایت
κόμμα	مهمانی
κόμμα	پارتی
κόμμα	مهمونی
κόμμα	حزب
κόμμα	جشن
κόμμα	کاما
γιατί	چون
γιατί	چرا
ρόλο	رولو
ρόλο	نقشی
ρόλο	رل
ρόλο	نقش
άλμπουμ	آلبوم
άλμπουμ	آلبومهای
επειδή	چون
έκδοση	ورژن
έκδοση	نسخۀ
έκδοση	نسخه
γκολ	اهداف
γκολ	گل
γκολ	هدف
γκολ	goal
αρχές	مسئولین
αρχές	مقامات
αρχές	مسئولان
αρχές	اصول
γύρω	اطراف
γύρω	حوالی
συνήθως	معمولا
ονομασία	نام
κοινότητα	اجتماع
κοινότητα	ملتی
κοινότητα	جامعه
κοινότητα	انجمن
κοινότητα	امت
τελευταία	آخری
τελευταία	لست
τελευταία	واپسین
τελευταία	آخرین
τελευταία	اخرین
τελευταία	اخیرا
τελευταία	جدیدا
κυβέρνηση	دولتی
κυβέρνηση	حکومت
κυβέρνηση	دولت
πρώτος	اول
πρώτος	ابتدا
πρώτος	نخستین
ανάμεσα	میان
ανάμεσα	بین
δεύτερη	دوم
δεύτερη	ثانیه
δεύτερη	دومی
γλώσσα	زبون
γλώσσα	زبان
γλώσσα	زبان
γιος	پسر
μάχη	رزم
μάχη	کارزار
μάχη	بتل
μάχη	نبرد
μάχη	مقابله
μάχη	نبرد
μάχη	بجنگ
πανεπιστήμιο	دانشگاه
πανεπιστήμιο	qom
όλες	همه
κάποια	بعضیها
κάποια	برخی
δείτε	see
δείτε	دیدن
πόλεμο	جنگ
πόλεμο	جنگی
συχνά	غالبا
συχνά	اغلب
περιοχές	نواحی
περιοχές	مناطق
πρώην	سابق
πρώην	پیشین
παράδειγμα	مثلی
παράδειγμα	مثال
παράδειγμα	نمونه
άρθρο	مطلب
άρθρο	مقالۀ
άρθρο	مقاله
εικόνα	عکسه
εικόνα	عکس
εικόνα	تصویر
εικόνα	نگاره
επίσημη	رسمی
επίσημη	صوری
επίσημη	رسمی
κατοίκους	ساکنین
κατοίκους	یاران
πηγές	منابع
βόρεια	شمالی
βόρεια	نورث
βόρεια	شمال
βόρεια	شمالی
βόρεια	شمال
πόλεις	شهرها
πόλεις	شهرها
ιδιαίτερα	مخصوصا
ιδιαίτερα	بخصوص
αγώνα	نژاد
αγώνα	مسابقه
αγώνα	تطبیق
αγώνα	مسابقه
αγώνα	کبریت
αγώνα	تطابق
αγώνα	بجنگ
γεγονός	رویداد
γεγονός	واقعه
γεγονός	رخداد
σελίδα	صفحۀ
σελίδα	صفحه
θέμα	چهره
θέμα	چهرۀ
θέμα	تم
θέμα	سوژه
θέμα	فاعل
θέμα	موضوع
ηλικία	عصر
ηλικία	age
ηλικία	سنی
ηλικία	سن
πρώτα	اول
πρώτα	ابتدا
πρώτα	نخستین
μέγεθος	اندازۀ
μέγεθος	اندازه
εδώ	اینجا
νότια	جنوب
νότια	جنوبی
νότια	ساوت
νότια	جنوب
νότια	جنوبی
σημείο	نکته
σημείο	نقطه
σημείο	پوینت
σχέση	رابطه
περίπτωση	پرونده
περίπτωση	کیس
περίπτωση	مورد
νέο	تازه
νέο	نو
νέο	جدید
νέο	نیو
ήδη	قبلا
έτος	سال
σχεδόν	تقریباً
σχεδόν	تقریبا
σχεδόν	نزدیک
σχεδόν	نمانده
ένωση	یونیون
ένωση	اتحادیه
ένωση	اتحاد
ένωση	انجمن
περισσότερο	دیگر
περισσότερο	بیشتر
βασιλιά	پادشاه
βασιλιά	کینگ
βασιλιά	شاه
εκκλησία	کلیسا
εκκλησία	چرچ
εκκλησία	کلیسای
εκδόσεις	نشریات
μουσείο	موزه
πολιτικός	سیاستمدار
συμμετοχή	گرفتاری
συμμετοχή	درگیری
συμμετοχή	دخالت
συμμετοχή	مشارکت
δυο	دوتا
δυο	دو
μεγαλύτερη	بزرگتر
μεγαλύτερη	پیرتر
μεγαλύτερη	بزرگتر
μεγαλύτερη	بزرگتر
μεγαλύτερη	بزرگتری
πέθανε	بمیرم
πέθανε	بمیرد
πέθανε	بمیر
πέθανε	درگذشت
ανά	پر
μουσική	موسیقی
μουσική	موزیک
κόσμο	جهان
κόσμο	دنیا
κόσμο	جهانی
άτομα	اشخاص
άτομα	افراد
άτομα	مردمان
άτομα	آدمها
άτομα	مردم
δεύτερο	دوم
δεύτερο	ثانیه
δεύτερο	دومی
είδος	تیپ
είδος	نوع
είδος	تایپ
είδος	گونه
είδος	گونههای
αρκετά	کافیه
