मोतीलाल	motilal
फ़ौज	quân
फ़ौज	army
पागलपन	madness
ओड़िया	oriya
युआन	yuan
युआन	nguyên
रोमांच	thrill
कारगिल	kargil
सूख	lau
सूख	khô
दिग्गज	giants
दिग्गज	hanh
इजाजत	phép
सूद	sood
मोनोऑक्साइड	monoxide
अटलांटा	atlanta
मैडिसन	madison
मृदु	mellow
मृदु	dainty
शेखावत	shekhawat
पैराशूट	dù
खरगोश	thỏ
खरगोश	thỏ
मेज़बान	máy
नागालैंड	nagaland
तकलीफ	nod
तकलीफ	distress
कैट	mèo
कैट	cat
वीरों	heroes
काका	kaka
लिफ्ट	nâng
लिफ्ट	lift
लिफ्ट	dỡ
लिफ्ट	kháng
किग्रा	kgs
बैरल	thùng
बैरल	nóc
बैरल	nòng
खुजली	ngứa
खुजली	ngứa
मूर्ख	lừa
मूर्ख	ngu
बीम	beam
कोडिंग	coding
अविश्वसनीय	unbelievable
शीन	sheen
कर्षण	traction
इम्पीरियल	imperial
वहा	kia
वहा	đó
गर्ग	garg
सत्रह	seventeen
सोया	soy
मक्खी	fly
मक्खी	ruồi
मक्खी	bay
मदुरै	madurai
बड़ौदा	baroda
कॉन्सर्ट	concert
छायांकन	shading
कॉर्नेल	cornell
टेनेसी	tennessee
जहाँगीर	jahangir
मधुमक्खी	ong
मधुमक्खी	bee
टिप्पणियां	comments
गोआ	goa
घटी	giảm
इजरायल	israel
गेंदबाज़ी	bowling
बस्तर	bastar
आबू	abu
डीलर	buôn
मीठी	sweet
मीठी	ngọt
पुष्कर	pushkar
ब्रॉडवे	broadway
जिगर	gan
जिगर	chay
अंगोला	angola
गोथिक	goth
गोथिक	gothic
घुलनशील	soluble
मुरैना	morena
दस्ते	squad
दस्ते	đội
आयोडीन	iodine
कामुक	hứng
कामुक	horny
तेरहवीं	thirteenth
लेस	đọc
लेस	les
विन्स	thắng
रणबीर	ranbir
तीक्ष्ण	cãi
मॉरिस	mauritius
मॉरिस	morris
सिरसा	sirsa
सीन	cảnh
ईशा	isha
कैफे	caffeine
नींबू	chanh
नींबू	chanh
ओपल	opal
हडसन	hudson
धावक	runner
धावक	runners
लद्दाख	ladakh
बर्न	bern
बर्न	đốt
बर्न	cháy
बर्न	burn
नेहा	neha
शाहिद	shahid
इंडेक्स	index
तेंदुआ	leopard
डिक	dick
निरर्थक	null
होड़	rush
बाल्टिक	baltic
केतु	ketu
गोखले	gokhale
शकीरा	shakira
अमेज़न	amazon
निजाम	nizam
एसएमएस	sms
वैंकूवर	vancouver
त्रिवेंद्रम	trivandrum
प्यास	khát
प्यास	khát
देशपांडे	deshpande
मार्टिना	martina
काराकोरम	karakoram
पीटर्सबर्ग	petersburg
खलीफा	khalip
खलीफा	khalifa
कीथ	keith
एडमंड	edmund
खेड़ा	khera
खेड़ा	kheda
डिप्टी	phó
डेटिंग	dating
कमरा	phòng
माइनर	nhỏ
माइनर	minor
गड्ढे	hố
गड्ढे	pit
एनबीए	nbc
एनबीए	nba
चर्चिल	churchill
खजाना	jackpot
आइंस्टीन	einstein
गिब्सन	gibson
निर्वासन	exile
नोटिस	chuông
नोटिस	quận
रू	roo
महोदय	sếp
बीना	bina
पार्कर	parker
बारबरा	barbara
एटीएम	atm
देवरिया	deoria
प्रवचन	discourses
प्रवचन	discourse
कन्याकुमारी	kanyakumari
चुप	silent
चुप	thoả
बाल्यकाल	trãi
द्रुत	rapid
सावन	sawan
छोड़ो	thoát
यूनानियों	greeks
यूनानियों	greece
भागीरथी	bhagirathi
प्रिंसटन	princeton
मालदीव	maldives
डिस्कवरी	discovery
सत्यापित	certified
राबर्ट	robert
अवर	inferior
डीज़ल	diesel
फिशर	fisher
विम्बलडन	wimbledon
गुस्सा	angry
अदर	adar
सीढ़ियों	dục
रस्म	lễ
मंगलौर	mangalore
खरीदे	mua
त्वरक	accelerator
मिंग	minh
मिंग	ming
घाना	ghana
कैप	cap
जनम	sinh
साईं	sài
कनेक्टिकट	connecticut
क्रोम	chrome
रोनाल्डो	ronaldo
कोंकण	konkan
विंडसर	windsor
प्लेस्टेशन	playstation
माइक्रोसॉफ़्ट	microsoft
ट्रिगर	cò
विसर्जन	immersion
हत्यारे	assassin
हत्यारे	assassins
विनम्र	nhục
ध्वनिक	acoustic
ध्वनिक	destroyer
एडगर	edgar
लखीमपुर	lakhimpur
मिनियापोलिस	minneapolis
प्रियस	prius
कट्टरपंथी	fanatic
डायना	diana
टॉमी	tommy
मिल्क	sữa
मिल्क	milk
नामी	nami
व्हील	wheel
ग्रेनाइट	granite
माथे	trán
माथे	trán
डुनेडिन	dunedin
पत्ता	lá
इस्तांबुल	istanbul
जार	lọ
जार	jar
लैरी	lary
लैरी	larry
सिंडरेला	cinderella
अंबानी	ambani
स्वीट	sweet
स्वीट	ngọt
स्मैकडाउन	smackdown
खूनी	thằng
नफरत	ghét
नफरत	hat
एंटोनियो	antonio
नाई	barber
दाह	dah
हलचल	khuấy
हलचल	xào
ऑडिशन	audition
मेसोपोटामिया	mesopotamia
समुद्रगुप्त	samudragupta
सिलाई	may
सिलाई	khâu
सिलाई	stitch
ताई	thái
ताई	tai
ब्लैकबेरी	blackberry
खरपतवार	cỏ
खरपतवार	weed
लैन	quận
लैन	hạt
कारा	kara
कारा	cara
उत्तरकाशी	uttarkashi
टाइटन	titan
अव्यवस्था	chaos
कोको	coco
कोको	koko
मदीना	madina
मदीना	madinah
मदीना	medina
गोरी	gori
हटाएँ	bỏ
हटाएँ	xóa
हटाएँ	xóa
हटाएँ	xoá
खमीर	yeast
खमीर	men
संवेदन	sensing
नाच	điệu
नाच	múa
बाल्टीमोर	baltimore
चित्रकारों	tranh
चित्रकारों	sơn
शैलियाँ	dáng
शैलियाँ	styles
मेरु	meru
पुलों	bridges
पुलों	cầu
मिडिया	media
केयर	care
सरगुजा	surguja
कर्ट	kurt
छतरी	umbrella
भा	bha
शिवालिक	shivalik
फीस	phí
कतर	qatar
लकी	may
लकी	lucky
जाम	jam
जाम	mứt
रैम	ram
गौरैया	passer
गौरैया	sparrow
मकानों	nhà
फ़िल्टर	lọc
फ़िल्टर	lọc
कीड़ों	giun
कीड़ों	worms
पार्किंग	đỗ
नशा	saigon
लचीला	dẻo
पल्लव	pallava
मनन	manan
कोलेजन	collagen
कोलेजन	colagen
बर्टन	burton
पुतिन	putin
प्रोपेन	propane
लादेन	laden
कार्यस्थल	workplace
पर्दा	màn
पर्दा	curtain
पर्दा	chăn
पर्दा	rèm
बाट	baht
टच	touch
टच	ống
टच	sờ
टच	chạm
सिल्क	lụa
गुरुओं	gurus
ईगल	eagle
ईगल	bàng
भाटिया	bhatia
होमर	homer
मुबारक	phúc
मुबारक	vui
एकांत	solitude
विंड	gió
हैंक्स	hanks
सोरोस	soros
सुलतान	sultan
लोपेज़	lopez
आदी	addicted
