மற்றும்	وال
ஒரு	احد
ஒரு	واحدة
ஒரு	واحد
ஒரு	واحده
இந்த	هذا
இந்த	هذه
இந்த	هؤلاء
இந்த	هذه
ஆம்	حاضر
ஆம்	اجل
ஆம்	بلى
ஆம்	نعم
இது	هذا
இது	هذه
மக்கள்	شعوب
மக்கள்	الشعوب
மக்கள்	اشخاص
மக்கள்	اناس
மக்கள்	الاشخاص
மக்கள்	الناس
மக்கள்	ناس
என்ற	بعنوان
என்ற	the
என்ற	ال
என்ற	المستمدة
ஆண்டு	عام
ஆண்டு	العام
ஆண்டு	السنه
ஆண்டு	سنة
ஆண்டு	سنه
ஆண்டு	السنة
என்று	هذا
என்று	ذلك
தமிழ்	التاميل
தமிழ்	تاميل
இந்திய	هندية
இந்திய	هندي
இந்திய	الهندية
இந்திய	الهندي
இருந்து	من
இருந்து	from
பல	كثير
பல	العديد
பல	الكثيرون
பல	كثيرون
பல	الكثير
பல	المتعددة
பல	تعدد
பல	متعدد
பல	متعددة
முதல்	من
முதல்	from
முதல்	اول
முதல்	اولا
முதல்	الاول
முதல்	الاولى
மேலும்	المزيد
மேலும்	اكتر
மேலும்	اكثر
மேலும்	مزيد
தொகை	المبلغ
சில	قليلون
சில	قليلة
சில	قلة
சில	البعض
சில	بعض
உள்ளது	متوفر
உள்ளது	متاح
உள்ளது	متاحة
உள்ளது	متوفرة
உள்ளது	تتوفر
அவர்	له
அவர்	هو
அவர்	لها
அவர்	هي
இருக்கும்	موجود
இருக்கும்	قائم
வெளி	الخارجية
வெளி	خارجي
வெளி	خارجية
வெளி	مساحة
வெளி	الفضاء
வெளி	فضاء
வெளி	حيز
மூலம்	المصدر
மூலம்	مصدر
மூலம்	الاصلي
மூலம்	اصلي
மூலம்	الاصلية
மூலம்	الاصل
மூலம்	اصلية
கொண்ட	احتواء
வரை	ارسم
வரை	رسم
வரை	حتى
பின்னர்	اذن
பின்னர்	بعدها
பின்னர்	ثم
பின்னர்	اذا
பின்னர்	لاحقا
பின்னர்	لاحق
ஆனால்	لكن
ஆனால்	بس
ஆனால்	ولكن
வேண்டும்	حاجة
வேண்டும்	الحاجة
வேண்டும்	اريد
வேண்டும்	ينبغي
கொண்டு	جلبت
கொண்டு	احضرت
கொண்டு	احضار
கொண்டு	جلب
கொண்டு	احضر
கொண்டு	with
கொண்டு	مع
பட்டியல்	قائمة
பட்டியல்	قائمه
பட்டியல்	القائمة
பெண்கள்	اناث
பெண்கள்	الاناث
பெண்கள்	بنات
பெண்கள்	البنات
பெண்கள்	فتيات
பெண்கள்	لبنات
பெண்கள்	الفتيات
பெண்கள்	نساء
பெண்கள்	المراة
பெண்கள்	النساء
கொண்டுள்ளது	تحتوي
கொண்டுள்ளது	يحتوي
கொண்டுள்ளது	تحوي
போது	اثناء
போது	خلال
போது	حين
போது	عندما
போது	متى
இணைப்புகள்	الصلات
இணைப்புகள்	الارتباطات
இணைப்புகள்	المرفقات
இணைப்புகள்	ملحقات
இணைப்புகள்	الملحقات
இணைப்புகள்	مرفقات
இணைப்புகள்	الوصلات
