benito	benito
confirmat	potvrzené
confirmat	potvrzen
confirmat	potvrzena
confirmat	potvrzeno
centrat	středem
balls	tance
balls	tančí
danses	tance
danses	tančí
txecoslovàquia	československo
troballes	zjištění
troballes	nálezy
troballes	poznatky
mississipí	mississippi
conjunta	kloub
conjunta	společné
conjunta	joint
farina	mouka
farina	mouky
farina	mouku
larves	larvy
nicaragua	nikaragui
limitar	omezující
atracció	atrakce
atracció	přitažlivost
detecció	zjišťování
detecció	odhalování
detecció	zjištění
detecció	detekce
salomó	solomon
subministrament	zásobování
presentada	předložený
presentada	předložená
presentada	předloženo
presentada	předložené
presentada	předloženy
presentada	podané
vladímir	vladimír
vladímir	vladimir
borneo	borneo
nus	uzel
inclinació	naklonit
inclinació	sklon
formigó	betonu
formigó	beton
formigó	konkrétní
fem	fem
cirurgia	chirurgie
cirurgia	operace
semblança	podobnost
semblança	podoba
semblança	podoba
enderrocar	svržení
enderrocar	svrhnout
espectador	divák
lenin	lenin
fibra	vlákno
aficionats	amatéři
bordeus	bordeaux
ètica	etiku
ètica	etika
ètica	etický
geogràfic	zeměpisný
geogràfic	geografické
geogràfic	zeměpisné
mou	přesunout
mou	přesun
mou	pohyb
àrtic	arktické
agafa	uchopit
agafa	chyť
mirall	zrcátko
mirall	zrcadla
mirall	zrcadlo
essencials	zásadní
essencials	nezbytné
essencials	podstatné
vacances	prázdniny
vacances	dovolenou
vacances	dovolené
vacances	dovolená
vacances	prázdniny
vacances	dovolené
vacances	dovolená
vacances	svátky
precedents	precedens
estratègica	strategické
estratègica	strategický
estratègica	strategická
interval	dosah
interval	rozsah
interval	rozmezí
interval	interval
brandenburg	brandenburg
vitamina	vitamín
amenaces	výhružky
amenaces	ohrožení
amenaces	výhrůžky
amenaces	hrozby
amenaces	vyhrožování
ideals	ideály
ideals	ideál
ideals	ideální
preocupació	obavy
preocupació	znepokojení
preocupació	obava
rendició	kapitulace
alcalá	alcalá
nomenclatura	nomenklatury
humida	mokrý
humida	mokro
humida	vlhký
humida	mokré
humida	mokrá
lambert	lambert
reich	říše
arxiduc	arcivévoda
cannes	cannes
recepció	recepce
recepció	příjem
recepció	recepci
punk	punk
aristòtil	aristoteles
glucosa	glukózy
parlava	hovořil
parlava	mluvil
llombardia	lombardie
òxid	oxid
òxid	oxidu
esculls	útesy
entertainment	pobavení
entertainment	zábava
entertainment	zábavní
transports	přeprava
transports	doprava
ocean	ocean
ocean	oceán
tons	tóny
aterratge	přístaviště
aterratge	přistání
provocat	vyprovokoval
inclusió	začlenění
inclusió	začleňování
inclusió	zařazení
inclusió	zahrnutí
auto	auto
auto	automatický
auto	automatické
auto	automatická
auto	automaticky
cabra	kozí
cabra	koza
cabra	kozel
pressions	tlaky
percussió	bicí
polonesos	poláci
badajoz	badajoz
oise	oise
celta	celta
celta	keltské
preparat	připraven
preparat	připravena
preparat	připraveno
empleats	zaměstnanců
empleats	zaměstnancům
empleats	zaměstnance
empleats	zaměstnanci
supressió	vymazání
supressió	odstraňování
supressió	odstranění
supressió	odebrání
supressió	vyjmutí
entén	chápe
entén	rozumí
birmània	myanmaru
declara	prohlašuje
benestar	wellness
benestar	blahobyt
serbi	srbské
eficàcia	účinnost
eficàcia	účinnosti
eficàcia	efektivita
eficàcia	účelnost
eficàcia	účinnost
eficàcia	efektivnost
oració	modlitbu
oració	modlitba
administrativament	administrativně
raf	raf
raf	rafe
vores	okraje
vores	hrany
vores	hranice
vores	hranici
perímetre	perimetr
plini	plinius
acadèmica	akademické
acadèmica	akademický
fruites	ovoce
fruites	plody
mirant	sledování
mirant	sleduju
domenico	domenico
álvaro	álvaro
giorgio	giorgio
tria	vyberte
tria	vybrat
tèrmica	tepelné
tèrmica	tepelná
tèrmica	termální
aiguamolls	mokřady
narració	vyprávění
narració	vyprávění
babilònia	babylon
matemàtics	matematici
progressista	postupné
progressista	progresivní
adjunt	příloha
adjunt	přílohy
adjunt	přílohu
adjunt	zástupce
adjunt	zástupkyně
adjunt	náměstek
subministraments	zásoby
subministraments	zásobování
subministraments	dodávky
públicament	veřejně
nick	nick
nick	nicku
terol	teruel
patit	trpěli
patit	trpěla
patit	trpěl
pescadors	rybáři
pescadors	rybáře
submarins	ponorek
submarins	ponorky
associades	přidružené
associades	související
romero	romero
pelatge	kožešiny
pelatge	srst
paixà	paša
angelo	angelo
liverpool	liverpoolu
ritual	rituály
ritual	rituál
ritual	rituální
bernardo	bernardo
varien	vary
inventor	vynálezce
demetri	demetria
esborrat	odstraněno
esborrat	zrušeno
