可疑	不審
小丑	ジョーカー
小丑	道化師
專營	フランチャイズ
關島	グアム
字面	リテラル
自轉	回転
自轉	ローテーション
大通	チェイス
怪人	変人
破碎	壊れた
語氣	トーン
隔離	隔離
隔離	孤立
隔離	検疫
砸	スマッシュ
砸	潰し
生病	病気
生病	病気
摔跤	レスリング
摔跤	レスリング
高爾夫球	ゴルフ
證書	証明書
證書	証明書
證書	証書
山脊	尾根
惡作劇	いたずら
惡作劇	イタズラ
佈局	レイアウト
佈局	レイアウト
日產	日産
拳擊	ボクシング
青蛙	カエル
青蛙	カエル
面板	パネル
高效	効率
探險家	エクスプローラー
探險家	探検
拖延	ディレイ
拖延	遅延
安息	リッピング
安息	rip
安息	リップ
搶救	残存
搶救	サルベージ
商家	マーチャント
商家	商人
商家	商人
執照	ライセンス
執照	ライセンス
執照	免許
執照	ライセンス
煩惱	トラブル
煩惱	悩み
煩惱	迷惑
鮑威爾	パウエル
混合物	混合物
混合物	混合物
粉紅色	ピンク
粉紅色	ナデシコ
軍營	バラック
先例	先例
先例	判例
頸部	ネック
定制	カスタマイズ
定制	カスタマイズ
定制	風習
定制	カスタム
火花	スパークス
火花	キラキラ
火花	スパーク
脈衝	パルス
脈衝	脈拍
客房	部屋
客房	ルーム
伸展	ストレッチ
餐飲	ダイニング
餐飲	ケータリング
亞馬遜	amazon
亞馬遜	アマゾン
微弱	気絶
特赦	恩赦
電影院	劇場
電影院	シアター
電影院	演劇
電影院	映画
電影院	シネマ
休假	離れる
海牙	ハーグ
口音	アクセント
領導者	リーダー
言語	言葉
言語	単語
肢	手足
肢	四肢
王座	玉座
拆解	解体
綏	トゥイ
容忍	許容
容忍	寛容
四重奏	カルテット
偏好	好み
偏好	設定
糖果	スイーツ
糖果	お菓子
糖果	キャンディ
糖果	キャンディー
山寨	コテージ
擾動	擾乱
擾動	騒乱
利潤	営利
利潤	収益
利潤	利益
範例	パラダイム
範例	用例
範例	実例
弊	短所
施政	ガバナンス
切換	トグル
切換	切り替え
切換	切り替え
切換	スイッチ
切換	スイッチング
切換	切り替え
瘟疫	疫病
瘟疫	ペスト
蚜	アブラムシ
捍衛	擁護
海邊	海辺
海邊	シーサイド
奔跑	走る
奔跑	ランニング
括號	括弧
括號	括弧
括號	かっこ
門口	戸口
震驚	ショッキング
震驚	ショック
震驚	衝撃
震驚	ショック
震驚	衝撃
貨櫃	容器
貨櫃	コンテナ
貨櫃	容器
貨櫃	コンテナ
協作	コラボレーション
協作	コラボ
郵件	郵便
郵件	メール
無視	無視
代理人	エージェント
代理人	エージェント
代理人	代理人
材質	素材
材質	材料
材質	マテリアル
呂宋	ルソン島
美味	美味しい
美味	おいしい
美味	美味
美味	おいしい
美味	美味しい
虧損	損失
虧損	喪失
虧損	損失
虧損	赤字
熔	溶ける
口袋	ポケット
口袋	ポケット
蜜蜂	ミツバチ
蜜蜂	ハチ
蜜蜂	ビー
吸入	吸入
吸入	吸気
瑜伽	ヨガ
安第斯山脈	アンデス
硫磺	硫黄
硫磺	硫黄
茉莉	モリー
療法	治療
療法	セラピー
注意力	注目
注意力	注意
狐狸	キツネ
石灰岩	石灰岩
閏	飛躍
站立	スタンディング
站立	スタンド
鼓吹	説教
風車	風車
風車	風車
同化	同化
鍋	ポット
職責	義務
職責	義務
職責	職務
孵化	ハッチ
孵化	孵化
大連	大連市
文藝復興	ルネサンス
文藝復興	ルネッサンス
忠誠	忠実
祖國	母国
祖國	祖国
祖國	家路
祖國	祖国
休士頓	ヒューストン
供電	電力
供電	電気
高祖	高祖
四肢	手足
四肢	四肢
莎莉	サリー
視窗	windows
視窗	ウィンドウ
抗原	抗原
抗原	抗原
老化	老化
老化	エイジング
老化	老化
多哈	ドーハ
守護者	ガーディアン
守護者	後見人
守護者	後見人
經紀人	ブローカー
槍口	マズル
仇恨	憎悪
仇恨	憎悪
仇恨	嫌い
仇恨	憎しみ
矮人	ドワーフ
矮人	小人
不規則	不定期
不規則	不規則
菩提	菩提
穩定性	安定
穩定性	安定性
混沌	カオス
混沌	混沌
鑰匙	キー
鑰匙	key
櫻桃	サクランボ
櫻桃	チェリー
櫻桃	サクランボ
櫻桃	さくらんぼ
執事	ディーコン
哀悼	お悔やみ
摩托車	オートバイ
摩托車	バイク
摩托車	オートバイ
摩托車	オートバイ
加重	加重
地雷	地雷
大亨	ムガル
安慰	慰め
空手道	空手
乾燥	辛口
乾燥	ドライ
乾燥	乾燥
乾燥	乾燥
點數	クレジット
點數	謝辞
點數	ポイント
警示	アラート
警示	アラート
土佐	土佐
潛力	ポテンシャル
開墾	干拓
勞倫斯	ローレンス
班級	クラス
班級	階級
班級	クラス
奧斯汀	オースチン
吉野	吉野
送出	送信
送出	送る
管理者	店長
管理者	支配人
管理者	マネージャー
管理者	マネージャ
管理者	マネージャー
管理者	マネージャ
哈桑	ハサン
哈桑	ハッサン
委派	譲渡
委派	代入
委派	割り当て
卸	アンロード
聚焦	焦点
聚焦	フォーカス
全景	パノラマ
佐賀	サガ
佐賀	佐賀
佛羅里達	フロリダ
工地	サイト
工地	敷地
特質	形質
腎	腎臓
波恩	ボン
鈎	フック
鈎	フック
大修	オーバーホール
觸發	引き金
觸發	トリガー
仁愛	善意
未婚	未婚
香水	香り
香水	香水
美式	アメリカン
診所	クリニック
診所	診療所
診所	クリニック
診所	診療所
大膽	太字
大膽	ボールド
感知	知覚
感知	知覚
違規	違反
違規	違反
鈣	カルシウム
關節	関節
關節	関節
煤礦	石炭
宣揚	説教
學期	学期
學期	用語
占卜	占い
官司	訴訟
官司	訴え
侵蝕	侵食
後勤	物流
後勤	ロジスティック
固體	固体
寄宿	搭乗
寄宿	乗車
寄宿	住宅
寄宿	住宅地
芝麻	ゴマ
芝麻	胡麻
瓷器	磁器
勐	ムアン
諜	スパイ
訂單	オーダー
訂單	注文
訂單	命令
訂單	オーダー
訂單	注文
特權	特権
特權	特権
漁民	漁師
漁民	漁師
徵求	勧誘
痕跡	トレース
柏木	柏木
猩猩	ゴリラ
猩猩	オランウータン
證人	証人
證人	証人
日內瓦	ジュネーブ
日內瓦	ジュネーヴ
梅森	メイソン
女巫	魔女
女巫	ウィッチ
擁抱	ハグ
擁抱	抱擁
擁抱	抱擁
擁抱	抱っこ
擁抱	ハグ
西邊	ウエスト
西邊	西部
西邊	ウェスト
滑行	グライド
出國	海外
陣列	アレイ
陣列	配列
陣列	配列
陣列	アレイ
耐心	我慢
耐心	忍耐
耐心	根気
紡織	繊維
紡織	織物
紡織	テキスタイル
紡織	織物
潛水	ダイビング
潛水	潜る
潛水	ダイビング
竇	イヌ
事前	あらかじめ
吸引力	アトラクション
甘蔗	サトウキビ
哭泣	クライ
哭泣	泣く
哭泣	泣き
哭泣	泣く
賭博	賭け事
賭博	ギャンブル
賭博	賭博
賭博	ギャンブル
功效	効能
成型	モールディング
腫瘤	腫瘍
腫瘤	腫瘍
酷刑	拷問
口服	口頭
嚴謹	厳重
展品	展示
展品	展示
仰光	ヤンゴン
豁免	免除
豁免	免疫
豁免	免責
反潛	asw
史詩	叙事詩
史詩	epic
史詩	エピック
推斷	推論
推斷	推論
暹羅	シャム
暹羅	サイアム
鑄造	鋳造
淮海	淮海
刪去	削除
礦物	鉱物
礦物	鉱物
麻醉	麻酔
攝政	摂政
芳香	香り
芳香	アロマ
民謠	バラード
民謠	バラッド
民謠	フォーク
明文	明示
服務業	サービス
守衛	衛兵
守衛	ガード
氣球	風船
氣球	気球
氣球	バルーン
氣球	風船
遣返	送還
一幕	現場
一幕	シーン
一幕	場面
摸	タッチ
摸	touch
摸	触る
推論	推論
投放	配達
投放	配送
投放	配信
投放	デリバリー
神學院	神学校
瀋陽	瀋陽市
艾瑪	エマ
類比	類似
類比	アナログ
類比	類推
忠孝	忠孝
雅加達	ジャカルタ
通宵	一泊
通宵	一晩
對照	コントラスト
膨脹	膨張
營利	営利
營利	収益
營利	利益
良心	良心
位移	変位
招標	テンダー
招標	柔らかい
招標	勧誘
傳道	説教
雨傘	アンブレラ
花生	ピーナッツ
花生	ピーナッツ
閃光	flash
閃光	フラッシュ
閃光	キラキラ
閃光	グリッター
和弦	和音
子爵	子爵
削減	裁断
削減	切り取り
削減	cut
削減	カット
削減	切り取り
削減	切り傷
視察	検問
視察	検査
視察	検問
髮型	ヘアー
髮型	髪の毛
髮型	ヘア
髮型	毛髪
髮型	ヘアスタイル
髮型	髪形
髮型	髪型
殘酷	残酷
牧場	牧草
牧場	牧場
單身	シングル
單身	独身
大自然	ネイチャー
大自然	自然
犀	サイ
九個	nine
雇用	雇う
悲傷	悲しみ
悲傷	悲しい
悲傷	sad
僧侶	モンク
僧侶	僧侶
恐嚇	脅迫
沒收	没収
沒收	没収
粉紅	ピンク
粉紅	ナデシコ
反向	リバース
北九州	北九州
浴	入浴
浴	風呂
浴	入浴
感恩	感謝
感恩	感謝
感恩	感謝
生氣	怒り
星期天	日曜
星期天	日曜日
星期天	日曜日
工房	コボ
塵埃	ダスト
塵埃	砂塵
塵埃	ほこり
平滑	スムーズ
平滑	スムース
平滑	滑らか
加速器	加速器
側面	側面
穆爾	ムーア
薄弱	衰弱
薄弱	弱い
指明	指定
諸葛	諸葛
宙斯	ゼウス
野獸	野獣
野獸	ビースト
填充	パディング
填充	中身
填充	埋める
水分	水分
縫	縫う
縫	裁縫
縫	縫製
高分子	高分子
反省	反射
反省	リフレクション
敲	ノック
頂端	top
頂端	上部
頂端	トップ
角落	コーナー
淋巴	リンパ
郵輪	クルーズ
郵輪	クルーズ
燈光	ライト
燈光	軽い
燈光	明るい
燈光	ライト
瑪利亞	マリア
瑪利亞	マリヤ
太陽能	ソーラー
儲備	リザーブ
反對派	野党
藤本	藤本
舵	ヘルム
講話	音声
講話	スピーチ
離任	送信
離任	発信
激發	鼓舞
激發	インスパイア
激發	励起
禁忌	タブー
禁忌	タブー
假說	仮説
假說	仮説
邪教	カルト
醚	エーテル
孢子	胞子
孢子	胞子
噴	スプレー
榮耀	グローリー
偽裝	変装
偽裝	カモフラージュ
偽裝	変装
家園	家路
波動	volatile
波動	変動
層次	レベル
矽	シリコン
矽	ケイ素
繡	刺繍
匹茲堡	ピッツバーグ
笨	バカ
少了	少ない
康復	ヒーリング
康復	リハビリテーション
康復	更生
康復	再生
康復	リハビリ
康復	回復
康復	リカバリ
康復	回収
大院	化合物
布希	ブッシュ
欺騙	カンニング
欺騙	カンニング
欺騙	浮気
欺騙	欺瞞
磁性	磁性
內政	内部
內政	内装
內政	内面
內政	インテリア
花朵	お花
花朵	flower
花朵	フラワー
造訪	訪問
炸藥	ダイナマイト
皮革	レザー
皮革	皮革
