del	del
che	welches
che	welcher
che	welche
che	welchen
che	dass
che	das
per	für
con	mit
una	einen
una	eins
una	einer
una	eine
una	ein
non	not
non	nicht
non	kein
dell	dell
come	wie
come	inwiefern
come	woher
come	mögen
come	gefällt
come	wie
come	like
sono	sind
dal	dal
dal	vom
dal	von
dal	ab
dal	aus
più	weiteres
più	mehr
più	weitere
anche	überhaupt
anche	selbst
anche	sogar
anche	auch
anche	ausserdem
anche	ebenso
anche	außerdem
anche	ebenfalls
anche	auch
team	mannschaft
team	team
due	zweit
due	beiden
due	two
due	zwei
tra	zwischen
tra	dazwischen
era	war
era	wurde
era	ära
era	era
era	zeitalter
dalla	vom
dalla	von
dalla	ab
dalla	aus
suo	seinem
suo	seinen
suo	seine
suo	sein
suo	seiner
dopo	danach
dopo	nach
dopo	after
dopo	nachher
dopo	nachdem
dopo	späteren
dopo	spätere
dopo	nachher
dopo	später
prima	zuvor
prima	davor
prima	vorher
prima	vor
prima	bevor
prima	prima
prima	erste
prima	zuerst
prima	erster
prima	first
prima	ersten
parte	teilweise
parte	teil
stato	status
stato	zustand
stato	staat
stato	bundesland
stato	zustand
stato	mitgliedstaat
stato	bundesstaat
altri	sonstiges
altri	andere
altri	anderen
altri	sonstige
altri	anderes
altri	sonstiges
altri	andere
altri	anderen
altri	sonstige
bar	bar
bar	balken
cest	cest
anni	anni
anni	jahren
anni	jahre
italiano	italiener
italiano	italienischer
italiano	italienischen
italiano	italienisch
italiano	italienische
essere	wesen
questo	dieser
questo	diese
questo	das
esterni	externe
esterni	außenhandel
esterni	externen
esterni	außen
esterni	außenbereich
esterni	äußere
esterni	außen
esterni	aussen
collegamenti	anschlüsse
collegamenti	verbindungen
collegamenti	verbindungen
collegamenti	verweise
collegamenti	verknüpfungen
collegamenti	links
nell	nell
serie	reihe
serie	serie
serie	zeitreihen
serie	baureihe
serie	reihen
serie	serie
viene	kommt
cet	mez
questa	dieser
questa	diese
questa	das
film	filmen
film	filme
film	folien
film	kino
film	filme
film	kinos
film	spielfilm
film	kinofilm
film	film
film	kino
film	spielfilm
film	kinofilm
film	film
regia	regie
regia	regia
città	stadt
città	ortschaft
città	stadt
città	städte
città	stadt
solo	solo
solo	alleine
solo	allein
solo	einzige
solo	einzig
solo	lediglich
solo	einzigen
solo	nur
solo	gerade
solo	eben
solo	nur
solo	einfach
solo	just
uno	einen
uno	eins
uno	einer
uno	eine
uno	ein
loro	ihre
loro	ihrer
