리카르도	ricardo
에비스	ebisu
세로로	verticais
세로로	vertical
길버트	gilberto
길버트	gilbert
안드레	andre
안드레	andré
안드레	andré
로버스	rovers
펭귄	pinguins
펭귄	pinguim
물류	logística
물류	cumprimento
물류	realização
루터교	luterana
마키노	makino
변속기	transmissão
다이토	taito
갑작스러운	abrupta
조수	maré
조수	marés
조수	assistente
아카이브	arquivo
아카이브	arquivar
정체성	identidades
정체성	identidade
정착	liquidada
다이렉트	directa
다이렉트	direta
다이렉트	diretos
다이렉트	direct
다이렉트	direto
희생	sacrifícios
희생	sacrificio
희생	sacrifícios
희생	sacrifício
도박	apostas
도박	apostar
도박	apostando
도박	gamble
캔버라	canberra
아름다워	linda
점원	escrivão
발급	emitida
발급	emitidos
발급	emitiu
발급	emitido
발급	emitidas
발급	alegações
발급	reclamações
발급	reivindicações
유학생	alunos
유학생	estudantes
스윙	balançando
스윙	baloiço
스윙	balança
스윙	balançar
스윙	swing
터키어	turcos
터키어	turco
터키어	turca
터키어	turcas
그레그	greg
그레그	gregg
테러리스트	terrorista
테러리스트	terroristas
하단	fundo
하단	bottom
컴백	retorno
컴백	regresso
충격	chocantes
충격	chocante
충격	choque
충격	chocado
충격	chocados
충격	chocada
교차	cruz
교차	cross
교차	intersecção
교차	cruzamento
코로나	coronal
코로나	corona
부두	voodoo
부두	vodu
부두	vudu
부두	píer
부두	cais
부두	pier
슬라이드	slides
슬라이드	lâminas
슬라이드	deslizar
슬라이드	deslizamento
슬라이드	slide
슬라이드	deslize
슬라이드	escorrega
슬라이드	carrossel
잠재적	potencialidades
잠재적	potencial
잠재적	potenciais
디제이맥스	djmax
검정색	preta
검정색	black
검정색	preto
검정색	negro
검정색	pretas
애슬레틱	atlética
애슬레틱	atlético
풍자	sarcasmo
풍자	satírico
풍자	sátira
간디	fígado
터치스크린	touchscreen
쓰루미	tsurumi
가속	aceleração
가속	acelerado
가속	acelerados
가속	acelerada
테크노	techno
노스웨스트	noroeste
상속	herda
상속	herdeiro
상속	herdeira
상속	herdeiros
상속	herança
크리스토프	kristoff
맞춤법	ortografia
버디	amigo
버디	amigão
버디	buddy
시어도어	theodore
시어도어	teodoro
조종	manipular
조종	manipula
보헤미아	boêmia
보헤미아	boémia
간략하게	brevemente
간략하게	resumidamente
럭키	sortuda
럭키	sorte
럭키	lucky
럭키	sortudo
스노보드	snowboard
스노보드	snowboard
미타	mita
인스턴트	instante
인스턴트	instantânea
인스턴트	instantâneo
인스턴트	instantâneos
애틀랜틱	atlântica
애틀랜틱	atlântico
호놀룰루	honolulu
정치국	politburo
쇼크	choque
단말기	aparelho
단말기	dispositivo
아바나	havana
가와카미	kawakami
나이로비	nairobi
셰퍼드	shepherd
셰퍼드	pastor
그라나다	granada
루키	lou
부드럽게	soft
부드럽게	suave
부드럽게	macio
부드럽게	mole
부드럽게	suaves
부드럽게	suave
부드럽게	suaves
부드럽게	liso
부드럽게	suavemente
부드럽게	gentilmente
묘사	descrição
묘사	representações
제미니	gemini
제미니	gêmeos
미란다	miranda
트랜지스터	transistor
세이	redação
세이	ensaio
코발트	cobalto
차이점	diff
차이점	diferenças
차이점	diferenca
차이점	diferença
차이점	diferenças
차이점	divergências
차이점	diferenças
논리학	lógico
논리학	lógica
버틀러	butler
버틀러	mordomo
마르셀	marcelle
마르셀	marcelo
마르셀	marcel
이니셜	inicial
이니셜	iniciais
이니셜	iniciais
일치	partidas
일치	correspondências
일치	fósforos
