skapande	creación
tvingar	a
tvingar	obrigando
gus	gus
perfect	perfecto
perfect	perfecta
perfect	perfectos
golv	chan
golv	piso
golv	andar
designer	estilista
kärnvapen	nuclear
kärnvapen	nucleares
paradis	paraíso
paradis	o
industriell	industrial
asia	asia
asia	de
rekommenderas	aconsellan
rekommenderas	que
paket	paquete
tunnelbanan	metro
tunnelbanan	sen
tunnelbanan	pantalóns
morbror	tío
morbror	tonton
tillåten	permitiu
tillåten	se
tillåten	permita
tillåten	lles
tillåten	permite
tillåten	non
tillåten	permiten
tillåten	vir
instrumentet	instrumento
flygeln	nunha
flygeln	á
bly	conducir
bly	levar
bly	a
bly	até
aktion	acción
återvänt	volveu
upphöra	alto
upphöra	o
månaderna	meses
done	fixen
done	feito
done	fixemos
done	facer
done	fixeches
löv	marcha
löv	follas
löv	deixa
löv	as
löv	sae
koppla	conectarnos
dolda	oculto
dolda	oculta
dolda	ocultas
dolda	escondidos
dolda	escondidas
ideella	sen
ideella	ánimo
ideella	lucro
imperial	imperial
kommunisterna	os
kommunisterna	comunistas
utvald	escollida
kört	conducido
backar	costas
luca	luca
solomon	solomon
strong	forte
strong	fortes
dörr	porta
rättsliga	xudicial
rättsliga	legal
rättsliga	legais
existera	existencia
existera	vida
existera	existen
existera	existir
existera	existe
dödad	a
dödad	mataron
dödad	matou
dödad	asasinado
dödad	mortos
hantering	de
hantering	xestión
hantering	dirección
hantering	a
uppskattar	aprezar
uppskattar	apreciaría
uppskattar	estivese
uppskattar	gustaríame
axeln	ombro
axeln	ombreiro
indianer	indios
stämning	atmosfera
stämning	ambiente
stämning	humor
stämning	ánimo
kristet	christian
kristet	cristiáns
obs	nota
obs	a
trust	en
trust	confianza
trust	confiar
trust	confío
slow	lento
slow	lenta
slow	lentos
slow	ou
slow	frean
slow	tranquilo
anonyma	anónimos
enormt	enormes
enormt	enorme
enormt	gran
enormt	xigante
enormt	grande
enormt	enorme
enormt	enormes
amerikan	estadounidense
amerikan	americanos
amerikan	americana
amerikan	americano
armen	brazo
sektorn	sector
djupgående	profundo
salen	hall
salen	corredor
salen	concello
salen	civil
salen	sede
beväpnade	armados
beväpnade	armado
beväpnade	armada
beväpnade	armadas
andlig	espiritual
andlig	senda
bus	truco
bus	autobús
bus	parada
bus	autocarro
vilkas	que
vilkas	cuxo
vilkas	cuxa
vilkas	cuxos
vilkas	de
vilkas	a
vilkas	quen
författning	constitución
stay	quedar
stay	ficar
stay	queda
fonden	fondo
fonden	de
syften	obxectivos
syften	propósitos
strike	folga
strike	ataque
strike	¡
strike	que
strike	empece
fbi	fbi
nedgång	declive
dramat	drama
straight	en
straight	directo
straight	dereito
regim	réxime
garrett	garrett
objektiv	obxectivo
objektiv	obxectiva
objektiv	lentes
objektiv	lente
rollfigur	carácter
favorit	favorito
favorit	favoritos
favorit	favorita
favorit	preferido
buddy	amigo
buddy	colega
buddy	compañeiro
experimentell	experimental
fantastiska	fantástico
fantastiska	fantástica
fantastiska	incrible
fantastiska	incribles
fantastiska	sorprendente
fantastiska	abraiante
fantastiska	o
fantastiska	marabilloso
fantastiska	asombroso
fantastiska	fabuloso
utdrag	extraer
utdrag	extraen
kommunistisk	comunista
kommunistisk	partido
kommunistisk	comunistas
cirkel	círculo
kvarstår	segue
kvarstår	queda
kvarstår	a
kvarstår	ser
kvarstår	restos
kvarstår	continúa
kvarstår	fica
förena	unídevos
förena	irmandádevos
förena	matar
förena	vosas
tillhandahåller	a
satan	satanás
satan	satán
lovar	promesa
lovar	prometer
lovar	prométolle
lovar	prometo
lovar	prométocho
keys	chaves
keys	as
teddy	peluche
sammanlagda	agregada
hotas	ameazada
katalog	catálogos
katalog	catálogo
användbar	útil
användbar	útiles
användbar	para
fången	preso
fången	prisioneira
fången	prisioneiro
fången	prisioneiros
anledningar	razóns
anledningar	polas
anledningar	motivos
gräva	extraer
gräva	cáptasme
gräva	capto
gräva	cavar
gräva	píllalo
gräva	cavando
bentley	bentley
muskler	músculos
muskler	os
muskler	muscular
muskler	músculo
inkludera	moitos
inkludera	de
kompletta	total
kompletta	completa
kompletta	completar
kompletta	completo
pistol	pistola
pistol	arma
pistol	pistola
pistol	revólver
franc	francos
pocket	peto
pocket	petos
uppenbara	obvio
uppenbara	obvia
uppenbara	evidentes
uppenbara	normal
uppenbara	fixo
uppenbara	claro
intern	interno
intern	interna
baseboll	béisbol
rhodes	rhodes
verkligt	real
verkligt	de
verkligt	verdade
mäktigaste	ó
kommission	comisión
förfäder	devanceiros
förfäder	os
barrett	barrett
barrett	barret
grannar	os
grannar	veciños
sparken	despedidos
skyltar	sinais
hotar	ameazando
hotar	ameazan
hotar	a
hotar	ameazan
hotar	ameazar
hotar	ameazouna
grepp	realidade
won	non
won	vai
won	vou
satsning	aposta
satsning	apostar
satsning	a
satsning	aposto
satsning	que
satsning	seguro
altare	altar
grip	deter
grip	arresto
märken	marcos
philips	phillips
underhållning	entretemento
beskydd	protección
japanskt	xaponés
japanskt	xaponeses
editor	de
editor	edición
faster	tía
ställföreträdande	axudante
förklarat	explicou
hindrade	evitou
årskurs	de
årskurs	grao
blockeringar	mazás
blockeringar	de
fälla	trampa
fälla	boca
störning	trastorno
störning	desorde
lenin	lenin
hämnas	vinganza
hämnas	vingar
indianerna	indios
socialism	socialismo
dödat	a
dödat	mataron
dödat	matou
dödat	asasinado
dödat	mortos
betalning	pago
sorter	variedades
diskriminering	discriminación
faktiska	real
gillade	gustaba
gillade	lle
gillade	gustara
gillade	gustou
gillade	me
gillade	gustáballe
leverera	pásao
leverera	líbranos
leverera	entregar
evigt	eterna
omedelbar	inmediato
omedelbar	contado
omtyckt	gustaba
omtyckt	lle
omtyckt	gustara
omtyckt	gustou
omtyckt	me
omtyckt	gustáballe
kommendant	comandante
europeiskt	europea
europeiskt	europeas
internt	interno
internt	interna
tillämpning	aplicación
kyla	frío
kyla	fría
kyla	arrefriado
pen	boli
pen	lápiz
pen	pluma
tabeller	mesas
tabeller	sabas
oväntat	inesperado
papa	papá
brunt	brown
brunt	marróns
brunt	marrón
brunt	claro
förlänga	a
förlänga	estender
spjut	arpón
spjut	spear
sedda	ver
sedda	viron
sedda	visto
sedda	vin
sedda	vira
sedda	viches
planera	planificación
planera	plan
planera	plano
planera	posición
planera	oferta
finansiering	financiamento
finansiering	finanzas
marskalk	mariscal
undersökningen	investigación
blodiga	maldito
blodiga	idiota
blodiga	malditos
bomber	bomber
bomber	bombas
bomber	as
arméer	exércitos
födseln	a
födseln	luz
födseln	nacemento
födseln	orixe
födseln	de
skära	cortar
killer	asasino
killer	do
danser	bailes
känslig	sensibles
känslig	sensible
känslig	delicado
känslig	delicada
balans	equilibrio
balans	balance
balans	o
passerat	pasaran
passerat	morreu
passerat	aprobouse
passerat	transmitiron
passerat	pasou
passerat	pasar
giftiga	tóxicos
giftiga	tóxica
sover	durmindo
sover	durme
sover	dorme
sover	durmido
sover	adormeceu
sover	durmir
sover	durmindo
sover	durmir
sover	somníferos
engineering	enxeñería
engineering	enxeñaría
ruinerna	ruínas
spion	espía
tum	cm
phantom	membro
phantom	pantasma
phantom	carreta
markerad	a
markerad	marcados
uppvärmning	quecemento
uppvärmning	aquecemento
clyde	clyde
twitter	twitter
profeten	profeta
hjälpt	a
hjälpt	axudou
hjälpt	axuda
hjälpt	axudounos
hjälpt	axudaron
egendomar	propiedades
minskning	a
minskning	redución
minskning	diminución
minskning	diminúe
registrera	de
registrera	gravar
registrera	disco
registrera	rexistro
delats	compartidos
delats	compartiron
delats	compartido
delats	compartida
delats	compartimos
delats	compartiu
fjärran	de
fjärran	moito
fjärran	lonxe
fjärran	ata
fjärran	distante
fjärran	afastado
tjej	moza
tjej	rapaza
tjej	nena
donovan	donovan
mördaren	asasino
mördaren	do
gudomliga	divino
gudomliga	divina
kontinuerlig	continuo
kontinuerlig	continua
kurva	curva
beteenden	condutas
beteenden	comportamento
beteenden	conducta
beteenden	comportamentos
beteenden	seu
beteenden	conduta
kollegor	colegas
kollegor	compañeiros
kosta	custo
kosta	custan
kosta	custa
dramatik	drama
rivers	ríos
konstnärligt	artística
konstnärligt	artístico
längtan	desexo
resolution	resolución
elektriskt	eléctricas
elektriskt	eléctrica
onsdag	o
onsdag	mércores
öre	a
öre	penique
öre	penny
underliggande	subxacentes
underliggande	subxacente
poker	póquer
poker	ao
poker	de
varmare	máis
möjligheterna	posibilidades
mätning	medir
mätning	medindo
belopp	cantidade
belopp	enorme
tidsperiod	período
tidsperiod	periodo
tidsperiod	tempo
tidsperiod	a
tidsperiod	adolescencia
upptäckter	descubrimentos
upptäckter	descubrimento
realism	realismo
inlägget	posto
inlägget	poste
inlägget	correos
inlägget	correo
inlägget	de
etik	de
