oksitaans	oksitanski
battista	battista
urban	urban
urban	urbani
urban	urbano
urban	urbana
urban	urbane
ontspanning	rekreativnih
promosie	promo
promosie	promocija
robin	robin
simba	simba
fortuin	bogatstvo
monopolie	monopol
diamond	dijamant
etiese	odgovorni
oudio	audio
lama	lama
vergroting	rastući
vergroting	rastuća
vergroting	raste
vergroting	rastuće
geraas	buke
romp	torso
neurenberg	nirnberški
tekening	crtež
lawa	lave
lawa	lavi
swembad	bazen
ritme	pobijedio
ritme	pobedi
kas	slučaj
uss	uss
streef	ostvaruju
aria	arija
deelnemer	učesnik
paneel	ploča
paneel	panel
formate	formats
griep	gripa
marmer	mramor
alkoholiese	alkoholna
andrews	andrews
bejaardes	starije
viëtnamese	vijetnamski
beethoven	beethoven
komende	predstojeće
komende	predstojeći
subordo	subordo
bord	odbor
hol	šuplju
haute	haute
bai	bai
versterkte	ojačali
versterkte	ojačana
aurora	aurora
michelangelo	michelangelo
titus	tit
plig	dužnosti
plig	dužnost
filippynse	filipinsko
filippynse	filipinski
lettergreep	slog
ngr	ngr
hiërargie	hijerarhija
unix	unix
lowry	lowry
burg	burg
patriot	patriot
patriot	patriota
dyk	dyk
haïti	haiti
wedersydse	međusobna
wedersydse	međusobno
wedersydse	međusobne
calais	calais
mehmet	mehmed
sol	sol
jamestown	jamestown
connecticut	connecticut
dick	dick
batavia	batavia
shepherd	ovčar
afrodite	afrodita
aap	majmun
pleistoseen	pleistocen
motivering	motivacija
guillaume	guillaume
simfonie	simfonija
sinagoge	sinagoga
proteïen	proteina
tenk	tenk
stoel	stolac
stoel	stolica
klade	kladus
herdruk	reprint
digbundel	antologija
sophie	sophie
miguel	miguel
oorweging	razmatranje
centauri	centauri
jefferson	jefferson
vertonings	prikazivanja
vertonings	pokazuje
dickinson	dickinson
verde	verde
lening	kredit
spesifikasies	specifikacije
blik	bin
opgehou	prestala
opgehou	zaustavljen
tegnies	tehnički
gaia	gaia
diaspora	dijaspora
pont	pont
desimale	decimalna
sony	sony
sony	playstation
rogers	rogers
geweer	puška
gottfried	gottfried
turyn	torino
eskom	eskom
inkwisisie	inkvizicija
diktator	diktator
ussr	sssr
arriveer	stiže
kritieke	kritična
kritieke	kritično
jeremy	jeremy
kleindogter	unuka
bobby	bobi
bobby	bobby
rade	rade
gamma	gama
gamma	gamma
verhuur	objekti
verhuur	najma
aankondiging	hadis
beoordeel	stopa
bruno	bruno
blair	blair
hef	optužba
hef	naboj
regters	sudaca
regters	sudije
regters	suci
diskriminasie	diskriminaciju
diskriminasie	diskriminacije
diskriminasie	diskriminacija
verpligtinge	obaveza
plymouth	plymouth
kia	kia
padda	žaba
genereer	generiše
genereer	generisati
genereer	generišu
reagan	reagan
kleredrag	odjeća
austin	austin
austin	ostinu
asem	dah
eskader	eskadrila
eskader	eskadrile
thom	thom
allah	allah
sánchez	sánchez
heritage	naslijeđe
heritage	baština
heritage	nasljeđe
rustige	miran
rustige	mirne
rustige	mirni
flieks	filmovi
flieks	filmova
maraton	maraton
impliseer	implicira
impliseer	podrazumijeva
dance	ples
riefenstahl	riefenstahl
never	nikad
hoed	hat
hoed	šešir
onderhandelings	pregovori
implementering	implementaciju
hamer	čekić
versoening	pomirenja
versoening	pomirenje
spook	duh
spook	duha
mabel	mabel
oklahoma	oklahoma
yellow	žuta
inter	inter
amazon	amazon
ren	ren
intelligente	intelligent
clarke	clarke
hel	hel
loire	loara
honduras	honduras
beale	beale
drake	drake
lus	petlja
gedrink	piju
gedrink	pio
gedrink	piće
hera	hera
tweedens	drugo
vervat	sadrži
vervat	obezbjedili
guardian	guardian
lessing	lessing
deurlopende	nastavljena
deurlopende	nastavila
deurlopende	nastavljen
deurlopende	nastavio
albrecht	albrecht
antiogië	antioch
elbe	laba
bomme	bombe
ambisieuse	ambiciozan
ambisieuse	ambiciozni
hillary	hillary
kolomme	stubovi
kolomme	stubove
erich	erich
maine	maine
joernalistiek	novinarstvo
argiewe	arhive
gebind	vezan
artillerie	artillerie
stadions	stadiona
innsbruck	innsbruck
maagdenburg	magdeburg
indirek	indirektno
beslissing	vladajuća
beslissing	vladajuće
beck	bek
miranda	miranda
koors	groznica
agtien	osamnaest
atlanta	atlanta
indeling	aranžman
genees	lijek
genees	lek
genees	lijeku
smithfield	smithfield
uitbreidings	produžetke
uitbreidings	opis
lille	lille
rudi	rudi
sean	sean
afhanklikheid	zavisnosti
afhanklikheid	zavisnost
potter	potter
bantoe	bantu
modernisering	modernizacija
botter	tirić
botter	putera
kosbare	vrijedne
kosbare	vrijedna
theodorus	theodore
theodorus	teodor
balk	bar
kilometers	kilometara
arles	arles
muise	miševi
bauhaus	bauhaus
temple	hram
duik	ronjenju
duik	dive
auguste	auguste
tamil	tamilski
roussillon	roussillon
verpligtend	obavezno
verpligtend	obavezni
verpligtend	obavezan
hester	hester
korporatiewe	korporativnog
aboe	ebu
aboe	abu
stilte	tišina
netto	neto
netto	net
burundi	burundi
antille	antili
gotha	gotha
toere	ture
hop	hop
hop	bounce
brunswyk	braunschweig
yuan	juana
kabeljou	cod
dietrich	dietrich
falkland	falklandska
veelsydige	višenamjenski
veelsydige	svestrani
spieël	ogledalo
cézanne	cézanne
karnaval	karneval
eagle	orao
perseus	perzej
charon	haron
verbeterings	poboljšanja
vandalisme	vandalizam
freud	freud
nineve	niniva
fontsize	fontsize
abell	abell
besmet	inficirani
zeeland	zeeland
bevoegdhede	ovlasti
bevoegdhede	sile
claremont	claremont
binêre	binarni
advertensie	oglas
hitchcock	hitchcock
vandale	vandali
diagnose	dijagnostika
vennote	partneri
ervare	stručna
ervare	ekspertni
ervare	stručni
ervare	stručnjak
ervare	ekspert
australis	australis
bewustheid	svijesti
simpatie	saučešće
katalaanse	katalonski
doodmaak	ubiju
doodmaak	ubistvo
doodmaak	kill
doodmaak	ubi
doodmaak	ubiti
valse	lažna
valse	lažne
valse	lažni
valse	lažno
debatte	debatama
chemikalieë	hemikalije
uitreiking	izdavanje
bulgare	bugari
antwoorde	odgovore
antwoorde	odgovori
ontslag	pražnjenja
ontslag	otpuštanje
lewensduur	vijek
lewensduur	životne
lewensduur	životni
vierkant	kvadrat
dundee	dundee
adresse	adrese
adresse	obraća
jamaika	jamajka
indiana	indiana
redding	spašavanja
redding	spašavanje
skaap	ovca
skaap	ovce
sewentien	sedamnaest
beraamde	procjenjuje
tent	šator
panthera	panthera
omar	omer
promoveer	promovisanje
