girls	ガールズ
drvena	木造
drvena	木製
liège	リエージュ
društvima	社会
tempo	ペース
tempo	テンポ
tvrdnju	債権
tvrdnju	主張
tvrdnju	取得
kršenja	違反
tamna	ダーク
tamna	暗い
unicode	unicode
političari	政治家
helmut	ヘルムート
suprotnost	反対
track	トラック
embargo	禁輸
julie	ジュリー
integracija	統合
integracija	インテグレーション
odraz	反射
odraz	リフレクション
mariner	マリナー
bata	バタ
rukopis	原稿
rukopis	写本
vanadij	バナジウム
zora	明け方
zora	夜明け
zora	ドーン
lenjin	レーニン
edge	エッジ
edge	edge
alternativa	オルタナティブ
alternativa	代替
globalno	global
globalno	グローバル
alfredo	アルフレード
chang	チャン
miš	ねずみ
miš	マウス
quinn	クイン
koncentraciju	濃度
gibraltara	ジブラルタル
vod	小隊
licence	ライセンス
aleksa	アレクサ
hardy	ハーディ
koplje	ランス
proučavaju	勉強
joda	ヨーダ
saksofon	サックス
linda	linda
linda	リンダ
zvjezdana	恒星
saveznik	アライ
saveznik	アリー
sigismund	ジギスムント
carina	カリーナ
carina	風習
hernández	エルナンデス
kapija	ゲート
ubrzano	スピーディー
trudna	妊娠
otrovni	毒性
čudovište	怪物
čudovište	モンスター
čudovište	怪獣
udario	hit
udario	ヒット
serijski	シリアル
ratnici	戦士
ratnici	ウォリアーズ
odlučiti	決める
pomorski	海事
kokain	コカイン
antitijelo	抗体
sidney	シドニー
spore	胞子
spore	胞子
gerald	ジェラルド
kuga	疫病
kuga	ペスト
arte	アルテ
ginny	ジニー
proslave	お祝い
proslave	祝賀会
proslave	お祝い
ostavivši	去る
identične	同一
binarni	バイナリ
očekivati	expect
hal	hal
mup	mup
vernon	ヴァーノン
stilova	スタイル
propao	失敗
tajland	タイ
predsjednici	社長
nach	nach
dawn	明け方
dawn	夜明け
dawn	ドーン
ljubavnica	愛人
babilon	バビロン
aktiviraju	アクティブ
fizičko	フィジカル
fizičko	物理
sivi	灰色
sivi	グレイ
sivi	グレー
potrošnja	出費
potrošnja	消費
nemira	暴動
facebook	facebook
živo	リビング
živo	living
prijetnju	威嚇
prijetnju	脅威
curie	キュリー
hladno	風邪
hladno	コールド
hladno	冷たい
hladno	寒い
zavjere	陰謀
izolacije	隔離
izolacije	孤立
fry	フライ
automobile	カーズ
automobile	自動車
rossington	rossington
bergman	ベルイマン
letovi	フライト
emocija	感情
emocija	感情
browning	ブラウニング
