और	и
से	от
से	from
से	из
है	хай
एक	одна
एक	one
एक	одно
एक	один
श्रेणी	категория
श्रेणी	категории
श्रेणी	серия
श्रेणी	серии
श्रेणी	категорий
श्रेणी	категории
भी	даже
भी	также
भी	слишком
भी	тоже
यह	this
यह	это
यह	эта
यह	этот
किया	сделал
किया	сделала
किया	сделано
इस	this
इस	это
इस	эта
इस	этот
हैं	являются
कि	это
कि	that
भारत	индию
भारत	индия
भारत	индии
जो	джо
जो	кто
जो	who
जो	воз
ही	хи
रूप	форме
रूप	форма
रूप	бланк
रूप	формуляр
रूप	форму
रूप	появление
रूप	внешность
कर	налоговых
कर	налог
कर	налоги
कर	налоговая
कर	налоги
नहीं	не
नहीं	неа
उत्तराखण्ड	уттаракханд
गया	пошла
साथ	с
साथ	with
साथ	вместе
पूर्व	восточная
पूर्व	востоке
पूर्व	восток
पूर्व	ист
पूर्व	east
पूर्व	восточный
पूर्व	бывший
पूर्व	прежний
पूर्व	бывшей
पूर्व	бывшие
पूर्व	бывшая
होता	бы
बाद	позднее
बाद	позже
बाद	после
बाद	after
तक	до
अपने	собственная
अपने	собственных
अपने	собственные
अपने	собственный
अपने	собственное
अपने	твоя
अपने	ваши
अपने	ваш
अपने	ваша
अपने	твой
अपने	ваше
जिले	округа
जिले	районах
जिले	районы
जिले	округов
था	имел
था	был
था	было
था	была
राज्य	государства
राज्य	штатов
राज्य	штаты
राज्य	штат
राज्य	состояние
राज्य	государство
बाहरी	открытый
बाहरी	внешняя
बाहरी	внешний
बाहरी	внешнее
बाहरी	внешние
बाहरी	внешняя
बाहरी	внешних
बाहरी	внешний
कुछ	некоторых
कुछ	некоторые
ईसा	иисус
गाँव	деревне
गाँव	село
गाँव	деревня
सरकार	правительство
कड़ियाँ	цепи
कड़ियाँ	цепочки
कड़ियाँ	связи
कड़ियाँ	ссылки
प्रदेश	область
प्रदेश	регион
दिया	учитывая
दिया	дала
दिया	отдал
दिया	дал
अन्य	другой
अन्य	другая
अन्य	другое
अन्य	другие
अन्य	прочие
अन्य	другие
अन्य	прочие
वर्ष	годы
वर्ष	лет
वर्ष	years
वर्ष	год
समय	сроки
समय	время
समय	времени
समय	тайм
समय	time
नाम	имя
नाम	название
वे	они
प्रकार	добрая
प्रकार	type
प्रकार	тип
प्रकार	типы
प्रकार	типов
प्रकार	виды
भारतीय	индийская
भारतीय	индеец
भारतीय	индии
भारतीय	индийский
तहसील	техсил
क्षेत्र	область
क्षेत्र	район
क्षेत्र	площадь
क्षेत्र	область
क्षेत्र	регион
क्षेत्र	районы
क्षेत्र	области
अधिक	более
अधिक	больше
अधिक	еще
कई	многих
कई	много
कई	многим
कई	многие
कई	несколько
स्थित	расположенных
स्थित	расположенный
मण्डल	зона
मण्डल	зоны
आधिकारिक	официальных
आधिकारिक	официальное
आधिकारिक	официальный
आधिकारिक	официальная
आधिकारिक	официальные
कारण	причины
कारण	причина
कारण	причиной
कारण	причина
कारण	причины
कारण	причин
जैसे	нравится
जैसे	like
जैसे	как
करता	хулиганов
करता	делает
उनके	их
उनके	их
सबसे	большинство
सबसे	наиболее
हिन्दी	хинди
बहुत	очень
पहले	до
पहले	перед
पहले	прежде
पहले	ранее
पहले	первый
पहले	сначала
पहले	первое
पहले	первая
पहले	first
अपनी	собственная
अपनी	собственных
अपनी	собственные
अपनी	собственный
अपनी	собственное
दो	два
दो	две
दो	двое
जिला	округ
जिला	район
जब	когда
जब	when
उन्होंने	они
उन्होंने	египтяне
जन्म	родилась
जन्म	родился
जन्म	роды
जन्म	рождения
जन्म	рождение
कोई	кой
कोई	кои
कोई	любой
कोई	любую
कोई	любые
कोई	любое
कोई	любая
इन	инн
इन	inn
लेकिन	но
ये	this
ये	это
ये	эта
ये	этот
ये	эти
कम	низко
कम	низкий
कम	низкая
कम	низким
कम	низкое
कम	меньше
कम	меньше
कम	менее
कहा	саид
कहा	сказал
लोग	народ
लोग	людей
लोग	люди
आदि	более
आदि	больше
आदि	еще
आदि	ади
उसके	его
उसके	ее
उसके	ей
उसके	её
प्राचीन	примитивные
प्राचीन	древний
प्राचीन	древних
प्राचीन	древние
प्राचीन	древняя
प्राचीन	претор
देखें	смотрите
देखें	посмотреть
देखें	смотреть
देखें	часы
देखें	видишь
देखें	посмотреть
देखें	см
देखें	посмотреть
देखें	просмотр
देखें	просмотреть
देखें	вид
उत्तर	отвечайте
उत्तर	ответ
उत्तर	ответить
उत्तर	северный
उत्तर	северная
उत्तर	север
उत्तर	норт
उत्तर	северной
उत्तर	ответы
भाषा	языки
भाषा	языках
भाषा	язык
लिये	для
लिये	for
लिये	за
सभी	всем
सभी	всех
सभी	all
सभी	все
प्राप्त	получено
प्राप्त	полученный
प्राप्त	получено
प्राप्त	получен
प्राप्त	полученная
प्राप्त	полученные
प्राप्त	получены
प्राप्त	получать
प्रयोग	опыты
प्रयोग	эксперименты
प्रयोग	использование
प्रयोग	употребление
प्रयोग	использования
प्रयोग	эксперимент
शामिल	вовлечены
शामिल	включает
शामिल	включенные
शामिल	включено
शामिल	включить
शामिल	включать
उन्हें	их
उस	это
उस	that
स्थान	места
स्थान	местами
स्थान	местоположения
स्थान	места
स्थान	местах
स्थान	место
स्थान	местоположение
स्थान	расположение
स्थान	местонахождение
स्थान	место
प्रमुख	шеф
प्रमुख	начальник
प्रमुख	вождь
प्रमुख	основных
प्रमुख	майор
प्रमुख	основная
प्रमुख	основные
प्रमुख	главная
प्रमुख	основных
हुई	хи
बीच	пляж
बीच	пляже
बीच	beach
बीच	бич
बीच	центр
गए	ушёл
गए	ушли
गए	ушла
गए	ушел
गए	пошла
मुख्य	шеф
मुख्य	начальник
मुख्य	вождь
मुख्य	основная
मुख्य	основные
मुख्य	главная
मुख्य	основных
थी	был
थी	было
थी	была
बिहार	бихар
उसे	его
उसे	ему
उसे	ее
उसे	ей
उसे	её
कार्य	задачи
कार्य	работа
कार्य	работа
कार्य	работы
कार्य	труд
कार्य	вакансии
कार्य	задача
कार्य	задание
उनकी	их
आंध्र	андхра
नगर	town
नगर	город
नगर	городок
नगर	city
नगर	город
नगर	города
नगर	нагар
उपयोग	использование
उपयोग	употребление
उपयोग	использования
उपयोग	используйте
उपयोग	использование
उपयोग	использовать
उपयोग	использует
लोगों	народ
लोगों	людей
लोगों	люди
आधार	база
आधार	основание
आधार	основа
आधार	основание
काम	работа
काम	работы
काम	труд
जीवन	life
जीवन	жизнь
जीवन	жизни
विश्व	world
विश्व	мир
भाग	секции
भाग	разделы
भाग	часть
भाग	частично
भाग	запчасти
भाग	частей
भाग	части
निर्माण	создание
निर्माण	создания
निर्माण	сотворение
निर्माण	конструкция
निर्माण	строительство
निर्माण	строить
निर्माण	построить
निर्माण	производство
निर्माण	изготовление
गई	пошла
दोनों	оба
दोनों	обе
राष्ट्रीय	национальные
राष्ट्रीय	национальных
राष्ट्रीय	national
राष्ट्रीय	национальная
राष्ट्रीय	национальный
जानकारी	информация
जानकारी	info
जानकारी	инфо
जानकारी	информация
पोर्टल	портал
शहर	city
शहर	город
शहर	города
शहर	города
शहर	городов
बार	бары
बार	бар
बार	времена
बार	таймс
बार	times
वाली	вали
लगभग	практически
लगभग	почти
लगभग	приблизительно
लगभग	примерно
फिल्म	фильм
फिल्म	кино
फिल्म	фильм
फिल्म	film
फिल्म	кино
यहाँ	здесь
यहाँ	вот
प्रसिद्ध	известная
प्रसिद्ध	знаменитая
प्रसिद्ध	известный
प्रसिद्ध	знаменитость
प्रसिद्ध	знаменитый
प्रसिद्ध	известный
विकास	развитие
विकास	разработка
विकास	роста
विकास	рост
केवल	только
देश	страна
देश	страны
देश	нация
देश	нации
देश	стран
देश	страны
वेबसाइट	вебсайт
वेबसाइट	сайт
अलग	разделены
अलग	разные
अलग	различных
अलग	отдельная
अलग	отделить
अलग	отдельный
अलग	отдельное
विशेष	эксклюзивный
विशेष	эксклюзивные
विशेष	исключительной
विशेष	особая
विशेष	специальный
विशेष	специального
विशेष	специальная
विशेष	специальные
विशेष	специальное
दी	учитывая
दी	дала
दी	отдал
दी	дал
पृष्ठ	страница
पृष्ठ	страницу
पृष्ठ	page
पृष्ठ	страницы
पृष्ठ	страницы
पृष्ठ	страниц
माना	рассмотрел
माना	мана
माना	предположительно
शब्द	слово
शब्द	word
शब्द	слов
शब्द	слова
फिर	тогда
फिर	потом
फिर	затем
तीन	три
तीन	трое
पुरस्कार	вознаграждение
पुरस्कार	награды
पुरस्कार	премия
पुरस्कार	приз
पुरस्कार	премия
पुरस्कार	награду
पुरस्कार	награда
पुरस्कार	awards
पुरस्कार	награды
पुरस्कार	призы
पुरस्कार	вознаграждение
पुरस्कार	награда
लेख	статьи
लेख	статей
लेख	изделия
लेख	диссертации
लेख	тезис
लेख	статья
अब	сейчас
अब	теперь
अमेरिका	america
अमेरिका	америка
मंदिर	храм
दक्षिण	южная
दक्षिण	юг
दक्षिण	южный
दक्षिण	южной
विभिन्न	различных
विभिन्न	различные
विभिन्न	прочее
विभिन्न	разное
इतिहास	истории
इतिहास	история
लिया	принято
लिया	принятых
लिया	взяты
फ़िल्म	фильм
फ़िल्म	кино
फ़िल्म	фильм
फ़िल्म	film
फ़िल्म	кино
पास	пропуск
पास	пройти
पास	пас
विस्तृत	подробные
विस्तृत	подробно
विस्तृत	подробный
विस्तृत	подробное
विस्तृत	исчерпывающий
विस्तृत	исчерпывающим
विस्तृत	расширенный
विस्तृत	передовые
विस्तृत	передовых
दिन	день
दिन	day
दिन	дэй
दिन	дневное
दिन	дневной
दिन	дневные
दिन	дни
दिन	days
दिन	дней
जाना	жизнеспособности
जाना	жизнеспособность
शुरू	начали
शुरू	начато
शुरू	начал
शुरू	началось
शुरू	начать
शुरू	начинайте
व्यक्ति	человек
व्यक्ति	индивидуальные
व्यक्ति	отдельных
व्यक्ति	индивидуальное
व्यक्ति	индивидуальный
व्यक्ति	индивидуальная
व्यक्ति	индивидуализм
उनका	их
विज्ञान	наука
विज्ञान	науки
सदस्य	участник
सदस्य	член
सदस्य	подписчики
सदस्य	подписчиков
सदस्य	членов
सदस्य	члены
सदस्य	участники
हालांकि	хотя
हालांकि	хотя
सिंह	сингх
सिंह	лео
सिंह	лев
अनेक	многих
अनेक	много
अनेक	многим
अनेक	многие
अनेक	несколько
अनेक	несколько
अनेक	множественные
यहां	здесь
यहां	вот
संख्या	число
संख्या	номер
संख्या	количество
संख्या	цифры
संख्या	номера
संख्या	числа
अपना	собственная
अपना	собственных
अपना	собственные
अपना	собственный
अपना	собственное
अपना	твоя
अपना	ваши
अपना	ваш
अपना	ваша
अपना	твой
अपना	ваше
बात	вещь
बात	штука
बात	поговорить
बात	разговор
बात	говорить
बात	разговоры
साहित्य	литература
शिक्षा	просвещение
शिक्षा	образование
दिल्ली	дели
धर्म	религии
धर्म	религия
धर्म	религии
धर्म	религий
धर्म	дхарма
मूल	происхождение
मूल	происхождения
मूल	оригиналы
मूल	родной
मूल	оригинальная
मूल	оригинально
मूल	оригинальные
मूल	первоначального
मूल	оригинальный
मूल	оригинал
मूल	базовые
मूल	основные
मूल	базовый
मूल	базовая
मूल	basic
तब	тогда
तब	потом
तब	затем
बना	сделать
बना	make
बना	сделанные
बना	сделано
बना	сделана
बना	сделал
बना	сделаны
कोड	код
कोड	code
कोड	кодексы
कोड	коды
संयुक्त	одновременное
संयुक्त	объединенные
संयुक्त	united
संयुक्त	юнайтед
संयुक्त	сочетании
संयुक्त	совместных
संयुक्त	совместное
संयुक्त	совместная
संयुक्त	совместный
जुलाई	июль
युद्ध	битва
युद्ध	бой
युद्ध	сражение
युद्ध	войны
युद्ध	war
युद्ध	война
नदी	ривер
नदी	река
नदी	реки
वाला	вала
काल	напряженной
काल	напряженная
काल	звоните
काल	позвонить
काल	звонок
काल	период
ऐसे	такие
वर्षों	годы
वर्षों	лет
वर्षों	years
वर्षों	rainforest
प्रति	пер
स्टेशन	станция
स्टेशन	station
स्टेशन	вокзал
स्टेशन	станции
स्टेशन	станций
स्टेशन	станции
बड़े	большой
बड़े	крупных
बड़े	крупный
बड़े	большая
बड़े	крупные
बड़े	большие
बड़े	большая
बड़े	big
बड़े	большие
बड़े	большой
बड़े	биг
जनवरी	январь
जनवरी	января
मध्य	центральная
मध्य	центральное
मध्य	центральной
मध्य	центральный
मध्य	центр
मध्य	среднее
मध्य	средняя
मध्य	ближнем
मध्य	средний
मध्य	среднее
राजा	раджа
राजा	король
राजा	кинг
राजा	царь
राजा	king
प्रथम	первый
प्रथम	сначала
प्रथम	первое
प्रथम	первая
प्रथम	first
विश्वविद्यालय	университеты
विश्वविद्यालय	университет
जून	чжун
जून	июнь
जून	джун
जून	июня
उसकी	его
उसकी	ее
उसकी	ей
उसकी	её
जिसके	облегчает
मार्च	мар
मार्च	марш
मार्च	март
मार्च	марта
बन	бан
बनी	зайчик
बनी	зайка
बनी	банни
अर्थ	значение
अर्थ	смысл
अप्रैल	апр
अप्रैल	эйприл
अप्रैल	апрель
अप्रैल	апреля
महत्वपूर्ण	важная
महत्वपूर्ण	важно
महत्वपूर्ण	важных
महत्वपूर्ण	важное
महत्वपूर्ण	важные
महत्वपूर्ण	важны
महत्वपूर्ण	критическая
महत्वपूर्ण	критические
महत्वपूर्ण	критическое
महत्वपूर्ण	критический
प्रामाणिक	подлинная
प्रामाणिक	подлинный
प्रामाणिक	настоящие
प्रामाणिक	подлинные
आप	тебя
आप	you
आप	вы
आप	ты
अक्टूबर	октябрь
अक्टूबर	октября
अक्टूबर	октябрь
अक्टूबर	октября
समूह	конгрегация
समूह	группа
समूह	группы
समूह	group
समूह	группы
समूह	групп
वर्तमान	текущий
वर्तमान	текущее
