asiakkaat	clientes
sulaa	fusión
sulaa	derreter
ajoneuvoa	vehículo
henkilöstön	persoal
henkilöstön	persoal
henkilöstön	bastón
henkilöstön	de
henkilöstön	plantilla
vähemmistö	minoría
syntymä	a
syntymä	luz
syntymä	nacemento
syntymä	orixe
syntymä	de
tarkkuus	precisión
ruokavalio	dieta
kahvia	café
lausunto	opinión
lausunto	que
lausunto	a
lausunto	na
lausunto	declaración
peto	besta
palvelujen	servizos
palvelujen	os
lentoa	voo
garrett	garrett
juoksee	correr
juoksee	correndo
juoksee	a
juoksee	corre
kaulan	pescozo
kaulan	par
kaulan	deles
kaulan	caluga
mailia	milla
kurkku	gorxa
meksikoon	méxico
kuvailtu	descrito
tech	tecnolóxica
tech	tecnolóxicas
menneet	pasado
menneet	últimos
vaihtelu	variación
yllätti	abraiado
yllätti	sorprendidos
yllätti	sorprendeuse
yllätti	sorprendeume
yllätti	sorprende
yllätti	sorprendido
kölnin	perfume
kölnin	colonia
palvelija	servo
palvelija	criado
palvelija	bedel
liberaalit	liberais
liberaalit	liberal
add	engadir
add	dous
vasara	martelo
tansanian	tanzania
sitoutunut	cometeu
sitoutunut	cometido
sitoutunut	cometiches
sitoutunut	cometeses
sitoutunut	cometer
sitoutunut	compromiso
sitoutunut	cometidos
sitoutunut	comprometido
sitoutunut	coa
helle	calefacción
helle	calor
helle	o
järki	razón
järki	motivo
järki	pola
järki	que
tunteja	horas
voimakkaampi	máis
voimakkaampi	forte
looginen	lóxica
giants	xigantes
tärkeät	importante
tärkeät	importantes
korkeakoulut	universidades
lääketiede	medicinas
lääketiede	medicina
lääketiede	baseada
lääketiede	na
lääketiede	médicos
lääketiede	menciña
käsien	mans
käsien	man
käsien	as
iltaa	tarde
iltaa	noite
iltaa	serán
iltaa	noites
iltaa	tardes
pääoman	capital
pääoman	capitais
pääoman	capitol
pääoman	o
kohtaaminen	encontro
suolaa	salgado
suolaa	sal
laiton	ilegal
michele	michele
kannustaa	e
hyväksyntää	aprobación
kirjalliset	escrito
kirjalliset	escrita
kirjalliset	o
happo	ácido
happo	aminoácidos
ehdoton	absoluta
ehdoton	absoluto
ehdoton	absolutos
ehdoton	absolutamente
unta	soño
unta	soños
unta	con
unta	de
unta	ensueños
pilvi	nube
tavannut	coñecín
tavannut	a
tavannut	coñecemos
täytetty	disecado
täytetty	de
täytetty	cheos
materiaalien	materiais
bones	ósos
näyttelijätär	actriz
parannuksia	mellora
parannuksia	vexas
parannuksia	mellor
painottaa	estrés
siirrot	transferir
siirrot	traslado
räjäyttää	serea
valokuvaus	fotografía
haju	cheiro
haju	a
haju	ulir
haju	cheira
haju	ules
kotimaa	doméstica
kotimaa	caseira
kirjoitusta	escribir
kirjoitusta	a
kirjoitusta	escribía
kirjoitusta	facendo
kirjoitusta	súas
kirjoitusta	escrita
kirjoitusta	escribe
jäsenyyttä	de
firenzen	florence
avajaiset	abrir
avajaiset	apertura
uinti	nadar
uinti	baño
uinti	nado
uinti	nadando
uinti	nadar
uinti	piscina
uinti	á
uinti	a
uinti	nado
sukulainen	parente
hylkää	declive
syöpää	cancro
syöpää	o
syöpää	cáncer
ylioppilas	estudante
ylioppilas	estudantes
ylioppilas	alumno
ylioppilas	estudante
sovellus	aplicación
sovellus	aplicación
kaavan	fórmula
selityksiä	escusas
selityksiä	excusas
vieraat	estraños
vieraat	descoñecidos
vieraat	forasteiros
vieraat	visitantes
vieraat	convidados
rhodes	rhodes
