oricon	oricon
อะไหล่	einzelteile
อะไหล่	ersatzteile
อะไหล่	teile
อดัมส์	adams
atc	flugsicherung
atc	atc
ksm	ksm
increment	zuwachs
เงื่อน	knoten
เงื่อน	knoten
หวาดระแวง	paranoid
หวาดระแวง	paranoia
หวาดระแวง	paranoia
แทร็ค	track
beam	strahl
beam	balken
เบียด	abdrücken
เบียด	drücken
นอกรีต	ketzerei
นอกรีต	ketzer
นอกรีต	heidnischen
ติดใจ	süchtig
แมงกานีส	mangan
ton	tonne
ton	ton
ton	tonnen
เพลท	pelt
กำปั้น	fäuste
กำปั้น	faust
เสือดำ	panther
nick	nick
boulenger	boulenger
landmark	sehenswürdigkeit
landmark	wahrzeichen
landmark	meilenstein
landmark	denkmal
xiii	xiii
หล่า	kundgebungen
หล่า	versammlungen
แจน	jan
กำมะหยี่	velvet
กำมะหยี่	samt
ท่วมท้น	überwältigende
ท่วมท้น	überwältigt
ท่วมท้น	überwältigenden
ท่วมท้น	überwältigend
ท่วมท้น	überwältigender
เฆี่ยน	rohrzucker
เฆี่ยน	zuckerrohr
เฆี่ยน	stock
ละอาย	schande
ละอาย	schade
ละอาย	schämen
ละอาย	beschämt
ละอาย	scham
ละอาย	schämen
ละอาย	beschämt
ละอาย	schämt
โกลาหล	chaotisch
โกลาหล	chaotischen
boxing	boxing
boxing	boxen
เวอร์ชั่น	fassung
เวอร์ชั่น	version
เวอร์ชั่น	varianten
เวอร์ชั่น	versionen
เวอร์ชั่น	fassungen
วังน้อย	noi
เบ็ต	beth
เคต	kate
เคต	katja
โปร่งแสง	transparenz
โปร่งแสง	offenheit
โปร่งแสง	transparenz
โปร่งแสง	transparente
โปร่งแสง	transparent
โปร่งแสง	transparenten
โปร่งแสง	durchsichtig
โปร่งแสง	durchsichtig
โปร่งแสง	durchscheinende
routledge	routledge
gnu	gnu
champ	champ
champ	champion
ปิงปอง	pong
canon	kanon
canon	canon
เมอ	mer
เบรุต	beirut
แล่	schnitzen
marc	marc
พิซซ่า	italiener
พิซซ่า	pizza
ประแจ	zange
หมกมุ่น	besessen
หมกมุ่น	besessen
สวัสดิภาพ	wohlfahrt
สวัสดิภาพ	sozialhilfe
สวัสดิภาพ	tierschutz
สวัสดิภาพ	fürsorge
สวัสดิภาพ	wohlbefinden
สวัสดิภาพ	wohlergehen
คลาสสิค	klassisch
คลาสสิค	klassiker
คลาสสิค	klassik
คลาสสิค	klassische
คลาสสิค	klassischen
คลาสสิค	klassisch
คลาสสิค	klassik
คลาสสิค	classic
คลาสสิค	klassische
คลาสสิค	klassiker
คลาสสิค	klassischen
psp	psp
elegans	elegans
excel	übertreffen
excel	excel
เหยา	yao
dom	dom
เงามืด	schatten
bsd	bsd
เชิน	shen
กระเช้า	tram
กระเช้า	straßenbahnen
กระเช้า	straßenbahn
riaa	riaa
rus	rus
rus	evu
inner	inneres
inner	innerer
inner	innere
inner	inner
inner	inneren
แกลลอน	gallone
แกลลอน	litern
expo	ausstellung
expo	weltausstellung
expo	expo
rpg	rollenspiel
rpg	rpg
rpg	rollenspiele
สัมพันธภาพ	fellowship
สัมพันธภาพ	gemeinschaft
สัมพันธภาพ	stipendium
directory	verzeichnis
directory	verzeichnisse
สลด	tragischer
สลด	tragische
สลด	tragischen
สลด	tragisch
api	api
api	apis
หลาว	yard
หลาว	werften
หลาว	yards
ฉ้อโกง	betrügereien
ฉ้อโกง	betrug
เดค	dezember
เดค	dec
เดค	dez
ยูน	yoon
sad	macintosh
จำนำ	hock
ลูป	schleifen
ลูป	loops
ลูป	schleife
ลูป	loop
lisa	lisa
encyclopædia	encyclopædia
terry	jutta
terry	terry
ตะแกรง	reiben
แบนเนอร์	banner
แบนเนอร์	fahnen
แบนเนอร์	banner
แบนเนอร์	fahne
เพนนี	penny
เพนนี	pfennig
เพนนี	cent
โกดัง	lager
โกดัง	lagerhaus
โกดัง	warehouse
โกดัง	lagerung
โกดัง	lagerraum
ไตร่ตรอง	widerspiegeln
ไตร่ตรอง	spiegeln
ไตร่ตรอง	reflektieren
ไตร่ตรอง	nachdenken
ตะเกียบ	stäbchen
inter	inter
เหรัญญิก	schatzmeister
แซะ	sae
เกตเวย์	tor
เกตเวย์	pforte
เกตเวย์	einfahrt
เกตเวย์	zugang
เกตเวย์	gateway
ชีค	scheich
vulpes	vulpes
rico	rico
สล็อต	slot
สล็อต	spielautomaten
สล็อต	slots
fit	passt
fit	passe
fit	passen
fit	fit
ลูกไก่	küken
ลูกไก่	braut
คล้องจอง	reim
คล้องจอง	reime
สแลง	umgangssprachlich
สแลง	slang
jyp	jyp
โฮสต์	gastgeber
โฮสต์	host
โฮสต์	gastgeberin
โฮสต์	rechner
โฮสต์	wirt
sas	sas
ซ่อง	bordell
mala	mala
โซฟา	sofa
โซฟา	couch
โซฟา	sofa
โซฟา	couch
ตะปู	fingernägel
ตะปู	nagel
ตะปู	nägel
ตะปู	fingernägel
ตะปู	nägeln
ตะปู	nägel
jon	jon
วิกลจริต	wahnsinnig
วิกลจริต	wahnsinn
วิกลจริต	irre
วิกลจริต	geisteskrank
วิกลจริต	verrückt
liberty	freiheit
liberty	liberty
chronicle	chronik
จำนวนนับ	zählung
จำนวนนับ	zählen
จำนวนนับ	graf
จำนวนนับ	grafen
จำนวนนับ	zählungen
จำนวนนับ	zählt
เยรูซาเล็ม	jerusalem
เกท	tor
เกท	gate
เกท	pforte
ไดอารี่	veranstaltungskalender
ไดอารี่	terminkalender
ไดอารี่	tagebücher
ไดอารี่	tagebuch
ไดอารี่	tagebücher
ไดอารี่	tagebuch
ผีดิบ	zombie
ผีดิบ	zombies
wan	wan
