utazási	viatges
linnaeus	linnaeus
radioaktív	radioactiu
radioaktív	radioactius
lezárt	segellat
lezárt	segellats
jamaica	jamaica
vallott	confessat
kopasz	baldy
kopasz	calvo
kaukázusi	caucas
bokor	matolls
bokor	bush
bokor	arbustiva
búza	blat
egységesen	unitàriament
bónusz	bonus
bónusz	gratificació
bónusz	bonificació
bónusz	bonificacions
hónapja	mes
amy	amy
jelentéktelen	insignificant
alpha	alpha
alpha	alfa
sör	cervesa
hughes	hughes
jake	jake
sorba	cua
hopkins	hopkins
stark	stark
olivier	olivier
ned	ned
gks	gks
niger	niger
niger	níger
megjelölt	etiquetat
megjelölt	etiquetada
megjelölt	etiquetats
megjelölt	marcat
kizárólagos	exclusiu
kizárólagos	exclusiva
szemét	escombraries
szemét	paperera
lakás	plànols
lakás	bemoll
lakás	plana
lakás	apartament
lakás	habitatge
trilógia	trilogia
szombaton	dissabte
koncepció	concepte
mti	mti
jeanne	joan
jeanne	jeanne
átalakított	modificats
átalakított	modificades
átalakított	modificat
átalakított	convertida
átalakított	convertit
átalakított	transformat
átalakított	adaptat
átalakított	adaptada
előnyös	beneficioses
előnyös	beneficiós
előnyös	beneficiosa
előnyös	avantatjosa
törlése	esborra
bizonyítékok	evidència
burgenland	burgenland
bsc	bsc
ávila	ávila
eduardo	eduardo
fizikusok	físics
simpson	simpson
nílus	nil
vallások	religions
élőlény	organisme
orange	orange
orange	taronja
számláló	numerador
elkerülése	evitant
elkerülése	evitar
konszenzus	consens
michelle	michelle
paula	paula
gerhard	gerhard
kapcsolatai	connexions
elszenvedett	suportat
közreműködő	contribuents
nicaragua	nicaragua
castro	castro
vandalizmus	vandalisme
rhône	roine
mobile	mòbil
glenn	glenn
stein	stein
gombák	xampinyons
gombák	bolets
gombák	fong
gombák	fongs
ablakok	windows
ablakok	finestres
brno	brno
évszázad	segle
armstrong	armstrong
csomópont	node
csomópont	junction
csomópont	cruïlla
palermo	palerm
bezárt	tancat
csökkentése	reducció
csökkentése	reductor
csökkentése	reduint
rain	pluja
auto	auto
auto	automàtica
kitörés	breakout
kitörés	erupció
kitörés	arravatament
freddie	freddie
apache	apache
apache	apatxe
esküvő	boda
esküvő	casament
hudson	hudson
utcák	carrers
technikailag	tècnicament
alekszandrovics	alexandrovich
perui	perú
perui	peru
koreográfus	coreògraf
recept	prescripció
recept	recepta
társaságok	corporacions
társaságok	empreses
társaságok	companyies
megszüntetése	rescissió
megszüntetése	terminació
siemens	siemens
kiadások	despesa
kiadások	despesa
kiadások	despeses
nyelvészet	lingüística
hollywoodi	hollywood
divat	moda
divat	fashion
christoph	christoph
összeg	quantitat
összeg	import
összeg	quantia
összeg	sumatori
összeg	suma
nicole	nicole
nepál	nepal
deux	deux
távközlési	telecom
távközlési	telecomunicacions
távközlési	telecomunicació
kocsik	cars
kocsik	cotxes
kocsik	automòbils
kocsik	vagons
felújítás	renovacions
felújítás	renovació
professzionális	professional
professzionális	professionals
houston	houston
ulrich	ulrich
működés	funcionament
működés	operació
lika	lika
istennő	deessa
hidak	ponts
kultúrák	cultures
lombard	lombard
vívás	esgrima
waters	aigües
fbi	fbi
későn	tard
vert	vert
szociológus	sociòleg
cape	cape
kimondottan	específicament
kimondottan	concretament
kiadatlan	inèdita
kiadatlan	inèdits
kiadatlan	inèdit
vilma	vilma
lili	lily
lili	lili
harald	harald
plus	plus
érvénytelen	invàlid
kövér	fat
kövér	greix
kínál	ofertes
kínál	ofereix
kínál	ofrena
kolostorban	monestir
kerék	roda
kerék	rodes
vegyész	químic
fejlesztések	millores
fejlesztések	desenvolupaments
emelet	pis
szimmetrikus	simètric
szimmetrikus	simètrica
szimmetrikus	simètrica
szimmetrikus	simètrics
kártya	cartes
kártya	targetes
kártya	targeta
instrumentális	instrumental
holmes	holmes
kötés	enquadernació
kötés	teixir
kötés	embenat
kötés	vincle
kötés	lligam
tulajdonság	propietat
tulajdonság	propietats
légkör	atmosfera
légkör	atmosfèric
légkör	atmosfèrica
kurd	kurds
szabályozza	regula
mainz	magúncia
orne	orne
terveket	dissenya
terveket	dissenys
varázsló	assistent
varázsló	mag
varázsló	bruixot
heinz	heinz
producerek	productors
nyelveket	llengües
nyelveket	idiomes
felmérés	enquestes
felmérés	enquesta
felmérés	poll
felmérés	survey
felmérés	enquesta
caf	caf
eugène	eugène
gyanús	sospitós
henger	cilindre
henger	cilindres
műsorok	espectacles
venezia	venezia
felváltva	alternativament
csökkenő	descendent
csökkenő	declinant
todd	todd
parma	parma
infrastruktúra	infraestructures
infrastruktúra	infraestructura
seattle	seattle
fegyvereket	armes
fegyvereket	guns
vágy	desig
vágy	desitjos
vágy	luxúria
vágy	ànsies
romboló	destructor
ugrás	salta
erotikus	eròtic
homo	homo
hibrid	híbrid
dráva	drava
robbie	robbie
morris	morris
cukor	llaminadures
cukor	candy
cukor	caramel
cukor	sucre
terhes	embarassada
terhes	embarassades
érvek	arguments
városokat	ciutats
mdf	mdf
triász	triàsic
tömör	compacte
tömör	compacta
tömör	sòlid
tömör	concisa
anhalt	anhalt
kórházi	hospital
komédia	comèdia
ita	ita
víztározó	aqüífer
víztározó	embassament
víztározó	jaciment
csont	ossos
csont	os
bennett	bennett
csőre	bec
arizona	arizona
jegyzett	subscrit
jegyzett	citat
baseball	beisbol
egyezik	mistos
egyezik	partits
egyezik	coincidències
egyezik	coincideix
egyezik	coincidència
algebra	àlgebra
kínaiak	xinès
kínaiak	xinesos
tibet	tibet
őszintén	sincerament
toyota	toyota
ovális	oval
megosztott	compartits
megosztott	compartit
megosztott	dividits
megosztott	dividit
tematikus	temàtiques
követői	seguidors
egyenlítői	equatorial
egyenlítői	equatorials
napokban	dies
munkahelyek	treballs
hanna	hannah
hanna	hanna
halottak	morts
halottak	dead
burton	burton
nacionalista	nacionalista
csatornák	canals
csatornák	canals
csatornák	canalons
csatornák	clavegueres
kezelő	operador
kezelő	operari
kezelő	gestor
vatikáni	vaticà
módszertani	metodològic
módszertani	metodològiques
módszertani	metodològica
módszertani	metodològics
porsche	porsche
haiti	haití
hírhedt	notori
hírhedt	infame
tokiói	tòquio
tokiói	tokyo
józan	sobri
költség	cost
költség	costos
ricardo	ricardo
részleteket	detalls
alpesi	alpí
törtek	fraccions
galamb	colom
szervező	promotor
szervező	promotora
szervező	organitzador
macskák	gats
befolyásos	influents
elpusztította	destruït
elpusztította	destruïda
hús	carn
bástya	baluard
bástya	rooks
serena	serena
vosges	vosges
felipe	felipe
hirdetett	promogut
hirdetett	promogudes
hirdetett	promoguts
logó	logotip
katalógus	catàlegs
katalógus	catàleg
katalógus	catàleg
platform	plataforma
platform	plataformes
nyelvtan	gramàtica
hazafias	patriòtica
rogers	rogers
tudor	tudor
tizenegyedik	onzena
tizenegyedik	onzè
jefferson	jefferson
meghívást	convida
meghívást	invitació
feladatai	tasques
vállalja	comet
viselkedik	comportant
viselkedik	comporta
glasgow	glasgow
súlyemelés	halterofília
suriname	surinam
légió	legió
gyalogság	infanteria
értelmezni	antuvi
értelmezni	interpretar
értelmezni	interpreten
bauer	bauer
muzulmán	musulmà
fajták	races
fajták	varietats
hivatkozásokat	referències
montana	montana
stratégia	estratègia
nélkülözhetetlen	indispensables
nélkülözhetetlen	imprescindibles
nélkülözhetetlen	imprescindible
nélkülözhetetlen	essencial
nélkülözhetetlen	essencials
biztonság	seguretat
biztonság	seguretat
len	lli
len	len
struktúra	estructura
ismétlődő	duplicat
ismétlődő	duplica
ismétlődő	repetitives
ismétlődő	repetitiu
ismétlődő	repetit
felvételeket	cintes
felvételeket	enregistraments
felvételeket	gravacions
gaja	gaja
bűnös	culpable
bűnös	pecador
kiejtés	pronunciació
kén	sofre
admirális	almirall
tarka	pied
váltakozó	alternant
puha	suaus
puha	soft
puha	suau
zavaros	confús
zavaros	confós
zavaros	confosa
zavaros	ennuvolat
zavaros	confús
liechtenstein	liechtenstein
jessica	jessica
hubert	hubert
gers	gers
hitte	creien
hitte	cregut
rap	rap
januárban	gener
sértő	ofensiu
sértő	ofensiva
sértő	insultant
iowa	iowa
medina	medina
törvényeket	lleis
kölcsön	prestades
kölcsön	prestat
kölcsön	préstecs
kölcsön	préstec
kölcsön	prestar
clarke	clarke
kezdeményezés	iniciativa
túlélte	sobreviscut
régiók	regions
régiók	regió
módosult	alterades
módosult	modificats
módosult	modificades
módosult	modificat
algoritmus	algorisme
algoritmus	algoritme
randy	randy
ontario	ontario
megállapítani	establirà
riporter	reporter
esély	oportunitat
esély	probabilitats
ünnepség	cerimònia
ünnepség	celebració
kaliforniában	califòrnia
kaliforniában	california
rossi	rossi
temetkezési	funerari
bis	bis
kibocsátott	expedit
kibocsátott	emès
laboratóriumi	laboratori
rendezni	pactar
berg	berg
állampolgár	ciutadà
albrecht	albrecht
gomba	xampinyons
gomba	bolets
gomba	fong
gomba	fongs
gomba	bolet
szavazott	votat
nyelveken	llengües
nyelveken	idiomes
biztosítva	assegurat
biztosítva	assegurats
afganisztán	afganistan
steiner	steiner
állítólagos	presumpta
szándéka	intenció
szándéka	intencionalitat
világosabb	encenedor
ptolemaiosz	ptolemeu
cliff	cliff
memorial	memorial
nicola	nicola
képviselt	representada
képviselt	representats
képviselt	representades
képviselt	representat
brecht	brecht
martínez	martínez
növényzet	vegetació
julien	julien
antarktisz	antàrtida
üzemeltetett	operat
beavatkozás	interferència
beavatkozás	intervenció
tolkien	tolkien
karcsú	slim
tanít	ensenyament
tanít	docència
kétséges	dubte
kétséges	dubtós
dobó	llançador
technikák	tècniques
színésznők	actrius
átjáró	portal
átjáró	passatge
leslie	leslie
pusztító	destructius
pusztító	destructor
pusztító	devastador
pusztító	destructor
bolygók	planetes
pearl	pearl
pearl	perla
erősíti	reforça
átdolgozott	revisada
átdolgozott	revisades
átdolgozott	revisat
rétegek	capes
álma	somia
álma	somiar
álma	somni
essen	essen
találkozni	conèixer
romantika	romanç
feldolgozó	processador
elena	elena
elektron	electró
konferencián	conferència
telek	land
sűrűsége	densitat
dôme	dôme
singer	singer
singer	cantant
lejárt	caducat
lejárt	vençut
anatómiai	anatòmiques
zambia	zàmbia
leon	leon
laosz	laos
verset	poema
rico	rico
haydn	haydn
felhasználás	usa
felhasználás	utilització
felhasználás	ús
felhasználás	consum
korong	puck
korong	disc
hűséges	fidels
hűséges	lleials
hűséges	fidel
elektronikai	electrònica
venezuelai	veneçuela
kötőjel	guionet
paradicsom	tomàquet
paradicsom	tomàquets
paradicsom	paradís
paradicsom	paradise
fenntartása	mantenint
álláspont	posició
fenyegető	amenaçant
házigazda	màquina
harmadszor	tercera
harmadszor	tercer
faktor	factor
federico	federico
növelése	increment
növelése	augment
samantha	samantha
hbo	hbo
szingapúr	singapur
szingapúr	singapore
giacomo	giacomo
oszlopok	pilars
oszlopok	columnes
martina	martina
darwin	darwin
domenico	domenico
küld	enviament
küld	enviant
küld	envia
doug	doug
lakók	residents
lakók	llogaters
lakók	ocupants
republikánus	republicà
rosszindulatú	abusives
rosszindulatú	abusiu
rosszindulatú	maliciós
rosszindulatú	maliciosa
rosszindulatú	puto
rövidítések	abreviatures
rövidítések	acrònims
arabok	àrabs
elemzés	anàlisi
tehetségét	talents
veronika	veronika
nomád	nòmada
járvány	plaga
járvány	pesta
járvány	pandèmia
járvány	epidèmia
megfigyelő	observador
lille	lille
vicces	funny
vicces	graciós
hónapok	mesos
laurent	laurent
gázok	gasos
válás	divorci
chan	chan
halászat	pesca
létrejövő	resultant
évkönyv	anuari
neill	neill
lánc	cadenes
lánc	cadena
oxid	òxid
illetékes	competent
illetékes	competents
nielsen	nielsen
leeds	leeds
vega	vega
