бизнисмен	商人
плутон	冥王星
духовно	靈性
духовно	精神
плочки	瓷磚
плочки	瓷磚
укинување	廢除
укинување	廢止
укинување	廢除
укинување	裁撤
фотограф	攝影師
полноќ	半夜
полноќ	午夜
сомалија	索馬利亞
примарен	初級
вдовица	遺孀
вдовица	寡婦
иселеници	僑民
преведува	翻譯
преведува	翻譯
навики	習性
навики	習慣
галерии	畫廊
контроверзии	爭議
контроверзии	爭論
контроверзии	爭議
филипини	菲律賓
китови	鯨魚
китови	鯨
напредни	先進
партиски	黨
партиски	政黨
партиски	宴會
партиски	派對
партиски	聚會
партиски	黨派
партиски	游擊隊
јудаизмот	猶太教
потпишување	簽約
потпишување	簽署
галаксијата	銀河
галаксијата	星系
галаксијата	galaxy
галаксијата	銀河系
дива	狂野
дива	野
дива	野性
дива	野生
дива	diva
реклама	商用
реклама	商事
реклама	商業
маркус	marcus
пензиски	退休金
пензиски	養老金
логор	露營
логор	難民營
логор	營
логор	營地
описи	描述
риболов	釣魚
риболов	漁業
риболов	捕撈
риболов	捕魚
раствор	溶劑
раствор	溶液
примаат	接收
разгледување	瀏覽
разгледување	觀光
ментално	心智
ментално	心理
ментално	精神
поседувал	擁有
атлас	atlas
кандидатот	候選人
кандидатот	候選
мадона	聖母
мон	蒙特
мон	蒙
мон	mon
летаат	飛
летаат	蒼蠅
летаат	飛翔
роналд	ronald
кувајт	科威特
грег	gregg
вујко	舅舅
вујко	伯父
вујко	叔叔
вујко	阿叔
затворање	閉幕
затворање	監禁
затворање	囚禁
отпуштен	出院
отпуштен	退伍
мешаат	搭配
мешаат	組合
мешаат	混合
кората	cob
мирен	平靜
баталјон	營
рик	ric
ридовите	丘陵
одземање	減法
одземање	癲癇
одземање	扣押
карневал	狂歡節
танцување	舞蹈
танцување	舞動
танцување	跳舞
танцување	舞
пан	潘
пан	泛
пан	pan
литри	加侖
литри	公升
литри	公升
литри	加侖
мислата	思想
кемпбел	campbell
толеранција	容忍
толеранција	寬容
настапила	光榮
извозот	出口
терор	恐
терор	恐怖
статуи	雕像
статуи	塑像
делење	共用
делење	共享
делење	分享
златно	golden
златно	黃金
златно	金色
посветеност	奉獻
посветеност	承諾
посветеност	奉獻
дневна	日間
истакне	突顯
истакне	凸顯
летање	飛
летање	飛翔
летање	飛行
влажност	濕度
потрошувачи	消費者
загадување	污染
загадување	沾染
загадување	污染
хајделберг	海德堡
харис	harris
христијанин	基督教
христијанин	基督徒
интензивно	激烈
интензивно	密集
југоисточен	東南
југоисточен	東南
ричи	richie
цврст	固體
цврст	固態
цврст	實心
цврст	扎實
цврст	堅固
цврст	艱難
цврст	強硬
предавство	背信棄義
предавство	背叛
предавство	叛國
предавство	叛國罪
тероризам	恐怖主義
анкета	投票
анкета	調查
анкета	問卷調查
кристал	水晶
кристал	crystal
кристал	晶體
џејми	jamie
јарец	魔羯座
убиваат	殺
благосостојба	繁榮
