fauna	fauna
cancro	kreft
louise	louise
soprannominato	dubbet
lima	lima
bande	band
bande	gjenger
cappelle	kapeller
beata	velsignede
beata	salige
beata	velsignet
beata	blessed
bis	ekstranummer
werner	werner
perfetta	perfekt
perfetta	fullkommen
perfetta	perfekte
perfetta	perfect
perfetta	feilfritt
perfetta	feilfrie
perfetta	feilfri
autrice	forfatter
marsiglia	marseille
marsiglia	marseille
into	into
prete	presten
prete	priest
prete	prest
marcos	marcos
cadavere	lik
cadavere	kadaver
periferia	forstad
periferia	forstedene
periferia	forstad
cranio	skallen
cranio	hodeskalle
cranio	skull
cranio	skalle
nono	niende
nono	ninth
que	que
cosenza	cosenza
sguardo	blikk
borgogna	burgund
borgogna	burgunder
orizzontale	horisontal
orizzontale	vannrett
orizzontale	horisontalt
catturare	fang
catturare	fange
assisi	assisi
strati	lagene
campana	campana
campana	bjelle
campana	bell
hart	hart
frederick	frederick
tombe	graves
tombe	graver
tombe	gravene
studia	studere
studia	studie
ricostruita	rekonstruert
ricostruita	gjenoppbygd
gambe	bena
gambe	bein
gambe	beina
puro	pur
puro	ren
puro	rent
puro	pure
miles	miles
miles	mil
connessione	forbindelse
connessione	tilkobling
connessione	tilkobling
connessione	kobler
olandesi	nederlandsk
olandesi	nederlendere
olandesi	hollandsk
var	var
marcus	marcus
rappresentanza	representasjon
anziani	pensjonister
anziani	eldre
predecessore	forgjenger
canne	sivet
intellettuale	intellektuelle
intellettuale	intellektuell
marittima	maritime
full	full
full	fullt
full	fult
full	mett
classiche	klassikere
classiche	klassikerne
classiche	klassisk
classiche	klassiker
classiche	klassiske
classiche	classic
spot	flekk
spot	spot
batterie	batteri
batterie	battery
batterie	batteriet
batterie	batterier
minnesota	minnesota
collezioni	samlinger
gigi	gigi
riservato	reservert
riservato	konfidensielt
riservato	fortrolig
riservato	konfidensielle
riservato	konfidensiell
manoscritto	manuskriptet
manoscritto	manuskript
jake	jake
completamento	fullføring
completamento	ferdigstillelse
murphy	murphy
premiato	belønnes
premiato	belønnet
armatura	rustning
armatura	panser
armatura	armour
buio	dark
buio	mørk
buio	mørkt
buio	mørke
buio	mørke
buio	darkness
buio	mørket
dono	gaven
dono	gave
allevamento	dannelse
statistica	statistikk
statistica	statistisk
laterza	laterza
aaron	aaron
aaron	aron
jules	jules
johannes	johannes
prestigio	prestige
prestigio	prestisje
main	main
main	hoved
munizioni	ammunisjon
munizioni	ammunisjon
votato	stemt
votato	stemte
esisteva	eksisterte
esisteva	eksistert
esisteva	fantes
trionfo	triumf
trionfo	triumph
identificato	identifisert
english	engelsk
lettori	leser
lettori	leserne
lettori	lesere
ohio	ohio
approvato	godkjente
approvato	godkjent
organizzatore	arrangør
glenn	glenn
vertici	summits
industrie	industries
industrie	industrier
industrie	bransjer
gemelli	tvilling
gemelli	twin
gemelli	tvillingen
gemelli	tvillinger
gemelli	twins
gemelli	tvillingene
invitato	inviterte
invitato	invitert
presumibilmente	antakeligvis
presumibilmente	formodentlig
presumibilmente	antakelig
presumibilmente	antageligvis
presumibilmente	angivelig
presumibilmente	visstnok
presumibilmente	angivelig
pareri	meninger
pareri	meningene
riuniti	gjenforent
meccanico	mekaniker
meccanico	mekaniske
meccanico	mekanisk
lane	lane
trilogia	trilogien
servire	serverer
servire	tjenestegjør
servire	porsjon
servire	serve
servire	tjene
servire	tjen
torres	torres
ampliato	utvidet
incluse	inkluderes
incluse	inkluderte
incluse	inkludert
temporaneamente	midlertidig
temporaneamente	midlertidig
temporaneamente	midlertidige
dame	dame
virgilio	virgil
virgilio	virgilio
grassi	fats
grassi	grassi
grassi	fett
grassi	tjukk
grassi	fat
grassi	fet
grassi	feit
contenuta	inneholdt
panzer	panzer
cecilia	cecilia
marziali	martial
sopravvissuti	overlevende
sopravvissuti	overlevde
sopravvissuti	overlevd
acquisizione	anskaffelse
morris	morris
depressione	depresjon
javier	javier
spessore	tykkelse
identificazione	identifisering
identificazione	identifikasjon
operativa	operative
operativa	operativ
inviata	sendte
inviata	sendt
petto	brystkasse
petto	brystet
petto	bryst
circostanze	omstendigheter
circostanze	omstendigheter
circostanze	omstendighetene
circostanze	omstendighet
igor	igor
descrivere	beskriver
descrivere	beskrive
descrivere	beskriv
devil	djevel
interpretazioni	tolkninger
terrestri	terrestrisk
rilievi	relieffer
biografie	biografier
biografie	biografi
repubblicano	republikanske
repubblicano	republikaner
repubblicano	republikansk
pavimento	etasje
pavimento	etg
pavimento	gulv
legali	juridiske
legali	juridisk
legali	lovlig
zucchero	sukker
zucchero	sugar
funzionalità	funksjonalitet
pdc	pdc
sacerdoti	prestene
sacerdoti	prester
este	este
clero	presteskap
rappresentazioni	representasjoner
rappresentazioni	forestillinger
rappresentazioni	opptredener
frontale	front
frontale	foran
england	england
ordinario	alminnelig
ordinario	ordinær
ordinario	ordinært
ordinario	vanlig
soppressione	avskaffelse
soppressione	slettingen
soppressione	sletting
soppressione	undertrykkelse
soci	partnerne
soci	partners
soci	samarbeidspartnere
soci	partnere
pérez	perez
pérez	pérez
hugh	hugh
again	igjen
eserciti	hærer
eserciti	armeer
secondarie	sekundær
specializzata	spesialisert
manovra	manøver
manovra	manøver
manovra	manøvrere
valencia	valencia
variazione	variasjon
variazione	forandring
variazione	endring
variazione	endre
archivi	arkiver
away	away
away	bort
away	unna
away	borte
away	vekk
sospensione	suspensjon
sospensione	fjæring
pirati	sjørøvere
pirati	pirater
pirati	pirates
pirati	sjørøver
pirati	pirat
tavole	bord
veneziano	venetianske
wallace	wallace
loggia	loggia
pesaro	pesaro
sultano	sultan
toro	toro
toro	taurus
toro	tyren
toro	okse
toro	bull
eletti	valgt
superman	supermann
superman	superman
modern	modern
modern	moderne
mass	masse
mass	messe
percentuali	prosenter
emissione	utstedelse
emissione	emisjon
massimi	maxima
after	etter
after	after
after	etterpå
after	efter
ferite	skader
ferite	sår
kiev	kiev
realizzando	innsett
realizzando	innser
realizzando	realisere
phoenix	phoenix
alluminio	aluminium
alluminio	aluminium
vendere	sell
vendere	selg
vendere	selge
vendere	seige
vendere	selger
datato	datert
datato	datet
corno	horn
piatti	retter
piatti	tallerkener
piatti	oppvask
futuri	fremtidig
futuri	fremtiden
futuri	future
futuri	fremtid
futuri	framtid
futuri	framtida
futuri	fremtid
protesta	protest
protesta	protestere
rachel	rachel
immacolata	plettfri
canti	syng
canti	sing
canti	synge
canti	sanger
canti	songs
intellettuali	intellektuelle
intellettuali	intellektuelle
intellettuali	intellektuell
elia	elijah
elia	elia
elia	elia
elia	elias
bersaglio	målet
manifesto	plakaten
manifesto	plakat
manifesto	manifestet
manifesto	manifest
manifesto	manifest
napoletano	napolitansk
fedeltà	troskap
fedeltà	trofasthet
fedeltà	lojalitet
raw	raw
raw	rå
raw	rått
illustri	staselig
integrato	integrerte
integrato	integrert
integrato	innebygd
perfino	even
perfino	selv
perfino	tilogmed
perfino	sjølv
tomáš	tomáš
watson	watson
interfaccia	grensesnitt
finanziaria	økonomiske
finanziaria	økonomisk
terrore	terror
terrore	terroren
mod	mod
reynolds	reynolds
martiri	martyrene
martiri	martyrer
istanbul	istanbul
colorado	colorado
für	für
separati	separert
separati	atskilt
separati	separat
separati	skill
separati	atskilt
separati	skille
continuato	fortsettelse
continuato	fortsatte
parità	likeverd
parità	likhet
parità	likestilling
etiopia	etiopia
sandra	sandra
soggiorno	opphold
soggiorno	bli
soggiorno	stay
illinois	illinois
magico	magi
magico	magic
magico	trylling
magico	magisk
magico	trolldom
magico	magisk
orleans	orleans
orleans	orléans
spalla	skulder
spalla	skulderen
spalla	medhjelper
spalla	hjelper
challenge	utfordring
challenge	utfordre
scipione	scipio
scipione	scipione
bach	bach
getto	jet
bros	bros
phillips	phillips
giocate	avspilling
giocate	leke
giocate	lek
giocate	spill
sentito	hørt
sentito	hørte
sentito	hort
sloveno	slovensk
sloveno	slovenias
call	anrop
call	call
call	ring
call	ringe
indiani	indianere
indiani	indere
indiani	indianerne
indiani	indianer
indiani	inder
indiani	indisk
geometria	geometri
biagio	biagio
biagio	blaise
millennio	årtusen
millennio	millennium
giganti	giants
giganti	kjemper
giganti	jotne
giganti	kjempe
giganti	gigantisk
giganti	giant
zia	tante
zia	tanta
zia	tante
zia	zia
rimosso	fjernet
rimosso	fjerna
traduzioni	oversettelse
traduzioni	oversettelsen
traduzioni	oversettelser
happy	lykkelig
happy	fornøyd
happy	glad
happy	fornøyde
voll	voll
estrazione	utvinning
accompagnamento	akkompagnement
accompagnamento	medfølgende
minerali	malm
minerali	ore
minerali	mineraler
minerali	mineral
ticino	ticino
mondi	verdener
mondi	worlds
mozart	mozart
fissa	fikset
fissa	fast
fissa	reparert
distinguere	skjelne
distinguere	skille
bmw	bmw
campionessa	mester
campionessa	champion
monarchia	monarki
monarchia	monarkiet
adolfo	adolfo
adolfo	adolphus
adolfo	adolphe
adolfo	adolf
installazione	installasjon
installazione	installering
installazione	installasjonen
installazione	installeringen
installazione	installering
installazione	installerer
installazione	installasjon
installazione	installering
installazione	installer
installazione	installere
spin	spinn
michigan	michigan
violoncello	celloen
violoncello	cello
applicata	søkt
applicata	anvendt
applicata	søkte
collaboratori	kollegaer
collaboratori	kolleger
collaboratori	kollegaene
collaboratori	medarbeidere
collaboratori	samarbeidspartnerne
collaboratori	samarbeidspartnere
collaboratori	bidragsytere
monferrato	montferrat
monferrato	monferrato
esposti	eksponert
esposti	utsatt
esposti	avslørt
joão	joão
leon	leon
alexandre	alexandre
colli	colli
colli	åser
colli	hills
grotte	huler
grotte	grotter
alessandra	alexandra
alessandra	aleksandra
alessandra	alessandra
definiti	defineres
definiti	definerte
definiti	definert
abiti	kjoler
abiti	kjolene
abiti	klær
abiti	tøy
assi	ess
assi	økser
ostilità	fiendtlighet
ostilità	fiendtlighetene
rodríguez	rodriguez
rodríguez	rodríguez
hop	hopp
hop	hop
compleanno	bursdag
compleanno	bursdagen
compleanno	fødselsdag
cristoforo	cristoforo
cristoforo	christopher
ernest	ernest
carrara	carrara
severo	severus
severo	severo
severo	alvorlige
severo	alvorlig
severo	kraftig
severo	stern
return	return
return	returner
return	returnere
cecil	cecil
governi	regjeringer
esistere	finnes
esistere	eksistere
esistere	eksisterer
comandanti	kommandørene
pallone	ballong
pallone	ball
attraversato	krysset
adatta	passende
adatta	egnet
adatta	passer
adatta	sprek
adatta	fit
arizona	arizona
wagner	wagner
promosse	forfremmet
promosse	promoterte
promosse	promotert
cristallo	crystal
cristallo	krystall
vercelli	vercelli
secco	dry
secco	tørt
secco	tørr
secco	tørk
annibale	hannibal
crollo	skjul
crollo	kollapse
crollo	kollaps
cosimo	cosimo
body	body
body	legeme
body	kropp
body	kroppen
body	lik
combatté	sloss
combatté	utkjempet
combatté	kjempet
affetto	omtanke
affetto	hengivenhet
amanda	amanda
picco	peak
negozi	butikker
negozi	butikkene
rca	rca
ignazio	ignacio
ignazio	ignatius
ignazio	ignazio
ronald	ronald
retro	retro
naso	nese
naso	nesen
naso	nesa
melbourne	melbourne
peste	pest
ghost	ghost
ghost	spøkelse
harvey	harvey
isaac	isaac
isaac	isak
pausa	brekke
pausa	pause
pausa	brekk
pausa	avbrekk
pausa	bryt
pausa	pause
razze	raser
razze	arrangement
razze	avler
know	vet
know	kjenner
know	know
know	kjenn
formando	danner
hunt	jakt
hunt	hunt
hunt	jakte
hunt	jakta
coloni	kolonister
coloni	nybyggerne
coloni	settlers
coloni	nybyggere
testimone	vitne
mercati	markeder
vacante	ledige
vacante	ledig
crebbe	vokste
lontana	fjerne
lontana	fjernt
lontana	fjern
sfruttare	utnytte
tele	tele
palmer	palmer
scrivi	skrive
scrivi	skriv
scrivi	skriving
reed	reed
emily	emily
napoletana	napolitansk
acquisito	ervervet
acquisito	anskaffet
rivalità	rivalisering
sequel	oppfølgere
sequel	oppfølger
pellicole	filmer
pellicole	film
hms	hms
reality	virkeligheten
reality	realitet
reality	reality
reality	realiteten
reality	virkelighet
transizione	overgangen
transizione	overgang
taiwan	taiwan
circondato	omringet
circondato	omgitt
cardinali	kardinaler
müller	müller
müller	muller
xxi	xxi
cantato	sang
cantato	sunget
cantato	sung
freccia	pil
freccia	arrow
colpevole	skyldig
protocollo	protokoll
claire	claire
folla	folkemengder
folla	folkemengde
concorrente	deltager
concorrente	deltaker
concorrente	konkurrent
libia	libyas
libia	libya
uniforme	uniform
josh	josh
ribellione	opprør
raro	skjelden
raro	sjelden
raro	sjeldent
raro	sjeldne
fausto	fausto
fausto	faust
dimostrazione	demo
dimostrazione	demonstrasjonen
dimostrazione	demonstrasjon
dimostrazione	demonstrere
concesse	gitt
concesse	selvfølge
concesse	innvilget
concesse	bevilget
eseguiti	henrettet
eseguiti	utførte
eseguiti	utført
impressione	inntrykk
run	run
run	kjør
run	løp
aperti	åpne
aperti	åpen
aperti	åpent
aperti	open
duchessa	hertuginne
cavo	kabel
cavo	cable
gallese	welsh
gallese	walisisk
carmelo	carmelo
carmelo	carmel
separata	separert
separata	atskilt
separata	separat
separata	skill
separata	atskilt
separata	skille
siviglia	sevilla
invita	invitasjoner
invita	inviterer
invita	invitasjon
invita	invitere
omicidi	drap
omicidi	mord
omicidi	mordene
omicidi	drapssaker
residente	beboer
umbria	umbria
atletico	athletic
atletico	atletisk
holmes	holmes
diga	dam
diga	demning
diga	demningen
reato	kriminalitet
reato	forbrytelse
continuamente	kontinuerlig
militante	militant
sismica	seismisk
trasformare	forvandle
trasformare	forvandles
got	fikk
got	henta
got	got
got	har
associati	samarbeidspartnere
associati	medarbeidere
associati	assosiert
filadelfia	philadelphia
vertice	summit
vertice	toppmøte
attuazione	implementering
attuazione	gjennomføringen
gregory	gregory
gregory	gregor
narrativa	fortellingen
narrativa	fiksjon
procuratore	anklageren
procuratore	aktor
operatori	operatører
menzione	omtale
menzione	nevn
menzione	nevner
menzione	nevne
dar	dar
verbo	verb
distribuita	distribuert
distribuita	distribueres
distribuita	fordelt
suggerisce	tyder
suggerisce	foreslår
suggerisce	antyder
uguali	likestilt
uguali	like
uguali	likeverdig
uguali	likemenn
creatore	skaper
creatore	maker
creatore	skaper
creatore	skaperen
leva	spak
macchia	plett
macchia	flekk
macchia	blur
intenzioni	hensikter
intenzioni	intensjoner
intenzioni	hensikt
intenzioni	forsett
rudolf	rudolf
soglia	terskel
ortodossa	ortodoks
hope	håpe
hope	håp
hope	hope
hope	håper
liberato	befridde
liberato	frigjort
liberato	befridd
liberato	frigjort
liberato	befridd
automatica	automatisk
automatica	automatgir
pirenei	pyreneene
guardare	watch
guardare	ser
nuotatore	svømmer
perielio	perihelion
rivali	rivaler
rivali	rivaliserende
rivali	rival
manoscritti	manuskripter
manoscritti	manuskriptet
manoscritti	manuskript
controllata	kontrollerte
controllata	kontrollert
rettore	dekanus
rettore	dean
rettore	rektor
beatles	beatles
costruttori	produsenter
tendono	pleier
significativa	meningsfulle
significativa	meningsfull
significativa	meningsfylt
significativa	betydelig
significativa	vesentlig
significativa	betydningsfullt
bombardamenti	bombingen
bombardamenti	bombeangrep
bombardamenti	bombing
lou	lou
tubo	pipe
tubo	rør
tubo	tube
adottata	adoptert
adottata	vedtatt
adottata	implementert
decisivo	avgjørende
decisivo	besluttsom
impostazione	innstilling
impostazione	innstillingen
canonico	canon
canonico	kanon
rex	rex
gestisce	administrerer
giove	jupiter
comprensione	forståelse
comprensione	forståelsesfull
comprensione	forstå
fisici	fysikalsk
fisici	fysisk
recensioni	omtaler
recensioni	anmeldelser
recensioni	kritikker
arrivata	ankom
arrivata	kommet
arrivata	ankommet
vangelo	evangeliet
vangelo	evangelium
vangelo	gospel
caratterizzati	karakterisert
cesena	cesena
rogers	rogers
imperatrice	keiserinne
intervallo	range
intervallo	rekkevidde
intervallo	spekter
intervallo	intervall
poetica	poetisk
divisi	delt
divisi	splittet
violinista	fiolinist
violinista	fiolin
violinista	spellemann
pericoloso	dangerous
pericoloso	farlig
pericoloso	farlige
pericoloso	livsfarlig
pericoloso	farlig
true	ekte
true	sant
true	true
true	sanne
analogo	analog
secondario	sekundær
slovenia	slovenia
slovenia	slovenias
negativa	negativt
negativa	negative
negativa	negativ
gaio	gaius
organista	organist
crociera	cruise
sonic	sonic
anteprima	forhåndsvisning
carol	carol
han	han
pura	pur
pura	ren
pura	rent
pura	pure
inaugurazione	innsettelsen
inaugurazione	åpning
adolf	adolf
correre	run
correre	kjør
correre	løp
orale	muntlig
aggiornata	oppdaterte
aggiornata	oppdatert
rione	rione
eccezionalmente	eksepsjonelt
beat	beat
sprint	sprint
dinamo	dinamo
liberty	liberty
trinità	trinity
trinità	treenighet
guillermo	guillermo
gallia	gallia
violento	voldelig
riforme	reform
riforme	reformer
cipro	kypros
demoni	demon
demoni	djevel
demoni	demoner
massachusetts	massachusetts
corde	tau
corde	strenger
corde	strengene
cellula	celle
presidenti	presidenter
presidenti	president
presidenti	presidenten
mine	gruvene
mine	miner
mine	mitt
mine	gruve
mine	mine
mine	min
digimon	digimon
carità	veldedighet
carità	nestekjærlighet
carità	charity
leggende	legendene
leggende	legender
leggende	legende
leggende	legend
saverio	xavier
saverio	saverio
molecole	molekyl
molecole	molekyler
sacrificio	ofring
sacrificio	oppofrelse
architetti	arkitekter
cava	steinbruddet
cava	steinbrudd
cava	cava
sospetto	mistanke
sospetto	mistenkelige
sospetto	mistenkelig
sospetto	mistenksom
sospetto	mistenkte
sospetto	mistanke
sospetto	mistenker
sospetto	mistenkt
terminale	terminal
terminale	terminalen
lombardi	lombardi
benzina	bensin
benzina	bensin
zar	tsar
elementare	elementært
reggente	regent
five	fem
five	five
rispettare	respekt
olanda	holland
fatica	slit
fatica	tretthet
generazioni	generasjoner
hal	hal
derivati	derivater
derivati	derivasjon
consentito	tillatt
consentito	tillatte
consentito	tillatt
seggi	seter
seggi	plasser
cantare	syng
cantare	sing
cantare	synge
cantare	syngende
cantare	synger
cantare	synging
cantare	sang
provinciali	provinsiell
referendum	folkeavstemning
apostolo	apostelen
fischio	fløyta
lodi	lodi
gestore	manager
gestore	bestyrer
teramo	teramo
israeliano	israelske
israeliano	israelsk
indie	indie
africano	afrikanske
africano	afrikansk
suite	suite
suite	suiten
suite	suiter
qualifica	kvalifisering
guillaume	guillaume
lino	lino
capaci	kapabel
capaci	kapable
ira	ira
ira	vrede
make	make
make	lage
make	gjøre
conduzione	gjennomføre
curtis	curtis
enormi	enorm
enormi	stor
enormi	digert
enormi	svær
enormi	kjempestort
enormi	enormt
enormi	enorm
enormi	enorme
efficienza	effektivitet
nina	nina
significativi	betydelig
significativi	vesentlig
significativi	betydningsfullt
ritmica	rytmisk
nodo	node
nodo	noden
nodo	knute
heaven	himmel
heaven	heaven
heaven	himmelen
unire	forene
unire	foren
unire	unite
unire	sammenslåingen
unire	sammenslåing
ostacoli	barrierer
ostacoli	hekk
ostacoli	hindringer
ostacoli	hinder
ostacoli	hindring
sinfonia	symfoni
pasta	pasta
massacro	massakre
massacro	massakren
massacro	blodbadet
massacro	blodbad
massacro	slakting
massacro	slakt
massacro	slakter
massacro	slakte
rolling	ruller
rolling	rullende
rolling	rolling
fall	fallet
fall	høst
fall	fall
fall	høsten
fall	falle
leoni	leoni
leoni	lions
leoni	løvene
leoni	løver
convegno	konferanse
convegno	konferansen
boemia	böhmen
derivata	derivasjon
centimetri	centimeter
centimetri	centimeter
centimetri	tommer
ginnastica	turn
ginnastica	gymnastikk
identificare	identifisere
amanti	elskerinner
amanti	elskende
amanti	elskere
mason	mason
odore	lukt
odore	lukte
odore	lukter
marca	merke
marca	brand
marca	merkevare
alain	alain
frutta	frukt
frutta	frukter
frutta	frukt
algeria	algerisk
algeria	algerie
gradualmente	gradvis
calice	kalken
calice	kalk
crimini	forbrytelser
crimini	forbrytelsene
crimini	kriminalitet
crimini	forbrytelse
organico	organisk
organico	økologisk
estinzione	utryddelse
trattare	behandle
trattare	treat
catene	lenker
catene	kjettinger
catene	kjetting
catene	lenker
catene	kjede
catene	kjetting
rara	skjelden
rara	sjelden
rara	sjeldent
rara	sjeldne
rimuovere	fjerne
rimuovere	fjern
eyes	eyes
eyes	øynene
eyes	øyne
ultimate	ypperste
ultimate	ultimate
face	ansiktet
face	ansikt
face	face
sinonimi	synonymer
sinonimi	synonym
vettore	vektor
vettore	operatør
appassionato	enthusiast
appassionato	entusiast
appassionato	lidenskapelige
appassionato	lidenskapelig
mons	mons
fabbricato	fremstilt
fabbricato	produsert
fabbricato	oppdiktet
sensibilità	følsomhet
dominazione	dominans
dominazione	dominans
gola	strupe
gola	hals
gola	halsen
gola	juvet
annuario	årboken
annuario	årboka
annuario	årbøkene
irene	irene
songs	sanger
songs	songs
soap	såpe
soap	soap
mvp	mvp
condotti	gjennomført
gatti	cats
gatti	katter
gatti	kattene
cameron	cameron
evidenti	opplagt
evidenti	innlysende
evidenti	åpenbare
evidenti	åpenbart
naturalista	naturforsker
suonato	spilte
suonato	spilt
sforza	sforza
cintura	belte
gorizia	gorizia
procedimento	fortsetter
procedimento	prosedyre
procedimento	prosedyren
uccisione	dreper
uccisione	killing
marziale	martial
parchi	parkene
parchi	parker
parchi	parks
sottostante	underliggende
attacca	terrorangrepene
attacca	angriper
attacca	angrep
trovati	funnet
trovati	fann
trovati	fant
trovati	funne
distanze	avstander
distanze	distanse
distanze	avstand
abbandona	forlat
abbandona	forlate
uruguay	uruguay
certezza	visshet
felix	felix
cook	kokk
cook	kokke
cook	steker
cook	cook
cook	kokka
lotte	lotte
lotte	sliter
materie	undersåtter
birra	ølen
birra	pils
birra	beer
birra	øl
birra	øl
fallito	mislykket
fallito	mislyktes
fallito	feilet
esplicitamente	eksplisitt
esplicitamente	uttrykkelig
stanze	rom
dita	fingrene
dita	fingrer
dita	fingre
dita	fingeren
dita	finger
klaus	klaus
continuando	fortsetter
altopiano	highland
altopiano	høyland
altopiano	plateau
sierra	sierra
screenshot	skjermbilder
screenshot	skjermdump
screenshot	skjermbilde
screenshot	screenshot
rivolto	adressert
confessa	bekjenner
confessa	tilstår
confessa	tilstå
confessa	tilstår
jeremy	jeremy
elegante	elegant
elegante	elegante
copa	copa
operaio	arbeider
operaio	arbeideren
becker	becker
cannes	cannes
volare	fly
volare	flue
volare	flyr
volare	flying
volare	flyging
volare	flyr
democratici	demokratisk
democratici	demokrater
democratici	demokratene
democratici	demokrat
organizzati	organisert
organizzati	organisert
giuridico	juridiske
giuridico	juridisk
giuridico	lovlig
hepworth	hepworth
sentimento	føler
sentimento	feeling
sentimento	følelsen
sentimento	følelse
sentimento	innlevelse
sentimento	følelser
sentimento	feelings
tubi	rørene
tubi	pipes
tubi	rør
scafo	hull
scafo	skrog
positivi	positivt
positivi	positive
positivi	positiv
money	money
money	penger
sopravvivere	overleve
sopravvivere	overlever
ricercatori	forskere
cifre	sifre
cifre	sifret
cifre	figurer
consorzio	konsortium
mensile	månedlige
mensile	månedlig
inviare	sende
inviare	send
trek	trek
scarso	knappe
rookie	rookie
vasi	gryter
vasi	vasene
vasi	vaser
amor	amor
provenienza	proveniens
picture	bildet
picture	bilde
giocata	spilte
giocata	spilt
stili	styles
stili	stiler
costanza	constance
superfici	overflater
legenda	legende
legenda	legend
succede	skjer
povertà	fattigdom
fibre	fibrer
fibre	fibre
fibre	fiber
fibre	fiber
fibre	fibre
espresse	uttrykt
espresse	uttrykkes
avellino	avellino
crociata	korstog
crociata	korstog
concorrenza	konkurranse
españa	españa
beck	beck
veloci	kjapt
veloci	raskt
veloci	kjapp
veloci	rask
veloci	kjapp
veloci	raskt
veloci	rask
veloci	hurtig
veloci	raske
veloci	fort
xxx	xxx
annualmente	årlig
caduto	fell
caduto	falt
caduto	fallen
caduto	falt
contenute	inneholdt
leslie	leslie
animato	animert
sorgenti	springs
sorgenti	fjærer
sorgenti	kilder
jedi	jedi
annunziata	annunziata
bizantina	bysantinsk
clara	clara
competenze	skills
competenze	ferdighetene
competenze	ferdigheter
competenze	kompetanse
competenze	ekspertisen
competenze	ekspertise
quartetto	kvartett
funzionario	offisielt
