категорія	kategori
від	dari
від	vid
для	untuk
також	juga
про	tentang
про	ttg
про	perihal
про	sekitar
його	his
його	nya
його	menta
його	its
його	nya
його	him
був	euy
був	was
був	been
населення	demografi
населення	demografis
населення	penduduk
населення	populasi
було	euy
було	was
було	been
він	wien
він	wina
під	under
під	dibawah
після	sesudah
після	after
після	setelah
час	kali
час	times
час	kali
час	waktu
час	waktunya
час	time
але	tapi
але	tetapi
області	area
при	pri
була	euy
була	was
були	been
були	were
міста	kota
міста	tingkah
міста	keisengan
див	lihat
село	selo
село	kampung
село	dusun
село	desa
село	village
район	raion
район	distrik
район	kecamatan
район	raionul
район	kabupaten
район	daerah
через	via
через	melalui
через	lewat
через	due
через	through
через	melalui
села	desa
так	ya
так	yeah
так	ya
так	yes
так	iya
тому	ago
тому	silam
рік	rick
рік	tahun
рік	year
відстань	kejauhan
відстань	jarak
ради	majelis
ради	dewan
ради	council
сша	as
сша	usa
має	telah
має	has
має	memiliki
має	harus
має	mesti
має	keharusan
має	must
область	oblast
область	daerah
область	wilayah
область	luas
область	kawasan
область	area
того	togo
яка	what
яка	apa
вони	mereka
сайті	website
близько	close
близько	dekat
близько	tutup
близько	dekat
війни	perang
війни	wars
війни	peperangan
файл	berkas
файл	file
між	antara
між	diantara
роки	tahun
обговорення	diskusi
обговорення	diskusi
обговорення	membahas
обговорення	bahas
обговорення	diskusikan
обговорення	berdiskusi
коли	kapan
коли	saat
коли	apabila
коли	ketika
вона	she
лише	only
лише	saja
лише	hanya
список	daftar
список	list
вересня	september
цей	ini
березня	march
березня	maret
місце	spot
місце	tempatkan
місце	place
місце	tempat
місце	lokasi
місце	kursi
місце	seat
муніципалітет	kotamadya
муніципалітет	munisipalitas
україні	ukraina
серпня	august
серпня	agustus
січня	januari
травня	may
травня	mei
грудня	desember
грудня	december
інших	lain
інших	lainnya
інших	lain
інших	lainnya
жовтня	oktober
жовтня	okt
жовтня	oct
один	satu
один	one
липня	juli
участь	berpartisipasi
участь	keterlibatan
участь	keterlibatannya
участь	partisipasi
участь	berpartisipasi
вид	kind
вид	jenis
вид	spesies
вид	species
вид	melihat
вид	tampilan
вид	lihat
можна	dapat
можна	can
можна	bisa
червня	juni
місто	kotamadya
місто	town
місто	kota
місто	city
місто	kota
вже	sudah
життя	kehidupan
життя	life
життя	hidup
життя	lifestyle
срср	soviet
квітня	april
листопада	november
листопада	nopember
лютого	februari
лютого	pebruari
лютого	feb
опис	uraian
опис	deskripsi
опис	keterangan
центр	ops
центр	tengah
центр	pusat
центр	center
центр	tengah
центр	pusat
центр	centre
захід	maghrib
захід	barat
захід	west
тільки	only
тільки	saja
тільки	hanya
франції	prancis
франції	france
франції	perancis
століття	abad
століття	century
рада	majelis
рада	dewan
рада	council
рада	rada
схід	east
схід	timur
статті	artikel
склад	gudang
міні	mini
особи	person
особи	orang
над	over
історія	cerita
історія	story
історія	berita
історія	kisah
історія	history
історія	riwayat
історія	sejarah
зображення	gambar
зображення	citra
зображення	picture
зображення	gambar
зображення	gambar
зображення	image
зображення	citra
зображення	pictures
зображення	gambar
пункти	item
пункти	butir
пункти	barang
пункти	titik
пункти	poin
пункти	point
пункти	opsi
пункти	options
пункти	pilihan
пункти	entri
пункти	masukan
код	code
код	kode
сайт	website
сайт	situs
сайт	site
разом	bareng
разом	together
разом	bersama
інші	lain
інші	lainnya
інші	lain
інші	lainnya
проти	menentang
проти	melawan
проти	against
проти	terhadap
тут	disini
тут	here
тут	sini
український	ukraina
мова	bahasa
історії	cerita
історії	stories
історії	history
історії	riwayat
історії	sejarah
