και	وال
το	the
το	ال
από	من
από	from
με	with
με	مع
που	ايهما
που	الذي
που	والذي
για	لاجل
κατηγορία	الفئة
κατηγορία	فئة
τους	هم
ήταν	كانت
ήταν	كان
ένα	احد
ένα	واحدة
ένα	واحد
ένα	واحده
ότι	هذا
ότι	ذلك
μια	احد
μια	واحدة
μια	واحد
μια	واحده
θα	ويل
θα	راح
θα	سوف
αλλά	لكن
αλλά	بس
αλλά	ولكن
μετά	اذن
μετά	بعدها
μετά	ثم
μετά	اذا
μετά	بعدما
μετά	بعد
επίσης	ايضا
επίσης	كمان
όπως	مثل
όπως	لايك
ενώ	بينما
δύο	اثنين
δύο	اثنان
δύο	اثنتان
αυτό	هذا
αυτό	هذه
αυτό	هذا
αυτό	ذلك
αυτή	انها
αυτή	هي
όπου	حيثما
όπου	اينما
όπου	اين
όπου	حيث
όταν	حين
όταν	عندما
όταν	متى
μέχρι	حتى
μία	احد
μία	واحدة
μία	واحد
μία	واحده
μπορεί	يستطيع
μπορεί	يمكن
μπορεί	يم
ομάδα	فرقة
ομάδα	الفرقة
ομάδα	مجموعة
ομάδα	المجموعة
ομάδα	الفريق
ομάδα	فريق
θέση	موقف
θέση	المنصب
θέση	الموضع
θέση	الموقف
μεταξύ	بين
χρόνια	مزمن
χρόνια	مزمنة
χρόνια	المزمنة
χρόνια	المزمن
χρόνια	السنين
χρόνια	اعوام
χρόνια	سنين
χρόνια	السنوات
χρόνια	سنوات
πρώτη	اول
πρώτη	اولا
πρώτη	الاول
πρώτη	الاولى
πιο	المزيد
πιο	اكتر
πιο	اكثر
πιο	مزيد
ένας	احد
ένας	واحدة
ένας	واحد
ένας	واحده
πόλη	تاون
πόλη	بلدة
πόλη	المدينة
πόλη	البلدة
πόλη	المدينه
πόλη	مدينة
πόλη	المدينة
πόλη	سيتي
σύνδεσμοι	الوصلات
σύνδεσμοι	الصلات
σύνδεσμοι	روابط
σύνδεσμοι	الروابط
σύνδεσμοι	وصلات
μόνο	فقط
έγινε	معمول
έγινε	فعلت
έγινε	تمت
έγινε	تم
έγινε	انتهيت
πολύ	جدا
περιοχή	الاقليم
περιοχή	اقليم
περιοχή	منطقة
περιοχή	المنطقة
περιοχή	مساحة
περιοχή	المساحة
περιοχή	منطقة
περιοχή	المنطقة
αιώνα	قرن
αιώνα	القرن
αθήνα	اثينا
περίοδο	الفترة
περίοδο	فترة
τότε	اذن
τότε	بعدها
τότε	ثم
τότε	اذا
όνομα	اسم
όνομα	الاسم
ελλάδα	يونان
ελλάδα	اليونان
μέρος	جزء
μέρος	الجزء
μέρος	مكان
μέρος	المكان
σήμερα	اليوم
μέσα	داخل
μέσα	للداخل
μέσα	داخلي
μέσα	بالداخل
μέσα	الداخل
πως	ازاي
πως	شلون
πως	كيف
μαζί	سويا
μαζί	سوية
μαζί	معا
διάρκεια	مدة
διάρκεια	المدة
ιστορία	ستوري
ιστορία	قصة
ιστορία	حكاية
ιστορία	القصة
ιστορία	قصه
ιστορία	التاريخ
ιστορία	تاريخ
πρωτάθλημα	الدوري
πρωτάθλημα	دوري
πρωτάθλημα	البطولة
πρωτάθλημα	بطوله
πρωτάθλημα	بطولة
αργότερα	لاحقا
αργότερα	لاحق
νέα	جديد
νέα	جدد
νέα	جديدة
νέα	الجديد
νέα	اخبار
νέα	الاخبار
νέα	خبر
νέα	انباء
περίπου	حول
περίπου	بشان
περίπου	بخصوص
περίπου	عن
αυτά	هؤلاء
αυτά	هذه
πριν	قبل
χωρίς	بدون
εθνική	الوطنية
εθνική	ناشيونال
εθνική	وطنية
εθνική	وطني
συζήτηση	المحادثة
συζήτηση	محادثة
συζήτηση	النقاش
συζήτηση	مناقشات
συζήτηση	مناقشة
συζήτηση	المناقشات
συζήτηση	نقاش
συζήτηση	المناقشة
συζήτηση	النقاش
συζήτηση	مناقشة
συζήτηση	المناظرة
συζήτηση	نقاش
συζήτηση	المناقشة
αρχείο	ارشيف
αρχείο	الارشيف
αρχείο	ملف
αρχείο	الملف
πρέπει	لازم
πρέπει	يجب
φορά	وقت
φορά	الزمن
φορά	الوقت
φορά	زمن
φορά	الزمان
έλληνες	اليونانيون
ομάδες	الجماعات
ομάδες	المجموعات
ομάδες	مجموعات
ομάδες	الفرق
ομάδες	فرق
πρώτο	اول
πρώτο	اولا
πρώτο	الاول
πρώτο	الاولى
έργο	مشروع
έργο	المشروع
έργο	العمل
έργο	اعمل
έργο	عمل
κυρίως	غالبا
όχι	ليس
όχι	لا
όχι	وليس
όχι	مش
ελληνική	يوناني
ελληνική	يونانية
ελληνική	اليوناني
ελληνική	اليونانية
μεγάλη	الكبير
μεγάλη	كبيرة
μεγάλη	كبيره
μεγάλη	كبير
υπό	تحت
έως	حتى
ταινία	الفيلم
ταινία	فيلم
ταινία	الفلم
ταινία	الشريط
ταινία	شريط
ταινία	الفيلم
ταινία	فيلم
άλλα	اخرى
άλλα	اخرون
άλλα	اخرين
άλλα	الاخرون
τμήμα	القسم
τμήμα	قسم
τμήμα	الادارة
τμήμα	القسم
τμήμα	قسم
τμήμα	الفرع
σαν	مثل
σαν	لايك
εκεί	هناك
άλλες	اخرى
τέλος	واخيرا
τέλος	اخيرا
τέλος	نهاية
τέλος	النهاية
σειρά	مسلسل
σειρά	سلسلة
σειρά	السلسلة
σειρά	مسلسلات
σειρά	امر
σειρά	طلب
