die	เดอะ
van	สกุล
van	นามสกุล
van	จาก
het	มี
het	โดน
het	ทรง
wat	อะไร
wat	นั้น
wat	ที่
wat	ว่า
wat	นั่น
met	ด้วย
met	กับ
vir	สำหรับ
vir	เพื่อ
nie	ไม่
nie	ไม่ใช่
dit	นี้
dit	นี่
dit	ดิส
deur	ประตู
ook	ยัง
tot	จนถึง
tot	จนกว่า
dat	นั้น
dat	ที่
dat	ว่า
dat	นั่น
suid	south
suid	ใต้
uit	ออก
jaar	ปี
eerste	ก่อน
eerste	แรก
maar	แต่
kan	สามารถ
kan	สา
hierdie	นี้
hierdie	นี่
hierdie	ดิส
ander	อื่นๆ
soos	ชอบ
soos	เหมือน
soos	แบบ
soos	ถูกใจ
soos	ไลค์
soos	อย่าง
afrika	แอฟริกา
afrika	แอฟริกา
oor	เรื่อง
oor	ประมาณ
oor	หู
oor	เหลือ
een	เดียว
een	หนึ่ง
gebruik	ใช้
afrikaanse	แอฟริกา
groot	เยี่ยม
groot	ยอด
meer	ทะเลสาบ
meer	อื่นๆ
meer	มากกว่า
onder	ล่าง
twee	สอง
twee	two
kerk	ศาสนจักร
kerk	โบสถ์
tussen	ระหว่าง
gemeente	สมัชชา
baie	มาก
baie	มากมาย
baie	หลาย
begin	เริ่ม
waar	ที่ไหน
waar	ทรู
waar	true
waar	จริง
waar	แท้
dié	นี้
dié	นี่
dié	ดิส
eeu	ศตวรรษ
eksterne	ภายนอก
sien	เห็น
sien	ดู
nuwe	นิว
nuwe	ใหม่
leë	ว่างๆ
leë	ว่าง
leë	ว่าง
hom	เขา
voor	หน้า
voor	ก่อน
stad	เมือง
stad	ซิตี้
stad	city
land	ประเทศ
skakels	ลิงก์
later	ทีหลัง
nog	อื่นๆ
nog	มากกว่า
net	เท่านั้น
net	เฉพาะ
net	แค่
tydens	ระหว่าง
sou	จะ
naam	ชื่อ
deel	แชร์
deel	ภาค
deel	ส่วน
deel	part
drie	three
drie	สาม
pous	โป๊ป
sal	พิน
sal	จะ
sal	วิล
kon	สามารถ
