ngc	ngc
kao	parang
kao	like
kao	gustuhin
koji	sino
također	rin
također	din
također	masyadong
također	rin
katalog	catalogue
katalog	katalogo
katalog	catalog
spisak	listahang
spisak	listahan
galaksija	galaxy
vanjski	panlabas
koja	aling
koja	alin
što	anong
što	anu
što	anung
što	ano
the	mga
the	ang
the	yung
nalazi	natuklasan
nalazi	nahahanap
nalazi	humanap
bio	bio
bio	ay
prečnik	diameter
gdje	saan
gdje	asan
broj	bilang
oko	tungkol
oko	mata
oko	paligid
mjesto	lugar
mjesto	pook
nakon	wake
pogledajte	tingnan
pogledajte	check
sajtu	site
najveći	pinakamalaking
najveći	pinakamalaking
najveći	greatest
poznat	kilala
poznat	famous
poznat	sikat
stanovnika	naninirahan
izvještaj	iulat
izvještaj	ulat
ali	ngunit
ali	pero
udaljenost	layo
udaljenost	distansya
udaljenost	distansiya
apsolutna	absolute
apsolutna	lubusang
pomak	shift
grupa	grupo
grupa	pangkat
grupa	group
spiralna	spiral
pop	pop
vidljivo	nakikita
minuta	minuto
minuta	minuto
najmanji	mondo
najmanji	pinakamaliit
naseljeno	pinamumugaran
mag	mag
novi	new
novi	bago
novi	bagong
sadrži	nakapaloob
sadrži	naglaman
sadrži	naglalaman
zvijezda	bituin
zvijezda	star
zvijezda	stars
može	ma
može	pwede
može	maari
ima	ima
ima	has
licenca	lisensiya
licenca	lisensya
com	com
popis	census
stadion	stadium
kod	code
kod	kodigo
svg	svg
sastavu	komposisyon
isbn	isbn
zbog	due
zbog	dahil
samo	lang
samo	lamang
samo	lng
samo	nalang
samo	basta
godina	taon
godina	taon
prvo	unang
prvo	muna
hiljada	libong
hiljada	libo
zavod	institute
zavod	suriang
sve	all
sve	puro
sve	lahat
zemlje	bansang
brzina	hagibis
brzina	bilis
naselje	settlement
naselje	lokalidad
više	pa
više	pang
kada	kapag
kada	kailan
prvi	unang
prvi	muna
deset	sampung
deset	sampu
tip	guy
tip	type
tip	uri
odnos	ratio
između	pagitan
sljedeći	kasunod
sljedeći	susunod
sljedeći	next
lokacija	kinalalagyan
lokacija	lokasyon
svjetlost	liwanag
svjetlost	magaan
svjetlost	ilaw
svjetlost	liwanag
masa	mass
masa	misa
masa	masa
masa	madla
baza	base
objekti	pasilidad
objekti	bagay
pozicija	posisyon
pozicija	opinyon
karta	mapa
karta	ticket
karta	tiket
karta	card
projekt	project
projekt	proyekto
projekt	taumbayan
online	online
dimenzije	sukat
dok	habang
nasa	nasa
messier	messier
night	gabi
kako	paano
kako	pano
atlas	atlas
sky	sky
sky	kalangitan
sky	himpapawid
najbliži	nearest
najbliži	pinakamalapit
najbliži	pinakamalapit
dio	bahagi
dio	part
dio	parte
jedan	isa
jedan	one
bilo	any
astronomska	astronomical
radijalna	paikot
radijalna	pabilog
interaktivni	interactive
style	istilo
style	style
style	estilo
napravio	ginawa
rezultat	score
rezultat	iskor
rezultat	resulta
otkriće	pagtuklas
otkriće	pagkatuklas
grad	bayan
grad	lungsod
grad	siyudad
grad	city
vrijeme	panahon
vrijeme	oras
vrijeme	time
stranica	pahinang
stranica	pahina
stranica	page
stranica	pahina
dva	dalawang
dva	dalawa
dva	two
sastav	komposisyon
log	opsiyonal
log	opsyonal
log	log
hrvatska	croatia
ukupno	kabuuang
ukupno	kabuuan
msg	msg
baz	buzz
županija	county
županija	kondado
knjiga	book
knjiga	libro
knjiga	aklat
knjiga	libro
knjiga	aklat
tri	tatlong
tri	tatlo
bosna	bosnia
bili	billie
prije	noon
prije	dati
prije	bago
toga	na
toga	yan
jer	kc
jer	kasi
jer	dahil
ime	pangalan
ime	pong
nekoliko	ilang
kasnije	mamaya
stare	matanda
stare	luma
jpg	jpg
republika	republika
autor	author
strane	panig
http	http
drugi	pangalawa
drugi	iba
imao	ay
imao	had
imao	nagkaroon
tim	tim
tim	team
danas	ngayon
iako	bagaman
iako	although
bih	bih
teritorijalne	teritoryal
koristi	gamitin
koristi	ginamit
koristi	nagamit
koristi	ginagamit
imaju	may
preko	mahigit
preko	via
jakov	jacob
sad	ngayon
izdavač	publisher
vjerski	relihiyoso
sarajevo	sarajevo
veliki	large
veliki	malaki
veliki	malaking
veliki	big
veliki	malaking
veliki	malaki
nisu	hinde
nisu	hindi
put	landas
put	path
put	ruta
put	route
put	daan
dana	araw
dana	dana
zvanična	official
zvanična	opisyal
kroz	through
gelo	gelo
međutim	subalit
međutim	gayunman
međutim	gayunpaman
datoteka	files
datoteka	file
datoteka	tipunan
datoteka	magsampa
datoteka	talaksan
datoteka	file
caption	caption
caption	paliwanag
text	text
text	txt
text	teksto
općina	munisipalidad
općina	munisipyo
često	madalas
često	madalas
često	kadalasan
ove	ito
ove	nito
koju	aling
koju	alin
nego	kesa
nego	kaysa
pri	pri
sam	sam
hiljade	libong
hiljade	libo
hiljade	libo
film	pelikula
film	sine
film	movie
države	states
države	estado
države	unidos
cest	cest
jedna	isa
jedna	one
odnosno	respectively
država	states
država	estado
država	unidos
država	state
država	estado
tada	then
tada	pagkatapos
njegov	kanyang
jezik	dila
jezik	wika
jezik	alangan
jezik	wikang
jezik	tausug
#aaa	#aaa
kralj	king
kralj	hari
kralj	haring
napomena	tala
napomena	tandaan
naselja	settlements
vrlo	napaka
glavni	chief
glavni	hepe
glavni	pangunahing
glavni	pangunahin
william	william
postoji	umiiral
četiri	apat
njegova	kanyang
marta	marta
oni	sila
oni	nila
neki	ilang
neki	ilan
john	juan
john	john
osim	puwera
osim	maliban
osim	pwera
osim	bukod
kojima	kanino
kojima	kojima
sistem	sistemang
sistem	system
sistem	sistema
puta	times
puta	beses
mjesta	places
mjesta	upuan
postao	maging
postao	naging
dan	dan
dan	araw
predstavlja	presents
predstavlja	kumakatawan
velika	large
velika	malaki
velika	malaking
velika	grand
obično	kadalasan
prvenstvo	kampeonato
prvenstvo	championship
zajedno	sama
zajedno	magkasama
zatim	then
zatim	pagkatapos
način	paraang
način	paraan
način	way
rat	digmaan
rat	digmaang
vrsta	mabait
vrsta	species
radi	gumagana
radi	working
radi	pagtatrabaho
radi	gumagana
radi	nagtatrabaho
top	cannon
top	tuktok
top	nangunguna
top	itaas
bgcolor	bgcolor
tom	tom
cet	cet
tome	tome
tome	tom
maja	maya
maja	maja
smrti	pagkamatay
mora	dapat
dobio	nakuha
dobio	natanggap
nalaze	natuklasan
nagrada	prize
nagrada	premyo
nagrada	gantimpala
svi	all
svi	puro
svi	lahat
