kategória	категорія
roku	рік
ako	як
ako	подобається
ako	зразок
ako	like
bol	боль
bol	був
bol	була
bol	було
bol	був
bol	було
bol	були
pozri	подивитися
pozri	див
pozri	бачите
pozri	бачу
pozri	переглянути
pozri	погляд
pozri	вигляд
pozri	подивитися
pozri	дивіться
pozri	дивися
pozri	дивись
obce	муніципалітетів
obce	підпорядкування
obce	селах
obce	села
obce	сіл
mba	mba
obyvateľov	мешканці
obyvateľov	мешканці
obyvateľov	мешканців
obec	комуни
obec	муніципалітет
obec	край
obec	село
pre	для
jeho	його
jeho	свої
jeho	його
ktorá	какой
ktorá	який
ktorá	які
ktorá	яке
ktorá	яка
bod	точка
bod	точку
bod	point
pri	при
bola	був
bola	була
bola	було
bola	був
bola	було
bola	були
ktoré	какой
ktoré	який
ktoré	які
ktoré	яке
ktoré	яка
ktorý	какой
ktorý	який
ktorý	які
ktorý	яке
ktorý	яка
zoznam	перелік
zoznam	list
zoznam	список
odkazy	посилання
odkazy	лінки
odkazy	посилання
odkazy	посиланнями
odkazy	посилань
externé	зовнішнє
externé	зовнішні
externé	зовнішній
externé	зовнішня
ale	але
iné	інший
iné	інша
iné	інші
iné	інше
iné	інших
iné	інших
iné	інші
iné	іншими
the	на
počet	число
počet	кількість
počet	номер
počet	номера
boli	були
podľa	під
podľa	under
miesto	місце
miesto	пляма
miesto	місце
miesto	розміщення
miesto	місцезнаходження
miesto	локація
miesto	місце
miesto	розташування
miesto	сайт
bolo	був
bolo	була
bolo	було
obcí	муніципалітетів
obcí	підпорядкування
obci	комуни
jej	свої
jej	його
jej	her
jej	нею
jej	її
jej	їй
ich	своїх
ich	їхньому
ich	свої
ich	їхнє
ich	їх
ich	їм
ich	комплектів
ich	ich
medzi	поміж
medzi	між
projekty	проекти
projekty	проектів
team	команда
byť	проводиться
byť	будучи
byť	буття
francúzska	френч
francúzska	французька
francúzska	французькою
francúzska	французький
francúzska	франції
francúzska	франція
francúzska	францію
najvyšší	supreme
najvyšší	найвища
najvyšší	найвищий
však	однак
pod	нижче
pod	знизу
pod	под
pod	під
pod	under
pred	pre
pred	пре
pred	попередньо
pred	перед
pred	before
vývoj	розвитку
vývoj	розвиток
vývoj	розробка
vývoj	еволюція
vývoj	evolution
vývoj	розробок
graf	граф
graf	графіка
graf	графік
graf	діаграма
graf	діаграми
najnižší	найнижчі
kde	kde
kde	звідки
kde	де
kde	where
kde	куди
môže	травнева
môže	травня
môže	травневі
môže	травні
môže	травень
môže	можна
nasledujúci	такі
nasledujúci	стежать
nasledujúci	наступний
nasledujúci	наступна
nasledujúci	next
nasledujúci	наступне
nasledujúci	далі
zobrazuje	дисплеї
zobrazuje	показує
zobrazuje	показує
keď	коли
len	лише
len	тільки
len	просто
len	щойно
mesto	містечко
mesto	місто
mesto	місто
počas	підчас
tiež	також
usa	сша
usa	usa
rokov	роки
nie	не
nie	not
september	вересня
september	вересні
september	вересень
úmrtia	death
úmrtia	смерть
úmrtia	смерті
úmrtia	померли
úmrtia	смертей
neskôr	згодом
neskôr	пізніше
neskôr	потому
slovenský	словацька
aby	make
aby	зробити
storočia	сторіччя
storočia	століття
storočia	століть
storočia	ст
storočia	століття
storočia	century
nad	вище
utc	utc
jpg	jpg
časti	частини
časti	частинами
stránka	сторінку
stránka	сторінка
stránka	сторінки
stránka	пейдж
stránka	сайт
skupiny	група
skupiny	групова
skupiny	груповий
skupiny	групу
skupiny	спільнота
skupiny	групи
skupiny	груп
skupiny	спільноти
html	html
roka	рік
ktorú	какой
ktorú	який
ktorú	які
ktorú	яке
ktorú	яка
časť	розділ
časť	секція
časť	секції
časť	частина
ngc	ngc
október	жовтень
október	жовтня
október	жовтні
október	жовтня
mesta	містечко
mesta	місто
mesta	місто
marec	березні
marec	березень
marec	березня
august	серпні
august	серпня
august	серпень
august	aug
skupina	група
skupina	групова
skupina	груповий
skupina	групу
skupina	спільнота
veľmi	дуже
potom	потім
potom	тоді
oficiálna	офіційні
oficiálna	офіційна
oficiálna	офіційний
oficiálna	офіційне
narodenia	народження
tento	цей
tento	ця
osobnosti	особистість
bratislava	братислава
november	листопаді
november	листопад
november	листопада
december	грудень
december	грудня
december	грудні
december	схилення
december	схил
december	dec
stal	став
stal	стали
stal	стало
iba	лише
iba	тільки
iba	просто
iba	щойно
roky	роки
oblasti	область
oblasti	ділянка
oblasti	площа
oblasti	місцевість
oblasti	області
oblasti	ділянки
oblasti	територіях
oblasti	площі
oblasti	районів
január	січні
január	січень
január	січня
súbor	файл
mal	мали
mal	мав
mal	mal
proti	проти
apríl	apr
apríl	квітень
apríl	квітня
apríl	квітні
sveta	світовий
sveta	світ
sveta	світе
sveta	world
bez	без
najmä	переважно
najmä	головним
najmä	основному
najmä	особливо
viac	більше
február	лютому
február	лютий
február	лютого
február	лютого
náhľad	перегляд
mužov	чоловіки
názov	номінал
názov	назва
názov	назва
názov	заголовок
názov	титул
okolo	around
okolo	довкола
okolo	навколо
ešte	ще
prvý	перше
prvý	перша
prvý	перший
text	текстовий
text	текст
máj	травнева
máj	травня
máj	травневі
máj	травні
máj	травень
slovenskej	словацька
spolu	усього
spolu	всього
spolu	загалом
spolu	загальна
spolu	загальний
spolu	разом
preto	отже
preto	отже
preto	тому
tom	тома
tom	том
majstrovstvá	чемпіонський
majstrovstvá	чемпіонат
majstrovstvá	біатлон
saint	святий
saint	saint
saint	сен
okrem	окрім
okrem	крім
bar	bar
bar	бар
bar	смужка
americký	американський
americký	американець
americký	американські
americký	американська
americký	американської
júl	липень
júl	липні
júl	липня
júl	august
cez	via
cez	віа
cez	через
cez	крізь
cez	наскрізь
cez	через
cez	передивився
česko	чехії
asi	ймовірно
asi	орієнтовно
asi	guess
asi	вгадати
jeden	одна
jeden	one
jeden	одне
jeden	один
objavil	виявив
objavil	виявили
objavil	відкрив
ktorých	чиє
ktorých	чиї
ktorých	чия
ktorých	чий
vojny	війна
vojny	війн
vojny	війни
rok	рік
ulica	стріт
ulica	вулиця
album	альбому
album	альбом
dátum	дату
dátum	дата
dátum	датою
žien	жіноча
žien	жіночий
žien	самка
žien	жінка
žien	жінок
žien	жінки
tieto	ці
januára	січні
januára	січень
januára	січня
majú	маю
majú	маєш
majú	have
toto	цей
toto	ця
toto	тото
ktorí	хто
ktorí	who
všetky	усі
všetky	всі
všetky	все
všetky	всіх
francúzsky	френч
francúzsky	французька
francúzsky	французькою
francúzsky	французький
mestá	містами
mestá	міста
mestá	городи
mestá	містах
mestá	міст
svoje	свої
svoje	його
žije	життів
žije	живе
český	чеською
český	чеської
český	чеська
český	чех
český	чеський
často	часто
často	часто
ján	ян
ján	джон
ján	іоанн
ján	іван
niekoľko	декілька
okres	улус
okres	округ
okres	нохія
okres	район
jún	червня
jún	червні
jún	червень
šablóny	шаблони
šablóny	шаблон
šablóny	template
dnes	сьогодні
slovensko	словаччині
slovensko	словаччина
pretože	адже
pretože	бо
ani	ані
ani	ані
ktorého	чиє
ktorého	чиї
ktorého	чия
ktorého	чий
nové	нові
nové	нове
nové	нова
nové	новий
nové	створити
všetkých	усі
všetkých	всі
