של	shel
את	du
את	dig
על	om
על	omkring
קטגוריה	kategori
עם	med
גם	også
גם	også
זה	dette
זה	denne
היא	hun
היה	var
היה	blev
שיחה	samtalen
שיחה	samtale
שיחה	konversation
שיחה	call
שיחה	ring
שיחה	opkald
שיחה	kald
שיחה	ringe
לאחר	efter
בין	bean
בין	bønne
בין	inter
בין	mellem
בין	imellem
כל	alle
כל	alt
כי	fordi
יותר	mere
יותר	flere
ישראל	israel
ישראל	israelsk
אך	men
עד	till
עד	indtil
יש	jubii
שם	der
שם	betegnelse
שם	navn
בית	beit
בית	hjem
בית	hjemme
בית	startside
בית	hjemad
בית	home
בית	house
בית	huset
בית	hus
הם	de
הייתה	var
הייתה	blev
אשר	asher
אשר	escher
אשר	usher
אשר	hvilket
אשר	hvilken
אשר	hvilke
אשר	bekræfter
אשר	bekræft
כמו	gerne
כמו	like
אחד	et
אחד	en
אחד	én
שמאל	venstre
קישורים	link
קישורים	links
הברית	forbund
הברית	alliance
הברית	alliancen
מספר	tal
מספר	antal
מספר	nummer
בו	ham
בו	bøh
בו	boo
היו	var
רק	kun
רק	bare
כאשר	da
כאשר	når
כאשר	hvornår
אותו	ham
בן	ben
בן	søn
שלו	hans
שלו	dens
שלו	dets
שלו	its
שני	sekund
שני	andet
שני	anden
שני	to
שני	mandags
שני	mandag
לו	lew
לו	lou
מה	hvad
העולם	world
העולם	verden
העיר	town
העיר	byen
העיר	by
העיר	city
העיר	byen
העיר	storby
העיר	by
כן	ja
כן	ja
שנים	år
אף	snude
אף	næsen
אף	næse
אף	eff
רבים	mange
רבים	flertal
אבל	men
בה	hende
בה	hendes
אין	ingen
אביב	aviv
אביב	foråret
אביב	forår
אביב	fjeder
במאי	may
במאי	maj
במאי	kan
במאי	direktør
במאי	instruktør
במאי	direktøren
במאי	bestyrelsesmedlem
שנה	aars
שנה	året
שנה	år
שנה	år
נולד	born
נולד	fødte
נולד	født
הערות	noter
הערות	sedler
הערות	bemærkninger
הערות	kommenterer
הערות	kommentarer
חלק	del
חלק	jævn
חלק	glatte
חלק	glat
לפני	inden
לפני	før
אחת	et
אחת	en
אחת	én
ביולי	juli
שוליים	fringe
שוליים	margen
שוליים	margin
באוקטובר	oktober
באוקטובר	olt
בשם	opkaldt
בשם	navngivet
בשם	navngivne
במקום	istedet
אותה	hende
אותה	hendes
החל	begyndte
החל	begynder
החל	start
החל	startende
החל	starter
הרב	herb
ארצות	landene
ארצות	lande
מן	manna
בינואר	januar
במרץ	marts
במרץ	march
במרץ	marchere
ראש	head
ראש	hovede
ראש	hovedet
ראש	hoved
ראש	rush
ראש	sus
ראש	rus
חיים	liv
חיים	livet
חיים	livstid
חיים	life
חיים	chaim
חיים	haim
המאה	århundrede
בנובמבר	november
בדצמבר	december
לי	lee
תל	tel
תל	tlf
בבית	hjem
בבית	hjemme
בבית	startside
בבית	hjemad
בבית	home
ערך	værdien
ערך	værdi
בפברואר	februar
אלו	disse
זמן	tid
זמן	tidspunkt
זמן	gang
זמן	klokkeslæt
זמן	tiden
אחר	andre
אחר	andet
אחר	else
בני	benny
בני	søn
בעיקר	hovedsageligt
בעיקר	primært
בעיקר	hovedsagelig
אתר	website
אתר	hjemmeside
אתר	webside
אתר	hjemmesiden
אתר	websted
אתר	site
אתר	æter
ללא	uden
שונים	forskellige
שונים	forskelligt
שונים	anderledes
שונים	forskellig
שונים	forskellige
אדם	person
אדם	adam
אדם	menneskeligt
אדם	menneskelige
אדם	menneskelig
אדם	menneske
אדם	mennesket
אדם	mand
אדם	manden
כלל	regel
כלל	reglen
עוד	mere
עוד	flere
דבר	ting
דבר	tale
דבר	snak
דבר	tal
דבר	tale
אחרים	andre
אחרים	andet
אחרים	andre
ספר	bogen
ספר	book
ספר	bog
ספר	frisør
ספר	barber
ספר	fortæl
נגד	imod
נגד	mod
לה	hende
לה	hendes
זכה	vandt
זכה	vundet
אחרי	efter
אולם	dog
אולם	imidlertid
הן	de
יום	dag
יום	dagen
יום	kampdag
יום	hume
אלה	disse
אלה	ella
אלה	gudinden
