float	vznášať
cleveland	clevelande
poštovanje	dodržiavanie
poštovanje	rešpektu
poštovanje	rešpektovať
poštovanje	rešpekt
nepoznati	neznámy
nepoznati	neznáme
nepoznati	neznáma
ranjen	zranených
ranjen	zraneného
ranjen	ranený
ranjen	zranený
imperije	ríše
osnivači	zakladateľov
otpornost	odolnosť
call	volať
call	zavolať
call	volajte
call	hovor
dnevni	denná
dnevni	denne
dnevni	denný
dnevni	daily
dnevni	denné
odabrao	vybrala
odabrao	vybral
odabrao	zvolili
odabrao	vyberal
odabrao	vyberala
odabrao	vybrať
odabrao	zvoľte
računari	počítače
računari	počítačov
zaustaviti	zastaviť
gladi	hladu
brejk	break
brejk	zlom
brejk	rozbiť
brejk	prestávka
brejk	zlomiť
mađari	maďarov
mađari	maďari
nevada	nevade
panorama	panorama
tempel	tempel
getargs	getargs
leon	leon
enzime	enzýmy
enzime	enzýmov
strateški	strategicky
strateški	strategické
strateški	strategický
strateški	strategická
medina	medina
emituje	vyžaruje
emituje	vysiela
amino	amino
doktorsku	doktorandské
murphy	murphy
liu	liu
biljni	rastlinné
biljni	rastlinný
helikopter	vrtuľník
helikopter	helikoptéra
aparat	prístroj
aparat	prístroje
cska	cska
ropstva	otroctvo
ropstva	otroctva
provela	realizované
provela	implementované
provela	vykonávané
provela	zavedené
prašine	prachu
prašine	prach
molekuli	molekuly
molekuli	molekúl
stvoren	vytvorené
stvoren	vytvorili
stvoren	vytvoril
stvoren	vytvorený
stvoren	vytvorená
filipini	filipín
filipini	filipíny
atena	athena
arheološko	archeologické
lišće	odchádza
lišće	listy
lišće	listov
zant	zant
janez	janez
omar	omar
negativni	negatívne
negativni	negatívna
negativni	negatívny
negativni	záporné
matt	matt
kampanju	kampaň
trinaest	thirteen
trinaest	trinásť
baker	baker
neobično	nezvyčajne
neobično	neobyčajne
neobično	nezvyčajné
neobično	neobvyklé
neobično	nezvyčajná
neobično	nezvyčajný
punu	plné
punu	plná
punu	plnú
punu	full
punu	plný
korita	koryto
simone	simone
dance	dáni
zeta	zeta
della	della
alen	allen
alen	alen
baby	baby
baby	bábätko
baby	dieťa
migracije	migráciu
migracije	migrácie
migracije	prechod
migracije	migrácia
klasifikacije	klasifikácie
rečenice	viet
rečenice	vety
izdana	emitované
izdana	vydané
izdana	vydal
izdana	vydávaný
izdana	vydaný
rog	rog
rog	roh
rog	trúba
dodijeljen	pripísané
dodijeljen	pridelený
dodijeljen	pridelené
dodijeljen	priradené
dodijeljen	pridelená
prekinuo	prerušená
prekinuo	prerušené
prekinuo	prerušený
kanali	kanály
kanali	kanálov
sklonište	útulok
sklonište	útulku
sklonište	prístrešok
sklonište	úkryt
smanjen	znížená
smanjen	znížené
smanjen	znížený
uređivanje	upraviť
tudor	tudor
robertson	robertson
odgovori	odpovede
odgovori	odpovedí
plemić	šľachtic
izvoz	export
izvoz	vývoz
izvoz	export
izvoz	exportovať
izvoz	vývoz
organizuje	organizovať
organizuje	organizovanie
organizuje	organizuje
prostore	medzery
prostore	priestory
murat	murad
murat	murat
gljive	huby
gljive	huba
motivi	motívy
ekspedicije	expedície
ekspedicije	expedícia
merlin	merlin
zatvoreni	uväzniť
zatvoreni	uväznený
zatvoreni	uväznených
zatvoreni	uväznená
udaraljke	bicie
knin	knin
hidroksid	hydroxid
gregor	gregor
sobu	miestnosť
sobu	izbu
sobu	izby
sobu	izba
sobu	miestnosti
templates	šablóny
sazviježđa	konštelácie
patrijarh	patriarcha
nikl	nikel
nikl	niklu
ane	ane
leberecht	leberecht
tone	tony
tone	ton
tone	tony
tone	ton
teret	nabiť
teret	načítať
teret	zaťaženie
teret	záťaž
teret	bremeno
danilo	danilo
wikitable	wikitable
uspostavljanje	nadviazať
uspostavljanje	zriadiť
uspostavljanje	založení
ubrzanje	urýchlenie
ubrzanje	zrýchlenia
ubrzanje	zrýchlenie
parker	parkerová
parker	parker
vrat	krk
vrat	šije
vrat	krku
korisnički	užívateľ
korisnički	užívateľa
korisnički	používateľa
korisnički	užívateľské
korisnički	používateľ
amonijak	amoniaku
konrad	konrad
konrad	conrad
provode	míňať
provode	minú
provode	stráviť
provode	minúť
sočiju	soči
zima	zime
zima	zimný
zima	zimná
zima	zima
zima	zimné
relativnosti	relativity
olga	olga
blog	blog
blog	blogu
migracija	migráciu
migracija	migrácie
migracija	prechod
migracija	migrácia
vezuje	viaže
bobby	bobbyho
bobby	bobby
leeds	leeds
objašnjenja	vysvetlenia
objašnjenja	vysvetlenie
objašnjenja	vysvetlivky
predgrađu	predmestie
izbjeglica	utečenec
izbjeglica	utečencov
izbjeglica	utečenca
izbjeglica	utečencov
izbjeglica	utečencom
izbjeglica	utečenci
stalne	natrvalo
stalne	trvalý
stalne	trvalá
stalne	trvalé
stalne	trvalého
atene	aténach
pripremi	pripraviť
industrijska	priemyselný
industrijska	priemyselná
industrijska	priemyselné
gledajući	hľadám
pobjedio	vyhrali
pobjedio	vyhrala
pobjedio	zvíťazil
pobjedio	won
pobjedio	vyhral
tyler	tyler
tyler	tylera
suđenje	pojednávanie
suđenje	súd
klaus	klausovi
klaus	klaus
klaus	klausa
radovan	radovan
voyager	voyager
morrison	morrison
lotus	lotos
zakonski	zákonne
zakonski	právne
zakonski	legálne
okruzi	okresov
okruzi	obvody
takmičari	súťažiaci
takmičari	súťažiacich
takmičari	konkurenti
takmičari	konkurentov
takmičari	súťažiaci
molekulska	molekulárnej
molekulska	molekulová
fosili	fosílnych
fosili	fosílne
točak	koleso
točak	kolesa
kalaj	tin
kalaj	cínu
kanadski	kanadský
ontario	ontario
alice	alica
alice	alenka
alice	alice
paket	balíček
paket	balík
paket	balenie
andora	andorra
elvis	elvis
odlično	výborná
odlično	vynikajúca
odlično	vynikajúce
postojeći	existujúce
postojeći	existujúca
postojeći	existujúci
postojeći	existujúcu
postojeći	existujúcich
izgubljeni	stratená
izgubljeni	stratené
izgubljeni	stratil
izgubljeni	stratený
izgubljeni	stratení
pažnja	pozor
pažnja	pozornosť
ponavlja	opakuje
uzimanje	užívanie
uzimanje	brať
oton	otho
pretvaranje	otočiť
pretvaranje	konverzia
pretvaranje	konverzie
pretvaranje	prevod
pretvaranje	prepočet
pretvaranje	premena
optužbe	obvinenia
optužbe	obvinenie
optužbe	odplaty
optužbe	poplatky
optužbe	obvinenia
pokazale	zobrazené
transformacija	transformovať
transformacija	premeniť
transformacija	premena
transformacija	transformácia
transformacija	premeny
transformacija	transformácie
zatvara	zavrie
zatvara	uzatvára
zatvara	zatvára
zatvara	uzavretie
zatvara	zatvorenie
zatvara	zatváranie
papir	papiera
papir	papierové
papir	papier
papir	papierová
vještački	umelo
složeni	zložený
složeni	kompozitné
složeni	zložená
složeni	zložené
urednika	redaktorov
javor	maple
orbiti	orbitu
valentin	valentin
valentin	valentína
valentin	valentín
valentin	valentine
stabilna	stabilné
stabilna	stabilná
stabilna	stabilný
cxd	cxd
pasa	psov
pasa	psi
pasa	psy
bazirana	založený
bazirana	založená
bazirana	založené
loza	viniča
namjera	zámer
namjera	úmysel
namjera	zámer
namjera	úmysel
mohammed	mohammed
mohammed	mohamed
poslati	pošli
poslati	poslať
poslati	odoslať
patuljak	trpaslíka
patuljak	trpaslík
proza	prózy
obilježen	označené
obilježen	označená
sol	sol
turistička	turistický
turistička	turista
turistička	turistická
turistička	turistické
brodovima	lodí
brodovima	lode
smatrajući	pozeranie
smatrajući	prezerať
napisano	písomné
napisano	napísané
napisano	písomná
napisano	napísal
napisano	napísali
platforme	plošina
platforme	platforma
platforme	platformy
platforme	platformu
manjine	menšín
manjine	menšiny
crteža	pozemky
crteža	parcely
crteža	pozemkov
vještica	čarodejnice
vještica	čarodejnica
vještica	bosorka
neuspjeh	zlyhanie
neuspjeh	neúspech
podne	poludnie
podne	napoludnie
podne	poludnie
podne	napoludnie
bacio	hodili
bacio	hodil
leipzig	lipsko
izraelski	izraelský
izraelski	izraelských
izraelski	izraelské
gerhard	gerhard
rub	rub
kairo	káhire
sean	sean
sean	seana
slogan	slogan
digitalni	digitálny
digitalni	digitálna
digitalni	digitálne
lara	lara
protivnici	súperov
protivnici	oponentov
lisa	lisa
lisa	lisu
pumpe	čerpadiel
pumpe	pumpy
pumpe	čerpadlá
uspješne	úspešné
uspješne	úspešní
uspješne	úspešný
uspješne	úspešná
jusuf	yusuf
postavši	stáva
oporavak	zotavenie
oporavak	vymôcť
oporavak	zotaviť
oporavak	zotavenie
oporavak	vymáhanie
oporavak	zhodnotenie
oporavak	obnovy
oporavak	vrátenie
odabir	vyberte
odabir	vybrať
