hovards	howard
komiteju	comitê
komiteju	comite
komiteju	comissão
komiteju	comité
administrators	administrador
administrators	administradora
administrators	administrador
administrators	administradora
impulsu	ímpeto
mysql	mysql
stari	raios
normāli	normais
normāli	normal
omskas	omsk
staļins	stalin
staļins	estaline
alžīrijas	argelino
alžīrijas	argelina
alžīrijas	argélia
alžīrijas	argelinos
pīļu	patos
pīļu	pato
pīļu	duck
pielietot	aplicar
pielietot	aplique
ogas	bagas
plūdi	enchente
plūdi	flood
plūdi	inundações
plūdi	dilúvio
plūdi	inundação
plūdi	enchentes
plūdi	inundação
plūdi	inundações
plūdi	enchentes
plūdi	cheias
plūdi	inundações
kazu	cabra
kazu	bode
anatolijas	anatólia
pavēle	ordens
pavēle	encomendas
identitāti	identidade
api	api
api	apis
spektra	espectro
subtropu	subtropical
subtropu	subtropicais
vectēvs	avô
vectēvs	vovô
vectēvs	vô
vectēvs	avô
vectēvs	vovô
vectēvs	avo
patlaban	actualmente
patlaban	atualmente
kancelejas	papelaria
margarita	margarita
bite	trinca
bite	morder
bite	morde
bite	mordida
bite	abelha
bite	abelhas
bite	bee
labot	edit
labot	edita
labot	editar
labot	edite
mehmeds	mehmed
zeppelin	zeppelin
debesis	céus
debesis	heaven
debesis	paraíso
debesis	céu
debesis	ceu
debesis	sky
debesis	céu
debesis	céus
ģimenēm	familias
ģimenēm	famílias
krāteris	cratera
padarīt	make
padarīt	faça
ieslodzīto	prisioneiro
ieslodzīto	prisioneira
ieslodzīto	prisioneiras
ieslodzīto	presos
ieslodzīto	prisioneiros
riks	rick
taisni	straight
taisni	hetero
taisni	hétero
taisni	direto
saistība	relação
saistība	relacionamentos
saistība	relacionamento
saistība	relação
zaudējums	perda
zaudējums	perdas
patiešām	verdadeiramente
patiešām	realmente
noslēgt	concluir
dace	dace
divstāvu	beliche
poters	potter
molekulā	molécula
molekulā	moléculas
gali	gali
gaida	esperando
gaida	aguardando
kokus	árvores
kokus	arvores
borussia	borussia
kristālu	cristal
kristālu	cristais
kristālu	crystal
zebras	zebras
plātnes	pratos
plātnes	placas
plātnes	chapas
plātnes	lajes
eiropieši	europeus
sarkanie	vermelhos
ieslodzīts	encarcerados
ieslodzīts	encarcerado
ieslodzīts	aprisionado
skan	soa
skan	sons
zarnas	entranhas
zarnas	tripas
zarnas	intestinos
zarnas	intestinal
zarnas	intestino
zarnas	invólucros
zarnas	intestinos
zarnas	intestino
zarnas	intestinos
zarnas	intestino
rakstot	escrevendo
rakstot	escrita
rakstot	escrever
produkta	produto
ārsti	médicos
ārsti	medicos
ārsti	doutores
ārsti	médicos
indivīdi	indivíduos
bruņu	blindada
bruņu	blindados
bruņu	blindado
kāpuru	larval
kāpuru	larva
plāni	planos
valentīna	valentina
valentīna	valentim
valentīna	valentine
dimanta	diamond
dimanta	diamante
dimanta	diamantes
debesīm	heaven
debesīm	paraíso
debesīm	céu
reģistrā	regista
reģistrā	registro
reģistrā	registrar
reģistrā	registo
reģistrā	registar
pieņemti	aceitos
pieņemti	aceites
pieņemti	aceitado
pieņemti	aceite
pieņemti	aceita
pieņemti	aceito
kolumbija	colúmbia
kolumbija	columbia
kolumbija	colômbia
kolumbija	colômbia
kolumbija	colombia
zemā	baixa
