експонатів	pameran
джонні	johnny
джонні	jonny
сосна	pinus
сосна	pine
танець	dance
танець	dansa
танець	tari
танець	menari
танець	tarian
орн	orne
барабани	genderang
барабани	drum
барабани	gendang
наведення	melayang
наведення	mengambang
палата	chamber
палата	kamar
знищені	dihancurkan
знищені	hancur
знищені	dimusnahkan
знищені	menghancurkan
знищені	dimusnahkan
симфонія	simfoni
симфонія	symphony
цікавий	menarik
трагедія	tragis
трагедія	tragedi
бачили	dilihat
пацієнтів	pasien
маргарита	margaret
маргарита	margarita
творець	pembuat
творець	pencipta
творець	creator
вигнання	pengasingan
докази	bukti
балки	timbers
побачили	gergaji
побачили	saw
ендр	indre
священики	imam
священики	ulama
закрита	ditutup
закрита	tertutup
закрита	tutup
закрита	closed
кейт	kate
складність	kesukaran
складність	kesempitan
складність	kesusahan
складність	kesulitan
складність	kerumitan
складність	kompleksitas
марс	mars
бтр	btr
зеландія	zealand
зеландія	selandia
промінь	beam
промінь	balok
промінь	sinar
зима	winter
вирішувати	memutuskan
вирішувати	tentukan
вирішувати	putuskan
гельсінкі	helsinki
біографічний	biografi
душ	shower
душ	pancuran
душ	mandi
литві	lithuania
литві	lituania
гост	gost
вагітності	hamil
професійні	profesional
професійні	professional
спільне	joint
спільне	sendi
спільне	common
можлива	mungkin
можлива	kemungkinan
можлива	dimungkinkan
йосиф	iosif
бондаренко	bondarenko
міцність	kekuatan
товщина	lebar
товщина	ketebalan
атак	penyerang
атак	meretas
атак	hacking
атак	pembajakan
атак	peretasan
піч	tungku
піч	kompor
піч	tungku
піч	oven
пряма	line
пряма	baris
пряма	garis
пряма	direct
пряма	langsung
боки	sisi
вказана	menunjuk
вказана	dispesifikasikan
вказана	ditentukan
вказана	dinyatakan
вагу	berat
вагу	bobot
вагу	berbobot
вагу	menimbang
вагу	beratnya
вагу	berat
випустили	dilepaskan
випустили	dirilis
відмовилися	terbengkalai
відмовилися	ditinggalkan
відмовилися	ditelantarkan
відмовилися	persaudaraan
відмовилися	menolak
відмовилися	ditolak
відмовилися	ditolak
мостів	bridges
мостів	jembatan
зелене	green
зелене	hijau
гнізда	slot
гнізда	slots
гнізда	soket
гнізда	socket
гнізда	soket
гнізда	socket
дистриб	distributor
експозиція	pencahayaan
експозиція	bukaan
експозиція	eksposur
експозиція	pemaparan
повстанці	pemberontak
седан	sedan
низька	rendah
низька	low
марш	marche
марш	rawa
марш	paya
марш	marsh
розробники	pengembang
лицар	ksatria
лицар	knight
лицар	kesatria
розвиватися	berevolusi
порода	breed
порода	biak
порода	sapi
порода	ternak
порти	pelabuhan
порти	port
додає	menambahkan
додає	penambahan
вілсон	wilson
нав	obsesi
зафіксовано	terkunci
зафіксовано	dikunci
кравченко	kravchenko
ефективно	efektif
ефективно	efektif
потоки	aliran
потоки	stream
сбу	sbu
учасника	anggota
учасника	member
учасника	peserta
міри	luasnya
більшовики	bolshevik
вокаліст	vokalis
вокаліст	vokal
найближчі	terdekat
дозволено	diizinkan
дозволено	diijinkan
дозволено	diizinkan
дозволено	diijinkan
дозволено	diperbolehkan
виділено	disorot
виділено	dialokasikan
додано	menambahkan
додано	ditambahkan
датою	tanggal
датою	tgl
рабів	budak
постійної	berulang
злочин	kriminalitas
злочин	pidana
злочин	kejahatan
злочин	kriminal
злочин	crime
полотно	kanvas
полотно	canvas
пуатьє	poitier
скорочено	short
скорочено	singkat
скорочено	pendek
переворот	kudeta
допомагають	menolong
допомагають	membantu
стокгольм	stockholm
рукопис	manuskrip
рукопис	naskah
комерційний	komersial
комерційний	komersil
хроніки	chronicles
автобусів	mencolok
автобусів	menyolok
гарнізон	garrison
гарнізон	garnisun
матеріально	finansial
сьєрра	sierra
апостолів	rasul
оператори	operator
прикраси	perhiasan
прикраси	bling
прикраси	berkilau
прикраси	hiasan
прикраси	ornamen
прикраси	perhiasan
прикраси	permen
прикраси	candy
конференцій	konferensi
витоків	leak
витоків	bocor
витоків	kebocoran
починаються	mulai
починаються	dimulai
починаються	starting
починаються	memulai
екран	screen
екран	layar
стратегія	strategi
економічне	perekonomian
економічне	ekonomi
економічне	ekonomis
економічне	hemat
арабських	arab
альманах	almanak
франк	frank
франк	franc
франк	franck
мама	mum
мама	bu
мама	ibu
мама	mom
мама	bunda
мама	mama
богиня	dewi
публічно	publik
валовий	kotor
валовий	gross
валовий	jorok
валовий	jijik
валовий	menjijikan
псевдо	semu
псевдо	pseudo
арешт	penangkapan
арешт	tangkap
підйом	panjat
підйом	mendaki
підйом	memanjat
одесса	odessa
кримський	krimea
кримський	krimea
сел	sal
льюїс	lewis
овернь	auvergne
носити	pakailah
носити	aus
носити	wear
носити	pakai
розширити	perluas
розширити	ekspansi
розширити	kembangkan
