teolog	теолог
dizajniran	дизајнирана
dizajniran	дизајнирани
dizajniran	дизајниран
dizajniran	дизајнирано
mart	mart
mart	маркет
neutrona	неутрони
mlad	младите
mlad	млад
mlad	јанг
mlad	young
mlad	млади
mlad	млада
ponavlja	повторува
miro	миро
hansen	хансен
eventualno	евентуално
hasan	хасан
hasan	хасан
vožnje	јава
rog	хорн
rog	рогот
rog	рог
antonija	антонија
antonija	антониј
antonija	антони
prisiljeni	принуден
prisiljeni	присилена
prisiljeni	присилени
prisiljeni	принудени
prisiljeni	присилен
posude	тенџериња
frankfurt	франкфурт
zabrana	забрани
zabrana	забрана
zabrana	бан
oblak	клауд
oblak	облак
projektil	проектил
projektil	ракета
herbert	херберт
vijetnamu	виетнам
uspostaviti	воспостави
uspostaviti	воспоставување
slatina	слатина
chang	ченг
bibliografija	библиографија
upale	воспаление
carla	карла
paolo	паоло
odgovornosti	одговорности
odgovornosti	обврски
odgovornosti	одговорност
odgovornosti	одговорност
odgovornosti	отчет
rođak	роднина
rođak	релативна
rođak	релативно
rođak	роднина
rođak	братучед
reformi	реформи
završi	заврши
završi	финиш
operi	оперски
operi	опера
slava	слава
slava	пофалби
slava	пофалба
slava	слава
slava	слава
odabrao	избра
odabrao	одбрал
odabrao	одбра
odabrao	избрале
bubrega	бубрег
bubrega	бубрегот
bubrega	бубрези
doprinosa	придонеси
jača	посилен
jača	посилна
jača	појак
jača	посилни
jača	посилно
pustinja	пустинска
pustinja	пустински
pustinja	пуст
pustinja	пустина
pustinja	пустината
zaklada	фондација
zaklada	темели
zaklada	темел
ustavom	устав
mey	mey
trup	трупот
lokaciju	локација
evanđelje	евангелие
ljubo	љубо
sims	симс
sims	симс
zmaja	змеј
domaća	домашно
domaća	домашен
domaća	домашна
domaća	домашни
domaća	домашните
domaća	домашно
atentat	атентат
atentat	атентатот
single	единствена
single	сингл
single	самец
zločini	злодела
zločini	злочини
zločini	злосторства
balkanu	балканот
balkanu	балкан
brunner	брунер
jupiter	јупитер
born	борн
pomogla	помогна
pomogla	помогнале
pomogla	помогнаа
strategija	стратегија
balkan	балканот
balkan	балкан
balkan	балкански
balkan	balkan
balkan	балканска
balkan	балкан
peć	печка
peć	шпорет
peć	печка
peć	фурна
peć	рерна
ramena	раменици
ramena	рамењата
ramena	рамена
ramena	рамења
ramena	рамената
pablo	пабло
regionalni	регионален
regionalni	регионалната
regionalni	регионално
regionalni	регионални
regionalni	регионална
letove	летови
predaja	предадете
predaja	предавање
protivnici	противниците
protivnici	противници
protivnici	опоненти
bizantskog	византиски
bizantskog	византиска
pločica	плочки
pločica	плочка
morgan	морган
pretrpio	страдаше
pretrpio	претрпе
pretrpio	пателе
pretrpio	страдал
holmes	холмс
anemone	длабочини
pojavljivanje	изглед
pojavljivanje	појавување
izvoz	извозот
izvoz	извоз
izvoz	извоз
izvoz	изнесување
freske	фрески
freske	фреските
rođeni	родено
rođeni	роди
rođeni	роден
rođeni	родени
rođeni	раѓа
godišnjice	годишнини
blokada	блокада
blokada	блокада
adaptacija	адаптација
adaptacija	приспособување
izumitelj	пронаоѓач
leti	мува
leti	летај
leti	летаат
leti	лета
leti	муви
leti	вее
leti	летање
etiopiji	етиопија
socijalno	општествено
socijalno	социјално
objašnjenja	објаснувања
preuzimanje	симнување
preuzimanje	преземи
preuzimanje	симнување
preuzimanje	преземање
preuzimanje	превземање
preuzimanje	преземањето
unuka	внука
unuka	внуката
unuka	внук
unuka	внукот
opstanak	опстанок
opstanak	преживување
kritiku	критика
lud	ненормален
lud	луд
lud	лудило
lud	луд
lud	лудите
lud	луда
lud	луди
lud	лудо
minimalno	минимално
minimalno	минимална
minimalno	минимум
minimalno	минимална
minimalno	минимално
minimalno	минимални
minimalno	минимален
dramu	драмски
dramu	драма
sean	шон
perzijanci	персијците
azija	азија
prijetnja	закана
baden	баден
